ErrorType;Class;Method;ViolatedRule;Object;Statement
IncompleteOperationError;org.bitcoinj.core.CheckpointManager;org.bitcoinj.core.Sha256Hash readBinary(java.io.InputStream);violating CrySL rule for java.security.MessageDigest (on Object #29df2bb8243d0cab1a06af8c46217144bade0c95ab3ff432bb388a0b5259d112);Operation on object of type java.security.MessageDigest object not completed. Expected call to digest, update;specialinvoke $r4.<java.security.DigestInputStream: void <init>(java.io.InputStream,java.security.MessageDigest)>($r1, $r3)
ForbiddenMethodError;org.bitcoinj.core.CheckpointManager;org.bitcoinj.core.Sha256Hash readBinary(java.io.InputStream);violating CrySL rule for java.security.DigestInputStream ;Detected call to forbidden method void on(boolean) of class java.security.DigestInputStream;virtualinvoke $r4.<java.security.DigestInputStream: void on(boolean)>(varReplacer43313)
IncompleteOperationError;org.bitcoinj.core.CheckpointManager;org.bitcoinj.core.Sha256Hash readBinary(java.io.InputStream);violating CrySL rule for java.security.DigestInputStream (on Object #28802cc4f7ab2dacc6d53af54dfbb63b1acb9faa97d8a5c58b7af74a1387b37b);Operation on object of type java.security.DigestInputStream object not completed. Expected call to read;virtualinvoke $r4.<java.security.DigestInputStream: void on(boolean)>(varReplacer43318)
IncompleteOperationError;org.bitcoinj.core.CheckpointManager;org.bitcoinj.core.Sha256Hash readBinary(java.io.InputStream);violating CrySL rule for java.security.DigestInputStream (on Object #28802cc4f7ab2dacc6d53af54dfbb63b1acb9faa97d8a5c58b7af74a1387b37b);Operation on object of type java.security.DigestInputStream object not completed. Expected call to read;virtualinvoke $r4.<java.security.DigestInputStream: void on(boolean)>(varReplacer43313)
TypestateError;org.bitcoinj.core.CheckpointManager;org.bitcoinj.core.Sha256Hash readBinary(java.io.InputStream);violating CrySL rule for java.security.MessageDigest (on Object #29df2bb8243d0cab1a06af8c46217144bade0c95ab3ff432bb388a0b5259d112);Unexpected call to method <java.security.MessageDigest: byte[] digest()> on object of type java.security.MessageDigest. Expect a call to one of the following methods java.security.MessageDigest: void update(byte[],int,int),java.security.MessageDigest: void update(java.nio.ByteBuffer),java.security.MessageDigest: byte[] digest(byte[]),java.security.MessageDigest: void update(byte[]),java.security.MessageDigest: void update(byte);$r6 = virtualinvoke $r3.<java.security.MessageDigest: byte[] digest()>()
IncompleteOperationError;org.bitcoinj.core.CheckpointManager;org.bitcoinj.core.Sha256Hash readTextual(java.io.InputStream);violating CrySL rule for java.security.MessageDigest (on Object #f4e887286d0504cb5722b1da9a4eac06d6ea434977af7216dbf1f6217c285838);Operation on object of type java.security.MessageDigest object not completed. Expected call to digest, update;$r19 = interfaceinvoke $r4.<com.google.common.hash.Hasher: com.google.common.hash.HashCode hash()>()
IncompleteOperationError;org.bitcoinj.core.CheckpointManager;org.bitcoinj.core.Sha256Hash readTextual(java.io.InputStream);violating CrySL rule for java.security.MessageDigest (on Object #f4e887286d0504cb5722b1da9a4eac06d6ea434977af7216dbf1f6217c285838);Operation on object of type java.security.MessageDigest object not completed. Expected call to digest, update;$r4 = interfaceinvoke $r3.<com.google.common.hash.HashFunction: com.google.common.hash.Hasher newHasher()>()
IncompleteOperationError;org.bitcoinj.core.CheckpointManager;org.bitcoinj.core.Sha256Hash readTextual(java.io.InputStream);violating CrySL rule for javax.crypto.Mac (on Object #6dfe92fb5526abc60bb706d9a02bc7267374c73eb4cfabeec75ce74a35a0603d);Operation on object of type javax.crypto.Mac object not completed. Expected call to update, doFinal;$r19 = interfaceinvoke $r4.<com.google.common.hash.Hasher: com.google.common.hash.HashCode hash()>()
IncompleteOperationError;org.bitcoinj.core.CheckpointManager;org.bitcoinj.core.Sha256Hash readTextual(java.io.InputStream);violating CrySL rule for javax.crypto.Mac (on Object #6dfe92fb5526abc60bb706d9a02bc7267374c73eb4cfabeec75ce74a35a0603d);Operation on object of type javax.crypto.Mac object not completed. Expected call to update, doFinal;$r4 = interfaceinvoke $r3.<com.google.common.hash.HashFunction: com.google.common.hash.Hasher newHasher()>()
ConstraintError;io.lbry.lbrysdk.Utils;java.security.KeyStore initKeyStore(android.content.Context);violating CrySL rule for java.security.KeyStore (on Object #6cc95cb356c987682dcaf041b1fdee5d4f6723dc8fec4cddab2cab0a4d722ab3);First parameter (with value "AndroidKeyStore") should be any of {JCEKS, JKS, DKS, PKCS11, PKCS12};$r1 = staticinvoke <java.security.KeyStore: java.security.KeyStore getInstance(java.lang.String)>(varReplacer728)
RequiredPredicateError;io.lbry.lbrysdk.Utils;java.security.KeyStore initKeyStore(android.content.Context);violating CrySL rule for java.security.KeyPairGenerator ;First parameter was not properly generated as prepared R S A;virtualinvoke $r11.<java.security.KeyPairGenerator: void initialize(java.security.spec.AlgorithmParameterSpec)>($r10)
RequiredPredicateError;io.lbry.lbrysdk.Utils;byte[] decrypt(byte[],android.content.Context,java.security.KeyStore);violating CrySL rule for javax.crypto.Cipher ;Second parameter was not properly generated as generated Key;virtualinvoke $r3.<javax.crypto.Cipher: void init(int,java.security.Key)>(varReplacer738, $r4)
ConstraintError;io.lbry.lbrysdk.Utils;byte[] decrypt(byte[],android.content.Context,java.security.KeyStore);violating CrySL rule for javax.crypto.Cipher (on Object #fd41bfacbeef12e57228593d010f402f1cc7902e4d16d683caaaecec1ec784e6);First parameter (with value "AES/ECB/PKCS7Padding") should be any of AES/{CBC, GCM, PCBC, CTR, CTS, CFB, OFB};$r3 = staticinvoke <javax.crypto.Cipher: javax.crypto.Cipher getInstance(java.lang.String,java.lang.String)>(varReplacer736, varReplacer737)
TypestateError;io.lbry.lbrysdk.Utils;byte[] decrypt(byte[],android.content.Context,java.security.KeyStore);violating CrySL rule for javax.crypto.Cipher (on Object #fd41bfacbeef12e57228593d010f402f1cc7902e4d16d683caaaecec1ec784e6);Unexpected call to method doFinal on object of type javax.crypto.Cipher. Expect a call to one of the following methods init,updateAAD;$r0 = virtualinvoke $r3.<javax.crypto.Cipher: byte[] doFinal(byte[])>($r0)
RequiredPredicateError;io.lbry.lbrysdk.Utils;byte[] rsaDecrypt(byte[],java.security.KeyStore);violating CrySL rule for javax.crypto.Cipher ;Second parameter was not properly generated as generated Key;virtualinvoke $r6.<javax.crypto.Cipher: void init(int,java.security.Key)>(varReplacer755, $r3)
ConstraintError;io.lbry.lbrysdk.Utils;byte[] rsaDecrypt(byte[],java.security.KeyStore);violating CrySL rule for javax.crypto.Cipher (on Object #ae8f43d1bfb6aeef26638e68a4fbb4e2db7e329805d31265e8f625052e35d126);First parameter (with value "RSA/ECB/PKCS1Padding") should be any of {AES, PBEWithHmacSHA224AndAES_128, PBEWithHmacSHA256AndAES_128, PBEWithHmacSHA384AndAES_128, PBEWithHmacSHA512AndAES_128, PBEWithHmacSHA224AndAES_256, PBEWithHmacSHA256AndAES_256, PBEWithHmacSHA384AndAES_256, PBEWithHmacSHA512AndAES_256};$r6 = staticinvoke <javax.crypto.Cipher: javax.crypto.Cipher getInstance(java.lang.String)>(varReplacer757)
IncompleteOperationError;io.lbry.lbrysdk.Utils;byte[] rsaDecrypt(byte[],java.security.KeyStore);violating CrySL rule for javax.crypto.CipherInputStream (on Object #d2a33ac12960ebd2f4f463660939ac84ded3a67c9d1715848c78efe8c62692a1);Operation on object of type javax.crypto.CipherInputStream object not completed. Expected call to close;$i0 = virtualinvoke $r7.<javax.crypto.CipherInputStream: int read()>()
