ErrorType;Class;Method;ViolatedRule;Object;Statement
TypestateError;s7.k;void h(s7.k,android.app.Application);violating CrySL rule for java.security.MessageDigest (on Object #a2592d6755dcccb79e3f6ae4bee2b64b4d26a129819fbedb05e7cee27a8be1ec);Unexpected call to method <java.security.MessageDigest: byte[] digest()> on object of type java.security.MessageDigest. Expect a call to one of the following methods java.security.MessageDigest: void update(byte[],int,int),java.security.MessageDigest: void update(java.nio.ByteBuffer),java.security.MessageDigest: byte[] digest(byte[]),java.security.MessageDigest: void update(byte),java.security.MessageDigest: void update(byte[]);$r27 = virtualinvoke $r24.<java.security.MessageDigest: byte[] digest()>()
TypestateError;x7.e;boolean q(x7.f,android.content.Context);violating CrySL rule for java.security.MessageDigest (on Object #376deb6c0e621f7f207d42513d98ec8c8d28f7ce9fad2b3679c0884cb5bcd734);Unexpected call to method <java.security.MessageDigest: byte[] digest()> on object of type java.security.MessageDigest. Expect a call to one of the following methods java.security.MessageDigest: void update(byte[],int,int),java.security.MessageDigest: void update(java.nio.ByteBuffer),java.security.MessageDigest: byte[] digest(byte[]),java.security.MessageDigest: void update(byte),java.security.MessageDigest: void update(byte[]);$r11 = virtualinvoke $r10.<java.security.MessageDigest: byte[] digest()>()
RequiredPredicateError;z6.g$b$a;java.lang.String a();violating CrySL rule for javax.crypto.Cipher ;Second parameter was not properly generated as generated Key;virtualinvoke $r11.<javax.crypto.Cipher: void init(int,java.security.Key,java.security.spec.AlgorithmParameterSpec)>(varReplacer12531, $r8, $r12)
RequiredPredicateError;z6.g$b$a;java.lang.String a();violating CrySL rule for javax.crypto.spec.SecretKeySpec ;First parameter was not properly generated as prepared Key Material;specialinvoke $r8.<javax.crypto.spec.SecretKeySpec: void <init>(byte[],java.lang.String)>($r3, varReplacer12527)
TypestateError;z6.g$b$a;java.lang.String a();violating CrySL rule for javax.crypto.Cipher (on Object #5fbbd0baa7b8561e4ec1b4bd3e39b528c66c03e53b1bc4c6a255993ea6ea9e22);Unexpected call to method doFinal on object of type javax.crypto.Cipher. Expect a call to one of the following methods init,updateAAD;$r14 = virtualinvoke $r11.<javax.crypto.Cipher: byte[] doFinal(byte[])>($r14)
RequiredPredicateError;z6.g$b$a;java.lang.String a();violating CrySL rule for javax.crypto.spec.IvParameterSpec ;First parameter was not properly generated as randomized;specialinvoke $r12.<javax.crypto.spec.IvParameterSpec: void <init>(byte[])>($r3)
RequiredPredicateError;z6.g$b$a;java.lang.String a();violating CrySL rule for javax.crypto.Cipher ;Third parameter was not properly generated as prepared I V;virtualinvoke $r11.<javax.crypto.Cipher: void init(int,java.security.Key,java.security.spec.AlgorithmParameterSpec)>(varReplacer12531, $r8, $r12)
IncompleteOperationError;n9.a;java.security.cert.X509Certificate a(java.lang.String);violating CrySL rule for java.security.cert.CertificateFactory (on Object #609965a8ecf5e8abe3ffe0f6e07abf11ed3724f106e67adae48bf542e0e2896e);Operation on object of type java.security.cert.CertificateFactory object not completed. Expected call to generateCertPath, generateCertificate;$r4 = virtualinvoke $r2.<java.security.cert.CertificateFactory: java.util.Collection generateCertificates(java.io.InputStream)>($r3)
IncompleteOperationError;io.timelimit.android.ui.manage.device.manage.permission.ManageDevicePermissionsFragment;r6.h y2();violating CrySL rule for java.security.MessageDigest (on Object #ae7cc749a13829549fecc232e84b97091ff8f18283de9a48f05f3df296a7fa25);Operation on object of type java.security.MessageDigest object not completed. Expected call to digest, update;$r1 = interfaceinvoke $r2.<a8.e: java.lang.Object getValue()>()
IncompleteOperationError;io.timelimit.android.ui.manage.device.manage.permission.ManageDevicePermissionsFragment;j5.b x2();violating CrySL rule for java.security.MessageDigest (on Object #ae7cc749a13829549fecc232e84b97091ff8f18283de9a48f05f3df296a7fa25);Operation on object of type java.security.MessageDigest object not completed. Expected call to digest, update;$r1 = interfaceinvoke $r2.<a8.e: java.lang.Object getValue()>()
IncompleteOperationError;io.timelimit.android.ui.manage.device.manage.permission.ManageDevicePermissionsFragment;androidx.lifecycle.LiveData A2();violating CrySL rule for java.security.MessageDigest (on Object #ae7cc749a13829549fecc232e84b97091ff8f18283de9a48f05f3df296a7fa25);Operation on object of type java.security.MessageDigest object not completed. Expected call to digest, update;$r1 = interfaceinvoke $r2.<a8.e: java.lang.Object getValue()>()
IncompleteOperationError;io.timelimit.android.ui.manage.device.manage.permission.ManageDevicePermissionsFragment;j5.a z2();violating CrySL rule for java.security.MessageDigest (on Object #ae7cc749a13829549fecc232e84b97091ff8f18283de9a48f05f3df296a7fa25);Operation on object of type java.security.MessageDigest object not completed. Expected call to digest, update;$r1 = interfaceinvoke $r2.<a8.e: java.lang.Object getValue()>()
IncompleteOperationError;io.timelimit.android.ui.manage.device.manage.permission.ManageDevicePermissionsFragment;n4.h B2();violating CrySL rule for java.security.MessageDigest (on Object #ae7cc749a13829549fecc232e84b97091ff8f18283de9a48f05f3df296a7fa25);Operation on object of type java.security.MessageDigest object not completed. Expected call to digest, update;$r1 = interfaceinvoke $r2.<a8.e: java.lang.Object getValue()>()
IncompleteOperationError;io.timelimit.android.ui.manage.device.manage.user.ManageDeviceUserFragment;androidx.lifecycle.LiveData A2();violating CrySL rule for java.security.MessageDigest (on Object #ae7cc749a13829549fecc232e84b97091ff8f18283de9a48f05f3df296a7fa25);Operation on object of type java.security.MessageDigest object not completed. Expected call to digest, update;$r1 = interfaceinvoke $r2.<a8.e: java.lang.Object getValue()>()
IncompleteOperationError;io.timelimit.android.ui.manage.device.manage.user.ManageDeviceUserFragment;j5.b x2();violating CrySL rule for java.security.MessageDigest (on Object #ae7cc749a13829549fecc232e84b97091ff8f18283de9a48f05f3df296a7fa25);Operation on object of type java.security.MessageDigest object not completed. Expected call to digest, update;$r1 = interfaceinvoke $r2.<a8.e: java.lang.Object getValue()>()
IncompleteOperationError;io.timelimit.android.ui.manage.device.manage.user.ManageDeviceUserFragment;s6.d y2();violating CrySL rule for java.security.MessageDigest (on Object #ae7cc749a13829549fecc232e84b97091ff8f18283de9a48f05f3df296a7fa25);Operation on object of type java.security.MessageDigest object not completed. Expected call to digest, update;$r1 = interfaceinvoke $r2.<a8.e: java.lang.Object getValue()>()
IncompleteOperationError;io.timelimit.android.ui.manage.device.manage.user.ManageDeviceUserFragment;n4.h B2();violating CrySL rule for java.security.MessageDigest (on Object #ae7cc749a13829549fecc232e84b97091ff8f18283de9a48f05f3df296a7fa25);Operation on object of type java.security.MessageDigest object not completed. Expected call to digest, update;$r1 = interfaceinvoke $r2.<a8.e: java.lang.Object getValue()>()
IncompleteOperationError;io.timelimit.android.ui.manage.device.manage.user.ManageDeviceUserFragment;j5.a z2();violating CrySL rule for java.security.MessageDigest (on Object #ae7cc749a13829549fecc232e84b97091ff8f18283de9a48f05f3df296a7fa25);Operation on object of type java.security.MessageDigest object not completed. Expected call to digest, update;$r1 = interfaceinvoke $r2.<a8.e: java.lang.Object getValue()>()
IncompleteOperationError;t6.d;n4.h S2();violating CrySL rule for java.security.MessageDigest (on Object #ae7cc749a13829549fecc232e84b97091ff8f18283de9a48f05f3df296a7fa25);Operation on object of type java.security.MessageDigest object not completed. Expected call to digest, update;$r1 = interfaceinvoke $r2.<a8.e: java.lang.Object getValue()>()
IncompleteOperationError;t6.d;androidx.lifecycle.LiveData U2();violating CrySL rule for java.security.MessageDigest (on Object #ae7cc749a13829549fecc232e84b97091ff8f18283de9a48f05f3df296a7fa25);Operation on object of type java.security.MessageDigest object not completed. Expected call to digest, update;$r1 = interfaceinvoke $r2.<a8.e: java.lang.Object getValue()>()
IncompleteOperationError;t6.d;j5.a T2();violating CrySL rule for java.security.MessageDigest (on Object #ae7cc749a13829549fecc232e84b97091ff8f18283de9a48f05f3df296a7fa25);Operation on object of type java.security.MessageDigest object not completed. Expected call to digest, update;$r1 = interfaceinvoke $r2.<a8.e: java.lang.Object getValue()>()
IncompleteOperationError;t6.d;java.lang.String V2();violating CrySL rule for java.security.MessageDigest (on Object #ae7cc749a13829549fecc232e84b97091ff8f18283de9a48f05f3df296a7fa25);Operation on object of type java.security.MessageDigest object not completed. Expected call to digest, update;$r1 = interfaceinvoke $r2.<a8.e: java.lang.Object getValue()>()
IncompleteOperationError;io.timelimit.android.ui.manage.category.ManageCategoryFragment;k5.a F2();violating CrySL rule for java.security.MessageDigest (on Object #ae7cc749a13829549fecc232e84b97091ff8f18283de9a48f05f3df296a7fa25);Operation on object of type java.security.MessageDigest object not completed. Expected call to digest, update;$r1 = interfaceinvoke $r2.<a8.e: java.lang.Object getValue()>()
IncompleteOperationError;k6.p;t4.e0 M2();violating CrySL rule for java.security.MessageDigest (on Object #ae7cc749a13829549fecc232e84b97091ff8f18283de9a48f05f3df296a7fa25);Operation on object of type java.security.MessageDigest object not completed. Expected call to digest, update;$r1 = interfaceinvoke $r2.<a8.e: java.lang.Object getValue()>()
IncompleteOperationError;io.timelimit.android.ui.widget.TimesWidgetService;android.appwidget.AppWidgetManager h();violating CrySL rule for java.security.MessageDigest (on Object #ae7cc749a13829549fecc232e84b97091ff8f18283de9a48f05f3df296a7fa25);Operation on object of type java.security.MessageDigest object not completed. Expected call to digest, update;$r1 = interfaceinvoke $r2.<a8.e: java.lang.Object getValue()>()
IncompleteOperationError;io.timelimit.android.ui.widget.TimesWidgetService;androidx.lifecycle.LiveData i();violating CrySL rule for java.security.MessageDigest (on Object #ae7cc749a13829549fecc232e84b97091ff8f18283de9a48f05f3df296a7fa25);Operation on object of type java.security.MessageDigest object not completed. Expected call to digest, update;$r1 = interfaceinvoke $r2.<a8.e: java.lang.Object getValue()>()
IncompleteOperationError;h5.j;j5.a I2();violating CrySL rule for java.security.MessageDigest (on Object #ae7cc749a13829549fecc232e84b97091ff8f18283de9a48f05f3df296a7fa25);Operation on object of type java.security.MessageDigest object not completed. Expected call to digest, update;$r1 = interfaceinvoke $r2.<a8.e: java.lang.Object getValue()>()
