ErrorType;Class;Method;ViolatedRule;Object;Statement
ConstraintError;e.d.a.r.a;byte[] e(byte[],java.security.interfaces.DSAPrivateKey,java.security.SecureRandom);violating CrySL rule for java.security.Signature (on Object #74b62d7d7b6e23cc0706177e7ad48fb1d3d09fec84d2c34c6f929e5b2db80445);First parameter (with value "SHA1withDSA") should be any of {SHA256withRSA, SHA256withECDSA, SHA256withDSA, SHA384withRSA, SHA512withRSA, SHA384withECDSA, SHA512withECDSA};$r3 = staticinvoke <java.security.Signature: java.security.Signature getInstance(java.lang.String)>(varReplacer3791)
RequiredPredicateError;e.d.a.r.a;byte[] e(byte[],java.security.interfaces.DSAPrivateKey,java.security.SecureRandom);violating CrySL rule for java.security.Signature ;First parameter was not properly generated as generated Privkey;virtualinvoke $r3.<java.security.Signature: void initSign(java.security.PrivateKey)>($r1)
RequiredPredicateError;e.d.a.r.a;boolean f(byte[],byte[],java.security.interfaces.DSAPublicKey);violating CrySL rule for java.security.Signature ;First parameter was not properly generated as generated Pubkey;virtualinvoke $r3.<java.security.Signature: void initVerify(java.security.PublicKey)>($r2)
ConstraintError;e.d.a.r.a;boolean f(byte[],byte[],java.security.interfaces.DSAPublicKey);violating CrySL rule for java.security.Signature (on Object #ad5f20d61f2416440f90daae47b0a26d834dc4b0cb0fed2d74f575ce097d71a7);First parameter (with value "SHA1withDSA") should be any of {SHA256withRSA, SHA256withECDSA, SHA256withDSA, SHA384withRSA, SHA512withRSA, SHA384withECDSA, SHA512withECDSA};$r3 = staticinvoke <java.security.Signature: java.security.Signature getInstance(java.lang.String)>(varReplacer6931)
RequiredPredicateError;e.d.a.r.a;java.security.interfaces.DSAPublicKey a(byte[]);violating CrySL rule for java.security.KeyFactory ;First parameter was not properly generated as specced Key;$r9 = virtualinvoke $r8.<java.security.KeyFactory: java.security.PublicKey generatePublic(java.security.spec.KeySpec)>($r0)
RequiredPredicateError;e.d.a.r.d;byte[] e(byte[],java.security.interfaces.RSAPrivateKey);violating CrySL rule for java.security.Signature ;First parameter was not properly generated as generated Privkey;virtualinvoke $r2.<java.security.Signature: void initSign(java.security.PrivateKey)>($r1)
ConstraintError;e.d.a.r.d;byte[] e(byte[],java.security.interfaces.RSAPrivateKey);violating CrySL rule for java.security.Signature (on Object #cd910249a22df8e38b120d5d4002bec4855190045dcacf9a4c61738214a96a28);First parameter (with value "SHA1withRSA") should be any of {SHA256withRSA, SHA256withECDSA, SHA256withDSA, SHA384withRSA, SHA512withRSA, SHA384withECDSA, SHA512withECDSA};$r2 = staticinvoke <java.security.Signature: java.security.Signature getInstance(java.lang.String)>(varReplacer3795)
RequiredPredicateError;e.d.a.r.d;boolean f(byte[],byte[],java.security.interfaces.RSAPublicKey);violating CrySL rule for java.security.Signature ;First parameter was not properly generated as generated Pubkey;virtualinvoke $r3.<java.security.Signature: void initVerify(java.security.PublicKey)>($r0)
ConstraintError;e.d.a.r.d;boolean f(byte[],byte[],java.security.interfaces.RSAPublicKey);violating CrySL rule for java.security.Signature (on Object #483cf316ff31e0e872c1e696165de2b2778b50b953a16448ae9ba002b56fb9a8);First parameter (with value "SHA1withRSA") should be any of {SHA256withRSA, SHA256withECDSA, SHA256withDSA, SHA384withRSA, SHA512withRSA, SHA384withECDSA, SHA512withECDSA};$r3 = staticinvoke <java.security.Signature: java.security.Signature getInstance(java.lang.String)>(varReplacer6946)
RequiredPredicateError;e.d.a.r.d;java.security.interfaces.RSAPublicKey a(byte[]);violating CrySL rule for java.security.KeyFactory ;First parameter was not properly generated as specced Key;$r7 = virtualinvoke $r6.<java.security.KeyFactory: java.security.PublicKey generatePublic(java.security.spec.KeySpec)>($r5)
IncompleteOperationError;e.d.a.s.b;void i(byte[],int);violating CrySL rule for javax.crypto.Mac (on Object #2e12bd8be7e837f5c483fa4bc4a370d12eb9c9cfa5fa52665f6e3b29cf2efedf);Operation on object of type javax.crypto.Mac object not completed. Expected call to update, doFinal;specialinvoke $r50.<com.trilead.ssh2.crypto.digest.HMAC: void <init>(java.lang.String,byte[])>($r8, $r2)
IncompleteOperationError;e.d.a.s.b;void i(byte[],int);violating CrySL rule for javax.crypto.Mac (on Object #e94fc48732827bbc0214667d104d139ce0bc70a80c6937cb01de5d06f1304a89);Operation on object of type javax.crypto.Mac object not completed. Expected call to update, doFinal;specialinvoke $r50.<com.trilead.ssh2.crypto.digest.HMAC: void <init>(java.lang.String,byte[])>($r8, $r2)
IncompleteOperationError;e.d.a.s.b;void i(byte[],int);violating CrySL rule for javax.crypto.Mac (on Object #32a6d8fe6e657719f84a826725a5a21180498dd9593f7e0033f7e47ea7d9bdfe);Operation on object of type javax.crypto.Mac object not completed. Expected call to update, doFinal;specialinvoke $r50.<com.trilead.ssh2.crypto.digest.HMAC: void <init>(java.lang.String,byte[])>($r8, $r2)
IncompleteOperationError;e.d.a.s.b;void i(byte[],int);violating CrySL rule for javax.crypto.Mac (on Object #f9e769da0fd1141e313445609ba92823027d362a101a5701e555bf38571a6e9e);Operation on object of type javax.crypto.Mac object not completed. Expected call to update, doFinal;specialinvoke $r50.<com.trilead.ssh2.crypto.digest.HMAC: void <init>(java.lang.String,byte[])>($r8, $r2)
IncompleteOperationError;e.d.a.s.b;void i(byte[],int);violating CrySL rule for javax.crypto.Mac (on Object #dc4f0e6095c138cba23a15e9664794ae54053fe2790ee6aa9086d135f88b1076);Operation on object of type javax.crypto.Mac object not completed. Expected call to update, doFinal;specialinvoke $r50.<com.trilead.ssh2.crypto.digest.HMAC: void <init>(java.lang.String,byte[])>($r8, $r2)
IncompleteOperationError;e.d.a.s.b;void i(byte[],int);violating CrySL rule for javax.crypto.Mac (on Object #2b1c98d5c4d37c9ddd7184dfda2f85ac0466bd77e05c91b9dd75ccf9b6ea6da7);Operation on object of type javax.crypto.Mac object not completed. Expected call to update, doFinal;specialinvoke $r50.<com.trilead.ssh2.crypto.digest.HMAC: void <init>(java.lang.String,byte[])>($r8, $r2)
IncompleteOperationError;e.d.a.s.b;void i(byte[],int);violating CrySL rule for javax.crypto.Mac (on Object #a70cbf28827ed1b7e882861904441a7c15b71d84ec778758e8b41e5ddbf2115);Operation on object of type javax.crypto.Mac object not completed. Expected call to update, doFinal;specialinvoke $r50.<com.trilead.ssh2.crypto.digest.HMAC: void <init>(java.lang.String,byte[])>($r8, $r2)
IncompleteOperationError;e.d.a.s.b;void d();violating CrySL rule for javax.crypto.Mac (on Object #2e12bd8be7e837f5c483fa4bc4a370d12eb9c9cfa5fa52665f6e3b29cf2efedf);Operation on object of type javax.crypto.Mac object not completed. Expected call to update, doFinal;virtualinvoke $r5.<e.d.a.s.i: void f(com.trilead.ssh2.crypto.cipher.BlockCipher,com.trilead.ssh2.crypto.digest.MAC)>($r10, $r11)
IncompleteOperationError;e.d.a.s.b;void d();violating CrySL rule for javax.crypto.Mac (on Object #e94fc48732827bbc0214667d104d139ce0bc70a80c6937cb01de5d06f1304a89);Operation on object of type javax.crypto.Mac object not completed. Expected call to update, doFinal;virtualinvoke $r5.<e.d.a.s.i: void f(com.trilead.ssh2.crypto.cipher.BlockCipher,com.trilead.ssh2.crypto.digest.MAC)>($r10, $r11)
IncompleteOperationError;e.d.a.s.b;void d();violating CrySL rule for javax.crypto.Mac (on Object #32a6d8fe6e657719f84a826725a5a21180498dd9593f7e0033f7e47ea7d9bdfe);Operation on object of type javax.crypto.Mac object not completed. Expected call to update, doFinal;virtualinvoke $r5.<e.d.a.s.i: void f(com.trilead.ssh2.crypto.cipher.BlockCipher,com.trilead.ssh2.crypto.digest.MAC)>($r10, $r11)
IncompleteOperationError;e.d.a.s.b;void d();violating CrySL rule for javax.crypto.Mac (on Object #f9e769da0fd1141e313445609ba92823027d362a101a5701e555bf38571a6e9e);Operation on object of type javax.crypto.Mac object not completed. Expected call to update, doFinal;virtualinvoke $r5.<e.d.a.s.i: void f(com.trilead.ssh2.crypto.cipher.BlockCipher,com.trilead.ssh2.crypto.digest.MAC)>($r10, $r11)
IncompleteOperationError;e.d.a.s.b;void d();violating CrySL rule for javax.crypto.Mac (on Object #dc4f0e6095c138cba23a15e9664794ae54053fe2790ee6aa9086d135f88b1076);Operation on object of type javax.crypto.Mac object not completed. Expected call to update, doFinal;virtualinvoke $r5.<e.d.a.s.i: void f(com.trilead.ssh2.crypto.cipher.BlockCipher,com.trilead.ssh2.crypto.digest.MAC)>($r10, $r11)
IncompleteOperationError;e.d.a.s.b;void d();violating CrySL rule for javax.crypto.Mac (on Object #2b1c98d5c4d37c9ddd7184dfda2f85ac0466bd77e05c91b9dd75ccf9b6ea6da7);Operation on object of type javax.crypto.Mac object not completed. Expected call to update, doFinal;virtualinvoke $r5.<e.d.a.s.i: void f(com.trilead.ssh2.crypto.cipher.BlockCipher,com.trilead.ssh2.crypto.digest.MAC)>($r10, $r11)
IncompleteOperationError;e.d.a.s.b;void d();violating CrySL rule for javax.crypto.Mac (on Object #a70cbf28827ed1b7e882861904441a7c15b71d84ec778758e8b41e5ddbf2115);Operation on object of type javax.crypto.Mac object not completed. Expected call to update, doFinal;virtualinvoke $r5.<e.d.a.s.i: void f(com.trilead.ssh2.crypto.cipher.BlockCipher,com.trilead.ssh2.crypto.digest.MAC)>($r10, $r11)
ConstraintError;com.trilead.ssh2.crypto.digest.HMAC;void <init>(java.lang.String,byte[]);violating CrySL rule for javax.crypto.Mac (on Object #32a6d8fe6e657719f84a826725a5a21180498dd9593f7e0033f7e47ea7d9bdfe);First parameter (with value "HmacSHA1") should be any of {HmacSHA256, HmacSHA384, HmacSHA512, HmacPBESHA1, PBEWithHmacSHA1, PBEWithHmacSHA224, PBEWithHmacSHA256, PBEWithHmacSHA384, PBEWithHmacSHA512};$r4 = staticinvoke <javax.crypto.Mac: javax.crypto.Mac getInstance(java.lang.String)>(varReplacer6850)
ConstraintError;com.trilead.ssh2.crypto.digest.HMAC;void <init>(java.lang.String,byte[]);violating CrySL rule for javax.crypto.Mac (on Object #a70cbf28827ed1b7e882861904441a7c15b71d84ec778758e8b41e5ddbf2115);First parameter (with value "HmacMD5") should be any of {HmacSHA256, HmacSHA384, HmacSHA512, HmacPBESHA1, PBEWithHmacSHA1, PBEWithHmacSHA224, PBEWithHmacSHA256, PBEWithHmacSHA384, PBEWithHmacSHA512};$r4 = staticinvoke <javax.crypto.Mac: javax.crypto.Mac getInstance(java.lang.String)>(varReplacer6840)
RequiredPredicateError;com.trilead.ssh2.crypto.digest.HMAC;void <init>(java.lang.String,byte[]);violating CrySL rule for javax.crypto.spec.SecretKeySpec ;First parameter was not properly generated as prepared Key Material;specialinvoke $r8.<javax.crypto.spec.SecretKeySpec: void <init>(byte[],java.lang.String)>($r2, $r1)
IncompleteOperationError;e.d.a.r.c;boolean f(byte[],byte[],i.a.a.a.d);violating CrySL rule for java.security.MessageDigest (on Object #4b963e1fe820882f19c4e042d8244e9f1b1e6f1ca70db8cb106677218a3921ef);Operation on object of type java.security.MessageDigest object not completed. Expected call to digest, update;$z0 = virtualinvoke $r0.<java.security.Signature: boolean verify(byte[])>($r2)
IncompleteOperationError;e.d.a.r.c;byte[] e(byte[],i.a.a.a.c);violating CrySL rule for java.security.MessageDigest (on Object #c03cba2973342e0d44fa1b551f18e0b4e063344282e116456382ad4ce33ad3de);Operation on object of type java.security.MessageDigest object not completed. Expected call to digest, update;$r1 = virtualinvoke $r0.<java.security.Signature: byte[] sign()>()
IncompleteOperationError;e.d.a.j;byte[] i(java.lang.String,java.lang.String,byte[]);violating CrySL rule for java.security.MessageDigest (on Object #add3f22e1fb9b44e1f151f1d0123858b757b88c0bc1953ef0e0add9996d0a0e7);Operation on object of type java.security.MessageDigest object not completed. Expected call to digest, update;$r6 = staticinvoke <java.security.MessageDigest: java.security.MessageDigest getInstance(java.lang.String)>(varReplacer7062)
IncompleteOperationError;e.d.a.j;byte[] i(java.lang.String,java.lang.String,byte[]);violating CrySL rule for java.security.MessageDigest (on Object #add3f22e1fb9b44e1f151f1d0123858b757b88c0bc1953ef0e0add9996d0a0e7);Operation on object of type java.security.MessageDigest object not completed. Expected call to digest, update;$r6 = staticinvoke <java.security.MessageDigest: java.security.MessageDigest getInstance(java.lang.String)>(varReplacer7059)
ConstraintError;e.d.a.j;byte[] i(java.lang.String,java.lang.String,byte[]);violating CrySL rule for java.security.MessageDigest (on Object #41f1a4a4c19182fc942e852eedeca497d8e6b8df67f27744e1ce1f2f823531cf);First parameter (with value "SHA1") should be any of {SHA-256, SHA-384, SHA-512};$r6 = staticinvoke <java.security.MessageDigest: java.security.MessageDigest getInstance(java.lang.String)>(varReplacer7062)
IncompleteOperationError;e.d.a.j;byte[] i(java.lang.String,java.lang.String,byte[]);violating CrySL rule for java.security.MessageDigest (on Object #41f1a4a4c19182fc942e852eedeca497d8e6b8df67f27744e1ce1f2f823531cf);Operation on object of type java.security.MessageDigest object not completed. Expected call to digest, update;$r6 = staticinvoke <java.security.MessageDigest: java.security.MessageDigest getInstance(java.lang.String)>(varReplacer7062)
IncompleteOperationError;e.d.a.j;byte[] i(java.lang.String,java.lang.String,byte[]);violating CrySL rule for java.security.MessageDigest (on Object #41f1a4a4c19182fc942e852eedeca497d8e6b8df67f27744e1ce1f2f823531cf);Operation on object of type java.security.MessageDigest object not completed. Expected call to digest, update;$r6 = staticinvoke <java.security.MessageDigest: java.security.MessageDigest getInstance(java.lang.String)>(varReplacer7059)
ConstraintError;e.d.a.j;byte[] i(java.lang.String,java.lang.String,byte[]);violating CrySL rule for java.security.MessageDigest (on Object #add3f22e1fb9b44e1f151f1d0123858b757b88c0bc1953ef0e0add9996d0a0e7);First parameter (with value "MD5") should be any of {SHA-256, SHA-384, SHA-512};$r6 = staticinvoke <java.security.MessageDigest: java.security.MessageDigest getInstance(java.lang.String)>(varReplacer7059)
