ErrorType;Class;Method;ViolatedRule;Object;Statement
IncompleteOperationError;okio.HashingSink;void <init>(okio.Sink,java.lang.String);violating CrySL rule for java.security.MessageDigest (on Object #2025e0b02a8e24e1370d5de5705e26af2f09e78099520f62a4124efa92190bd7);Operation on object of type java.security.MessageDigest object not completed. Expected call to digest, update;staticinvoke <kotlin.jvm.internal.Intrinsics: void checkNotNullExpressionValue(java.lang.Object,java.lang.String)>($r2, varReplacer87497)
RequiredPredicateError;okhttp3.internal.platform.ConscryptPlatform;javax.net.ssl.SSLSocketFactory newSslSocketFactory(javax.net.ssl.X509TrustManager);violating CrySL rule for javax.net.ssl.SSLContext ;First parameter was not properly generated as generated Key Managers;virtualinvoke $r3.<javax.net.ssl.SSLContext: void init(javax.net.ssl.KeyManager[],javax.net.ssl.TrustManager[],java.security.SecureRandom)>(varReplacer95452, $r6, varReplacer95452)
RequiredPredicateError;okhttp3.internal.platform.ConscryptPlatform;javax.net.ssl.SSLSocketFactory newSslSocketFactory(javax.net.ssl.X509TrustManager);violating CrySL rule for javax.net.ssl.SSLContext ;Third parameter was not properly generated as randomized;virtualinvoke $r3.<javax.net.ssl.SSLContext: void init(javax.net.ssl.KeyManager[],javax.net.ssl.TrustManager[],java.security.SecureRandom)>(varReplacer95452, $r6, varReplacer95452)
RequiredPredicateError;okhttp3.internal.platform.ConscryptPlatform;javax.net.ssl.SSLSocketFactory newSslSocketFactory(javax.net.ssl.X509TrustManager);violating CrySL rule for javax.net.ssl.SSLContext ;Second parameter was not properly generated as generated Trust Managers;virtualinvoke $r3.<javax.net.ssl.SSLContext: void init(javax.net.ssl.KeyManager[],javax.net.ssl.TrustManager[],java.security.SecureRandom)>(varReplacer95452, $r6, varReplacer95452)
ConstraintError;okhttp3.internal.platform.ConscryptPlatform;javax.net.ssl.SSLSocketFactory newSslSocketFactory(javax.net.ssl.X509TrustManager);violating CrySL rule for javax.net.ssl.SSLContext (on Object #93b52fbefc9cea7bce6157b1bd7b9d5c456f04bf7cb40f25e020853b1cbb30fe);First parameter (with value "TLS") should be any of {TLSv1.2, TLSv1.3};$r3 = staticinvoke <javax.net.ssl.SSLContext: javax.net.ssl.SSLContext getInstance(java.lang.String,java.security.Provider)>(varReplacer95454, $r2)
ConstraintError;okhttp3.internal.platform.ConscryptPlatform;javax.net.ssl.SSLContext newSSLContext();violating CrySL rule for javax.net.ssl.SSLContext (on Object #91e41af405956c40acc2de95ef983ea470d8a37899fc08d9c3fc63438fffbec4);First parameter (with value "TLS") should be any of {TLSv1.2, TLSv1.3};$r1 = staticinvoke <javax.net.ssl.SSLContext: javax.net.ssl.SSLContext getInstance(java.lang.String,java.security.Provider)>(varReplacer117253, $r2)
RequiredPredicateError;okhttp3.internal.platform.ConscryptPlatform;javax.net.ssl.X509TrustManager platformTrustManager();violating CrySL rule for javax.net.ssl.TrustManagerFactory ;First parameter was not properly generated as generated Key Store;virtualinvoke $r2.<javax.net.ssl.TrustManagerFactory: void init(java.security.KeyStore)>(varReplacer95432)
ConstraintError;okio.HashingSource;void <init>(okio.Source,java.lang.String);violating CrySL rule for java.security.MessageDigest (on Object #8c4a042aba7694b5dfd45c504679bdf95bac1911038354b74b5cafd3f1b8b6cb);First parameter (with value "MD5") should be any of {SHA-256, SHA-384, SHA-512};$r2 = staticinvoke <java.security.MessageDigest: java.security.MessageDigest getInstance(java.lang.String)>($r3)
IncompleteOperationError;okio.HashingSource;long read(okio.Buffer,long);violating CrySL rule for java.security.MessageDigest (on Object #8c4a042aba7694b5dfd45c504679bdf95bac1911038354b74b5cafd3f1b8b6cb);Operation on object of type java.security.MessageDigest object not completed. Expected call to digest, update;$l1 = specialinvoke r0.<okio.ForwardingSource: long read(okio.Buffer,long)>($r1, $l1)
IncompleteOperationError;okhttp3.internal.http1.Http1ExchangeCodec$AbstractSource;long read(okio.Buffer,long);violating CrySL rule for java.security.MessageDigest (on Object #8c4a042aba7694b5dfd45c504679bdf95bac1911038354b74b5cafd3f1b8b6cb);Operation on object of type java.security.MessageDigest object not completed. Expected call to digest, update;virtualinvoke r0.<okhttp3.internal.http1.Http1ExchangeCodec$AbstractSource: void responseBodyComplete()>()
