ErrorType;Class;Method;ViolatedRule;Object;Statement
IncompleteOperationError;me.kuehle.carreport.util.sync.provider.WebDavSyncProvider;void a(android.accounts.Account,java.lang.String,java.lang.String,org.json.JSONObject);violating CrySL rule for java.security.cert.CertificateFactory (on Object #f372e42327b3b313cc3d7864f4634904c6cf16327872dc8772fcefd7f7143476);Operation on object of type java.security.cert.CertificateFactory object not completed. Expected call to generateCRL;$r10 = virtualinvoke $r7.<java.security.cert.CertificateFactory: java.security.cert.Certificate generateCertificate(java.io.InputStream)>($r8)
ConstraintError;me.kuehle.carreport.util.b.b;javax.net.ssl.SSLSocketFactory a(java.security.cert.X509Certificate);violating CrySL rule for javax.net.ssl.SSLContext (on Object #1f4a69aa3c038b4e2f6bc7ee136ed8d7318a7aa391e65507ffeafc307cd05237);First parameter (with value "TLS") should be any of {TLSv1.2, TLSv1.3};$r4 = staticinvoke <javax.net.ssl.SSLContext: javax.net.ssl.SSLContext getInstance(java.lang.String)>(varReplacer12597)
RequiredPredicateError;me.kuehle.carreport.util.b.b;javax.net.ssl.SSLSocketFactory a(java.security.cert.X509Certificate);violating CrySL rule for javax.net.ssl.SSLContext ;First parameter was not properly generated as generated Key Managers;virtualinvoke $r4.<javax.net.ssl.SSLContext: void init(javax.net.ssl.KeyManager[],javax.net.ssl.TrustManager[],java.security.SecureRandom)>(varReplacer12598, $r5, varReplacer12598)
RequiredPredicateError;me.kuehle.carreport.util.b.b;javax.net.ssl.SSLSocketFactory a(java.security.cert.X509Certificate);violating CrySL rule for javax.net.ssl.SSLContext ;Third parameter was not properly generated as randomized;virtualinvoke $r4.<javax.net.ssl.SSLContext: void init(javax.net.ssl.KeyManager[],javax.net.ssl.TrustManager[],java.security.SecureRandom)>(varReplacer12598, $r5, varReplacer12598)
ConstraintError;c.f;c.f d(java.lang.String);violating CrySL rule for java.security.MessageDigest (on Object #189fc3b1475a0a3e75ebb1e023f1b26aa8ad48c7cb93aaf516a568a716c4328c);First parameter (with value "SHA-1") should be any of {SHA-256, SHA-384, SHA-512};$r2 = staticinvoke <java.security.MessageDigest: java.security.MessageDigest getInstance(java.lang.String)>($r1)
ConstraintError;c.f;c.f d(java.lang.String);violating CrySL rule for java.security.MessageDigest (on Object #189fc3b1475a0a3e75ebb1e023f1b26aa8ad48c7cb93aaf516a568a716c4328c);First parameter (with value "MD5") should be any of {SHA-256, SHA-384, SHA-512};$r2 = staticinvoke <java.security.MessageDigest: java.security.MessageDigest getInstance(java.lang.String)>($r1)
RequiredPredicateError;com.dropbox.core.a.b;javax.net.ssl.SSLContext a(javax.net.ssl.TrustManager[]);violating CrySL rule for javax.net.ssl.SSLContext ;Second parameter was not properly generated as generated Trust Managers;virtualinvoke $r1.<javax.net.ssl.SSLContext: void init(javax.net.ssl.KeyManager[],javax.net.ssl.TrustManager[],java.security.SecureRandom)>(varReplacer14524, $r0, varReplacer14524)
RequiredPredicateError;com.dropbox.core.a.b;javax.net.ssl.SSLContext a(javax.net.ssl.TrustManager[]);violating CrySL rule for javax.net.ssl.SSLContext ;First parameter was not properly generated as generated Key Managers;virtualinvoke $r1.<javax.net.ssl.SSLContext: void init(javax.net.ssl.KeyManager[],javax.net.ssl.TrustManager[],java.security.SecureRandom)>(varReplacer14524, $r0, varReplacer14524)
RequiredPredicateError;com.dropbox.core.a.b;javax.net.ssl.SSLContext a(javax.net.ssl.TrustManager[]);violating CrySL rule for javax.net.ssl.SSLContext ;Third parameter was not properly generated as randomized;virtualinvoke $r1.<javax.net.ssl.SSLContext: void init(javax.net.ssl.KeyManager[],javax.net.ssl.TrustManager[],java.security.SecureRandom)>(varReplacer14524, $r0, varReplacer14524)
ConstraintError;com.dropbox.core.a.b;javax.net.ssl.SSLContext a(javax.net.ssl.TrustManager[]);violating CrySL rule for javax.net.ssl.SSLContext (on Object #7ef5f902c0c5f8dc7fb3180998d5664e4cdf33095f1389cacaa6406dd9a9c34c);First parameter (with value "TLS") should be any of {TLSv1.2, TLSv1.3};$r1 = staticinvoke <javax.net.ssl.SSLContext: javax.net.ssl.SSLContext getInstance(java.lang.String)>(varReplacer14523)
