ErrorType;Class;Method;ViolatedRule;Object;Statement
ConstraintError;org.eclipse.paho.client.mqttv3.internal.websocket.WebSocketHandshake;byte[] sha1(java.lang.String);violating CrySL rule for java.security.MessageDigest (on Object #626b28da99348fec51d74caf615152bd0195f9fc331275b4c5829d31d5218479);First parameter (with value "SHA1") should be any of {SHA-256, SHA-384, SHA-512};$r2 = staticinvoke <java.security.MessageDigest: java.security.MessageDigest getInstance(java.lang.String)>(varReplacer5254)
NeverTypeOfError;org.eclipse.paho.client.mqttv3.internal.security.SSLSocketFactoryFactory;javax.net.ssl.SSLContext getSSLContext(java.lang.String);violating CrySL rule for java.security.KeyStore (on Object #5149894d05ef20df222d58c4a033421d6302e35e69a14f445f906bc16807ea17);Second parameter should never be of type java.lang.String.;virtualinvoke $r14.<java.security.KeyStore: void load(java.io.InputStream,char[])>($r15, $r10)
HardCodedError;org.eclipse.paho.client.mqttv3.internal.security.SSLSocketFactoryFactory;javax.net.ssl.SSLContext getSSLContext(java.lang.String);violating CrySL rule for java.security.KeyStore (on Object #5149894d05ef20df222d58c4a033421d6302e35e69a14f445f906bc16807ea17);Second parameter should never be hardcoded.;virtualinvoke $r14.<java.security.KeyStore: void load(java.io.InputStream,char[])>($r15, $r10)
NeverTypeOfError;org.eclipse.paho.client.mqttv3.internal.security.SSLSocketFactoryFactory;javax.net.ssl.SSLContext getSSLContext(java.lang.String);violating CrySL rule for java.security.KeyStore (on Object #5149894d05ef20df222d58c4a033421d6302e35e69a14f445f906bc16807ea17);Second parameter should never be of type java.lang.String.;virtualinvoke $r14.<java.security.KeyStore: void load(java.io.InputStream,char[])>($r15, $r10)
HardCodedError;org.eclipse.paho.client.mqttv3.internal.security.SSLSocketFactoryFactory;javax.net.ssl.SSLContext getSSLContext(java.lang.String);violating CrySL rule for java.security.KeyStore (on Object #5149894d05ef20df222d58c4a033421d6302e35e69a14f445f906bc16807ea17);Second parameter should never be hardcoded.;virtualinvoke $r14.<java.security.KeyStore: void load(java.io.InputStream,char[])>($r15, $r10)
RequiredPredicateError;org.eclipse.paho.client.mqttv3.internal.security.SSLSocketFactoryFactory;javax.net.ssl.SSLContext getSSLContext(java.lang.String);violating CrySL rule for javax.net.ssl.SSLContext ;Second parameter was not properly generated as generated Trust Managers;virtualinvoke $r7.<javax.net.ssl.SSLContext: void init(javax.net.ssl.KeyManager[],javax.net.ssl.TrustManager[],java.security.SecureRandom)>($r17, $r25, varReplacer6566)
RequiredPredicateError;org.eclipse.paho.client.mqttv3.internal.security.SSLSocketFactoryFactory;javax.net.ssl.SSLContext getSSLContext(java.lang.String);violating CrySL rule for javax.net.ssl.SSLContext ;Third parameter was not properly generated as randomized;virtualinvoke $r7.<javax.net.ssl.SSLContext: void init(javax.net.ssl.KeyManager[],javax.net.ssl.TrustManager[],java.security.SecureRandom)>($r17, $r25, varReplacer6566)
RequiredPredicateError;org.eclipse.paho.client.mqttv3.internal.security.SSLSocketFactoryFactory;javax.net.ssl.SSLContext getSSLContext(java.lang.String);violating CrySL rule for javax.net.ssl.TrustManagerFactory ;First parameter was not properly generated as generated Key Store;virtualinvoke $r24.<javax.net.ssl.TrustManagerFactory: void init(java.security.KeyStore)>($r14)
RequiredPredicateError;org.eclipse.paho.client.mqttv3.internal.security.SSLSocketFactoryFactory;javax.net.ssl.SSLContext getSSLContext(java.lang.String);violating CrySL rule for javax.net.ssl.SSLContext ;First parameter was not properly generated as generated Key Managers;virtualinvoke $r7.<javax.net.ssl.SSLContext: void init(javax.net.ssl.KeyManager[],javax.net.ssl.TrustManager[],java.security.SecureRandom)>($r17, $r25, varReplacer6566)
NeverTypeOfError;org.eclipse.paho.client.mqttv3.internal.security.SSLSocketFactoryFactory;javax.net.ssl.SSLContext getSSLContext(java.lang.String);violating CrySL rule for javax.net.ssl.KeyManagerFactory (on Object #3502fa758305a1dec42a6535b8ce8189f7707f9bdc917efceea97f5a2943e84d);Second parameter should never be of type java.lang.String.;virtualinvoke $r16.<javax.net.ssl.KeyManagerFactory: void init(java.security.KeyStore,char[])>($r14, $r10)
HardCodedError;org.eclipse.paho.client.mqttv3.internal.security.SSLSocketFactoryFactory;javax.net.ssl.SSLContext getSSLContext(java.lang.String);violating CrySL rule for javax.net.ssl.KeyManagerFactory (on Object #3502fa758305a1dec42a6535b8ce8189f7707f9bdc917efceea97f5a2943e84d);Second parameter should never be hardcoded.;virtualinvoke $r16.<javax.net.ssl.KeyManagerFactory: void init(java.security.KeyStore,char[])>($r14, $r10)
NeverTypeOfError;org.eclipse.paho.client.mqttv3.internal.security.SSLSocketFactoryFactory;javax.net.ssl.SSLContext getSSLContext(java.lang.String);violating CrySL rule for java.security.KeyStore (on Object #5149894d05ef20df222d58c4a033421d6302e35e69a14f445f906bc16807ea17);Second parameter should never be of type java.lang.String.;virtualinvoke $r14.<java.security.KeyStore: void load(java.io.InputStream,char[])>($r15, $r10)
HardCodedError;org.eclipse.paho.client.mqttv3.internal.security.SSLSocketFactoryFactory;javax.net.ssl.SSLContext getSSLContext(java.lang.String);violating CrySL rule for java.security.KeyStore (on Object #5149894d05ef20df222d58c4a033421d6302e35e69a14f445f906bc16807ea17);Second parameter should never be hardcoded.;virtualinvoke $r14.<java.security.KeyStore: void load(java.io.InputStream,char[])>($r15, $r10)
NeverTypeOfError;org.eclipse.paho.client.mqttv3.internal.security.SSLSocketFactoryFactory;javax.net.ssl.SSLContext getSSLContext(java.lang.String);violating CrySL rule for javax.net.ssl.KeyManagerFactory (on Object #3502fa758305a1dec42a6535b8ce8189f7707f9bdc917efceea97f5a2943e84d);Second parameter should never be of type java.lang.String.;virtualinvoke $r16.<javax.net.ssl.KeyManagerFactory: void init(java.security.KeyStore,char[])>($r14, $r10)
HardCodedError;org.eclipse.paho.client.mqttv3.internal.security.SSLSocketFactoryFactory;javax.net.ssl.SSLContext getSSLContext(java.lang.String);violating CrySL rule for javax.net.ssl.KeyManagerFactory (on Object #3502fa758305a1dec42a6535b8ce8189f7707f9bdc917efceea97f5a2943e84d);Second parameter should never be hardcoded.;virtualinvoke $r16.<javax.net.ssl.KeyManagerFactory: void init(java.security.KeyStore,char[])>($r14, $r10)
RequiredPredicateError;org.eclipse.paho.client.mqttv3.internal.security.SSLSocketFactoryFactory;javax.net.ssl.SSLContext getSSLContext(java.lang.String);violating CrySL rule for javax.net.ssl.KeyManagerFactory ;First parameter was not properly generated as generated Key Store;virtualinvoke $r16.<javax.net.ssl.KeyManagerFactory: void init(java.security.KeyStore,char[])>($r14, $r10)
