ErrorType;Class;Method;ViolatedRule;Object;Statement
ForbiddenMethodError;org.bouncycastle.openssl.PKCS8Generator;org.bouncycastle.util.io.pem.PemObject generate();violating CrySL rule for javax.crypto.spec.PBEKeySpec ;Detected call to forbidden method void <init>(char[]) of class javax.crypto.spec.PBEKeySpec. Instead, call method <javax.crypto.spec.PBEKeySpec: void <init>(char[],byte[],int,int)>.;specialinvoke $r46.<javax.crypto.spec.PBEKeySpec: void <init>(char[])>($r8)
ConstraintError;de.nulide.findmydevice.utils.PatchedVolley;com.android.volley.RequestQueue newRequestQueue(android.content.Context);violating CrySL rule for javax.net.ssl.SSLContext (on Object #51daf68adf83a4f57e7ec5865269043b45baa5b73909af5960b78b1cb6c0d61b);First parameter (with value "TLS") should be any of {TLSv1.2, TLSv1.3};$r13 = staticinvoke <javax.net.ssl.SSLContext: javax.net.ssl.SSLContext getInstance(java.lang.String)>(varReplacer2383)
IncompleteOperationError;de.nulide.findmydevice.utils.PatchedVolley;com.android.volley.RequestQueue newRequestQueue(android.content.Context);violating CrySL rule for java.security.cert.CertificateFactory (on Object #5e3f3568e5fc69b54ac1f1338dfdf3e2bd53afbca5854f27d0d974ed941bcde2);Operation on object of type java.security.cert.CertificateFactory object not completed. Expected call to generateCRL;$r6 = virtualinvoke $r3.<java.security.cert.CertificateFactory: java.security.cert.Certificate generateCertificate(java.io.InputStream)>($r4)
ConstraintError;de.nulide.findmydevice.utils.PatchedVolley;com.android.volley.RequestQueue newRequestQueue(android.content.Context);violating CrySL rule for java.security.KeyStore (on Object #1d2ca98df82df8937cb6f913985a1f353dfd8e291f18cd8a0ae2bc486ea28b1c);First parameter (with value "AndroidCAStore") should be any of {JCEKS, JKS, DKS, PKCS11, PKCS12};$r7 = staticinvoke <java.security.KeyStore: java.security.KeyStore getInstance(java.lang.String)>(varReplacer2381)
RequiredPredicateError;de.nulide.findmydevice.utils.PatchedVolley;com.android.volley.RequestQueue newRequestQueue(android.content.Context);violating CrySL rule for javax.net.ssl.SSLContext ;First parameter was not properly generated as generated Key Managers;virtualinvoke $r13.<javax.net.ssl.SSLContext: void init(javax.net.ssl.KeyManager[],javax.net.ssl.TrustManager[],java.security.SecureRandom)>(varReplacer2373, $r12, varReplacer2373)
RequiredPredicateError;de.nulide.findmydevice.utils.PatchedVolley;com.android.volley.RequestQueue newRequestQueue(android.content.Context);violating CrySL rule for javax.net.ssl.SSLContext ;Third parameter was not properly generated as randomized;virtualinvoke $r13.<javax.net.ssl.SSLContext: void init(javax.net.ssl.KeyManager[],javax.net.ssl.TrustManager[],java.security.SecureRandom)>(varReplacer2373, $r12, varReplacer2373)
RequiredPredicateError;de.nulide.findmydevice.utils.CypherUtils;byte[] encryptWithKey(java.security.PublicKey,java.lang.String);violating CrySL rule for javax.crypto.Cipher ;Second parameter was not properly generated as generated Key;virtualinvoke $r2.<javax.crypto.Cipher: void init(int,java.security.Key)>(varReplacer20842, $r1)
TypestateError;de.nulide.findmydevice.utils.CypherUtils;byte[] encryptWithKey(java.security.PublicKey,java.lang.String);violating CrySL rule for javax.crypto.Cipher (on Object #6335721ab1385aba80f4b9431bbf73b21455334e08e81af5e2a99a46bb576d61);Unexpected call to method doFinal on object of type javax.crypto.Cipher. Expect a call to one of the following methods init,updateAAD;$r3 = virtualinvoke $r2.<javax.crypto.Cipher: byte[] doFinal(byte[])>($r3)
RequiredPredicateError;de.nulide.findmydevice.utils.CypherUtils;java.lang.String hashWithPKBDF2(java.lang.String);violating CrySL rule for javax.crypto.SecretKeyFactory ;First parameter was not properly generated as specced Key;$r5 = virtualinvoke $r4.<javax.crypto.SecretKeyFactory: javax.crypto.SecretKey generateSecret(java.security.spec.KeySpec)>($r2)
RequiredPredicateError;de.nulide.findmydevice.utils.CypherUtils;java.lang.String hashWithPKBDF2(java.lang.String);violating CrySL rule for javax.crypto.spec.PBEKeySpec ;Second parameter was not properly generated as randomized;specialinvoke $r8.<javax.crypto.spec.PBEKeySpec: void <init>(char[],byte[],int,int)>($r3, $r1, $i1, $i0)
NeverTypeOfError;de.nulide.findmydevice.utils.CypherUtils;java.lang.String hashWithPKBDF2(java.lang.String);violating CrySL rule for javax.crypto.spec.PBEKeySpec (on Object #286e8deb617bb7673c9f0b4c9d1a0623947d05364b94e9879f405feecbbb17a8);First parameter should never be of type java.lang.String.;specialinvoke $r8.<javax.crypto.spec.PBEKeySpec: void <init>(char[],byte[],int,int)>($r3, $r1, $i1, $i0)
HardCodedError;de.nulide.findmydevice.utils.CypherUtils;java.lang.String hashWithPKBDF2(java.lang.String);violating CrySL rule for javax.crypto.spec.PBEKeySpec (on Object #286e8deb617bb7673c9f0b4c9d1a0623947d05364b94e9879f405feecbbb17a8);First parameter should never be hardcoded.;specialinvoke $r8.<javax.crypto.spec.PBEKeySpec: void <init>(char[],byte[],int,int)>($r3, $r1, $i1, $i0)
IncompleteOperationError;de.nulide.findmydevice.utils.CypherUtils;java.lang.String hashWithPKBDF2(java.lang.String);violating CrySL rule for javax.crypto.spec.PBEKeySpec (on Object #286e8deb617bb7673c9f0b4c9d1a0623947d05364b94e9879f405feecbbb17a8);Operation on object of type javax.crypto.spec.PBEKeySpec object not completed. Expected call to clearPassword;specialinvoke $r8.<javax.crypto.spec.PBEKeySpec: void <init>(char[],byte[],int,int)>($r3, $r1, $i1, $i0)
ConstraintError;de.nulide.findmydevice.utils.CypherUtils;java.lang.String hashWithPKBDF2(java.lang.String);violating CrySL rule for javax.crypto.SecretKeyFactory (on Object #d91e4de3f59eaaf07ed7da84b723f5ebade01746796954a070f9174272b0b635);First parameter (with value "PBKDF2WithHmacSHA1") should be any of {PBKDF2WithHmacSHA512, PBKDF2WithHmacSHA384, PBKDF2WithHmacSHA256, PBKDF2WithHmacSHA224, PBEWithHmacSHA512AndAES_128, PBEWithHmacSHA384AndAES_128, PBEWithHmacSHA384AndAES_128, PBEWithHmacSHA224AndAES_128, PBEWithHmacSHA256AndAES_128, PBEWithHmacSHA224AndAES_256, PBEWithHmacSHA256AndAES_256, PBEWithHmacSHA384AndAES_256, PBEWithHmacSHA512AndAES_256};$r4 = staticinvoke <javax.crypto.SecretKeyFactory: javax.crypto.SecretKeyFactory getInstance(java.lang.String)>(varReplacer31793)
TypestateError;de.nulide.findmydevice.utils.CypherUtils;java.security.KeyPair genKeyPair();violating CrySL rule for java.security.KeyPairGenerator (on Object #a6a84e2b512e886318b885c4d54282596085bd5f59b79023ad175bfcb5d9adb1);Unexpected call to method generateKeyPair on object of type java.security.KeyPairGenerator. Expect a call to one of the following methods initialize;$r2 = virtualinvoke $r0.<java.security.KeyPairGenerator: java.security.KeyPair generateKeyPair()>()
IncompleteOperationError;de.nulide.findmydevice.utils.CypherUtils;java.security.KeyPair genKeyPair();violating CrySL rule for java.security.KeyPairGenerator (on Object #a6a84e2b512e886318b885c4d54282596085bd5f59b79023ad175bfcb5d9adb1);Operation on object of type java.security.KeyPairGenerator object not completed. Expected call to genKeyPair, java.security.KeyPairGenerator: java.security.KeyPair generateKeyPair(), initialize, java.security.KeyPairGeneratorSpi: java.security.KeyPair generateKeyPair();$r2 = virtualinvoke $r0.<java.security.KeyPairGenerator: java.security.KeyPair generateKeyPair()>()
ConstraintError;de.nulide.findmydevice.utils.CypherUtils;java.security.KeyPair genKeyPair();violating CrySL rule for java.security.KeyPairGenerator (on Object #a6a84e2b512e886318b885c4d54282596085bd5f59b79023ad175bfcb5d9adb1);First parameter (with value 1024) should be any of {4096, 3072, 2048};virtualinvoke $r0.<java.security.KeyPairGenerator: void initialize(int,java.security.SecureRandom)>(varReplacer31802, $r1)
RequiredPredicateError;de.nulide.findmydevice.utils.CypherUtils;java.lang.String encryptWithAES(byte[],java.lang.String);violating CrySL rule for javax.crypto.spec.SecretKeySpec ;First parameter was not properly generated as prepared Key Material;specialinvoke $r20.<javax.crypto.spec.SecretKeySpec: void <init>(byte[],java.lang.String)>($r2, varReplacer31807)
RequiredPredicateError;de.nulide.findmydevice.utils.CypherUtils;java.lang.String encryptWithAES(byte[],java.lang.String);violating CrySL rule for javax.crypto.Cipher ;Second parameter was not properly generated as generated Key;virtualinvoke $r10.<javax.crypto.Cipher: void init(int,java.security.Key,java.security.spec.AlgorithmParameterSpec)>(varReplacer31806, $r8, $r11)
IncompleteOperationError;de.nulide.findmydevice.utils.CypherUtils;java.lang.String encryptWithAES(byte[],java.lang.String);violating CrySL rule for javax.crypto.spec.PBEKeySpec (on Object #fd3f4f688b0dbb3a1a42dc54aa2cfef8dbfc95d6c63859f1374c3de61ff3c7ba);Operation on object of type javax.crypto.spec.PBEKeySpec object not completed. Expected call to clearPassword;specialinvoke $r19.<javax.crypto.spec.PBEKeySpec: void <init>(char[],byte[],int,int)>($r7, $r2, $i1, $i0)
RequiredPredicateError;de.nulide.findmydevice.utils.CypherUtils;java.lang.String encryptWithAES(byte[],java.lang.String);violating CrySL rule for javax.crypto.SecretKeyFactory ;First parameter was not properly generated as specced Key;$r9 = virtualinvoke $r5.<javax.crypto.SecretKeyFactory: javax.crypto.SecretKey generateSecret(java.security.spec.KeySpec)>($r6)
NeverTypeOfError;de.nulide.findmydevice.utils.CypherUtils;java.lang.String encryptWithAES(byte[],java.lang.String);violating CrySL rule for javax.crypto.spec.PBEKeySpec (on Object #fd3f4f688b0dbb3a1a42dc54aa2cfef8dbfc95d6c63859f1374c3de61ff3c7ba);First parameter should never be of type java.lang.String.;specialinvoke $r19.<javax.crypto.spec.PBEKeySpec: void <init>(char[],byte[],int,int)>($r7, $r2, $i1, $i0)
HardCodedError;de.nulide.findmydevice.utils.CypherUtils;java.lang.String encryptWithAES(byte[],java.lang.String);violating CrySL rule for javax.crypto.spec.PBEKeySpec (on Object #fd3f4f688b0dbb3a1a42dc54aa2cfef8dbfc95d6c63859f1374c3de61ff3c7ba);First parameter should never be hardcoded.;specialinvoke $r19.<javax.crypto.spec.PBEKeySpec: void <init>(char[],byte[],int,int)>($r7, $r2, $i1, $i0)
RequiredPredicateError;de.nulide.findmydevice.utils.CypherUtils;java.lang.String encryptWithAES(byte[],java.lang.String);violating CrySL rule for javax.crypto.spec.IvParameterSpec ;First parameter was not properly generated as randomized;specialinvoke $r21.<javax.crypto.spec.IvParameterSpec: void <init>(byte[])>($r2)
