ErrorType;Class;Method;ViolatedRule;Object;Statement
ConstraintError;h.c.e.a$b;void run();violating CrySL rule for java.security.MessageDigest (on Object #b39f55ad05e77b18ac6202f3c4747b3d776607f48a47645cf441b119bb665013);First parameter (with value "SHA") should be any of {SHA-256, SHA-384, SHA-512};$r8 = staticinvoke <java.security.MessageDigest: java.security.MessageDigest getInstance(java.lang.String)>(varReplacer423)
ConstraintError;opencontacts.open.com.opencontacts.utils.NetworkUtils;k.a0$a getUnsafeOkHttpClientBuilder();violating CrySL rule for javax.net.ssl.SSLContext (on Object #da6e3c88631ee81573cab59890174f438188e346d95821aaa4dbe2812479dcad);First parameter (with value "SSL") should be any of {TLSv1.2, TLSv1.3};$r3 = staticinvoke <javax.net.ssl.SSLContext: javax.net.ssl.SSLContext getInstance(java.lang.String)>(varReplacer7229)
RequiredPredicateError;opencontacts.open.com.opencontacts.utils.NetworkUtils;k.a0$a getUnsafeOkHttpClientBuilder();violating CrySL rule for javax.net.ssl.SSLContext ;Third parameter was not properly generated as randomized;virtualinvoke $r3.<javax.net.ssl.SSLContext: void init(javax.net.ssl.KeyManager[],javax.net.ssl.TrustManager[],java.security.SecureRandom)>(varReplacer7230, $r14, $r0)
RequiredPredicateError;opencontacts.open.com.opencontacts.utils.NetworkUtils;k.a0$a getUnsafeOkHttpClientBuilder();violating CrySL rule for javax.net.ssl.SSLContext ;Second parameter was not properly generated as generated Trust Managers;virtualinvoke $r3.<javax.net.ssl.SSLContext: void init(javax.net.ssl.KeyManager[],javax.net.ssl.TrustManager[],java.security.SecureRandom)>(varReplacer7230, $r14, $r0)
RequiredPredicateError;opencontacts.open.com.opencontacts.utils.NetworkUtils;k.a0$a getUnsafeOkHttpClientBuilder();violating CrySL rule for javax.net.ssl.SSLContext ;First parameter was not properly generated as generated Key Managers;virtualinvoke $r3.<javax.net.ssl.SSLContext: void init(javax.net.ssl.KeyManager[],javax.net.ssl.TrustManager[],java.security.SecureRandom)>(varReplacer7230, $r14, $r0)
ConstraintError;k.i0.j.h;javax.net.ssl.SSLContext m();violating CrySL rule for javax.net.ssl.SSLContext (on Object #3df76565133582fc924a64ac24aae8e928f166abdbca15b82531264743b12d9b);First parameter (with value "TLS") should be any of {TLSv1.2, TLSv1.3};$r1 = staticinvoke <javax.net.ssl.SSLContext: javax.net.ssl.SSLContext getInstance(java.lang.String)>(varReplacer18427)
RequiredPredicateError;k.i0.j.h;javax.net.ssl.SSLSocketFactory n(javax.net.ssl.X509TrustManager);violating CrySL rule for javax.net.ssl.SSLContext ;Second parameter was not properly generated as generated Trust Managers;virtualinvoke $r2.<javax.net.ssl.SSLContext: void init(javax.net.ssl.KeyManager[],javax.net.ssl.TrustManager[],java.security.SecureRandom)>(varReplacer16439, $r10, varReplacer16439)
RequiredPredicateError;k.i0.j.h;javax.net.ssl.SSLSocketFactory n(javax.net.ssl.X509TrustManager);violating CrySL rule for javax.net.ssl.SSLContext ;Third parameter was not properly generated as randomized;virtualinvoke $r2.<javax.net.ssl.SSLContext: void init(javax.net.ssl.KeyManager[],javax.net.ssl.TrustManager[],java.security.SecureRandom)>(varReplacer16439, $r10, varReplacer16439)
RequiredPredicateError;k.i0.j.h;javax.net.ssl.SSLSocketFactory n(javax.net.ssl.X509TrustManager);violating CrySL rule for javax.net.ssl.SSLContext ;First parameter was not properly generated as generated Key Managers;virtualinvoke $r2.<javax.net.ssl.SSLContext: void init(javax.net.ssl.KeyManager[],javax.net.ssl.TrustManager[],java.security.SecureRandom)>(varReplacer16439, $r10, varReplacer16439)
RequiredPredicateError;k.i0.j.h;javax.net.ssl.X509TrustManager o();violating CrySL rule for javax.net.ssl.TrustManagerFactory ;First parameter was not properly generated as generated Key Store;virtualinvoke $r2.<javax.net.ssl.TrustManagerFactory: void init(java.security.KeyStore)>(varReplacer16419)
