ErrorType;Class;Method;ViolatedRule;Object;Statement
IncompleteOperationError;org.briarproject.briar.android.ScreenFilterMonitorImpl;boolean isPlayServices(java.lang.String);violating CrySL rule for java.security.cert.CertificateFactory (on Object #d302da0f72b6e476fa4a6a6b923764db4663b2d9730169d59aa4463a55646891);Operation on object of type java.security.cert.CertificateFactory object not completed. Expected call to generateCRL;$r10 = virtualinvoke $r6.<java.security.cert.CertificateFactory: java.security.cert.Certificate generateCertificate(java.io.InputStream)>($r9)
ConstraintError;okhttp3.internal.platform.Platform;javax.net.ssl.SSLContext getSSLContext();violating CrySL rule for javax.net.ssl.SSLContext (on Object #36181bf6ae428ed527a3f03c6e1546d0a81ec17df200472467592c084f6669fd);First parameter (with value "TLS") should be any of {TLSv1.2, TLSv1.3};$r4 = staticinvoke <javax.net.ssl.SSLContext: javax.net.ssl.SSLContext getInstance(java.lang.String)>(varReplacer37344)
ConstraintError;okhttp3.internal.platform.AndroidPlatform;javax.net.ssl.SSLContext getSSLContext();violating CrySL rule for javax.net.ssl.SSLContext (on Object #88c6a663118ab6eca56fb44821b77f07937b6ddf8c7277d3f2e429b20179351e);First parameter (with value "TLS") should be any of {TLSv1.2, TLSv1.3};$r3 = staticinvoke <javax.net.ssl.SSLContext: javax.net.ssl.SSLContext getInstance(java.lang.String)>(varReplacer37348)
ConstraintError;okhttp3.internal.platform.ConscryptPlatform;javax.net.ssl.SSLContext getSSLContext();violating CrySL rule for javax.net.ssl.SSLContext (on Object #12c38d178c00b023fd118417bc846a2b9e9ee27f76f06f18a8cd3429d32de263);First parameter (with value "TLS") should be any of {TLSv1.2, TLSv1.3};$r3 = staticinvoke <javax.net.ssl.SSLContext: javax.net.ssl.SSLContext getInstance(java.lang.String,java.security.Provider)>(varReplacer37350, $r2)
IncompleteOperationError;net.i2p.crypto.eddsa.spec.EdDSAParameterSpec;void <init>(net.i2p.crypto.eddsa.math.Curve,java.lang.String,net.i2p.crypto.eddsa.math.ScalarOps,net.i2p.crypto.eddsa.math.GroupElement);violating CrySL rule for java.security.MessageDigest (on Object #e2a7fde5e14223557a76ad0c1c621daab6834282af96171dab264b22557dc255);Operation on object of type java.security.MessageDigest object not completed. Expected call to digest, update;$i1 = virtualinvoke $r7.<java.security.MessageDigest: int getDigestLength()>()
ConstraintError;org.briarproject.bramble.crypto.EdSignature;void <init>();violating CrySL rule for java.security.Signature (on Object #f76a1357408a5d28ad3914c9c800f0531ea10dd3f0e1ad3433c12516a130ec44);First parameter (with value "NONEwithEdDSA") should be any of {SHA256withRSA, SHA256withECDSA, SHA256withDSA, SHA384withRSA, SHA512withRSA, SHA384withECDSA, SHA512withECDSA};$r1 = staticinvoke <java.security.Signature: java.security.Signature getInstance(java.lang.String,java.security.Provider)>(varReplacer38747, $r2)
RequiredPredicateError;org.briarproject.bramble.crypto.EdSignature;void initSign(org.briarproject.bramble.api.crypto.PrivateKey);violating CrySL rule for java.security.Signature ;First parameter was not properly generated as generated Privkey;virtualinvoke $r7.<java.security.Signature: void initSign(java.security.PrivateKey)>($r4)
RequiredPredicateError;org.briarproject.bramble.crypto.EdSignature;void initVerify(org.briarproject.bramble.api.crypto.PublicKey);violating CrySL rule for java.security.Signature ;First parameter was not properly generated as generated Pubkey;virtualinvoke $r7.<java.security.Signature: void initVerify(java.security.PublicKey)>($r4)
NeverTypeOfError;org.h2.security.CipherFactory;java.security.KeyStore getKeyStore(java.lang.String);violating CrySL rule for java.security.KeyStore (on Object #ce0707c76be59a3c4770b9e9643f9d4a7c415a8d662b2e9c306dd6956abd931);Second parameter should never be of type java.lang.String.;virtualinvoke $r3.<java.security.KeyStore: void load(java.io.InputStream,char[])>(varReplacer40996, $r4)
HardCodedError;org.h2.security.CipherFactory;java.security.KeyStore getKeyStore(java.lang.String);violating CrySL rule for java.security.KeyStore (on Object #ce0707c76be59a3c4770b9e9643f9d4a7c415a8d662b2e9c306dd6956abd931);Second parameter should never be hardcoded.;virtualinvoke $r3.<java.security.KeyStore: void load(java.io.InputStream,char[])>(varReplacer40996, $r4)
