ErrorType;Class;Method;ViolatedRule;Object;Statement
TypestateError;freenet.keys.InsertableClientSSK;freenet.keys.ClientSSKBlock encode(freenet.support.api.Bucket,boolean,boolean,short,long,freenet.crypt.RandomSource,java.lang.String);violating CrySL rule for java.security.MessageDigest (on Object #68baaef030d7058b1cb4777badc1fbee87cbeda0ec83747d7f260d7fd7d11393);Unexpected call to method <java.security.MessageDigest: byte[] digest()> on object of type java.security.MessageDigest. Expect a call to one of the following methods java.security.MessageDigest: void update(byte[],int,int),java.security.MessageDigest: void update(java.nio.ByteBuffer),java.security.MessageDigest: byte[] digest(byte[]),java.security.MessageDigest: void update(byte[]),java.security.MessageDigest: void update(byte);$r8 = virtualinvoke $r7.<java.security.MessageDigest: byte[] digest()>()
TypestateError;freenet.keys.ClientCHKBlock;freenet.keys.ClientCHKBlock encode(freenet.support.api.Bucket,boolean,boolean,short,long,java.lang.String,byte[],byte,boolean);violating CrySL rule for java.security.MessageDigest (on Object #68baaef030d7058b1cb4777badc1fbee87cbeda0ec83747d7f260d7fd7d11393);Unexpected call to method <java.security.MessageDigest: byte[] digest()> on object of type java.security.MessageDigest. Expect a call to one of the following methods java.security.MessageDigest: void update(byte[],int,int),java.security.MessageDigest: void update(java.nio.ByteBuffer),java.security.MessageDigest: byte[] digest(byte[]),java.security.MessageDigest: void update(byte[]),java.security.MessageDigest: void update(byte);$r6 = virtualinvoke $r5.<java.security.MessageDigest: byte[] digest()>()
IncompleteOperationError;freenet.keys.ClientCHKBlock;freenet.keys.ClientCHKBlock encodeSplitfileBlock(byte[],byte[],byte);violating CrySL rule for java.security.MessageDigest (on Object #68baaef030d7058b1cb4777badc1fbee87cbeda0ec83747d7f260d7fd7d11393);Operation on object of type java.security.MessageDigest object not completed. Expected call to update, java.security.MessageDigest: byte[] digest(byte[]);$r1 = virtualinvoke $r3.<java.security.MessageDigest: byte[] digest(byte[])>($r0)
IncompleteOperationError;freenet.keys.ClientCHKBlock;freenet.keys.ClientCHKBlock encodeSplitfileBlock(byte[],byte[],byte);violating CrySL rule for java.security.MessageDigest (on Object #68baaef030d7058b1cb4777badc1fbee87cbeda0ec83747d7f260d7fd7d11393);Operation on object of type java.security.MessageDigest object not completed. Expected call to digest, update;$r3 = staticinvoke <freenet.crypt.SHA256: java.security.MessageDigest getMessageDigest()>()
RequiredPredicateError;freenet.keys.ClientCHKBlock;long benchmark(javax.crypto.Mac);violating CrySL rule for javax.crypto.spec.SecretKeySpec ;First parameter was not properly generated as prepared Key Material;specialinvoke $r5.<javax.crypto.spec.SecretKeySpec: void <init>(byte[],java.lang.String)>($r3, $r4)
TypestateError;freenet.keys.ClientCHKBlock;long benchmark(javax.crypto.Mac);violating CrySL rule for javax.crypto.Mac (on Object #a34c671251d07b3a6f6146af3ac9ed6fb95545915d9d83f593d7ef2e914fe0e2);Unexpected call to method init on object of type javax.crypto.Mac. Expect a call to one of the following methods update,doFinal;virtualinvoke $r0.<javax.crypto.Mac: void init(java.security.Key)>($r5)
TypestateError;freenet.keys.ClientCHKBlock;long benchmark(javax.crypto.Mac);violating CrySL rule for javax.crypto.Mac (on Object #b023bfd30e3c8577249ebdd9f90e38bdd6db349e834c6e48522da0b123bc1a28);Unexpected call to method init on object of type javax.crypto.Mac. Expect a call to one of the following methods update,doFinal;virtualinvoke $r0.<javax.crypto.Mac: void init(java.security.Key)>($r5)
RequiredPredicateError;freenet.keys.ClientCHKBlock;void <clinit>();violating CrySL rule for javax.crypto.spec.SecretKeySpec ;First parameter was not properly generated as prepared Key Material;specialinvoke $r1.<javax.crypto.spec.SecretKeySpec: void <init>(byte[],java.lang.String)>($r2, varReplacer27067)
IncompleteOperationError;freenet.keys.ClientCHKBlock;void <clinit>();violating CrySL rule for javax.crypto.Mac (on Object #a34c671251d07b3a6f6146af3ac9ed6fb95545915d9d83f593d7ef2e914fe0e2);Operation on object of type javax.crypto.Mac object not completed. Expected call to update, doFinal;$r0 = virtualinvoke $r4.<javax.crypto.Mac: java.security.Provider getProvider()>()
TypestateError;freenet.keys.ClientCHKBlock;freenet.keys.ClientCHKBlock encodeNew(byte[],int,java.security.MessageDigest,byte[],boolean,short,byte,int);violating CrySL rule for javax.crypto.Cipher (on Object #ab12c11a5f74f3baf8e3c9a4a177cfdce9c941d4e111ac43369a4bec7179b1d6);Unexpected call to method update on object of type javax.crypto.Cipher. Expect a call to one of the following methods init,updateAAD;$i0 = virtualinvoke $r10.<javax.crypto.Cipher: int update(byte[],int,int,byte[])>($r0, varReplacer27135, $i0, $r4)
