ErrorType;Class;Method;ViolatedRule;Object;Statement
IncompleteOperationError;androidx.lifecycle.LiveData;void f(androidx.lifecycle.s,androidx.lifecycle.a0);violating CrySL rule for javax.crypto.Cipher (on Object #d334516857c3445bd91706cc286d2c922dafae10aea435d95095bdcc47d0bd6f);Operation on object of type javax.crypto.Cipher object not completed. Expected call to init;$r8 = virtualinvoke $r7.<m.b: java.lang.Object d(java.lang.Object,java.lang.Object)>($r2, $r6)
IncompleteOperationError;androidx.lifecycle.LiveData;void f(androidx.lifecycle.s,androidx.lifecycle.a0);violating CrySL rule for javax.crypto.Cipher (on Object #8f96dc4ffa48d54fb1f5da4fd30109ea95c7e73f296c9858557eaa622079f474);Operation on object of type javax.crypto.Cipher object not completed. Expected call to init;$r8 = virtualinvoke $r7.<m.b: java.lang.Object d(java.lang.Object,java.lang.Object)>($r2, $r6)
NeverTypeOfError;com.google.android.vending.licensing.a;void <init>(byte[],java.lang.String,java.lang.String);violating CrySL rule for javax.crypto.spec.PBEKeySpec (on Object #36d5926afd82dcbdf6aa73bf484f4beca29c746ebf19734b8aa42cd07364d28a);First parameter should never be of type java.lang.String.;specialinvoke $r5.<javax.crypto.spec.PBEKeySpec: void <init>(char[],byte[],int,int)>($r7, $r1, varReplacer20338, varReplacer20339)
HardCodedError;com.google.android.vending.licensing.a;void <init>(byte[],java.lang.String,java.lang.String);violating CrySL rule for javax.crypto.spec.PBEKeySpec (on Object #36d5926afd82dcbdf6aa73bf484f4beca29c746ebf19734b8aa42cd07364d28a);First parameter should never be hardcoded.;specialinvoke $r5.<javax.crypto.spec.PBEKeySpec: void <init>(char[],byte[],int,int)>($r7, $r1, varReplacer20338, varReplacer20339)
ConstraintError;com.google.android.vending.licensing.a;void <init>(byte[],java.lang.String,java.lang.String);violating CrySL rule for javax.crypto.spec.PBEKeySpec (on Object #36d5926afd82dcbdf6aa73bf484f4beca29c746ebf19734b8aa42cd07364d28a);Third parameter (with value 1024)Variable iterationCountmust be  at least 10000;specialinvoke $r5.<javax.crypto.spec.PBEKeySpec: void <init>(char[],byte[],int,int)>($r7, $r1, varReplacer20338, varReplacer20339)
RequiredPredicateError;com.google.android.vending.licensing.a;void <init>(byte[],java.lang.String,java.lang.String);violating CrySL rule for javax.crypto.spec.IvParameterSpec ;First parameter was not properly generated as randomized;specialinvoke $r11.<javax.crypto.spec.IvParameterSpec: void <init>(byte[])>($r1)
IncompleteOperationError;com.google.android.vending.licensing.a;void <init>(byte[],java.lang.String,java.lang.String);violating CrySL rule for javax.crypto.spec.PBEKeySpec (on Object #36d5926afd82dcbdf6aa73bf484f4beca29c746ebf19734b8aa42cd07364d28a);Operation on object of type javax.crypto.spec.PBEKeySpec object not completed. Expected call to clearPassword;$r8 = virtualinvoke $r4.<javax.crypto.SecretKeyFactory: javax.crypto.SecretKey generateSecret(java.security.spec.KeySpec)>($r5)
RequiredPredicateError;com.google.android.vending.licensing.a;void <init>(byte[],java.lang.String,java.lang.String);violating CrySL rule for javax.crypto.SecretKeyFactory ;First parameter was not properly generated as specced Key;$r8 = virtualinvoke $r4.<javax.crypto.SecretKeyFactory: javax.crypto.SecretKey generateSecret(java.security.spec.KeySpec)>($r5)
ConstraintError;com.google.android.vending.licensing.a;void <init>(byte[],java.lang.String,java.lang.String);violating CrySL rule for javax.crypto.SecretKeyFactory (on Object #a4ccc5b2c991fbfac8bb865a98bfdc79dcdd1caa258d061d87858b8369b66ed6);First parameter (with value "PBEWITHSHAAND256BITAES-CBC-BC") should be any of {PBKDF2WithHmacSHA512, PBKDF2WithHmacSHA384, PBKDF2WithHmacSHA256, PBKDF2WithHmacSHA224, PBEWithHmacSHA512AndAES_128, PBEWithHmacSHA384AndAES_128, PBEWithHmacSHA384AndAES_128, PBEWithHmacSHA224AndAES_128, PBEWithHmacSHA256AndAES_128, PBEWithHmacSHA224AndAES_256, PBEWithHmacSHA256AndAES_256, PBEWithHmacSHA384AndAES_256, PBEWithHmacSHA512AndAES_256};$r4 = staticinvoke <javax.crypto.SecretKeyFactory: javax.crypto.SecretKeyFactory getInstance(java.lang.String)>(varReplacer20342)
RequiredPredicateError;com.google.android.vending.licensing.a;void <init>(byte[],java.lang.String,java.lang.String);violating CrySL rule for javax.crypto.spec.SecretKeySpec ;First parameter was not properly generated as prepared Key Material;specialinvoke $r9.<javax.crypto.spec.SecretKeySpec: void <init>(byte[],java.lang.String)>($r1, varReplacer20345)
RequiredPredicateError;com.google.android.vending.licensing.a;void <init>(byte[],java.lang.String,java.lang.String);violating CrySL rule for javax.crypto.spec.PBEKeySpec ;Second parameter was not properly generated as randomized;specialinvoke $r5.<javax.crypto.spec.PBEKeySpec: void <init>(char[],byte[],int,int)>($r7, $r1, varReplacer20338, varReplacer20339)
RequiredPredicateError;me.f0;void d(java.io.File,r0.a,java.lang.String);violating CrySL rule for javax.crypto.Cipher ;Third parameter was not properly generated as prepared G C M;virtualinvoke $r14.<javax.crypto.Cipher: void init(int,java.security.Key,java.security.spec.AlgorithmParameterSpec)>(varReplacer23294, $r13, $r21)
IncompleteOperationError;me.f0;void d(java.io.File,r0.a,java.lang.String);violating CrySL rule for javax.crypto.CipherOutputStream (on Object #e8129e2606b8348e6fd026df7f5f2e4d387ac1d445707379ce5ce972e4e29743);Operation on object of type javax.crypto.CipherOutputStream object not completed. Expected call to write;specialinvoke $r23.<java.util.zip.ZipOutputStream: void <init>(java.io.OutputStream)>($r8)
RequiredPredicateError;me.f0;void d(java.io.File,r0.a,java.lang.String);violating CrySL rule for javax.crypto.Cipher ;Second parameter was not properly generated as generated Key;virtualinvoke $r14.<javax.crypto.Cipher: void init(int,java.security.Key,java.security.spec.AlgorithmParameterSpec)>(varReplacer23294, $r13, $r21)
ConstraintError;zb.g;javax.net.ssl.SSLContext h();violating CrySL rule for javax.net.ssl.SSLContext (on Object #56c4a46dcd4e34076e8b8f0425be0816db0d0427310a6abc25a46d051d602188);First parameter (with value "TLS") should be any of {TLSv1.2, TLSv1.3};$r4 = staticinvoke <javax.net.ssl.SSLContext: javax.net.ssl.SSLContext getInstance(java.lang.String)>(varReplacer37489)
ConstraintError;zb.b;javax.net.ssl.SSLContext h();violating CrySL rule for javax.net.ssl.SSLContext (on Object #20fa2da9433b4f4f2b5da5e72f1a5ff651862eea3b04631642e8ddb309f61f76);First parameter (with value "TLS") should be any of {TLSv1.2, TLSv1.3};$r3 = staticinvoke <javax.net.ssl.SSLContext: javax.net.ssl.SSLContext getInstance(java.lang.String)>(varReplacer37495)
