ErrorType;Class;Method;ViolatedRule;Object;Statement
ConstraintError;org.matrix.android.sdk.api.securestorage.SecureStorageModule_Companion_ProvideKeyStoreFactory;java.lang.Object get();violating CrySL rule for java.security.KeyStore (on Object #aa4d5688971eed6568ea5599beb16b7d43f5ba3644c8574a1c5630749175dfb8);First parameter (with value "AndroidKeyStore") should be any of {JCEKS, JKS, DKS, PKCS11, PKCS12};$r1 = staticinvoke <java.security.KeyStore: java.security.KeyStore getInstance(java.lang.String)>(varReplacer53001)
ConstraintError;org.matrix.android.sdk.api.util.HashKt;java.lang.String md5(java.lang.String);violating CrySL rule for java.security.MessageDigest (on Object #d04e1317b7062a8a762989359f83732c6c7c6a7dadf89f2ddce2660b03ed1623);First parameter (with value "md5") should be any of {SHA-256, SHA-384, SHA-512};$r3 = staticinvoke <java.security.MessageDigest: java.security.MessageDigest getInstance(java.lang.String)>(varReplacer53098)
RequiredPredicateError;org.matrix.android.sdk.internal.crypto.DefaultCryptoService$importRoomKeys$2;java.lang.Object invokeSuspend(java.lang.Object);violating CrySL rule for javax.crypto.spec.SecretKeySpec ;First parameter was not properly generated as prepared Key Material;specialinvoke $r30.<javax.crypto.spec.SecretKeySpec: void <init>(byte[],java.lang.String)>($r17, varReplacer98824)
RequiredPredicateError;org.matrix.android.sdk.internal.crypto.DefaultCryptoService$importRoomKeys$2;java.lang.Object invokeSuspend(java.lang.Object);violating CrySL rule for javax.crypto.Cipher ;Second parameter was not properly generated as generated Key;virtualinvoke $r20.<javax.crypto.Cipher: void init(int,java.security.Key,java.security.spec.AlgorithmParameterSpec)>(varReplacer98840, $r30, $r31)
RequiredPredicateError;org.matrix.android.sdk.internal.crypto.DefaultCryptoService$importRoomKeys$2;java.lang.Object invokeSuspend(java.lang.Object);violating CrySL rule for javax.crypto.Mac ;First parameter was not properly generated as generated Key;virtualinvoke $r19.<javax.crypto.Mac: void init(java.security.Key)>($r30)
TypestateError;org.matrix.android.sdk.internal.crypto.DefaultCryptoService$importRoomKeys$2;java.lang.Object invokeSuspend(java.lang.Object);violating CrySL rule for javax.crypto.Cipher (on Object #76f515217e34466d26dd9b8f45eabee8a0552a3b5963c5f22d0eac528d85d82b);Unexpected call to method update on object of type javax.crypto.Cipher. Expect a call to one of the following methods init,updateAAD;$r8 = virtualinvoke $r20.<javax.crypto.Cipher: byte[] update(byte[])>($r16)
RequiredPredicateError;org.matrix.android.sdk.internal.crypto.DefaultCryptoService$importRoomKeys$2;java.lang.Object invokeSuspend(java.lang.Object);violating CrySL rule for javax.crypto.spec.IvParameterSpec ;First parameter was not properly generated as randomized;specialinvoke $r31.<javax.crypto.spec.IvParameterSpec: void <init>(byte[])>($r8)
TypestateError;org.matrix.android.sdk.internal.crypto.DefaultCryptoService$exportRoomKeys$3;java.lang.Object invokeSuspend(java.lang.Object);violating CrySL rule for javax.crypto.Cipher (on Object #dfd0c8f8d90937cf8e6cf7f7bff3409bab54cd0c3ff3d210b98e473b47e97916);Unexpected call to method update on object of type javax.crypto.Cipher. Expect a call to one of the following methods init,updateAAD;$r20 = virtualinvoke $r18.<javax.crypto.Cipher: byte[] update(byte[])>($r20)
RequiredPredicateError;org.matrix.android.sdk.internal.crypto.DefaultCryptoService$exportRoomKeys$3;java.lang.Object invokeSuspend(java.lang.Object);violating CrySL rule for javax.crypto.spec.SecretKeySpec ;First parameter was not properly generated as prepared Key Material;specialinvoke $r19.<javax.crypto.spec.SecretKeySpec: void <init>(byte[],java.lang.String)>($r17, varReplacer98955)
RequiredPredicateError;org.matrix.android.sdk.internal.crypto.DefaultCryptoService$exportRoomKeys$3;java.lang.Object invokeSuspend(java.lang.Object);violating CrySL rule for javax.crypto.Cipher ;Second parameter was not properly generated as generated Key;virtualinvoke $r18.<javax.crypto.Cipher: void init(int,java.security.Key,java.security.spec.AlgorithmParameterSpec)>(varReplacer98952, $r19, $r21)
