ErrorType;Class;Method;ViolatedRule;Object;Statement
RequiredPredicateError;de.tutao.tutanota.AndroidNativeCryptoFacade;byte[] decryptKey(java.security.Key,byte[]);violating CrySL rule for javax.crypto.Cipher ;Second parameter was not properly generated as generated Key;virtualinvoke $r4.<javax.crypto.Cipher: void init(int,java.security.Key,java.security.spec.AlgorithmParameterSpec)>(varReplacer3899, $r2, $r1)
ConstraintError;de.tutao.tutanota.AndroidNativeCryptoFacade;byte[] decryptKey(java.security.Key,byte[]);violating CrySL rule for javax.crypto.Cipher (on Object #254135bd4b697ed27bce87556fd4108e662e323e3f5656c31bdd775ec1ecabc0);First parameter (with value "AES/CBC/NoPadding") should be any of AES/CBC/{PKCS5Padding, ISO10126Padding};$r4 = staticinvoke <javax.crypto.Cipher: javax.crypto.Cipher getInstance(java.lang.String)>(varReplacer3898)
TypestateError;de.tutao.tutanota.AndroidNativeCryptoFacade;byte[] decryptKey(java.security.Key,byte[]);violating CrySL rule for javax.crypto.Cipher (on Object #254135bd4b697ed27bce87556fd4108e662e323e3f5656c31bdd775ec1ecabc0);Unexpected call to method doFinal on object of type javax.crypto.Cipher. Expect a call to one of the following methods init,updateAAD;$r3 = virtualinvoke $r4.<javax.crypto.Cipher: byte[] doFinal(byte[])>($r3)
RequiredPredicateError;de.tutao.tutanota.AndroidNativeCryptoFacade;byte[] decryptKey(java.security.Key,byte[]);violating CrySL rule for javax.crypto.spec.IvParameterSpec ;First parameter was not properly generated as randomized;specialinvoke $r1.<javax.crypto.spec.IvParameterSpec: void <init>(byte[])>($r5)
RequiredPredicateError;de.tutao.tutanota.AndroidNativeCryptoFacade;void aesDecrypt(byte[],java.io.InputStream,java.io.OutputStream,long);violating CrySL rule for javax.crypto.Cipher ;Second parameter was not properly generated as generated Key;virtualinvoke $r13.<javax.crypto.Cipher: void init(int,java.security.Key,java.security.spec.AlgorithmParameterSpec)>(varReplacer4352, $r6, $r14)
RequiredPredicateError;de.tutao.tutanota.AndroidNativeCryptoFacade;void aesDecrypt(byte[],java.io.InputStream,java.io.OutputStream,long);violating CrySL rule for javax.crypto.spec.IvParameterSpec ;First parameter was not properly generated as randomized;specialinvoke $r23.<javax.crypto.spec.IvParameterSpec: void <init>(byte[])>($r10)
IncompleteOperationError;de.tutao.tutanota.AndroidNativeCryptoFacade;void aesDecrypt(byte[],java.io.InputStream,java.io.OutputStream,long);violating CrySL rule for javax.crypto.CipherInputStream (on Object #99949b54ff45323bc37b8855ed926da9a08e43e4851bc4bf0750a4f4c3312f65);Operation on object of type javax.crypto.CipherInputStream object not completed. Expected call to read;specialinvoke $r24.<javax.crypto.CipherInputStream: void <init>(java.io.InputStream,javax.crypto.Cipher)>($r25, $r13)
RequiredPredicateError;de.tutao.tutanota.AndroidNativeCryptoFacade;byte[] rsaDecrypt(java.security.PrivateKey,byte[]);violating CrySL rule for javax.crypto.Cipher ;Fourth parameter was not properly generated as randomized;virtualinvoke $r5.<javax.crypto.Cipher: void init(int,java.security.Key,java.security.spec.AlgorithmParameterSpec,java.security.SecureRandom)>(varReplacer11117, $r3, $r1, $r2)
TypestateError;de.tutao.tutanota.AndroidNativeCryptoFacade;byte[] rsaDecrypt(java.security.PrivateKey,byte[]);violating CrySL rule for javax.crypto.Cipher (on Object #d66027bd06b060327ff54f5850d9151b04aada70c298a9301cc071139b30ebaa);Unexpected call to method doFinal on object of type javax.crypto.Cipher. Expect a call to one of the following methods init,updateAAD;$r4 = virtualinvoke $r5.<javax.crypto.Cipher: byte[] doFinal(byte[])>($r4)
ConstraintError;de.tutao.tutanota.AndroidNativeCryptoFacade;byte[] rsaDecrypt(java.security.PrivateKey,byte[]);violating CrySL rule for javax.crypto.Cipher (on Object #d66027bd06b060327ff54f5850d9151b04aada70c298a9301cc071139b30ebaa);First parameter (with value "RSA/ECB/OAEPWithSHA-256AndMGF1Padding") should be any of {AES, PBEWithHmacSHA224AndAES_128, PBEWithHmacSHA256AndAES_128, PBEWithHmacSHA384AndAES_128, PBEWithHmacSHA512AndAES_128, PBEWithHmacSHA224AndAES_256, PBEWithHmacSHA256AndAES_256, PBEWithHmacSHA384AndAES_256, PBEWithHmacSHA512AndAES_256};$r5 = staticinvoke <javax.crypto.Cipher: javax.crypto.Cipher getInstance(java.lang.String)>(varReplacer11118)
RequiredPredicateError;de.tutao.tutanota.AndroidNativeCryptoFacade;byte[] rsaDecrypt(java.security.PrivateKey,byte[]);violating CrySL rule for javax.crypto.Cipher ;Second parameter was not properly generated as generated Key;virtualinvoke $r5.<javax.crypto.Cipher: void init(int,java.security.Key,java.security.spec.AlgorithmParameterSpec,java.security.SecureRandom)>(varReplacer11117, $r3, $r1, $r2)
