ErrorType;Class;Method;ViolatedRule;Object;Statement
ConstraintError;okhttp3.internal.platform.h;javax.net.ssl.SSLContext m();violating CrySL rule for javax.net.ssl.SSLContext (on Object #b2d6cdeac205cc4221a71bb7aad552a28cbd2ae2617b25f9bcb46b6db7a14d70);First parameter (with value "TLS") should be any of {TLSv1.2, TLSv1.3};$r1 = staticinvoke <javax.net.ssl.SSLContext: javax.net.ssl.SSLContext getInstance(java.lang.String)>(varReplacer14143)
RequiredPredicateError;okhttp3.internal.platform.h;javax.net.ssl.SSLSocketFactory n(javax.net.ssl.X509TrustManager);violating CrySL rule for javax.net.ssl.SSLContext ;Second parameter was not properly generated as generated Trust Managers;virtualinvoke $r2.<javax.net.ssl.SSLContext: void init(javax.net.ssl.KeyManager[],javax.net.ssl.TrustManager[],java.security.SecureRandom)>(varReplacer9741, $r10, varReplacer9741)
RequiredPredicateError;okhttp3.internal.platform.h;javax.net.ssl.SSLSocketFactory n(javax.net.ssl.X509TrustManager);violating CrySL rule for javax.net.ssl.SSLContext ;Third parameter was not properly generated as randomized;virtualinvoke $r2.<javax.net.ssl.SSLContext: void init(javax.net.ssl.KeyManager[],javax.net.ssl.TrustManager[],java.security.SecureRandom)>(varReplacer9741, $r10, varReplacer9741)
RequiredPredicateError;okhttp3.internal.platform.h;javax.net.ssl.SSLSocketFactory n(javax.net.ssl.X509TrustManager);violating CrySL rule for javax.net.ssl.SSLContext ;First parameter was not properly generated as generated Key Managers;virtualinvoke $r2.<javax.net.ssl.SSLContext: void init(javax.net.ssl.KeyManager[],javax.net.ssl.TrustManager[],java.security.SecureRandom)>(varReplacer9741, $r10, varReplacer9741)
RequiredPredicateError;okhttp3.internal.platform.h;javax.net.ssl.X509TrustManager o();violating CrySL rule for javax.net.ssl.TrustManagerFactory ;First parameter was not properly generated as generated Key Store;virtualinvoke $r2.<javax.net.ssl.TrustManagerFactory: void init(java.security.KeyStore)>(varReplacer9717)
ConstraintError;okhttp3.internal.platform.d;javax.net.ssl.SSLContext m();violating CrySL rule for javax.net.ssl.SSLContext (on Object #17cbda37bb8d7151147035e3bc8fdf1da65be8ba70c0dcd9761e3c609162863c);First parameter (with value "TLS") should be any of {TLSv1.2, TLSv1.3};$r1 = staticinvoke <javax.net.ssl.SSLContext: javax.net.ssl.SSLContext getInstance(java.lang.String,java.security.Provider)>(varReplacer14147, $r2)
RequiredPredicateError;okhttp3.internal.platform.d;javax.net.ssl.X509TrustManager o();violating CrySL rule for javax.net.ssl.TrustManagerFactory ;First parameter was not properly generated as generated Key Store;virtualinvoke $r2.<javax.net.ssl.TrustManagerFactory: void init(java.security.KeyStore)>(varReplacer9728)
RequiredPredicateError;okhttp3.internal.platform.d;javax.net.ssl.SSLSocketFactory n(javax.net.ssl.X509TrustManager);violating CrySL rule for javax.net.ssl.SSLContext ;First parameter was not properly generated as generated Key Managers;virtualinvoke $r2.<javax.net.ssl.SSLContext: void init(javax.net.ssl.KeyManager[],javax.net.ssl.TrustManager[],java.security.SecureRandom)>(varReplacer9743, $r5, varReplacer9743)
RequiredPredicateError;okhttp3.internal.platform.d;javax.net.ssl.SSLSocketFactory n(javax.net.ssl.X509TrustManager);violating CrySL rule for javax.net.ssl.SSLContext ;Second parameter was not properly generated as generated Trust Managers;virtualinvoke $r2.<javax.net.ssl.SSLContext: void init(javax.net.ssl.KeyManager[],javax.net.ssl.TrustManager[],java.security.SecureRandom)>(varReplacer9743, $r5, varReplacer9743)
RequiredPredicateError;okhttp3.internal.platform.d;javax.net.ssl.SSLSocketFactory n(javax.net.ssl.X509TrustManager);violating CrySL rule for javax.net.ssl.SSLContext ;Third parameter was not properly generated as randomized;virtualinvoke $r2.<javax.net.ssl.SSLContext: void init(javax.net.ssl.KeyManager[],javax.net.ssl.TrustManager[],java.security.SecureRandom)>(varReplacer9743, $r5, varReplacer9743)
ConstraintError;okhttp3.internal.platform.c;javax.net.ssl.SSLContext m();violating CrySL rule for javax.net.ssl.SSLContext (on Object #db48d11f856ac24d304b809473675176d087269c9a757f1c7f2d5531fb765d2a);First parameter (with value "TLS") should be any of {TLSv1.2, TLSv1.3};$r1 = staticinvoke <javax.net.ssl.SSLContext: javax.net.ssl.SSLContext getInstance(java.lang.String,java.security.Provider)>(varReplacer14149, $r2)
RequiredPredicateError;okhttp3.internal.platform.c;javax.net.ssl.X509TrustManager o();violating CrySL rule for javax.net.ssl.TrustManagerFactory ;First parameter was not properly generated as generated Key Store;virtualinvoke $r1.<javax.net.ssl.TrustManagerFactory: void init(java.security.KeyStore)>(varReplacer9734)
ConstraintError;z6.h;z6.h c(java.lang.String);violating CrySL rule for java.security.MessageDigest (on Object #7a62705013d140fd456ede4e0644f3751e6554dd8c5c7909869b95f322f2be41);First parameter (with value "SHA-1") should be any of {SHA-256, SHA-384, SHA-512};$r3 = staticinvoke <java.security.MessageDigest: java.security.MessageDigest getInstance(java.lang.String)>($r1)
ConstraintError;z6.x;z6.h c(java.lang.String);violating CrySL rule for java.security.MessageDigest (on Object #a6c05a3bdda0e820fbbcce4f5904e8a8cf7ed657060c1e836666fd93534e2b6e);First parameter (with value "SHA-1") should be any of {SHA-256, SHA-384, SHA-512};$r2 = staticinvoke <java.security.MessageDigest: java.security.MessageDigest getInstance(java.lang.String)>($r1)
TypestateError;z6.x;z6.h c(java.lang.String);violating CrySL rule for java.security.MessageDigest (on Object #a6c05a3bdda0e820fbbcce4f5904e8a8cf7ed657060c1e836666fd93534e2b6e);Unexpected call to method <java.security.MessageDigest: byte[] digest()> on object of type java.security.MessageDigest. Expect a call to one of the following methods java.security.MessageDigest: void update(byte[],int,int),java.security.MessageDigest: void update(java.nio.ByteBuffer),java.security.MessageDigest: byte[] digest(byte[]),java.security.MessageDigest: void update(byte[]),java.security.MessageDigest: void update(byte);$r5 = virtualinvoke $r2.<java.security.MessageDigest: byte[] digest()>()
RequiredPredicateError;okhttp3.internal.platform.g;javax.net.ssl.X509TrustManager o();violating CrySL rule for javax.net.ssl.TrustManagerFactory ;First parameter was not properly generated as generated Key Store;virtualinvoke $r3.<javax.net.ssl.TrustManagerFactory: void init(java.security.KeyStore)>(varReplacer9723)
