ErrorType;Class;Method;ViolatedRule;Object;Statement
RequiredPredicateError;timur.webcall.callee.WebCallService$7;void run();violating CrySL rule for javax.net.ssl.SSLContext ;First parameter was not properly generated as generated Key Managers;virtualinvoke $r12.<javax.net.ssl.SSLContext: void init(javax.net.ssl.KeyManager[],javax.net.ssl.TrustManager[],java.security.SecureRandom)>(varReplacer1308, $r47, $r13)
ConstraintError;timur.webcall.callee.WebCallService$7;void run();violating CrySL rule for javax.net.ssl.SSLContext (on Object #50f6e3eaffd66108381f520b2d49ac13bfc0de98b4079405db261a4be40e57d1);First parameter (with value "TLS") should be any of {TLSv1.2, TLSv1.3};$r12 = staticinvoke <javax.net.ssl.SSLContext: javax.net.ssl.SSLContext getInstance(java.lang.String)>(varReplacer1230)
RequiredPredicateError;timur.webcall.callee.WebCallService$7;void run();violating CrySL rule for javax.net.ssl.SSLContext ;Third parameter was not properly generated as randomized;virtualinvoke $r12.<javax.net.ssl.SSLContext: void init(javax.net.ssl.KeyManager[],javax.net.ssl.TrustManager[],java.security.SecureRandom)>(varReplacer1308, $r47, $r13)
RequiredPredicateError;timur.webcall.callee.WebCallService$7;void run();violating CrySL rule for javax.net.ssl.SSLContext ;Second parameter was not properly generated as generated Trust Managers;virtualinvoke $r12.<javax.net.ssl.SSLContext: void init(javax.net.ssl.KeyManager[],javax.net.ssl.TrustManager[],java.security.SecureRandom)>(varReplacer1308, $r47, $r13)
RequiredPredicateError;timur.webcall.callee.WebCallService;org.java_websocket.client.WebSocketClient connectHost(java.lang.String,boolean);violating CrySL rule for javax.net.ssl.SSLContext ;Second parameter was not properly generated as generated Trust Managers;virtualinvoke $r8.<javax.net.ssl.SSLContext: void init(javax.net.ssl.KeyManager[],javax.net.ssl.TrustManager[],java.security.SecureRandom)>(varReplacer2542, $r36, $r9)
RequiredPredicateError;timur.webcall.callee.WebCallService;org.java_websocket.client.WebSocketClient connectHost(java.lang.String,boolean);violating CrySL rule for javax.net.ssl.SSLContext ;Third parameter was not properly generated as randomized;virtualinvoke $r8.<javax.net.ssl.SSLContext: void init(javax.net.ssl.KeyManager[],javax.net.ssl.TrustManager[],java.security.SecureRandom)>(varReplacer2542, $r36, $r9)
ConstraintError;timur.webcall.callee.WebCallService;org.java_websocket.client.WebSocketClient connectHost(java.lang.String,boolean);violating CrySL rule for javax.net.ssl.SSLContext (on Object #1cb84a5150da10153d2f5e8c588ac5a0d047389aa37c1710d11c827ee6ac2ab0);First parameter (with value "TLS") should be any of {TLSv1.2, TLSv1.3};$r8 = staticinvoke <javax.net.ssl.SSLContext: javax.net.ssl.SSLContext getInstance(java.lang.String)>(varReplacer2572)
RequiredPredicateError;timur.webcall.callee.WebCallService;org.java_websocket.client.WebSocketClient connectHost(java.lang.String,boolean);violating CrySL rule for javax.net.ssl.SSLContext ;First parameter was not properly generated as generated Key Managers;virtualinvoke $r8.<javax.net.ssl.SSLContext: void init(javax.net.ssl.KeyManager[],javax.net.ssl.TrustManager[],java.security.SecureRandom)>(varReplacer2542, $r36, $r9)
ConstraintError;org.java_websocket.drafts.Draft_6455;java.lang.String generateFinalKey(java.lang.String);violating CrySL rule for java.security.MessageDigest (on Object #46a823b53284c706684748aa5b86fe468aa2be45ca5ce39e66e4f5af6af84953);First parameter (with value "SHA1") should be any of {SHA-256, SHA-384, SHA-512};$r3 = staticinvoke <java.security.MessageDigest: java.security.MessageDigest getInstance(java.lang.String)>(varReplacer6346)
RequiredPredicateError;org.java_websocket.client.WebSocketClient;void upgradeSocketToSSL();violating CrySL rule for javax.net.ssl.SSLContext ;Second parameter was not properly generated as generated Trust Managers;virtualinvoke $r3.<javax.net.ssl.SSLContext: void init(javax.net.ssl.KeyManager[],javax.net.ssl.TrustManager[],java.security.SecureRandom)>(varReplacer2465, varReplacer2465, varReplacer2465)
RequiredPredicateError;org.java_websocket.client.WebSocketClient;void upgradeSocketToSSL();violating CrySL rule for javax.net.ssl.SSLContext ;First parameter was not properly generated as generated Key Managers;virtualinvoke $r3.<javax.net.ssl.SSLContext: void init(javax.net.ssl.KeyManager[],javax.net.ssl.TrustManager[],java.security.SecureRandom)>(varReplacer2465, varReplacer2465, varReplacer2465)
RequiredPredicateError;org.java_websocket.client.WebSocketClient;void upgradeSocketToSSL();violating CrySL rule for javax.net.ssl.SSLContext ;Third parameter was not properly generated as randomized;virtualinvoke $r3.<javax.net.ssl.SSLContext: void init(javax.net.ssl.KeyManager[],javax.net.ssl.TrustManager[],java.security.SecureRandom)>(varReplacer2465, varReplacer2465, varReplacer2465)
