ErrorType;Class;Method;ViolatedRule;Object;Statement
TypestateError;com.waz.service.otr.OtrEventDecoderImpl$$anonfun$decodeExternal$2$$anonfun$apply$4;java.lang.Object apply();violating CrySL rule for javax.crypto.Cipher (on Object #dce1f5bcc4f4b3e41ec581632a22d249f84ac3dbc588aa66f995e2fb92425cfa);Unexpected call to method doFinal on object of type javax.crypto.Cipher. Expect a call to one of the following methods init,updateAAD;r4 = virtualinvoke $r9.<javax.crypto.Cipher: byte[] doFinal(byte[])>(r4)
ConstraintError;com.waz.service.assets.AssetServiceImpl$$anonfun$com$$$$$2a9077458fdb6673636731a95cb9eb$$$$fun$apply$36$$anonfun$apply$37;java.lang.Object apply(java.lang.Object);violating CrySL rule for java.security.MessageDigest (on Object #a56958d77980ca27d1fd0bab2ee441c93271d31d4953a3f8b7b5c12efa3156b1);First parameter (with value "MD5") should be any of {SHA-256, SHA-384, SHA-512};$r17 = staticinvoke <java.security.MessageDigest: java.security.MessageDigest getInstance(java.lang.String)>(varReplacer4628)
IncompleteOperationError;com.waz.service.assets.AssetServiceImpl$$anonfun$com$$$$$2a9077458fdb6673636731a95cb9eb$$$$fun$apply$36$$anonfun$apply$37;java.lang.Object apply(java.lang.Object);violating CrySL rule for java.security.MessageDigest (on Object #a56958d77980ca27d1fd0bab2ee441c93271d31d4953a3f8b7b5c12efa3156b1);Operation on object of type java.security.MessageDigest object not completed. Expected call to digest, update;specialinvoke $r20.<com.waz.service.assets.AssetServiceImpl$$anonfun$com$waz$service$assets$AssetServiceImpl$$extractLocalSourceAndEncryptedHashesAndSize$1$1: void <init>(com.waz.service.assets.Encryption,scala.Option,scala.Option,java.security.MessageDigest,java.security.MessageDigest)>($r0, $r1, $r16, $r14, $r17)
IncompleteOperationError;com.waz.service.assets.AssetServiceImpl$$anonfun$com$$$$$2a9077458fdb6673636731a95cb9eb$$$$fun$apply$36$$anonfun$apply$37;java.lang.Object apply(java.lang.Object);violating CrySL rule for java.security.MessageDigest (on Object #3a2223276333128511d793efec5d8188348e17daf61303a978c14028d9adf020);Operation on object of type java.security.MessageDigest object not completed. Expected call to digest, update;specialinvoke $r20.<com.waz.service.assets.AssetServiceImpl$$anonfun$com$waz$service$assets$AssetServiceImpl$$extractLocalSourceAndEncryptedHashesAndSize$1$1: void <init>(com.waz.service.assets.Encryption,scala.Option,scala.Option,java.security.MessageDigest,java.security.MessageDigest)>($r0, $r1, $r16, $r14, $r17)
IncompleteOperationError;kotlinx.coroutines.ChildContinuation;java.lang.Object invoke(java.lang.Object);violating CrySL rule for java.security.DigestInputStream (on Object #6fb605332d53322a79a1db1905227a3f24373c8117d8ecbe2649df57cac1a5f);Operation on object of type java.security.DigestInputStream object not completed. Expected call to read;virtualinvoke r0.<kotlinx.coroutines.ChildContinuation: void invoke(java.lang.Throwable)>($r2)
IncompleteOperationError;kotlinx.coroutines.ChildContinuation;java.lang.Object invoke(java.lang.Object);violating CrySL rule for java.security.MessageDigest (on Object #bf48e63c1951613eccdef652b386660d48b4e996f866d12332ff700d7701ff74);Operation on object of type java.security.MessageDigest object not completed. Expected call to digest, update;virtualinvoke r0.<kotlinx.coroutines.ChildContinuation: void invoke(java.lang.Throwable)>($r2)
IncompleteOperationError;androidx.appcompat.app.AppCompatDelegateImpl$1;void uncaughtException(java.lang.Thread,java.lang.Throwable);violating CrySL rule for java.security.MessageDigest (on Object #bf48e63c1951613eccdef652b386660d48b4e996f866d12332ff700d7701ff74);Operation on object of type java.security.MessageDigest object not completed. Expected call to digest, update;interfaceinvoke r8.<java.lang.Thread$UncaughtExceptionHandler: void uncaughtException(java.lang.Thread,java.lang.Throwable)>($r0, $r4)
IncompleteOperationError;androidx.appcompat.app.AppCompatDelegateImpl$1;void uncaughtException(java.lang.Thread,java.lang.Throwable);violating CrySL rule for java.security.DigestInputStream (on Object #6fb605332d53322a79a1db1905227a3f24373c8117d8ecbe2649df57cac1a5f);Operation on object of type java.security.DigestInputStream object not completed. Expected call to read;interfaceinvoke r8.<java.lang.Thread$UncaughtExceptionHandler: void uncaughtException(java.lang.Thread,java.lang.Throwable)>($r0, $r4)
IncompleteOperationError;kotlinx.coroutines.JobSupport;java.lang.Object finalizeFinishingState(kotlinx.coroutines.JobSupport$Finishing,java.lang.Object);violating CrySL rule for java.security.DigestInputStream (on Object #6fb605332d53322a79a1db1905227a3f24373c8117d8ecbe2649df57cac1a5f);Operation on object of type java.security.DigestInputStream object not completed. Expected call to read;$z0 = virtualinvoke r0.<kotlinx.coroutines.JobSupport: boolean handleJobException(java.lang.Throwable)>($r7)
IncompleteOperationError;kotlinx.coroutines.JobSupport;java.lang.Object finalizeFinishingState(kotlinx.coroutines.JobSupport$Finishing,java.lang.Object);violating CrySL rule for java.security.DigestInputStream (on Object #6fb605332d53322a79a1db1905227a3f24373c8117d8ecbe2649df57cac1a5f);Operation on object of type java.security.DigestInputStream object not completed. Expected call to read;specialinvoke $r5.<kotlinx.coroutines.CompletedExceptionally: void <init>(java.lang.Throwable)>($r7)
IncompleteOperationError;kotlinx.coroutines.JobSupport;java.lang.Object finalizeFinishingState(kotlinx.coroutines.JobSupport$Finishing,java.lang.Object);violating CrySL rule for java.security.MessageDigest (on Object #bf48e63c1951613eccdef652b386660d48b4e996f866d12332ff700d7701ff74);Operation on object of type java.security.MessageDigest object not completed. Expected call to digest, update;$z0 = specialinvoke r0.<kotlinx.coroutines.JobSupport: boolean cancelParent(java.lang.Throwable)>($r7)
IncompleteOperationError;kotlinx.coroutines.JobSupport;java.lang.Object finalizeFinishingState(kotlinx.coroutines.JobSupport$Finishing,java.lang.Object);violating CrySL rule for java.security.MessageDigest (on Object #bf48e63c1951613eccdef652b386660d48b4e996f866d12332ff700d7701ff74);Operation on object of type java.security.MessageDigest object not completed. Expected call to digest, update;$r7 = specialinvoke r0.<kotlinx.coroutines.JobSupport: java.lang.Throwable getFinalRootCause(kotlinx.coroutines.JobSupport$Finishing,java.util.List)>($r1, $r9)
IncompleteOperationError;kotlinx.coroutines.JobSupport;java.lang.Object finalizeFinishingState(kotlinx.coroutines.JobSupport$Finishing,java.lang.Object);violating CrySL rule for java.security.MessageDigest (on Object #bf48e63c1951613eccdef652b386660d48b4e996f866d12332ff700d7701ff74);Operation on object of type java.security.MessageDigest object not completed. Expected call to digest, update;specialinvoke $r5.<kotlinx.coroutines.CompletedExceptionally: void <init>(java.lang.Throwable)>($r7)
IncompleteOperationError;kotlinx.coroutines.JobSupport;java.lang.Object finalizeFinishingState(kotlinx.coroutines.JobSupport$Finishing,java.lang.Object);violating CrySL rule for java.security.DigestInputStream (on Object #6fb605332d53322a79a1db1905227a3f24373c8117d8ecbe2649df57cac1a5f);Operation on object of type java.security.DigestInputStream object not completed. Expected call to read;$z0 = specialinvoke r0.<kotlinx.coroutines.JobSupport: boolean cancelParent(java.lang.Throwable)>($r7)
IncompleteOperationError;kotlinx.coroutines.JobSupport;java.lang.Object finalizeFinishingState(kotlinx.coroutines.JobSupport$Finishing,java.lang.Object);violating CrySL rule for java.security.MessageDigest (on Object #bf48e63c1951613eccdef652b386660d48b4e996f866d12332ff700d7701ff74);Operation on object of type java.security.MessageDigest object not completed. Expected call to digest, update;staticinvoke <kotlinx.coroutines.JobSupport: void addSuppressedExceptions(java.lang.Throwable,java.util.List)>($r7, $r9)
IncompleteOperationError;kotlinx.coroutines.JobSupport;java.lang.Object finalizeFinishingState(kotlinx.coroutines.JobSupport$Finishing,java.lang.Object);violating CrySL rule for java.security.DigestInputStream (on Object #6fb605332d53322a79a1db1905227a3f24373c8117d8ecbe2649df57cac1a5f);Operation on object of type java.security.DigestInputStream object not completed. Expected call to read;$r7 = specialinvoke r0.<kotlinx.coroutines.JobSupport: java.lang.Throwable getFinalRootCause(kotlinx.coroutines.JobSupport$Finishing,java.util.List)>($r1, $r9)
IncompleteOperationError;kotlinx.coroutines.JobSupport;java.lang.Object finalizeFinishingState(kotlinx.coroutines.JobSupport$Finishing,java.lang.Object);violating CrySL rule for java.security.MessageDigest (on Object #bf48e63c1951613eccdef652b386660d48b4e996f866d12332ff700d7701ff74);Operation on object of type java.security.MessageDigest object not completed. Expected call to digest, update;$z0 = virtualinvoke r0.<kotlinx.coroutines.JobSupport: boolean handleJobException(java.lang.Throwable)>($r7)
IncompleteOperationError;kotlinx.coroutines.JobSupport;java.lang.Object finalizeFinishingState(kotlinx.coroutines.JobSupport$Finishing,java.lang.Object);violating CrySL rule for java.security.DigestInputStream (on Object #6fb605332d53322a79a1db1905227a3f24373c8117d8ecbe2649df57cac1a5f);Operation on object of type java.security.DigestInputStream object not completed. Expected call to read;staticinvoke <kotlinx.coroutines.JobSupport: void addSuppressedExceptions(java.lang.Throwable,java.util.List)>($r7, $r9)
