ErrorType;Class;Method;ViolatedRule;Object;Statement
ConstraintError;ma.h;java.lang.String m(java.lang.String);violating CrySL rule for java.security.MessageDigest (on Object #1c82aafd609ee9109d2d011e8644ba80369dca37829ce8eaa08f60bea9c6f5f7);First parameter (with value "MD5") should be any of {SHA-256, SHA-384, SHA-512};$r7 = staticinvoke <java.security.MessageDigest: java.security.MessageDigest getInstance(java.lang.String)>(varReplacer22595)
TypestateError;ma.h;java.lang.String m(java.lang.String);violating CrySL rule for java.security.MessageDigest (on Object #1c82aafd609ee9109d2d011e8644ba80369dca37829ce8eaa08f60bea9c6f5f7);Unexpected call to method <java.security.MessageDigest: byte[] digest()> on object of type java.security.MessageDigest. Expect a call to one of the following methods java.security.MessageDigest: void update(byte[],int,int),java.security.MessageDigest: void update(java.nio.ByteBuffer),java.security.MessageDigest: byte[] digest(byte[]),java.security.MessageDigest: void update(byte),java.security.MessageDigest: void update(byte[]);$r6 = virtualinvoke $r7.<java.security.MessageDigest: byte[] digest()>()
RequiredPredicateError;dc.d;javax.net.ssl.SSLSocketFactory l(javax.net.ssl.X509TrustManager);violating CrySL rule for javax.net.ssl.SSLContext ;First parameter was not properly generated as generated Key Managers;virtualinvoke $r3.<javax.net.ssl.SSLContext: void init(javax.net.ssl.KeyManager[],javax.net.ssl.TrustManager[],java.security.SecureRandom)>(varReplacer27063, $r6, varReplacer27063)
RequiredPredicateError;dc.d;javax.net.ssl.SSLSocketFactory l(javax.net.ssl.X509TrustManager);violating CrySL rule for javax.net.ssl.SSLContext ;Third parameter was not properly generated as randomized;virtualinvoke $r3.<javax.net.ssl.SSLContext: void init(javax.net.ssl.KeyManager[],javax.net.ssl.TrustManager[],java.security.SecureRandom)>(varReplacer27063, $r6, varReplacer27063)
RequiredPredicateError;dc.d;javax.net.ssl.SSLSocketFactory l(javax.net.ssl.X509TrustManager);violating CrySL rule for javax.net.ssl.SSLContext ;Second parameter was not properly generated as generated Trust Managers;virtualinvoke $r3.<javax.net.ssl.SSLContext: void init(javax.net.ssl.KeyManager[],javax.net.ssl.TrustManager[],java.security.SecureRandom)>(varReplacer27063, $r6, varReplacer27063)
ConstraintError;dc.d;javax.net.ssl.SSLSocketFactory l(javax.net.ssl.X509TrustManager);violating CrySL rule for javax.net.ssl.SSLContext (on Object #68567911b5f8954e2ea595b0e656e421a7095baf117024fa844d340efb8c5fce);First parameter (with value "TLS") should be any of {TLSv1.2, TLSv1.3};$r3 = staticinvoke <javax.net.ssl.SSLContext: javax.net.ssl.SSLContext getInstance(java.lang.String,java.security.Provider)>(varReplacer27062, $r2)
ConstraintError;dc.d;javax.net.ssl.SSLContext k();violating CrySL rule for javax.net.ssl.SSLContext (on Object #5f45410e688088633d54e43b92cac16322043a163fca42c159e8e24a6e914fb4);First parameter (with value "TLS") should be any of {TLSv1.2, TLSv1.3};$r1 = staticinvoke <javax.net.ssl.SSLContext: javax.net.ssl.SSLContext getInstance(java.lang.String,java.security.Provider)>(varReplacer36387, $r2)
RequiredPredicateError;dc.d;javax.net.ssl.X509TrustManager m();violating CrySL rule for javax.net.ssl.TrustManagerFactory ;First parameter was not properly generated as generated Key Store;virtualinvoke $r2.<javax.net.ssl.TrustManagerFactory: void init(java.security.KeyStore)>(varReplacer27057)
RequiredPredicateError;p7.a;long e(d8.m);violating CrySL rule for javax.crypto.spec.SecretKeySpec ;First parameter was not properly generated as prepared Key Material;specialinvoke $r3.<javax.crypto.spec.SecretKeySpec: void <init>(byte[],java.lang.String)>($r4, varReplacer31771)
ConstraintError;p7.a;long e(d8.m);violating CrySL rule for javax.crypto.Cipher (on Object #6af705ef40cc507304e35dc711f169ee7d9d638922088c37aaf3f9b8898aa6a5);First parameter (with value "AES/CBC/PKCS7Padding") should be any of AES/CBC/{PKCS5Padding, ISO10126Padding};$r1 = staticinvoke <javax.crypto.Cipher: javax.crypto.Cipher getInstance(java.lang.String)>(varReplacer31773)
RequiredPredicateError;p7.a;long e(d8.m);violating CrySL rule for javax.crypto.spec.IvParameterSpec ;First parameter was not properly generated as randomized;specialinvoke $r5.<javax.crypto.spec.IvParameterSpec: void <init>(byte[])>($r4)
RequiredPredicateError;p7.a;long e(d8.m);violating CrySL rule for javax.crypto.Cipher ;Second parameter was not properly generated as generated Key;virtualinvoke $r1.<javax.crypto.Cipher: void init(int,java.security.Key,java.security.spec.AlgorithmParameterSpec)>(varReplacer31775, $r3, $r5)
IncompleteOperationError;p7.k;void c(d8.i,d8.m,boolean,boolean);violating CrySL rule for javax.crypto.CipherInputStream (on Object #7e7be9bb19433f0d2e0c3db4b068f6e92807c5ed13d3951d2c2f21bd4ab36043);Operation on object of type javax.crypto.CipherInputStream object not completed. Expected call to read;$r11 = virtualinvoke r0.<p7.k: p6.e f(d8.i,d8.m,boolean)>($r6, $r7, $z1)
IncompleteOperationError;p7.k;p6.e f(d8.i,d8.m,boolean);violating CrySL rule for javax.crypto.CipherInputStream (on Object #7e7be9bb19433f0d2e0c3db4b068f6e92807c5ed13d3951d2c2f21bd4ab36043);Operation on object of type javax.crypto.CipherInputStream object not completed. Expected call to read;specialinvoke $r50.<p6.e: void <init>(d8.g,long,long)>($r4, $l2, $l0)
IncompleteOperationError;p7.k;p6.e f(d8.i,d8.m,boolean);violating CrySL rule for javax.crypto.CipherInputStream (on Object #7e7be9bb19433f0d2e0c3db4b068f6e92807c5ed13d3951d2c2f21bd4ab36043);Operation on object of type javax.crypto.CipherInputStream object not completed. Expected call to read;specialinvoke $r50.<p6.e: void <init>(d8.g,long,long)>($r4, $l2, $l0)
IncompleteOperationError;d8.g0;long e(d8.m);violating CrySL rule for javax.crypto.CipherInputStream (on Object #7e7be9bb19433f0d2e0c3db4b068f6e92807c5ed13d3951d2c2f21bd4ab36043);Operation on object of type javax.crypto.CipherInputStream object not completed. Expected call to read;$l0 = interfaceinvoke $r4.<d8.i: long e(d8.m)>($r1)
IncompleteOperationError;d8.d0;void a();violating CrySL rule for javax.crypto.CipherInputStream (on Object #7e7be9bb19433f0d2e0c3db4b068f6e92807c5ed13d3951d2c2f21bd4ab36043);Operation on object of type javax.crypto.CipherInputStream object not completed. Expected call to read;interfaceinvoke $r4.<d8.i: long e(d8.m)>($r3)
IncompleteOperationError;d8.q;long e(d8.m);violating CrySL rule for javax.crypto.CipherInputStream (on Object #7e7be9bb19433f0d2e0c3db4b068f6e92807c5ed13d3951d2c2f21bd4ab36043);Operation on object of type javax.crypto.CipherInputStream object not completed. Expected call to read;$l1 = interfaceinvoke $r3.<d8.i: long e(d8.m)>($r2)
ConstraintError;dc.h;javax.net.ssl.SSLContext k();violating CrySL rule for javax.net.ssl.SSLContext (on Object #d1be1eb02818ad38ba01afb41776dd2c9a5370f296c231e3369d84cf8b531843);First parameter (with value "TLS") should be any of {TLSv1.2, TLSv1.3};$r1 = staticinvoke <javax.net.ssl.SSLContext: javax.net.ssl.SSLContext getInstance(java.lang.String)>(varReplacer36381)
RequiredPredicateError;dc.h;javax.net.ssl.SSLSocketFactory l(javax.net.ssl.X509TrustManager);violating CrySL rule for javax.net.ssl.SSLContext ;Third parameter was not properly generated as randomized;virtualinvoke $r2.<javax.net.ssl.SSLContext: void init(javax.net.ssl.KeyManager[],javax.net.ssl.TrustManager[],java.security.SecureRandom)>(varReplacer27058, $r10, varReplacer27058)
RequiredPredicateError;dc.h;javax.net.ssl.SSLSocketFactory l(javax.net.ssl.X509TrustManager);violating CrySL rule for javax.net.ssl.SSLContext ;Second parameter was not properly generated as generated Trust Managers;virtualinvoke $r2.<javax.net.ssl.SSLContext: void init(javax.net.ssl.KeyManager[],javax.net.ssl.TrustManager[],java.security.SecureRandom)>(varReplacer27058, $r10, varReplacer27058)
RequiredPredicateError;dc.h;javax.net.ssl.SSLSocketFactory l(javax.net.ssl.X509TrustManager);violating CrySL rule for javax.net.ssl.SSLContext ;First parameter was not properly generated as generated Key Managers;virtualinvoke $r2.<javax.net.ssl.SSLContext: void init(javax.net.ssl.KeyManager[],javax.net.ssl.TrustManager[],java.security.SecureRandom)>(varReplacer27058, $r10, varReplacer27058)
RequiredPredicateError;dc.h;javax.net.ssl.X509TrustManager m();violating CrySL rule for javax.net.ssl.TrustManagerFactory ;First parameter was not properly generated as generated Key Store;virtualinvoke $r2.<javax.net.ssl.TrustManagerFactory: void init(java.security.KeyStore)>(varReplacer27046)
ConstraintError;dc.f;javax.net.ssl.SSLContext k();violating CrySL rule for javax.net.ssl.SSLContext (on Object #ee635c2a98553e352b5c8e28d9161efddc2cddaabcfcb9f7f91b62d9c46bfae1);First parameter (with value "TLS") should be any of {TLSv1.2, TLSv1.3};$r3 = staticinvoke <javax.net.ssl.SSLContext: javax.net.ssl.SSLContext getInstance(java.lang.String)>(varReplacer36383)
ConstraintError;dc.c;javax.net.ssl.SSLContext k();violating CrySL rule for javax.net.ssl.SSLContext (on Object #db2b7b266505f1af0946b5fbf826bb6bcf81f5e667088e51f5a671b895284177);First parameter (with value "TLS") should be any of {TLSv1.2, TLSv1.3};$r1 = staticinvoke <javax.net.ssl.SSLContext: javax.net.ssl.SSLContext getInstance(java.lang.String,java.security.Provider)>(varReplacer36386, $r2)
RequiredPredicateError;dc.c;javax.net.ssl.X509TrustManager m();violating CrySL rule for javax.net.ssl.TrustManagerFactory ;First parameter was not properly generated as generated Key Store;virtualinvoke $r1.<javax.net.ssl.TrustManagerFactory: void init(java.security.KeyStore)>(varReplacer27048)
ConstraintError;ic.i;ic.i f(java.lang.String);violating CrySL rule for java.security.MessageDigest (on Object #9d912cd4726601ade0819499c9b3c99289e5c92675500edfe6aac1005bbaaa7);First parameter (with value "SHA-1") should be any of {SHA-256, SHA-384, SHA-512};$r2 = staticinvoke <java.security.MessageDigest: java.security.MessageDigest getInstance(java.lang.String)>($r1)
ConstraintError;ic.i0;ic.i f(java.lang.String);violating CrySL rule for java.security.MessageDigest (on Object #756cdd271dc41da0adee73287b479a7522455e5827f8ffb0a0535b58b7cc252d);First parameter (with value "SHA-1") should be any of {SHA-256, SHA-384, SHA-512};$r2 = staticinvoke <java.security.MessageDigest: java.security.MessageDigest getInstance(java.lang.String)>($r1)
TypestateError;ic.i0;ic.i f(java.lang.String);violating CrySL rule for java.security.MessageDigest (on Object #756cdd271dc41da0adee73287b479a7522455e5827f8ffb0a0535b58b7cc252d);Unexpected call to method <java.security.MessageDigest: byte[] digest()> on object of type java.security.MessageDigest. Expect a call to one of the following methods java.security.MessageDigest: void update(byte[],int,int),java.security.MessageDigest: void update(java.nio.ByteBuffer),java.security.MessageDigest: byte[] digest(byte[]),java.security.MessageDigest: void update(byte),java.security.MessageDigest: void update(byte[]);$r5 = virtualinvoke $r2.<java.security.MessageDigest: byte[] digest()>()
