ErrorType;Class;Method;ViolatedRule;Object;Statement
RequiredPredicateError;xyz.hisname.fireflyiii.util.network.CustomCa$trustManager$2;java.lang.Object invoke();violating CrySL rule for javax.net.ssl.KeyManagerFactory ;First parameter was not properly generated as generated Key Store;virtualinvoke $r11.<javax.net.ssl.KeyManagerFactory: void init(java.security.KeyStore,char[])>($r7, $r6)
RequiredPredicateError;xyz.hisname.fireflyiii.util.network.CustomCa$trustManager$2;java.lang.Object invoke();violating CrySL rule for javax.net.ssl.TrustManagerFactory ;First parameter was not properly generated as generated Key Store;virtualinvoke $r12.<javax.net.ssl.TrustManagerFactory: void init(java.security.KeyStore)>($r7)
NeverTypeOfError;xyz.hisname.fireflyiii.util.network.CustomCa$trustManager$2;java.lang.Object invoke();violating CrySL rule for javax.net.ssl.KeyManagerFactory (on Object #7d031289ffbcc43643ca82549b18d0378a29c26645a0a4314f52a0fcacf924bc);Second parameter should never be of type java.lang.String.;virtualinvoke $r11.<javax.net.ssl.KeyManagerFactory: void init(java.security.KeyStore,char[])>($r7, $r6)
HardCodedError;xyz.hisname.fireflyiii.util.network.CustomCa$trustManager$2;java.lang.Object invoke();violating CrySL rule for javax.net.ssl.KeyManagerFactory (on Object #7d031289ffbcc43643ca82549b18d0378a29c26645a0a4314f52a0fcacf924bc);Second parameter should never be hardcoded.;virtualinvoke $r11.<javax.net.ssl.KeyManagerFactory: void init(java.security.KeyStore,char[])>($r7, $r6)
NeverTypeOfError;xyz.hisname.fireflyiii.util.network.CustomCa$trustManager$2;java.lang.Object invoke();violating CrySL rule for java.security.KeyStore (on Object #5fef08d2d83b56b144e1f4188bf06b53d5a87d58fafc287e7a7b46dd8d078f58);Second parameter should never be of type java.lang.String.;virtualinvoke $r7.<java.security.KeyStore: void load(java.io.InputStream,char[])>(varReplacer18033, $r6)
HardCodedError;xyz.hisname.fireflyiii.util.network.CustomCa$trustManager$2;java.lang.Object invoke();violating CrySL rule for java.security.KeyStore (on Object #5fef08d2d83b56b144e1f4188bf06b53d5a87d58fafc287e7a7b46dd8d078f58);Second parameter should never be hardcoded.;virtualinvoke $r7.<java.security.KeyStore: void load(java.io.InputStream,char[])>(varReplacer18033, $r6)
IncompleteOperationError;xyz.hisname.fireflyiii.util.network.CustomCa$trustManager$2;java.lang.Object invoke();violating CrySL rule for java.security.cert.CertificateFactory (on Object #d99daae7f0c8a761d2b68be67d93e25b5c942e210fd177ba790732b0c8599470);Operation on object of type java.security.cert.CertificateFactory object not completed. Expected call to generateCertificate, generateCertPath;$r4 = virtualinvoke $r3.<java.security.cert.CertificateFactory: java.util.Collection generateCertificates(java.io.InputStream)>($r2)
RequiredPredicateError;xyz.hisname.fireflyiii.util.network.CustomCa;javax.net.ssl.SSLSocketFactory getCustomSSL();violating CrySL rule for javax.net.ssl.SSLContext ;First parameter was not properly generated as generated Key Managers;virtualinvoke $r1.<javax.net.ssl.SSLContext: void init(javax.net.ssl.KeyManager[],javax.net.ssl.TrustManager[],java.security.SecureRandom)>(varReplacer27497, $r8, $r7)
ConstraintError;xyz.hisname.fireflyiii.util.network.CustomCa;javax.net.ssl.SSLSocketFactory getCustomSSL();violating CrySL rule for javax.net.ssl.SSLContext (on Object #87c751cca86e0b8dbdc8cd0516e5279363e2b48345cc193dcf5208ed614b061b);First parameter (with value "TLS") should be any of {TLSv1.2, TLSv1.3};$r1 = staticinvoke <javax.net.ssl.SSLContext: javax.net.ssl.SSLContext getInstance(java.lang.String)>(varReplacer27498)
RequiredPredicateError;xyz.hisname.fireflyiii.util.network.CustomCa;javax.net.ssl.SSLSocketFactory getCustomSSL();violating CrySL rule for javax.net.ssl.SSLContext ;Second parameter was not properly generated as generated Trust Managers;virtualinvoke $r1.<javax.net.ssl.SSLContext: void init(javax.net.ssl.KeyManager[],javax.net.ssl.TrustManager[],java.security.SecureRandom)>(varReplacer27497, $r8, $r7)
ConstraintError;androidx.biometric.CryptoObjectUtils;androidx.biometric.BiometricPrompt$CryptoObject createFakeCryptoObject();violating CrySL rule for java.security.KeyStore (on Object #f1ea370883ddccaa11a40368193cd43131576bd31df6830a4c8f84bb0046b327);First parameter (with value "AndroidKeyStore") should be any of {JCEKS, JKS, DKS, PKCS11, PKCS12};$r0 = staticinvoke <java.security.KeyStore: java.security.KeyStore getInstance(java.lang.String)>(varReplacer27793)
RequiredPredicateError;androidx.biometric.CryptoObjectUtils;androidx.biometric.BiometricPrompt$CryptoObject createFakeCryptoObject();violating CrySL rule for javax.crypto.Cipher ;Second parameter was not properly generated as generated Key;virtualinvoke $r6.<javax.crypto.Cipher: void init(int,java.security.Key)>(varReplacer27782, $r5)
ConstraintError;androidx.biometric.CryptoObjectUtils;androidx.biometric.BiometricPrompt$CryptoObject createFakeCryptoObject();violating CrySL rule for javax.crypto.Cipher (on Object #8456eeda32fd039fe94bdc861f17562b08a09d8e28ff56f377ae1d8fe18eabdf);First parameter (with value "AES/CBC/PKCS7Padding") should be any of AES/CBC/{PKCS5Padding, ISO10126Padding};$r6 = staticinvoke <javax.crypto.Cipher: javax.crypto.Cipher getInstance(java.lang.String)>(varReplacer27794)
IncompleteOperationError;com.bumptech.glide.load.engine.DecodePath;com.bumptech.glide.load.engine.Resource decode(com.bumptech.glide.load.data.DataRewinder,int,int,com.bumptech.glide.load.Options,com.bumptech.glide.load.engine.DecodePath$DecodeCallback);violating CrySL rule for java.security.MessageDigest (on Object #7cb6921d68d89e563a85c4540e02f68a58df2a317050ce034833d1e642a7e371);Operation on object of type java.security.MessageDigest object not completed. Expected call to digest, update;interfaceinvoke $r4.<androidx.core.util.Pools$Pool: boolean release(java.lang.Object)>($r6)
IncompleteOperationError;com.bumptech.glide.load.engine.DecodePath;com.bumptech.glide.load.engine.Resource decodeResourceWithList(com.bumptech.glide.load.data.DataRewinder,int,int,com.bumptech.glide.load.Options,java.util.List);violating CrySL rule for java.security.MessageDigest (on Object #7cb6921d68d89e563a85c4540e02f68a58df2a317050ce034833d1e642a7e371);Operation on object of type java.security.MessageDigest object not completed. Expected call to digest, update;specialinvoke $r13.<java.util.ArrayList: void <init>(java.util.Collection)>($r2)
IncompleteOperationError;com.bumptech.glide.load.engine.LoadPath;com.bumptech.glide.load.engine.Resource load(com.bumptech.glide.load.data.DataRewinder,com.bumptech.glide.load.Options,int,int,com.bumptech.glide.load.engine.DecodePath$DecodeCallback);violating CrySL rule for java.security.MessageDigest (on Object #7cb6921d68d89e563a85c4540e02f68a58df2a317050ce034833d1e642a7e371);Operation on object of type java.security.MessageDigest object not completed. Expected call to digest, update;interfaceinvoke $r4.<androidx.core.util.Pools$Pool: boolean release(java.lang.Object)>($r6)
IncompleteOperationError;com.bumptech.glide.load.engine.LoadPath;com.bumptech.glide.load.engine.Resource load(com.bumptech.glide.load.data.DataRewinder,com.bumptech.glide.load.Options,int,int,com.bumptech.glide.load.engine.DecodePath$DecodeCallback);violating CrySL rule for java.security.MessageDigest (on Object #7cb6921d68d89e563a85c4540e02f68a58df2a317050ce034833d1e642a7e371);Operation on object of type java.security.MessageDigest object not completed. Expected call to digest, update;specialinvoke $r13.<java.util.ArrayList: void <init>(java.util.Collection)>($r6)
ConstraintError;okhttp3.internal.platform.AndroidPlatform;javax.net.ssl.SSLContext getSSLContext();violating CrySL rule for javax.net.ssl.SSLContext (on Object #2045ff84841e8f7daef12110a4b325792870b98ea85da74ea6add0a64ff2f5ff);First parameter (with value "TLS") should be any of {TLSv1.2, TLSv1.3};$r2 = staticinvoke <javax.net.ssl.SSLContext: javax.net.ssl.SSLContext getInstance(java.lang.String)>(varReplacer51038)
ConstraintError;okhttp3.internal.platform.ConscryptPlatform;javax.net.ssl.SSLContext getSSLContext();violating CrySL rule for javax.net.ssl.SSLContext (on Object #7f02cc3b803d347c90ec48f73880acb8ba976ee2ef0136e3ef36dca43f1d3594);First parameter (with value "TLS") should be any of {TLSv1.2, TLSv1.3};$r3 = staticinvoke <javax.net.ssl.SSLContext: javax.net.ssl.SSLContext getInstance(java.lang.String,java.security.Provider)>(varReplacer51041, $r2)
ConstraintError;okhttp3.internal.platform.Platform;javax.net.ssl.SSLContext getSSLContext();violating CrySL rule for javax.net.ssl.SSLContext (on Object #60255f140979fbdaf130de6bda5817267d194db6a085f9108a1c352d39e10fb6);First parameter (with value "TLS") should be any of {TLSv1.2, TLSv1.3};$r2 = staticinvoke <javax.net.ssl.SSLContext: javax.net.ssl.SSLContext getInstance(java.lang.String)>(varReplacer51042)
ConstraintError;okio.ByteString;okio.ByteString digest$okio(java.lang.String);violating CrySL rule for java.security.MessageDigest (on Object #ea0840b94e95f767ea25aa35611d3fdb379cdb84c49be399c4ff7525b48fb7fc);First parameter (with value "SHA-1") should be any of {SHA-256, SHA-384, SHA-512};$r2 = staticinvoke <java.security.MessageDigest: java.security.MessageDigest getInstance(java.lang.String)>($r1)
TypestateError;okio.SegmentedByteString;okio.ByteString digest$okio(java.lang.String);violating CrySL rule for java.security.MessageDigest (on Object #6c960e488f21ae2f1d37981b7f790ff5823030d9f242d798118968e0f93ba357);Unexpected call to method <java.security.MessageDigest: byte[] digest()> on object of type java.security.MessageDigest. Expect a call to one of the following methods java.security.MessageDigest: void update(byte[],int,int),java.security.MessageDigest: void update(java.nio.ByteBuffer),java.security.MessageDigest: byte[] digest(byte[]),java.security.MessageDigest: void update(byte[]),java.security.MessageDigest: void update(byte);$r5 = virtualinvoke $r2.<java.security.MessageDigest: byte[] digest()>()
ConstraintError;okio.SegmentedByteString;okio.ByteString digest$okio(java.lang.String);violating CrySL rule for java.security.MessageDigest (on Object #6c960e488f21ae2f1d37981b7f790ff5823030d9f242d798118968e0f93ba357);First parameter (with value "SHA-1") should be any of {SHA-256, SHA-384, SHA-512};$r2 = staticinvoke <java.security.MessageDigest: java.security.MessageDigest getInstance(java.lang.String)>($r1)
RequiredPredicateError;okhttp3.OkHttpClient;void <init>(okhttp3.OkHttpClient$Builder);violating CrySL rule for javax.net.ssl.SSLContext ;First parameter was not properly generated as generated Key Managers;virtualinvoke $r21.<javax.net.ssl.SSLContext: void init(javax.net.ssl.KeyManager[],javax.net.ssl.TrustManager[],java.security.SecureRandom)>(varReplacer42543, $r17, varReplacer42543)
RequiredPredicateError;okhttp3.OkHttpClient;void <init>(okhttp3.OkHttpClient$Builder);violating CrySL rule for javax.net.ssl.SSLContext ;Third parameter was not properly generated as randomized;virtualinvoke $r21.<javax.net.ssl.SSLContext: void init(javax.net.ssl.KeyManager[],javax.net.ssl.TrustManager[],java.security.SecureRandom)>(varReplacer42543, $r17, varReplacer42543)
RequiredPredicateError;okhttp3.OkHttpClient;void <init>(okhttp3.OkHttpClient$Builder);violating CrySL rule for javax.net.ssl.SSLContext ;Second parameter was not properly generated as generated Trust Managers;virtualinvoke $r21.<javax.net.ssl.SSLContext: void init(javax.net.ssl.KeyManager[],javax.net.ssl.TrustManager[],java.security.SecureRandom)>(varReplacer42543, $r17, varReplacer42543)
