ErrorType;Class;Method;ViolatedRule;Object;Statement
TypestateError;com.RNFetchBlob.RNFetchBlobFS;void hash(java.lang.String,java.lang.String,com.facebook.react.bridge.Promise);violating CrySL rule for java.security.MessageDigest (on Object #f9d189b1ef7a2e9b76de4fa91cda5b8b1742aae29ea623b8c637e17c677e9b8a);Unexpected call to method <java.security.MessageDigest: byte[] digest()> on object of type java.security.MessageDigest. Expect a call to one of the following methods java.security.MessageDigest: void update(byte[],int,int),java.security.MessageDigest: void update(java.nio.ByteBuffer),java.security.MessageDigest: byte[] digest(byte[]),java.security.MessageDigest: void update(byte),java.security.MessageDigest: void update(byte[]);$r9 = virtualinvoke $r7.<java.security.MessageDigest: byte[] digest()>()
RequiredPredicateError;com.RNFetchBlob.RNFetchBlobReq;okhttp3.OkHttpClient$Builder enableTls12OnPreLollipop(okhttp3.OkHttpClient$Builder);violating CrySL rule for javax.net.ssl.TrustManagerFactory ;First parameter was not properly generated as generated Key Store;virtualinvoke $r3.<javax.net.ssl.TrustManagerFactory: void init(java.security.KeyStore)>(varReplacer5622)
RequiredPredicateError;com.RNFetchBlob.RNFetchBlobReq;okhttp3.OkHttpClient$Builder enableTls12OnPreLollipop(okhttp3.OkHttpClient$Builder);violating CrySL rule for javax.net.ssl.SSLContext ;Second parameter was not properly generated as generated Trust Managers;virtualinvoke $r7.<javax.net.ssl.SSLContext: void init(javax.net.ssl.KeyManager[],javax.net.ssl.TrustManager[],java.security.SecureRandom)>(varReplacer5627, $r4, varReplacer5627)
ConstraintError;com.RNFetchBlob.RNFetchBlobReq;okhttp3.OkHttpClient$Builder enableTls12OnPreLollipop(okhttp3.OkHttpClient$Builder);violating CrySL rule for javax.net.ssl.SSLContext (on Object #14a6fac6c1c4bcd0b416e9d9a4d5205e1d3db6bfa7d580d039c5e2f9d2a4f26);First parameter (with value "SSL") should be any of {TLSv1.2, TLSv1.3};$r7 = staticinvoke <javax.net.ssl.SSLContext: javax.net.ssl.SSLContext getInstance(java.lang.String)>(varReplacer5623)
RequiredPredicateError;com.RNFetchBlob.RNFetchBlobReq;okhttp3.OkHttpClient$Builder enableTls12OnPreLollipop(okhttp3.OkHttpClient$Builder);violating CrySL rule for javax.net.ssl.SSLContext ;Third parameter was not properly generated as randomized;virtualinvoke $r7.<javax.net.ssl.SSLContext: void init(javax.net.ssl.KeyManager[],javax.net.ssl.TrustManager[],java.security.SecureRandom)>(varReplacer5627, $r4, varReplacer5627)
RequiredPredicateError;com.RNFetchBlob.RNFetchBlobReq;okhttp3.OkHttpClient$Builder enableTls12OnPreLollipop(okhttp3.OkHttpClient$Builder);violating CrySL rule for javax.net.ssl.SSLContext ;First parameter was not properly generated as generated Key Managers;virtualinvoke $r7.<javax.net.ssl.SSLContext: void init(javax.net.ssl.KeyManager[],javax.net.ssl.TrustManager[],java.security.SecureRandom)>(varReplacer5627, $r4, varReplacer5627)
ConstraintError;com.RNFetchBlob.RNFetchBlobUtils;okhttp3.OkHttpClient$Builder getUnsafeOkHttpClient(okhttp3.OkHttpClient);violating CrySL rule for javax.net.ssl.SSLContext (on Object #3d3c598eaa850689d64ed47300f41d371aa6763331b93ffe6efe66dbc6277c12);First parameter (with value "SSL") should be any of {TLSv1.2, TLSv1.3};$r4 = staticinvoke <javax.net.ssl.SSLContext: javax.net.ssl.SSLContext getInstance(java.lang.String)>(varReplacer5633)
RequiredPredicateError;com.RNFetchBlob.RNFetchBlobUtils;okhttp3.OkHttpClient$Builder getUnsafeOkHttpClient(okhttp3.OkHttpClient);violating CrySL rule for javax.net.ssl.SSLContext ;Second parameter was not properly generated as generated Trust Managers;virtualinvoke $r4.<javax.net.ssl.SSLContext: void init(javax.net.ssl.KeyManager[],javax.net.ssl.TrustManager[],java.security.SecureRandom)>(varReplacer5634, $r13, $r0)
RequiredPredicateError;com.RNFetchBlob.RNFetchBlobUtils;okhttp3.OkHttpClient$Builder getUnsafeOkHttpClient(okhttp3.OkHttpClient);violating CrySL rule for javax.net.ssl.SSLContext ;Third parameter was not properly generated as randomized;virtualinvoke $r4.<javax.net.ssl.SSLContext: void init(javax.net.ssl.KeyManager[],javax.net.ssl.TrustManager[],java.security.SecureRandom)>(varReplacer5634, $r13, $r0)
RequiredPredicateError;com.RNFetchBlob.RNFetchBlobUtils;okhttp3.OkHttpClient$Builder getUnsafeOkHttpClient(okhttp3.OkHttpClient);violating CrySL rule for javax.net.ssl.SSLContext ;First parameter was not properly generated as generated Key Managers;virtualinvoke $r4.<javax.net.ssl.SSLContext: void init(javax.net.ssl.KeyManager[],javax.net.ssl.TrustManager[],java.security.SecureRandom)>(varReplacer5634, $r13, $r0)
ConstraintError;com.RNFetchBlob.RNFetchBlobUtils;java.lang.String getMD5(java.lang.String);violating CrySL rule for java.security.MessageDigest (on Object #38e44ab60a6fdfec960e6240c771429d28d78cc4f36115b8097da443a281a1ac);First parameter (with value "MD5") should be any of {SHA-256, SHA-384, SHA-512};$r3 = staticinvoke <java.security.MessageDigest: java.security.MessageDigest getInstance(java.lang.String)>(varReplacer5638)
