ErrorType;Class;Method;ViolatedRule;Object;Statement;ExternalLibrary;PossibleExternal
RequiredPredicateError;c.b.a.b.b;void <init>(android.content.Context);violating CrySL rule for javax.crypto.spec.SecretKeySpec ;First parameter was not properly generated as prepared Key Material;specialinvoke $r11.<javax.crypto.spec.SecretKeySpec: void <init>(byte[],java.lang.String)>($r8, varReplacer4624);false;false
ConstraintError;c.b.a.b.b;void <init>(android.content.Context);violating CrySL rule for javax.crypto.Cipher (on Object #8f813e5d8018b84f103d6168d04cc8f5e90f8a81efa5ef193b1bb546322a66a6);First parameter (with value "AES/CBC/PKCS7Padding") should be any of AES/CBC/{PKCS5Padding, ISO10126Padding};$r7 = staticinvoke <javax.crypto.Cipher: javax.crypto.Cipher getInstance(java.lang.String)>(varReplacer4623);false;false
RequiredPredicateError;c.b.a.b.b;byte[] a(byte[]);violating CrySL rule for javax.crypto.spec.IvParameterSpec ;First parameter was not properly generated as randomized;specialinvoke $r5.<javax.crypto.spec.IvParameterSpec: void <init>(byte[])>($r3);false;false
RequiredPredicateError;c.b.a.b.b;byte[] b(byte[]);violating CrySL rule for javax.crypto.spec.IvParameterSpec ;First parameter was not properly generated as randomized;specialinvoke $r1.<javax.crypto.spec.IvParameterSpec: void <init>(byte[])>($r2);false;false
ConstraintError;androidx.biometric.h;androidx.biometric.BiometricPrompt$c a();violating CrySL rule for javax.crypto.Cipher (on Object #b011b4b3034cf84c39d65805c2fd7c0d58db82f8141dd0ceee5945f77ae84448);First parameter (with value "AES/CBC/PKCS7Padding") should be any of AES/CBC/{PKCS5Padding, ISO10126Padding};$r6 = staticinvoke <javax.crypto.Cipher: javax.crypto.Cipher getInstance(java.lang.String)>(varReplacer6245);true;true
ConstraintError;androidx.biometric.h;androidx.biometric.BiometricPrompt$c a();violating CrySL rule for java.security.KeyStore (on Object #6444b1a9d459e14d0d5a0251019194451eae561b73bdbfabbc41c46262492de7);First parameter (with value "AndroidKeyStore") should be any of {JCEKS, JKS, DKS, PKCS11, PKCS12};$r0 = staticinvoke <java.security.KeyStore: java.security.KeyStore getInstance(java.lang.String)>(varReplacer6246);true;true
RequiredPredicateError;androidx.biometric.h;androidx.biometric.BiometricPrompt$c a();violating CrySL rule for javax.crypto.Cipher ;Second parameter was not properly generated as generated Key;virtualinvoke $r6.<javax.crypto.Cipher: void init(int,java.security.Key)>(varReplacer6247, $r5);true;true
ConstraintError;c.b.a.b.a;void b(android.content.Context);violating CrySL rule for java.security.KeyStore (on Object #7776a01f4df1a2180dff7fd16e3ab36e6db846089d330b6228ed2cda4ceccd3c);First parameter (with value "AndroidKeyStore") should be any of {JCEKS, JKS, DKS, PKCS11, PKCS12};$r3 = staticinvoke <java.security.KeyStore: java.security.KeyStore getInstance(java.lang.String)>(varReplacer8747);false;false
ConstraintError;c.b.a.b.a;java.security.PrivateKey c();violating CrySL rule for java.security.KeyStore (on Object #51bcd20b637d21e5deda32ca0774d3eef207861f6c0f882d7ca5988c1a0ef65c);First parameter (with value "AndroidKeyStore") should be any of {JCEKS, JKS, DKS, PKCS11, PKCS12};$r1 = staticinvoke <java.security.KeyStore: java.security.KeyStore getInstance(java.lang.String)>(varReplacer8751);false;false
TypestateError;c.b.a.b.a;byte[] l(java.security.Key);violating CrySL rule for javax.crypto.Cipher (on Object #31c1c4921f13e1f87d79f1b6432da14d5faf6ddc8e9c7c4740bba9a4767e7ea2);Unexpected call to method wrap on object of type javax.crypto.Cipher. Expect a call to one of the following methods init,updateAAD;$r4 = virtualinvoke $r3.<javax.crypto.Cipher: byte[] wrap(java.security.Key)>($r1);false;false
ConstraintError;c.b.a.b.a;java.security.PublicKey d();violating CrySL rule for java.security.KeyStore (on Object #ef9c45e0c3cd05cc9aec67adf1b2d1f4c5de9643772ddc5a3dfa01fb87e2e27d);First parameter (with value "AndroidKeyStore") should be any of {JCEKS, JKS, DKS, PKCS11, PKCS12};$r1 = staticinvoke <java.security.KeyStore: java.security.KeyStore getInstance(java.lang.String)>(varReplacer8757);false;false
RequiredPredicateError;c.b.a.b.a;java.security.Key k(byte[],java.lang.String);violating CrySL rule for javax.crypto.Cipher ;Second parameter was not properly generated as generated Key;virtualinvoke $r4.<javax.crypto.Cipher: void init(int,java.security.Key)>(varReplacer6985, $r3);false;false
RequiredPredicateError;c.b.a.b.a;void a(android.content.Context);violating CrySL rule for java.security.KeyPairGenerator ;First parameter was not properly generated as prepared R S A;virtualinvoke $r6.<java.security.KeyPairGenerator: void initialize(java.security.spec.AlgorithmParameterSpec)>($r7);false;false
