ErrorType;Class;Method;ViolatedRule;Object;Statement;ExternalLibrary;PossibleExternal
RequiredPredicateError;com.jens.automation2.AESCrypt;byte[] decrypt(javax.crypto.spec.SecretKeySpec,byte[],byte[]);violating CrySL rule for javax.crypto.Cipher ;Second parameter was not properly generated as generated Key;virtualinvoke $r4.<javax.crypto.Cipher: void init(int,java.security.Key,java.security.spec.AlgorithmParameterSpec)>(varReplacer1220, $r2, $r1);false;true
TypestateError;com.jens.automation2.AESCrypt;byte[] decrypt(javax.crypto.spec.SecretKeySpec,byte[],byte[]);violating CrySL rule for javax.crypto.Cipher (on Object #adac5d3ea44d96e503f6b53e17f572d28f18c8fe3a0e909ff8f2be2f3668e4d9);Unexpected call to method doFinal on object of type javax.crypto.Cipher. Expect a call to one of the following methods init,updateAAD;$r3 = virtualinvoke $r4.<javax.crypto.Cipher: byte[] doFinal(byte[])>($r0);false;true
ConstraintError;com.jens.automation2.AESCrypt;byte[] decrypt(javax.crypto.spec.SecretKeySpec,byte[],byte[]);violating CrySL rule for javax.crypto.Cipher (on Object #adac5d3ea44d96e503f6b53e17f572d28f18c8fe3a0e909ff8f2be2f3668e4d9);First parameter (with value "AES/CBC/PKCS7Padding") should be any of AES/CBC/{PKCS5Padding, ISO10126Padding};$r4 = staticinvoke <javax.crypto.Cipher: javax.crypto.Cipher getInstance(java.lang.String)>(varReplacer1219);false;true
RequiredPredicateError;com.jens.automation2.AESCrypt;byte[] decrypt(javax.crypto.spec.SecretKeySpec,byte[],byte[]);violating CrySL rule for javax.crypto.spec.IvParameterSpec ;First parameter was not properly generated as randomized;specialinvoke $r1.<javax.crypto.spec.IvParameterSpec: void <init>(byte[])>($r3);false;true
TypestateError;com.jens.automation2.AESCrypt;byte[] encrypt(javax.crypto.spec.SecretKeySpec,byte[],byte[]);violating CrySL rule for javax.crypto.Cipher (on Object #e94c5f5a75dd1cbbda03e5dade99eb5409a5f217c44fa0718c5fffc46b8c63f3);Unexpected call to method doFinal on object of type javax.crypto.Cipher. Expect a call to one of the following methods init,updateAAD;$r3 = virtualinvoke $r4.<javax.crypto.Cipher: byte[] doFinal(byte[])>($r0);false;true
RequiredPredicateError;com.jens.automation2.AESCrypt;byte[] encrypt(javax.crypto.spec.SecretKeySpec,byte[],byte[]);violating CrySL rule for javax.crypto.spec.IvParameterSpec ;First parameter was not properly generated as randomized;specialinvoke $r1.<javax.crypto.spec.IvParameterSpec: void <init>(byte[])>($r3);false;true
RequiredPredicateError;com.jens.automation2.AESCrypt;byte[] encrypt(javax.crypto.spec.SecretKeySpec,byte[],byte[]);violating CrySL rule for javax.crypto.Cipher ;Third parameter was not properly generated as prepared I V;virtualinvoke $r4.<javax.crypto.Cipher: void init(int,java.security.Key,java.security.spec.AlgorithmParameterSpec)>(varReplacer2410, $r2, $r1);false;true
RequiredPredicateError;com.jens.automation2.AESCrypt;byte[] encrypt(javax.crypto.spec.SecretKeySpec,byte[],byte[]);violating CrySL rule for javax.crypto.Cipher ;Second parameter was not properly generated as generated Key;virtualinvoke $r4.<javax.crypto.Cipher: void init(int,java.security.Key,java.security.spec.AlgorithmParameterSpec)>(varReplacer2410, $r2, $r1);false;true
ConstraintError;com.jens.automation2.AESCrypt;byte[] encrypt(javax.crypto.spec.SecretKeySpec,byte[],byte[]);violating CrySL rule for javax.crypto.Cipher (on Object #e94c5f5a75dd1cbbda03e5dade99eb5409a5f217c44fa0718c5fffc46b8c63f3);First parameter (with value "AES/CBC/PKCS7Padding") should be any of AES/CBC/{PKCS5Padding, ISO10126Padding};$r4 = staticinvoke <javax.crypto.Cipher: javax.crypto.Cipher getInstance(java.lang.String)>(varReplacer2412);false;true
RequiredPredicateError;com.jens.automation2.AESCrypt;javax.crypto.spec.SecretKeySpec generateKey(java.lang.String);violating CrySL rule for javax.crypto.spec.SecretKeySpec ;First parameter was not properly generated as prepared Key Material;specialinvoke $r3.<javax.crypto.spec.SecretKeySpec: void <init>(byte[],java.lang.String)>($r2, varReplacer1224);false;true
RequiredPredicateError;com.jens.automation2.Actions;org.apache.http.client.HttpClient getInsecureSslClient(org.apache.http.client.HttpClient);violating CrySL rule for javax.net.ssl.SSLContext ;Second parameter was not properly generated as generated Trust Managers;virtualinvoke $r3.<javax.net.ssl.SSLContext: void init(javax.net.ssl.KeyManager[],javax.net.ssl.TrustManager[],java.security.SecureRandom)>(varReplacer12598, varReplacer12598, varReplacer12598);false;true
RequiredPredicateError;com.jens.automation2.Actions;org.apache.http.client.HttpClient getInsecureSslClient(org.apache.http.client.HttpClient);violating CrySL rule for javax.net.ssl.SSLContext ;Third parameter was not properly generated as randomized;virtualinvoke $r3.<javax.net.ssl.SSLContext: void init(javax.net.ssl.KeyManager[],javax.net.ssl.TrustManager[],java.security.SecureRandom)>(varReplacer12598, varReplacer12598, varReplacer12598);false;true
RequiredPredicateError;com.jens.automation2.Actions;org.apache.http.client.HttpClient getInsecureSslClient(org.apache.http.client.HttpClient);violating CrySL rule for javax.net.ssl.SSLContext ;First parameter was not properly generated as generated Key Managers;virtualinvoke $r3.<javax.net.ssl.SSLContext: void init(javax.net.ssl.KeyManager[],javax.net.ssl.TrustManager[],java.security.SecureRandom)>(varReplacer12598, varReplacer12598, varReplacer12598);false;true
ConstraintError;com.jens.automation2.Actions;org.apache.http.client.HttpClient getInsecureSslClient(org.apache.http.client.HttpClient);violating CrySL rule for javax.net.ssl.SSLContext (on Object #29dcce99f3e26ecb2f5fbf3897d9a5d16d00076eb20bcba86aa8ddd4d2ffa5ff);First parameter (with value "TLS") should be any of {TLSv1.2, TLSv1.3};$r3 = staticinvoke <javax.net.ssl.SSLContext: javax.net.ssl.SSLContext getInstance(java.lang.String)>(varReplacer12597);false;true
