ErrorType;Class;Method;ViolatedRule;Object;Statement;ExternalLibrary;PossibleExternal
ConstraintError;c.a.a.f.b.b;javax.crypto.SecretKey c(java.lang.String);violating CrySL rule for javax.crypto.Cipher (on Object #fe6a13b33262cada5860c3b74c56c2b80c241bc64900a4bd0a37a8c67a184ab);First parameter (with value "AES/CBC/NoPadding") should be any of AES/CBC/{PKCS5Padding, ISO10126Padding};$r9 = staticinvoke <javax.crypto.Cipher: javax.crypto.Cipher getInstance(java.lang.String)>(varReplacer944);false;false
RequiredPredicateError;c.a.a.f.b.b;javax.crypto.SecretKey c(java.lang.String);violating CrySL rule for javax.crypto.Cipher ;Second parameter was not properly generated as generated Key;virtualinvoke $r9.<javax.crypto.Cipher: void init(int,java.security.Key)>(varReplacer943, $r8);false;false
ConstraintError;c.a.a.f.b.b;java.security.KeyStore d();violating CrySL rule for java.security.KeyStore (on Object #fb3630cfa18da61c0c7db9f4e0a01e5beb408e9b592a6c64b6d85403e988e249);First parameter (with value "AndroidKeyStore") should be any of {JCEKS, JKS, DKS, PKCS11, PKCS12};$r0 = staticinvoke <java.security.KeyStore: java.security.KeyStore getInstance(java.lang.String)>(varReplacer949);false;false
RequiredPredicateError;c.a.a.f.b.b;boolean f(int);violating CrySL rule for javax.crypto.Cipher ;Third parameter was not properly generated as prepared I V;virtualinvoke $r11.<javax.crypto.Cipher: void init(int,java.security.Key,java.security.spec.AlgorithmParameterSpec)>(varReplacer1059, $r5, $r12);false;false
RequiredPredicateError;c.a.a.f.b.b;boolean f(int);violating CrySL rule for javax.crypto.spec.IvParameterSpec ;First parameter was not properly generated as randomized;specialinvoke $r12.<javax.crypto.spec.IvParameterSpec: void <init>(byte[])>($r7);false;false
IncompleteOperationError;c.a.a.f.b.b;boolean f(int);violating CrySL rule for java.security.KeyStore (on Object #fb3630cfa18da61c0c7db9f4e0a01e5beb408e9b592a6c64b6d85403e988e249);Operation on object of type java.security.KeyStore object not completed. Expected call to store;virtualinvoke $r6.<java.security.KeyStore: void setEntry(java.lang.String,java.security.KeyStore$Entry,java.security.KeyStore$ProtectionParameter)>($r2, $r8, $r9);false;false
ConstraintError;c.a.a.f.b.b;boolean f(int);violating CrySL rule for javax.crypto.Cipher (on Object #2150cf2ec7f1d1f1646601aa15babb1b7756347cb1f626229ad84a6e287268a);First parameter (with value "AES/CBC/NoPadding") should be any of AES/CBC/{PKCS5Padding, ISO10126Padding};$r11 = staticinvoke <javax.crypto.Cipher: javax.crypto.Cipher getInstance(java.lang.String)>(varReplacer1051);false;false
RequiredPredicateError;c.a.a.f.b.b;boolean f(int);violating CrySL rule for javax.crypto.spec.SecretKeySpec ;First parameter was not properly generated as prepared Key Material;specialinvoke $r0.<javax.crypto.spec.SecretKeySpec: void <init>(byte[],java.lang.String)>($r7, varReplacer1053);false;false
RequiredPredicateError;c.a.a.f.b.b;boolean f(int);violating CrySL rule for javax.crypto.Cipher ;Second parameter was not properly generated as generated Key;virtualinvoke $r11.<javax.crypto.Cipher: void init(int,java.security.Key,java.security.spec.AlgorithmParameterSpec)>(varReplacer1059, $r5, $r12);false;false
RequiredPredicateError;c.a.a.f.b.b;java.lang.String e(c.a.a.f.b.a);violating CrySL rule for javax.crypto.spec.SecretKeySpec ;First parameter was not properly generated as prepared Key Material;specialinvoke $r9.<javax.crypto.spec.SecretKeySpec: void <init>(byte[],java.lang.String)>($r4, varReplacer3834);false;false
IncompleteOperationError;c.a.a.f.b.b;java.lang.String e(c.a.a.f.b.a);violating CrySL rule for java.security.KeyStore (on Object #fb3630cfa18da61c0c7db9f4e0a01e5beb408e9b592a6c64b6d85403e988e249);Operation on object of type java.security.KeyStore object not completed. Expected call to store;virtualinvoke $r1.<java.security.KeyStore: void setEntry(java.lang.String,java.security.KeyStore$Entry,java.security.KeyStore$ProtectionParameter)>($r8, $r10, $r11);false;false
ConstraintError;c.a.a.b.a;javax.crypto.Mac a();violating CrySL rule for javax.crypto.Mac (on Object #85162fb3b703b9e45aae14af8b4cb326e5e9a80d0b400dc537aa8f3967740306);First parameter (with value "AESMAC") should be any of {HmacSHA256, HmacSHA384, HmacSHA512, HmacPBESHA1, PBEWithHmacSHA1, PBEWithHmacSHA224, PBEWithHmacSHA256, PBEWithHmacSHA384, PBEWithHmacSHA512};$r2 = staticinvoke <javax.crypto.Mac: javax.crypto.Mac getInstance(java.lang.String,java.lang.String)>(varReplacer4726, varReplacer4727);false;false
RequiredPredicateError;c.a.a.b.l;int a(c.a.a.f.a.a,byte[]);violating CrySL rule for javax.crypto.Mac ;First parameter was not properly generated as generated Key;virtualinvoke $r4.<javax.crypto.Mac: void init(java.security.Key)>($r3);false;false
TypestateError;c.a.a.b.l;int a(c.a.a.f.a.a,byte[]);violating CrySL rule for javax.crypto.Mac (on Object #85162fb3b703b9e45aae14af8b4cb326e5e9a80d0b400dc537aa8f3967740306);Unexpected call to method init on object of type javax.crypto.Mac. Expect a call to one of the following methods getInstance;virtualinvoke $r4.<javax.crypto.Mac: void init(java.security.Key)>($r3);false;false
RequiredPredicateError;c.a.a.f.a.d;boolean f(c.a.a.f.a.a);violating CrySL rule for javax.crypto.Cipher ;Second parameter was not properly generated as generated Key;virtualinvoke $r4.<javax.crypto.Cipher: void init(int,java.security.Key)>(varReplacer5411, $r3);false;false
ConstraintError;c.a.a.f.a.d;boolean f(c.a.a.f.a.a);violating CrySL rule for javax.crypto.Cipher (on Object #920a19ce3e513d003e9bab20967a7d56cc33d3573ea006d7f611633c64828fb8);First parameter (with value "AES/CBC/NoPadding") should be any of AES/CBC/{PKCS5Padding, ISO10126Padding};$r4 = staticinvoke <javax.crypto.Cipher: javax.crypto.Cipher getInstance(java.lang.String)>(varReplacer5410);false;false
ConstraintError;c.a.a.c.g;void c();violating CrySL rule for javax.crypto.Cipher (on Object #b415758e55ef6efd200988ca7165c748d9cf204c0609fe2f40cdfd376ef8988a);First parameter (with value "RSA/ECB/OAEPPadding") should be any of RSA/ECB/{NoPadding, PKCS1Padding, OAEPWithMD5AndMGF1Padding, OAEPWithSHA-224AndMGF1Padding, OAEPWithSHA-256AndMGF1Padding, OAEPWithSHA-384AndMGF1Padding, OAEPWithSHA-512AndMGF1Padding};$r1 = staticinvoke <javax.crypto.Cipher: javax.crypto.Cipher getInstance(java.lang.String)>(varReplacer5447);false;false
RequiredPredicateError;c.a.a.c.g;void c();violating CrySL rule for java.security.Signature ;First parameter was not properly generated as generated Pubkey;virtualinvoke $r3.<java.security.Signature: void initVerify(java.security.PublicKey)>($r2);false;false
RequiredPredicateError;c.a.a.c.g;void c();violating CrySL rule for javax.crypto.Cipher ;Second parameter was not properly generated as generated Key;virtualinvoke $r1.<javax.crypto.Cipher: void init(int,java.security.Key)>(varReplacer5446, $r2);false;false
