ErrorType;Class;Method;ViolatedRule;Object;Statement;ExternalLibrary
ConstraintError;androidx.biometric.CryptoObjectUtils;androidx.biometric.BiometricPrompt$CryptoObject createFakeCryptoObject();violating CrySL rule for java.security.KeyStore (on Object #6b68598f601a9a5c87d14fd237b88b8358ecd5b7f6e9efbece59846308330d70);First parameter (with value "AndroidKeyStore") should be any of {JCEKS, JKS, DKS, PKCS11, PKCS12};$r0 = staticinvoke <java.security.KeyStore: java.security.KeyStore getInstance(java.lang.String)>(varReplacer3958);true
RequiredPredicateError;androidx.biometric.CryptoObjectUtils;androidx.biometric.BiometricPrompt$CryptoObject createFakeCryptoObject();violating CrySL rule for javax.crypto.Cipher ;Second parameter was not properly generated as generated Key;virtualinvoke $r6.<javax.crypto.Cipher: void init(int,java.security.Key)>(varReplacer3954, $r5);true
ConstraintError;androidx.biometric.CryptoObjectUtils;androidx.biometric.BiometricPrompt$CryptoObject createFakeCryptoObject();violating CrySL rule for javax.crypto.Cipher (on Object #e27d6871ff1c82d15c32c0aeab70bc70a323c4e310e181b683c3ba9de5fc31d);First parameter (with value "AES/CBC/PKCS7Padding") should be any of AES/CBC/{PKCS5Padding, ISO10126Padding};$r6 = staticinvoke <javax.crypto.Cipher: javax.crypto.Cipher getInstance(java.lang.String)>(varReplacer3959);true
RequiredPredicateError;com.trilead.ssh2.channel.AuthAgentForwardThread;void processSignRequest(com.trilead.ssh2.packets.TypesReader);violating CrySL rule for java.security.Signature ;First parameter was not properly generated as generated Privkey;virtualinvoke $r18.<java.security.Signature: void initSign(java.security.PrivateKey)>($r12);true
ConstraintError;com.trilead.ssh2.channel.AuthAgentForwardThread;void processSignRequest(com.trilead.ssh2.packets.TypesReader);violating CrySL rule for java.security.Signature (on Object #184b7dc08df33f850cc441f16501a72e886f1df21ff8c94f14308f7fcf52ed01);First parameter (with value "SHA1withDSA") should be any of {SHA256withRSA, SHA256withECDSA, SHA256withDSA, SHA384withRSA, SHA512withRSA, SHA384withECDSA, SHA512withECDSA};$r18 = staticinvoke <java.security.Signature: java.security.Signature getInstance(java.lang.String)>(varReplacer7195);true
RequiredPredicateError;com.trilead.ssh2.channel.AuthAgentForwardThread;void addIdentity(com.trilead.ssh2.packets.TypesReader,boolean);violating CrySL rule for java.security.KeyPair ;First parameter was not properly generated as generated Pubkey;specialinvoke $r40.<java.security.KeyPair: void <init>(java.security.PublicKey,java.security.PrivateKey)>($r29, $r30);true
RequiredPredicateError;com.trilead.ssh2.channel.AuthAgentForwardThread;void addIdentity(com.trilead.ssh2.packets.TypesReader,boolean);violating CrySL rule for java.security.KeyFactory ;First parameter was not properly generated as specced Key;$r29 = virtualinvoke $r28.<java.security.KeyFactory: java.security.PublicKey generatePublic(java.security.spec.KeySpec)>($r41);true
RequiredPredicateError;com.trilead.ssh2.channel.AuthAgentForwardThread;void addIdentity(com.trilead.ssh2.packets.TypesReader,boolean);violating CrySL rule for java.security.KeyPair ;Second parameter was not properly generated as generated Privkey;specialinvoke $r40.<java.security.KeyPair: void <init>(java.security.PublicKey,java.security.PrivateKey)>($r29, $r30);true
ConstraintError;com.trilead.ssh2.auth.AuthenticationManager;boolean authenticatePublicKey(java.lang.String,char[],java.lang.String,java.security.SecureRandom);violating CrySL rule for java.security.Signature (on Object #1533fe435190641badffcc0341c0547f0fef4488cd3de99258a077aafa1efb4c);First parameter (with value "SHA1withDSA") should be any of {SHA256withRSA, SHA256withECDSA, SHA256withDSA, SHA384withRSA, SHA512withRSA, SHA384withECDSA, SHA512withECDSA};$r48 = staticinvoke <java.security.Signature: java.security.Signature getInstance(java.lang.String)>(varReplacer7393);true
RequiredPredicateError;com.trilead.ssh2.auth.AuthenticationManager;boolean authenticatePublicKey(java.lang.String,char[],java.lang.String,java.security.SecureRandom);violating CrySL rule for java.security.KeyPair ;Second parameter was not properly generated as generated Privkey;specialinvoke $r72.<java.security.KeyPair: void <init>(java.security.PublicKey,java.security.PrivateKey)>($r71, $r70);true
RequiredPredicateError;com.trilead.ssh2.auth.AuthenticationManager;boolean authenticatePublicKey(java.lang.String,char[],java.lang.String,java.security.SecureRandom);violating CrySL rule for java.security.Signature ;First parameter was not properly generated as generated Privkey;virtualinvoke $r48.<java.security.Signature: void initSign(java.security.PrivateKey)>($r42);true
RequiredPredicateError;com.trilead.ssh2.auth.AuthenticationManager;boolean authenticatePublicKey(java.lang.String,char[],java.lang.String,java.security.SecureRandom);violating CrySL rule for java.security.KeyPair ;First parameter was not properly generated as generated Pubkey;specialinvoke $r72.<java.security.KeyPair: void <init>(java.security.PublicKey,java.security.PrivateKey)>($r71, $r70);true
ConstraintError;com.trilead.ssh2.crypto.PEMDecoder;byte[] decryptData(byte[],byte[],byte[],int,java.lang.String);violating CrySL rule for java.security.MessageDigest (on Object #ed0cb5246b151581f8012f0a1a4f02b08864181527c6665294541985d03213b2);First parameter (with value "MD5") should be any of {SHA-256, SHA-384, SHA-512};$r9 = staticinvoke <java.security.MessageDigest: java.security.MessageDigest getInstance(java.lang.String)>(varReplacer7508);true
IncompleteOperationError;com.trilead.ssh2.crypto.PEMDecoder;byte[] decryptData(byte[],byte[],byte[],int,java.lang.String);violating CrySL rule for javax.crypto.Cipher (on Object #caddd287460ad4aa4c71d608084ef4d6c686608a011add9668e95363f6eb4d34);Operation on object of type javax.crypto.Cipher object not completed. Expected call to init;specialinvoke $r27.<com.trilead.ssh2.crypto.cipher.AES$CBC: void <init>()>();true
IncompleteOperationError;com.trilead.ssh2.crypto.PEMDecoder;byte[] decryptData(byte[],byte[],byte[],int,java.lang.String);violating CrySL rule for javax.crypto.Cipher (on Object #caddd287460ad4aa4c71d608084ef4d6c686608a011add9668e95363f6eb4d34);Operation on object of type javax.crypto.Cipher object not completed. Expected call to init;specialinvoke $r27.<com.trilead.ssh2.crypto.cipher.AES$CBC: void <init>()>();true
IncompleteOperationError;com.trilead.ssh2.crypto.PEMDecoder;byte[] decryptData(byte[],byte[],byte[],int,java.lang.String);violating CrySL rule for javax.crypto.Cipher (on Object #caddd287460ad4aa4c71d608084ef4d6c686608a011add9668e95363f6eb4d34);Operation on object of type javax.crypto.Cipher object not completed. Expected call to init;specialinvoke $r27.<com.trilead.ssh2.crypto.cipher.AES$CBC: void <init>()>();true
IncompleteOperationError;com.trilead.ssh2.crypto.PEMDecoder;byte[] decryptData(byte[],byte[],byte[],int,java.lang.String);violating CrySL rule for javax.crypto.Cipher (on Object #a874d433a7395a88a4100ce62ecd1c63ac37341a9c4bf16bbaeaa0545698e47);Operation on object of type javax.crypto.Cipher object not completed. Expected call to init;specialinvoke $r26.<com.trilead.ssh2.crypto.cipher.AES$CTR: void <init>()>();true
IncompleteOperationError;com.trilead.ssh2.crypto.PEMDecoder;byte[] decryptData(byte[],byte[],byte[],int,java.lang.String);violating CrySL rule for javax.crypto.Cipher (on Object #a874d433a7395a88a4100ce62ecd1c63ac37341a9c4bf16bbaeaa0545698e47);Operation on object of type javax.crypto.Cipher object not completed. Expected call to init;specialinvoke $r26.<com.trilead.ssh2.crypto.cipher.AES$CTR: void <init>()>();true
