ErrorType;Class;Method;ViolatedRule;Object;Statement;ExternalLibrary
ConstraintError;d.c;android.content.SharedPreferences s(android.content.Context);violating CrySL rule for java.security.KeyStore (on Object #8b85a0c845adcea3549f28096649fad98b7d99f0dbeef8d49bae73c466fb643d);First parameter (with value "AndroidKeyStore") should be any of {JCEKS, JKS, DKS, PKCS11, PKCS12};$r6 = staticinvoke <java.security.KeyStore: java.security.KeyStore getInstance(java.lang.String)>(varReplacer177);false
ConstraintError;androidx.biometric.p;androidx.biometric.l a();violating CrySL rule for javax.crypto.Cipher (on Object #a82f8f35a9c4073a320f71651ebbc10fcde161660d24f5abd2ed1746968f453);First parameter (with value "AES/CBC/PKCS7Padding") should be any of AES/CBC/{PKCS5Padding, ISO10126Padding};$r6 = staticinvoke <javax.crypto.Cipher: javax.crypto.Cipher getInstance(java.lang.String)>(varReplacer7517);true
ConstraintError;androidx.biometric.p;androidx.biometric.l a();violating CrySL rule for java.security.KeyStore (on Object #ea6ead920d0d7f5b44e6f5fe4ad4b86bf9cbac92cd293943428d62b6ae117dbf);First parameter (with value "AndroidKeyStore") should be any of {JCEKS, JKS, DKS, PKCS11, PKCS12};$r0 = staticinvoke <java.security.KeyStore: java.security.KeyStore getInstance(java.lang.String)>(varReplacer7525);true
RequiredPredicateError;androidx.biometric.p;androidx.biometric.l a();violating CrySL rule for javax.crypto.Cipher ;Second parameter was not properly generated as generated Key;virtualinvoke $r6.<javax.crypto.Cipher: void init(int,java.security.Key)>(varReplacer7520, $r5);true
ConstraintError;r3.c;boolean d(java.lang.String);violating CrySL rule for java.security.KeyStore (on Object #991feabbab97dc290e08d373e0065677ee412956ee087ab2109f334d93aa7e6b);First parameter (with value "AndroidKeyStore") should be any of {JCEKS, JKS, DKS, PKCS11, PKCS12};$r4 = staticinvoke <java.security.KeyStore: java.security.KeyStore getInstance(java.lang.String)>(varReplacer7745);false
ConstraintError;r3.c$a;void <init>();violating CrySL rule for java.security.KeyStore (on Object #11164657e072044008335d67c16b72450f93cc97e9c49291ad160709f301cfac);First parameter (with value "AndroidKeyStore") should be any of {JCEKS, JKS, DKS, PKCS11, PKCS12};$r1 = staticinvoke <java.security.KeyStore: java.security.KeyStore getInstance(java.lang.String)>(varReplacer11921);false
RequiredPredicateError;s3.b$a;java.lang.Object a(java.lang.Object);violating CrySL rule for javax.crypto.spec.SecretKeySpec ;First parameter was not properly generated as prepared Key Material;specialinvoke $r1.<javax.crypto.spec.SecretKeySpec: void <init>(byte[],java.lang.String)>($r7, varReplacer12020);false
ConstraintError;s3.b$a;java.lang.Object a(java.lang.Object);violating CrySL rule for javax.crypto.spec.SecretKeySpec (on Object #f73648bdfed90602bfbdb50e123ef0ab5d0ae44432d0093cac41c96cf38d4049);Second parameter (with value "HMAC") should be any of {AES, HmacSHA256, HmacSHA384, HmacSHA512};specialinvoke $r1.<javax.crypto.spec.SecretKeySpec: void <init>(byte[],java.lang.String)>($r7, varReplacer12020);false
IncompleteOperationError;g4.a;n4.a n(n4.b,int);violating CrySL rule for javax.crypto.Cipher (on Object #22248de2e2f987fc567b10f1451ccda2a7ffde66242d04cd1e05253fd1743082);Operation on object of type javax.crypto.Cipher object not completed. Expected call to init;$i2 = virtualinvoke $r14.<javax.crypto.Cipher: int getBlockSize()>();false
TypestateError;g4.a;void l(android.net.Uri,java.lang.String,java.util.List,byte[]);violating CrySL rule for javax.crypto.CipherOutputStream (on Object #5b748ba51407ff1a98fed78e164960738e0315c9abdf029b2e29d5c5482185ff);Unexpected call to method close on object of type javax.crypto.CipherOutputStream. Expect a call to one of the following methods write;virtualinvoke $r14.<java.io.OutputStream: void close()>();false
IncompleteOperationError;g4.a;void l(android.net.Uri,java.lang.String,java.util.List,byte[]);violating CrySL rule for javax.crypto.CipherOutputStream (on Object #5b748ba51407ff1a98fed78e164960738e0315c9abdf029b2e29d5c5482185ff);Operation on object of type javax.crypto.CipherOutputStream object not completed. Expected call to java.lang.AutoCloseable: void close(), java.io.FilterOutputStream: void close(), javax.crypto.CipherOutputStream: void close(), java.io.OutputStream: void close(), java.io.Closeable: void close(), write;virtualinvoke $r14.<java.io.OutputStream: void close()>();false
IncompleteOperationError;p4.c;void <clinit>();violating CrySL rule for javax.crypto.Cipher (on Object #c2a599e87887526521f7b6f63ef07b27b2596edf25dfe4d3d3e9885b85e122f9);Operation on object of type javax.crypto.Cipher object not completed. Expected call to init;$i0 = virtualinvoke $r3.<javax.crypto.Cipher: int getBlockSize()>();false
NeverTypeOfError;p4.c;javax.crypto.SecretKey c(java.lang.String,byte[],java.lang.String,java.lang.String,int);violating CrySL rule for javax.crypto.spec.PBEKeySpec (on Object #9518c029a053179498f6512985b5da2e728334c70c3113a7f843e606b29eb2f4);First parameter should never be of type java.lang.String.;specialinvoke $r5.<javax.crypto.spec.PBEKeySpec: void <init>(char[],byte[],int,int)>($r6, $r1, varReplacer23567, varReplacer23568);false
HardCodedError;p4.c;javax.crypto.SecretKey c(java.lang.String,byte[],java.lang.String,java.lang.String,int);violating CrySL rule for javax.crypto.spec.PBEKeySpec (on Object #9518c029a053179498f6512985b5da2e728334c70c3113a7f843e606b29eb2f4);First parameter should never be hardcoded.;specialinvoke $r5.<javax.crypto.spec.PBEKeySpec: void <init>(char[],byte[],int,int)>($r6, $r1, varReplacer23567, varReplacer23568);false
RequiredPredicateError;p4.c;javax.crypto.SecretKey c(java.lang.String,byte[],java.lang.String,java.lang.String,int);violating CrySL rule for javax.crypto.spec.SecretKeySpec ;First parameter was not properly generated as prepared Key Material;specialinvoke $r8.<javax.crypto.spec.SecretKeySpec: void <init>(byte[],java.lang.String)>($r1, $r0);false
ConstraintError;p4.c;javax.crypto.SecretKey c(java.lang.String,byte[],java.lang.String,java.lang.String,int);violating CrySL rule for javax.crypto.spec.PBEKeySpec (on Object #9518c029a053179498f6512985b5da2e728334c70c3113a7f843e606b29eb2f4);Third parameter (with value 2020)Variable iterationCountmust be  at least 10000;specialinvoke $r5.<javax.crypto.spec.PBEKeySpec: void <init>(char[],byte[],int,int)>($r6, $r1, varReplacer23567, varReplacer23568);false
RequiredPredicateError;p4.c;javax.crypto.SecretKey c(java.lang.String,byte[],java.lang.String,java.lang.String,int);violating CrySL rule for javax.crypto.spec.PBEKeySpec ;Second parameter was not properly generated as randomized;specialinvoke $r5.<javax.crypto.spec.PBEKeySpec: void <init>(char[],byte[],int,int)>($r6, $r1, varReplacer23567, varReplacer23568);false
IncompleteOperationError;p4.c;javax.crypto.SecretKey c(java.lang.String,byte[],java.lang.String,java.lang.String,int);violating CrySL rule for javax.crypto.spec.PBEKeySpec (on Object #9518c029a053179498f6512985b5da2e728334c70c3113a7f843e606b29eb2f4);Operation on object of type javax.crypto.spec.PBEKeySpec object not completed. Expected call to clearPassword;$r7 = virtualinvoke $r4.<javax.crypto.SecretKeyFactory: javax.crypto.SecretKey generateSecret(java.security.spec.KeySpec)>($r5);false
RequiredPredicateError;p4.c;javax.crypto.SecretKey c(java.lang.String,byte[],java.lang.String,java.lang.String,int);violating CrySL rule for javax.crypto.SecretKeyFactory ;First parameter was not properly generated as specced Key;$r7 = virtualinvoke $r4.<javax.crypto.SecretKeyFactory: javax.crypto.SecretKey generateSecret(java.security.spec.KeySpec)>($r5);false
RequiredPredicateError;p4.c;javax.crypto.CipherOutputStream b(java.io.OutputStream,javax.crypto.SecretKey,byte[],java.lang.String,int);violating CrySL rule for javax.crypto.Cipher ;Third parameter was not properly generated as prepared G C M;virtualinvoke $r5.<javax.crypto.Cipher: void init(int,java.security.Key,java.security.spec.AlgorithmParameterSpec)>(varReplacer24903, $r2, $r0);false
RequiredPredicateError;p4.c;javax.crypto.CipherOutputStream b(java.io.OutputStream,javax.crypto.SecretKey,byte[],java.lang.String,int);violating CrySL rule for javax.crypto.Cipher ;Second parameter was not properly generated as generated Key;virtualinvoke $r5.<javax.crypto.Cipher: void init(int,java.security.Key,java.security.spec.AlgorithmParameterSpec)>(varReplacer24903, $r2, $r0);false
RequiredPredicateError;p4.c;javax.crypto.CipherOutputStream b(java.io.OutputStream,javax.crypto.SecretKey,byte[],java.lang.String,int);violating CrySL rule for javax.crypto.CipherOutputStream ;Second parameter was not properly generated as generated Cipher;specialinvoke $r13.<javax.crypto.CipherOutputStream: void <init>(java.io.OutputStream,javax.crypto.Cipher)>($r1, $r5);false
RequiredPredicateError;p4.c;javax.crypto.CipherOutputStream b(java.io.OutputStream,javax.crypto.SecretKey,byte[],java.lang.String,int);violating CrySL rule for javax.crypto.spec.IvParameterSpec ;First parameter was not properly generated as randomized;specialinvoke $r12.<javax.crypto.spec.IvParameterSpec: void <init>(byte[])>($r3);false
RequiredPredicateError;p4.c;javax.crypto.CipherInputStream a(java.io.InputStream,javax.crypto.SecretKey,byte[],java.lang.String,int);violating CrySL rule for javax.crypto.Cipher ;Third parameter was not properly generated as prepared G C M;virtualinvoke $r5.<javax.crypto.Cipher: void init(int,java.security.Key,java.security.spec.AlgorithmParameterSpec)>(varReplacer23559, $r2, $r0);false
RequiredPredicateError;p4.c;javax.crypto.CipherInputStream a(java.io.InputStream,javax.crypto.SecretKey,byte[],java.lang.String,int);violating CrySL rule for javax.crypto.spec.IvParameterSpec ;First parameter was not properly generated as randomized;specialinvoke $r12.<javax.crypto.spec.IvParameterSpec: void <init>(byte[])>($r3);false
RequiredPredicateError;p4.c;javax.crypto.CipherInputStream a(java.io.InputStream,javax.crypto.SecretKey,byte[],java.lang.String,int);violating CrySL rule for javax.crypto.Cipher ;Second parameter was not properly generated as generated Key;virtualinvoke $r5.<javax.crypto.Cipher: void init(int,java.security.Key,java.security.spec.AlgorithmParameterSpec)>(varReplacer23559, $r2, $r0);false
ConstraintError;w3.l$a;java.lang.Object a(java.lang.String,java.security.Provider);violating CrySL rule for javax.crypto.Cipher (on Object #adba45cc74b0e3b0ab95bf652bc0f83f244618653909a4422cc4ab5edfa72736);First parameter (with value "AES/ECB/NoPadding") should be any of AES/{CBC, GCM, PCBC, CTR, CTS, CFB, OFB};$r3 = staticinvoke <javax.crypto.Cipher: javax.crypto.Cipher getInstance(java.lang.String)>($r2);false
