ErrorType;Class;Method;ViolatedRule;Object;Statement;ExternalLibrary
RequiredPredicateError;c.b.a.b.b;void <init>(android.content.Context);violating CrySL rule for javax.crypto.spec.SecretKeySpec ;First parameter was not properly generated as prepared Key Material;specialinvoke $r11.<javax.crypto.spec.SecretKeySpec: void <init>(byte[],java.lang.String)>($r8, varReplacer2957);false
ConstraintError;c.b.a.b.b;void <init>(android.content.Context);violating CrySL rule for javax.crypto.Cipher (on Object #9bbbd1887944da49cc2f3cff4904e3df7c096fc6e595ae122f43d172e9ae40f0);First parameter (with value "AES/CBC/PKCS7Padding") should be any of AES/CBC/{PKCS5Padding, ISO10126Padding};$r7 = staticinvoke <javax.crypto.Cipher: javax.crypto.Cipher getInstance(java.lang.String)>(varReplacer2962);false
RequiredPredicateError;c.b.a.b.b;byte[] b(byte[]);violating CrySL rule for javax.crypto.spec.IvParameterSpec ;First parameter was not properly generated as randomized;specialinvoke $r1.<javax.crypto.spec.IvParameterSpec: void <init>(byte[])>($r2);false
RequiredPredicateError;c.b.a.b.b;byte[] a(byte[]);violating CrySL rule for javax.crypto.spec.IvParameterSpec ;First parameter was not properly generated as randomized;specialinvoke $r5.<javax.crypto.spec.IvParameterSpec: void <init>(byte[])>($r3);false
ConstraintError;c.b.a.b.a;void b(android.content.Context);violating CrySL rule for java.security.KeyStore (on Object #6ab3542bd2d10f8277380236961f979961331b555c8a67b9aba52483a1b1e72c);First parameter (with value "AndroidKeyStore") should be any of {JCEKS, JKS, DKS, PKCS11, PKCS12};$r3 = staticinvoke <java.security.KeyStore: java.security.KeyStore getInstance(java.lang.String)>(varReplacer4904);false
ConstraintError;c.b.a.b.a;java.security.PrivateKey c();violating CrySL rule for java.security.KeyStore (on Object #3b0bd590c943c1c74ca51c4e738954722cb9b1f8460fc10d82509da0374174d0);First parameter (with value "AndroidKeyStore") should be any of {JCEKS, JKS, DKS, PKCS11, PKCS12};$r1 = staticinvoke <java.security.KeyStore: java.security.KeyStore getInstance(java.lang.String)>(varReplacer4906);false
TypestateError;c.b.a.b.a;byte[] l(java.security.Key);violating CrySL rule for javax.crypto.Cipher (on Object #875c485878ccc62904ea8157cf5f7e82d93ad65fb54233649bf76551a01f88b7);Unexpected call to method wrap on object of type javax.crypto.Cipher. Expect a call to one of the following methods init,updateAAD;$r4 = virtualinvoke $r3.<javax.crypto.Cipher: byte[] wrap(java.security.Key)>($r1);false
RequiredPredicateError;c.b.a.b.a;byte[] l(java.security.Key);violating CrySL rule for javax.crypto.Cipher ;Second parameter was not properly generated as generated Key;virtualinvoke $r3.<javax.crypto.Cipher: void init(int,java.security.Key)>(varReplacer4233, $r2);false
ConstraintError;c.b.a.b.a;java.security.PublicKey d();violating CrySL rule for java.security.KeyStore (on Object #a51a53d035dba92f2fa579ac18c01e8e7791774d209cdc6968aadafcade8dfc0);First parameter (with value "AndroidKeyStore") should be any of {JCEKS, JKS, DKS, PKCS11, PKCS12};$r1 = staticinvoke <java.security.KeyStore: java.security.KeyStore getInstance(java.lang.String)>(varReplacer4914);false
RequiredPredicateError;c.b.a.b.a;void a(android.content.Context);violating CrySL rule for java.security.KeyPairGenerator ;First parameter was not properly generated as prepared R S A;virtualinvoke $r6.<java.security.KeyPairGenerator: void initialize(java.security.spec.AlgorithmParameterSpec)>($r7);false
