ErrorType;Class;Method;ViolatedRule;Object;Statement;ExternalLibrary
IncompleteOperationError;mozilla.components.service.digitalassetlinks.AndroidAssetFinder$getAndroidAppAsset$1;java.lang.Object invoke(java.lang.Object);violating CrySL rule for java.security.cert.CertificateFactory (on Object #2122d96de35a6a594e89680903c8ae8799692b815cf2b61de7fc67f574a4a60d);Operation on object of type java.security.cert.CertificateFactory object not completed. Expected call to generateCRL;$r8 = virtualinvoke $r7.<java.security.cert.CertificateFactory: java.security.cert.Certificate generateCertificate(java.io.InputStream)>($r5);false
ConstraintError;mozilla.components.service.digitalassetlinks.AndroidAssetFinder$getAndroidAppAsset$1;java.lang.Object invoke(java.lang.Object);violating CrySL rule for java.security.MessageDigest (on Object #fc70d935cff349545a26276bc0148a13151228a8ee3f0867d7cc4ab05424092f);First parameter (with value "SHA256") should be any of {SHA-256, SHA-384, SHA-512};$r10 = staticinvoke <java.security.MessageDigest: java.security.MessageDigest getInstance(java.lang.String)>(varReplacer20299);false
ConstraintError;androidx.biometric.CryptoObjectUtils;androidx.biometric.BiometricPrompt$CryptoObject createFakeCryptoObject();violating CrySL rule for java.security.KeyStore (on Object #d52efbd50b8416e50f627e28fea5f83e6f8f07098f287bdc792eeda848539c08);First parameter (with value "AndroidKeyStore") should be any of {JCEKS, JKS, DKS, PKCS11, PKCS12};$r0 = staticinvoke <java.security.KeyStore: java.security.KeyStore getInstance(java.lang.String)>(varReplacer39913);false
RequiredPredicateError;androidx.biometric.CryptoObjectUtils;androidx.biometric.BiometricPrompt$CryptoObject createFakeCryptoObject();violating CrySL rule for javax.crypto.Cipher ;Second parameter was not properly generated as generated Key;virtualinvoke $r6.<javax.crypto.Cipher: void init(int,java.security.Key)>(varReplacer39916, $r5);false
ConstraintError;androidx.biometric.CryptoObjectUtils;androidx.biometric.BiometricPrompt$CryptoObject createFakeCryptoObject();violating CrySL rule for javax.crypto.Cipher (on Object #b061355dfeb893bc716bf83988141c3e0a8616b7cf27fcf4b65cc891370fe5fe);First parameter (with value "AES/CBC/PKCS7Padding") should be any of AES/CBC/{PKCS5Padding, ISO10126Padding};$r6 = staticinvoke <javax.crypto.Cipher: javax.crypto.Cipher getInstance(java.lang.String)>(varReplacer39912);false
ConstraintError;org.mozilla.thirdparty.com.google.android.exoplayer2.source.hls.Aes128DataSource;long open(org.mozilla.thirdparty.com.google.android.exoplayer2.upstream.DataSpec);violating CrySL rule for javax.crypto.Cipher (on Object #6102759dd0f24b579c62f135f695a1a8ed1bc5571c7bbf71d24f820f5b5b77d0);First parameter (with value "AES/CBC/PKCS7Padding") should be any of AES/CBC/{PKCS5Padding, ISO10126Padding};$r1 = staticinvoke <javax.crypto.Cipher: javax.crypto.Cipher getInstance(java.lang.String)>(varReplacer55886);false
RequiredPredicateError;org.mozilla.thirdparty.com.google.android.exoplayer2.source.hls.Aes128DataSource;long open(org.mozilla.thirdparty.com.google.android.exoplayer2.upstream.DataSpec);violating CrySL rule for javax.crypto.spec.IvParameterSpec ;First parameter was not properly generated as randomized;specialinvoke $r5.<javax.crypto.spec.IvParameterSpec: void <init>(byte[])>($r4);false
RequiredPredicateError;org.mozilla.thirdparty.com.google.android.exoplayer2.source.hls.Aes128DataSource;long open(org.mozilla.thirdparty.com.google.android.exoplayer2.upstream.DataSpec);violating CrySL rule for javax.crypto.Cipher ;Second parameter was not properly generated as generated Key;virtualinvoke $r1.<javax.crypto.Cipher: void init(int,java.security.Key,java.security.spec.AlgorithmParameterSpec)>(varReplacer55885, $r3, $r5);false
RequiredPredicateError;org.mozilla.thirdparty.com.google.android.exoplayer2.source.hls.Aes128DataSource;long open(org.mozilla.thirdparty.com.google.android.exoplayer2.upstream.DataSpec);violating CrySL rule for javax.crypto.spec.SecretKeySpec ;First parameter was not properly generated as prepared Key Material;specialinvoke $r3.<javax.crypto.spec.SecretKeySpec: void <init>(byte[],java.lang.String)>($r4, varReplacer55887);false
IncompleteOperationError;org.mozilla.thirdparty.com.google.android.exoplayer2.upstream.StatsDataSource;long open(org.mozilla.thirdparty.com.google.android.exoplayer2.upstream.DataSpec);violating CrySL rule for javax.crypto.CipherInputStream (on Object #e899dee01d55d270e79a5441cb05f39cda46030c1ce70bb65798863cf7de103a);Operation on object of type javax.crypto.CipherInputStream object not completed. Expected call to read;$l0 = interfaceinvoke $r4.<org.mozilla.thirdparty.com.google.android.exoplayer2.upstream.DataSource: long open(org.mozilla.thirdparty.com.google.android.exoplayer2.upstream.DataSpec)>($r1);false
IncompleteOperationError;org.mozilla.thirdparty.com.google.android.exoplayer2.upstream.AssetDataSource;void close();violating CrySL rule for javax.crypto.CipherInputStream (on Object #e899dee01d55d270e79a5441cb05f39cda46030c1ce70bb65798863cf7de103a);Operation on object of type javax.crypto.CipherInputStream object not completed. Expected call to read;virtualinvoke r0.<org.mozilla.thirdparty.com.google.android.exoplayer2.upstream.BaseDataSource: void transferEnded()>();false
IncompleteOperationError;org.mozilla.thirdparty.com.google.android.exoplayer2.source.hls.HlsMediaChunk;void load();violating CrySL rule for javax.crypto.CipherInputStream (on Object #e899dee01d55d270e79a5441cb05f39cda46030c1ce70bb65798863cf7de103a);Operation on object of type javax.crypto.CipherInputStream object not completed. Expected call to read;virtualinvoke r0.<org.mozilla.thirdparty.com.google.android.exoplayer2.source.hls.HlsMediaChunk: void feedDataToExtractor(org.mozilla.thirdparty.com.google.android.exoplayer2.upstream.DataSource,org.mozilla.thirdparty.com.google.android.exoplayer2.upstream.DataSpec,boolean)>($r7, $r4, $z0);false
IncompleteOperationError;org.mozilla.thirdparty.com.google.android.exoplayer2.source.hls.HlsMediaChunk;void load();violating CrySL rule for javax.crypto.CipherInputStream (on Object #e899dee01d55d270e79a5441cb05f39cda46030c1ce70bb65798863cf7de103a);Operation on object of type javax.crypto.CipherInputStream object not completed. Expected call to read;virtualinvoke r0.<org.mozilla.thirdparty.com.google.android.exoplayer2.source.hls.HlsMediaChunk: void feedDataToExtractor(org.mozilla.thirdparty.com.google.android.exoplayer2.upstream.DataSource,org.mozilla.thirdparty.com.google.android.exoplayer2.upstream.DataSpec,boolean)>($r3, $r4, $z0);false
IncompleteOperationError;org.mozilla.thirdparty.com.google.android.exoplayer2.source.hls.HlsMediaChunk;org.mozilla.thirdparty.com.google.android.exoplayer2.extractor.DefaultExtractorInput prepareExtraction(org.mozilla.thirdparty.com.google.android.exoplayer2.upstream.DataSource,org.mozilla.thirdparty.com.google.android.exoplayer2.upstream.DataSpec);violating CrySL rule for javax.crypto.CipherInputStream (on Object #e899dee01d55d270e79a5441cb05f39cda46030c1ce70bb65798863cf7de103a);Operation on object of type javax.crypto.CipherInputStream object not completed. Expected call to read;interfaceinvoke $r4.<org.mozilla.thirdparty.com.google.android.exoplayer2.upstream.DataSource: java.util.Map getResponseHeaders()>();false
IncompleteOperationError;org.mozilla.thirdparty.com.google.android.exoplayer2.upstream.ParsingLoadable;void load();violating CrySL rule for javax.crypto.CipherInputStream (on Object #e899dee01d55d270e79a5441cb05f39cda46030c1ce70bb65798863cf7de103a);Operation on object of type javax.crypto.CipherInputStream object not completed. Expected call to read;interfaceinvoke $r6.<org.mozilla.thirdparty.com.google.android.exoplayer2.upstream.DataSource: long open(org.mozilla.thirdparty.com.google.android.exoplayer2.upstream.DataSpec)>($r5);false
IncompleteOperationError;org.mozilla.thirdparty.com.google.android.exoplayer2.upstream.FileDataSource;void close();violating CrySL rule for javax.crypto.CipherInputStream (on Object #e899dee01d55d270e79a5441cb05f39cda46030c1ce70bb65798863cf7de103a);Operation on object of type javax.crypto.CipherInputStream object not completed. Expected call to read;virtualinvoke r0.<org.mozilla.thirdparty.com.google.android.exoplayer2.upstream.BaseDataSource: void transferEnded()>();false
