ErrorType;Class;Method;ViolatedRule;Object;Statement;ExternalLibrary
TypestateError;com.simplemobiletools.commons.extensions.InputStreamKt;java.lang.String getDigest(java.io.InputStream,java.lang.String);violating CrySL rule for java.security.MessageDigest (on Object #7fd2e2ec62b0a04476b96d45b0f039babb1b31885d72e728e9b245fed73f9d28);Unexpected call to method <java.security.MessageDigest: byte[] digest()> on object of type java.security.MessageDigest. Expect a call to one of the following methods java.security.MessageDigest: void update(byte[],int,int),java.security.MessageDigest: void update(java.nio.ByteBuffer),java.security.MessageDigest: byte[] digest(byte[]),java.security.MessageDigest: void update(byte[]),java.security.MessageDigest: void update(byte);$r4 = virtualinvoke $r3.<java.security.MessageDigest: byte[] digest()>();false
ConstraintError;com.simplemobiletools.commons.extensions.InputStreamKt;java.lang.String getDigest(java.io.InputStream,java.lang.String);violating CrySL rule for java.security.MessageDigest (on Object #7fd2e2ec62b0a04476b96d45b0f039babb1b31885d72e728e9b245fed73f9d28);First parameter (with value "MD5") should be any of {SHA-256, SHA-384, SHA-512};$r3 = staticinvoke <java.security.MessageDigest: java.security.MessageDigest getInstance(java.lang.String)>($r1);false
ConstraintError;okio.Buffer;java.lang.String toString();violating CrySL rule for java.security.MessageDigest (on Object #b753e63285325a23afb3096818521b411b0835fec9acde08de32274261d17f8);First parameter (with value "MD5") should be any of {SHA-256, SHA-384, SHA-512};$r7 = staticinvoke <java.security.MessageDigest: java.security.MessageDigest getInstance(java.lang.String)>(varReplacer13854);true
ConstraintError;okio.ByteString;okio.ByteString digest(java.lang.String);violating CrySL rule for java.security.MessageDigest (on Object #b336d574501b28a5bd90db22472c23a68acb0c1b99c4f14746fdc2a23c69a24e);First parameter (with value "MD5") should be any of {SHA-256, SHA-384, SHA-512};$r2 = staticinvoke <java.security.MessageDigest: java.security.MessageDigest getInstance(java.lang.String)>($r1);true
ConstraintError;androidx.biometric.CryptoObjectUtils;androidx.biometric.BiometricPrompt$CryptoObject createFakeCryptoObject();violating CrySL rule for java.security.KeyStore (on Object #e54aa97e2c9f484c84fc651c3992398da4f78d931ba73ba3b79a2d59fb3a74bd);First parameter (with value "AndroidKeyStore") should be any of {JCEKS, JKS, DKS, PKCS11, PKCS12};$r0 = staticinvoke <java.security.KeyStore: java.security.KeyStore getInstance(java.lang.String)>(varReplacer43273);true
RequiredPredicateError;androidx.biometric.CryptoObjectUtils;androidx.biometric.BiometricPrompt$CryptoObject createFakeCryptoObject();violating CrySL rule for javax.crypto.Cipher ;Second parameter was not properly generated as generated Key;virtualinvoke $r6.<javax.crypto.Cipher: void init(int,java.security.Key)>(varReplacer43275, $r5);true
ConstraintError;androidx.biometric.CryptoObjectUtils;androidx.biometric.BiometricPrompt$CryptoObject createFakeCryptoObject();violating CrySL rule for javax.crypto.Cipher (on Object #d037bac866df8f3b3e81c12682df33c20bc87a4eed0fec707b70ea01ce715266);First parameter (with value "AES/CBC/PKCS7Padding") should be any of AES/CBC/{PKCS5Padding, ISO10126Padding};$r6 = staticinvoke <javax.crypto.Cipher: javax.crypto.Cipher getInstance(java.lang.String)>(varReplacer43274);true
ConstraintError;com.simplemobiletools.commons.views.PinTab;java.lang.String getHashedPin();violating CrySL rule for java.security.MessageDigest (on Object #a85d34fd2e7e5b5558eabe05840abd9c58ad248b1a135029056e6f50797e80be);First parameter (with value "SHA-1") should be any of {SHA-256, SHA-384, SHA-512};$r1 = staticinvoke <java.security.MessageDigest: java.security.MessageDigest getInstance(java.lang.String)>(varReplacer44683);false
ConstraintError;com.andrognito.patternlockview.utils.PatternLockUtils;java.lang.String patternToSha1(com.andrognito.patternlockview.PatternLockView,java.util.List);violating CrySL rule for java.security.MessageDigest (on Object #e9f8005f274338dfd03c47f247a444e14fd9b218bb6b867765b32ccd0d08633c);First parameter (with value "SHA-1") should be any of {SHA-256, SHA-384, SHA-512};$r4 = staticinvoke <java.security.MessageDigest: java.security.MessageDigest getInstance(java.lang.String)>(varReplacer44875);false
ConstraintError;com.squareup.okhttp.internal.Util;java.lang.String md5Hex(java.lang.String);violating CrySL rule for java.security.MessageDigest (on Object #c7e699775d1b66bc889d5f90b972868cf856f10248d2c4a5f026fa4e4d9dcd2a);First parameter (with value "MD5") should be any of {SHA-256, SHA-384, SHA-512};$r1 = staticinvoke <java.security.MessageDigest: java.security.MessageDigest getInstance(java.lang.String)>(varReplacer47419);true
ConstraintError;com.squareup.okhttp.internal.Util;okio.ByteString sha1(okio.ByteString);violating CrySL rule for java.security.MessageDigest (on Object #33eb5d87c3039b4927809545b1156e6bb22e30b47a93e2789ae9e59f900177aa);First parameter (with value "SHA-1") should be any of {SHA-256, SHA-384, SHA-512};$r1 = staticinvoke <java.security.MessageDigest: java.security.MessageDigest getInstance(java.lang.String)>(varReplacer50860);true
IncompleteOperationError;com.squareup.okhttp.Cache$Entry;java.util.List readCertificateList(okio.BufferedSource);violating CrySL rule for java.security.cert.CertificateFactory (on Object #1b8f4cd3c6dfd1c0a71df861650bb4bf3f69f06af294e194ae33e9bcbf74dcc0);Operation on object of type java.security.cert.CertificateFactory object not completed. Expected call to generateCertPath, generateCertificate, generateCRL;$r5 = staticinvoke <java.security.cert.CertificateFactory: java.security.cert.CertificateFactory getInstance(java.lang.String)>(varReplacer49772);false
TypestateError;com.squareup.okhttp.Cache$Entry;java.util.List readCertificateList(okio.BufferedSource);violating CrySL rule for java.security.cert.CertificateFactory (on Object #1b8f4cd3c6dfd1c0a71df861650bb4bf3f69f06af294e194ae33e9bcbf74dcc0);Unexpected call to method generateCertificate on object of type java.security.cert.CertificateFactory. Expect a call to one of the following methods generateCRL;$r9 = virtualinvoke $r5.<java.security.cert.CertificateFactory: java.security.cert.Certificate generateCertificate(java.io.InputStream)>($r8);false
IncompleteOperationError;com.squareup.okhttp.Cache$Entry;java.util.List readCertificateList(okio.BufferedSource);violating CrySL rule for java.security.cert.CertificateFactory (on Object #1b8f4cd3c6dfd1c0a71df861650bb4bf3f69f06af294e194ae33e9bcbf74dcc0);Operation on object of type java.security.cert.CertificateFactory object not completed. Expected call to generateCertPath, generateCRL, java.security.cert.CertificateFactory: java.security.cert.Certificate generateCertificate(java.io.InputStream);$r9 = virtualinvoke $r5.<java.security.cert.CertificateFactory: java.security.cert.Certificate generateCertificate(java.io.InputStream)>($r8);false
