ErrorType;Class;Method;ViolatedRule;Object;Statement;ExternalLibrary
ConstraintError;k4.e;javax.net.ssl.SSLContext g();violating CrySL rule for javax.net.ssl.SSLContext (on Object #e224888552520f5b569bf776cb80668329e39fe9887f52e59532344c34c15811);First parameter (with value "TLS") should be any of {TLSv1.2, TLSv1.3};$r2 = staticinvoke <javax.net.ssl.SSLContext: javax.net.ssl.SSLContext getInstance(java.lang.String)>(varReplacer20909);false
ConstraintError;k4.b;javax.net.ssl.SSLContext g();violating CrySL rule for javax.net.ssl.SSLContext (on Object #1370c3d929cce2d236d6fda8d38fcdf5331ed9958fffb8a8760702cb5fb62584);First parameter (with value "TLS") should be any of {TLSv1.2, TLSv1.3};$r2 = staticinvoke <javax.net.ssl.SSLContext: javax.net.ssl.SSLContext getInstance(java.lang.String,java.security.Provider)>(varReplacer20912, $r1);false
ConstraintError;n4.i;n4.i e(java.lang.String);violating CrySL rule for java.security.MessageDigest (on Object #92b64d1e390e57868b392dbe57fd78a85b04cdc5efd960a97603c16c177f6c1e);First parameter (with value "MD5") should be any of {SHA-256, SHA-384, SHA-512};$r2 = staticinvoke <java.security.MessageDigest: java.security.MessageDigest getInstance(java.lang.String)>($r1);false
IncompleteOperationError;c4.c$d;java.util.List a(n4.h);violating CrySL rule for java.security.cert.CertificateFactory (on Object #2bba6f624493536326f37eb1d63944f9f0d48e295728ee375192c54aa54caf61);Operation on object of type java.security.cert.CertificateFactory object not completed. Expected call to generateCertificate, generateCertPath, generateCRL;$r5 = staticinvoke <java.security.cert.CertificateFactory: java.security.cert.CertificateFactory getInstance(java.lang.String)>(varReplacer25825);false
IncompleteOperationError;c4.c$d;java.util.List a(n4.h);violating CrySL rule for java.security.cert.CertificateFactory (on Object #2bba6f624493536326f37eb1d63944f9f0d48e295728ee375192c54aa54caf61);Operation on object of type java.security.cert.CertificateFactory object not completed. Expected call to generateCertPath, generateCRL, java.security.cert.CertificateFactory: java.security.cert.Certificate generateCertificate(java.io.InputStream);$r10 = virtualinvoke $r5.<java.security.cert.CertificateFactory: java.security.cert.Certificate generateCertificate(java.io.InputStream)>($r9);false
TypestateError;c4.c$d;java.util.List a(n4.h);violating CrySL rule for java.security.cert.CertificateFactory (on Object #2bba6f624493536326f37eb1d63944f9f0d48e295728ee375192c54aa54caf61);Unexpected call to method generateCertificate on object of type java.security.cert.CertificateFactory. Expect a call to one of the following methods generateCRL;$r10 = virtualinvoke $r5.<java.security.cert.CertificateFactory: java.security.cert.Certificate generateCertificate(java.io.InputStream)>($r9);false
RequiredPredicateError;c4.t;void <init>(c4.t$b);violating CrySL rule for javax.net.ssl.TrustManagerFactory ;First parameter was not properly generated as generated Key Store;virtualinvoke $r14.<javax.net.ssl.TrustManagerFactory: void init(java.security.KeyStore)>(varReplacer15921);false
RequiredPredicateError;c4.t;void <init>(c4.t$b);violating CrySL rule for javax.net.ssl.SSLContext ;First parameter was not properly generated as generated Key Managers;virtualinvoke $r19.<javax.net.ssl.SSLContext: void init(javax.net.ssl.KeyManager[],javax.net.ssl.TrustManager[],java.security.SecureRandom)>(varReplacer15927, $r15, varReplacer15927);false
RequiredPredicateError;c4.t;void <init>(c4.t$b);violating CrySL rule for javax.net.ssl.SSLContext ;Third parameter was not properly generated as randomized;virtualinvoke $r19.<javax.net.ssl.SSLContext: void init(javax.net.ssl.KeyManager[],javax.net.ssl.TrustManager[],java.security.SecureRandom)>(varReplacer15927, $r15, varReplacer15927);false
RequiredPredicateError;c4.t;void <init>(c4.t$b);violating CrySL rule for javax.net.ssl.SSLContext ;Second parameter was not properly generated as generated Trust Managers;virtualinvoke $r19.<javax.net.ssl.SSLContext: void init(javax.net.ssl.KeyManager[],javax.net.ssl.TrustManager[],java.security.SecureRandom)>(varReplacer15927, $r15, varReplacer15927);false
