ErrorType;Class;Method;ViolatedRule;Object;Statement;ExternalLibrary
ConstraintError;dk.kjeldsen.carwingsflutter.g;java.lang.String a(java.lang.String,java.lang.String);violating CrySL rule for javax.crypto.Cipher (on Object #f364a196fde7fb17ec5ae59fd2fca5977a50d96d5b999246fe249c37ec16abed);First parameter (with value "Blowfish") should be any of {AES, PBEWithHmacSHA224AndAES_128, PBEWithHmacSHA256AndAES_128, PBEWithHmacSHA384AndAES_128, PBEWithHmacSHA512AndAES_128, PBEWithHmacSHA224AndAES_256, PBEWithHmacSHA256AndAES_256, PBEWithHmacSHA384AndAES_256, PBEWithHmacSHA512AndAES_256};$r5 = staticinvoke <javax.crypto.Cipher: javax.crypto.Cipher getInstance(java.lang.String)>(varReplacer2175);false
RequiredPredicateError;dk.kjeldsen.carwingsflutter.g;java.lang.String a(java.lang.String,java.lang.String);violating CrySL rule for javax.crypto.spec.SecretKeySpec ;First parameter was not properly generated as prepared Key Material;specialinvoke $r1.<javax.crypto.spec.SecretKeySpec: void <init>(byte[],java.lang.String)>($r4, varReplacer2176);false
TypestateError;dk.kjeldsen.carwingsflutter.g;java.lang.String a(java.lang.String,java.lang.String);violating CrySL rule for javax.crypto.Cipher (on Object #f364a196fde7fb17ec5ae59fd2fca5977a50d96d5b999246fe249c37ec16abed);Unexpected call to method doFinal on object of type javax.crypto.Cipher. Expect a call to one of the following methods init,updateAAD;$r4 = virtualinvoke $r5.<javax.crypto.Cipher: byte[] doFinal(byte[])>($r4);false
ConstraintError;dk.kjeldsen.carwingsflutter.g;java.lang.String a(java.lang.String,java.lang.String);violating CrySL rule for javax.crypto.spec.SecretKeySpec (on Object #435202d51691ff28a7303bd404e4653c833c3ce7977a05f23dca98b32c768b5);Second parameter (with value "Blowfish") should be any of {AES, HmacSHA256, HmacSHA384, HmacSHA512};specialinvoke $r1.<javax.crypto.spec.SecretKeySpec: void <init>(byte[],java.lang.String)>($r4, varReplacer2176);false
RequiredPredicateError;dk.kjeldsen.carwingsflutter.g;java.lang.String a(java.lang.String,java.lang.String);violating CrySL rule for javax.crypto.Cipher ;Second parameter was not properly generated as generated Key;virtualinvoke $r5.<javax.crypto.Cipher: void init(int,java.security.Key)>(varReplacer2177, $r1);false
ConstraintError;c.a.f.f;javax.net.ssl.SSLContext b();violating CrySL rule for javax.net.ssl.SSLContext (on Object #c0f5379f81960509e2a605afbb7709305f84bb24a40ce490120e6c31fb0a2558);First parameter (with value "TLS") should be any of {TLSv1.2, TLSv1.3};$r2 = staticinvoke <javax.net.ssl.SSLContext: javax.net.ssl.SSLContext getInstance(java.lang.String)>(varReplacer2993);false
ConstraintError;c.a.f.b;javax.net.ssl.SSLContext b();violating CrySL rule for javax.net.ssl.SSLContext (on Object #7142c6d7ea9515fc7790d2e69f40e986e5467e96d857933c2abef80d96fef810);First parameter (with value "TLS") should be any of {TLSv1.2, TLSv1.3};$r3 = staticinvoke <javax.net.ssl.SSLContext: javax.net.ssl.SSLContext getInstance(java.lang.String)>(varReplacer2996);false
ConstraintError;c.a.f.c;javax.net.ssl.SSLContext b();violating CrySL rule for javax.net.ssl.SSLContext (on Object #21c2bc7b411daff2ec930d9fbe7713841ca746651273243604a363016afe40ca);First parameter (with value "TLS") should be any of {TLSv1.2, TLSv1.3};$r3 = staticinvoke <javax.net.ssl.SSLContext: javax.net.ssl.SSLContext getInstance(java.lang.String,java.security.Provider)>(varReplacer2997, $r2);false
ConstraintError;d.h;d.h c(java.lang.String);violating CrySL rule for java.security.MessageDigest (on Object #233092932aa041c2cf1f847fc871224613387dd46780f62c948919ad5eabab69);First parameter (with value "SHA-1") should be any of {SHA-256, SHA-384, SHA-512};$r2 = staticinvoke <java.security.MessageDigest: java.security.MessageDigest getInstance(java.lang.String)>($r1);false
RequiredPredicateError;c.a.e;javax.net.ssl.X509TrustManager a();violating CrySL rule for javax.net.ssl.TrustManagerFactory ;First parameter was not properly generated as generated Key Store;virtualinvoke $r1.<javax.net.ssl.TrustManagerFactory: void init(java.security.KeyStore)>(varReplacer2029);false
RequiredPredicateError;c.F;javax.net.ssl.SSLSocketFactory a(javax.net.ssl.X509TrustManager);violating CrySL rule for javax.net.ssl.SSLContext ;Second parameter was not properly generated as generated Trust Managers;virtualinvoke $r2.<javax.net.ssl.SSLContext: void init(javax.net.ssl.KeyManager[],javax.net.ssl.TrustManager[],java.security.SecureRandom)>(varReplacer2026, $r7, varReplacer2026);false
RequiredPredicateError;c.F;javax.net.ssl.SSLSocketFactory a(javax.net.ssl.X509TrustManager);violating CrySL rule for javax.net.ssl.SSLContext ;Third parameter was not properly generated as randomized;virtualinvoke $r2.<javax.net.ssl.SSLContext: void init(javax.net.ssl.KeyManager[],javax.net.ssl.TrustManager[],java.security.SecureRandom)>(varReplacer2026, $r7, varReplacer2026);false
RequiredPredicateError;c.F;javax.net.ssl.SSLSocketFactory a(javax.net.ssl.X509TrustManager);violating CrySL rule for javax.net.ssl.SSLContext ;First parameter was not properly generated as generated Key Managers;virtualinvoke $r2.<javax.net.ssl.SSLContext: void init(javax.net.ssl.KeyManager[],javax.net.ssl.TrustManager[],java.security.SecureRandom)>(varReplacer2026, $r7, varReplacer2026);false
