ErrorType;Class;Method;ViolatedRule;Object;Statement;ExternalLibrary
IncompleteOperationError;org.bitcoinj.core.CheckpointManager;org.bitcoinj.core.Sha256Hash readBinary(java.io.InputStream);violating CrySL rule for java.security.MessageDigest (on Object #ae49e27b90e2cd23649fb9681141028b5ba29cfd2ed258cf1f1f7a59e459ccd6);Operation on object of type java.security.MessageDigest object not completed. Expected call to digest, update;specialinvoke $r3.<java.security.DigestInputStream: void <init>(java.io.InputStream,java.security.MessageDigest)>($r1, $r2);true
ForbiddenMethodError;org.bitcoinj.core.CheckpointManager;org.bitcoinj.core.Sha256Hash readBinary(java.io.InputStream);violating CrySL rule for java.security.DigestInputStream ;Detected call to forbidden method void on(boolean) of class java.security.DigestInputStream;virtualinvoke $r3.<java.security.DigestInputStream: void on(boolean)>(varReplacer25575);true
IncompleteOperationError;org.bitcoinj.core.CheckpointManager;org.bitcoinj.core.Sha256Hash readBinary(java.io.InputStream);violating CrySL rule for java.security.DigestInputStream (on Object #46db3b20f5318542513811897ee5a7baaf5e8c8baa1e5ed91eeaff2905c9af71);Operation on object of type java.security.DigestInputStream object not completed. Expected call to read;virtualinvoke $r3.<java.security.DigestInputStream: void on(boolean)>(varReplacer25575);true
IncompleteOperationError;org.bitcoinj.core.CheckpointManager;org.bitcoinj.core.Sha256Hash readBinary(java.io.InputStream);violating CrySL rule for java.security.DigestInputStream (on Object #46db3b20f5318542513811897ee5a7baaf5e8c8baa1e5ed91eeaff2905c9af71);Operation on object of type java.security.DigestInputStream object not completed. Expected call to read;virtualinvoke $r3.<java.security.DigestInputStream: void on(boolean)>(varReplacer25568);true
TypestateError;org.bitcoinj.core.CheckpointManager;org.bitcoinj.core.Sha256Hash readBinary(java.io.InputStream);violating CrySL rule for java.security.MessageDigest (on Object #ae49e27b90e2cd23649fb9681141028b5ba29cfd2ed258cf1f1f7a59e459ccd6);Unexpected call to method <java.security.MessageDigest: byte[] digest()> on object of type java.security.MessageDigest. Expect a call to one of the following methods java.security.MessageDigest: void update(byte[],int,int),java.security.MessageDigest: void update(java.nio.ByteBuffer),java.security.MessageDigest: byte[] digest(byte[]),java.security.MessageDigest: void update(byte[]),java.security.MessageDigest: void update(byte);$r6 = virtualinvoke $r2.<java.security.MessageDigest: byte[] digest()>();true
IncompleteOperationError;org.bitcoinj.core.CheckpointManager;org.bitcoinj.core.Sha256Hash readTextual(java.io.InputStream);violating CrySL rule for java.security.MessageDigest (on Object #f4e887286d0504cb5722b1da9a4eac06d6ea434977af7216dbf1f6217c285838);Operation on object of type java.security.MessageDigest object not completed. Expected call to digest, update;$r3 = interfaceinvoke $r2.<com.google.common.hash.HashFunction: com.google.common.hash.Hasher newHasher()>();true
IncompleteOperationError;org.bitcoinj.core.CheckpointManager;org.bitcoinj.core.Sha256Hash readTextual(java.io.InputStream);violating CrySL rule for java.security.MessageDigest (on Object #f4e887286d0504cb5722b1da9a4eac06d6ea434977af7216dbf1f6217c285838);Operation on object of type java.security.MessageDigest object not completed. Expected call to digest, update;$r20 = interfaceinvoke $r3.<com.google.common.hash.Hasher: com.google.common.hash.HashCode hash()>();true
TypestateError;org.bitcoinj.crypto.MnemonicCode;void <init>(java.io.InputStream,java.lang.String);violating CrySL rule for java.security.MessageDigest (on Object #ae49e27b90e2cd23649fb9681141028b5ba29cfd2ed258cf1f1f7a59e459ccd6);Unexpected call to method <java.security.MessageDigest: byte[] digest()> on object of type java.security.MessageDigest. Expect a call to one of the following methods java.security.MessageDigest: void update(byte[],int,int),java.security.MessageDigest: void update(java.nio.ByteBuffer),java.security.MessageDigest: byte[] digest(byte[]),java.security.MessageDigest: void update(byte[]),java.security.MessageDigest: void update(byte);$r9 = virtualinvoke $r7.<java.security.MessageDigest: byte[] digest()>();false
IncompleteOperationError;org.bitcoinj.crypto.MnemonicCode;void <init>(java.io.InputStream,java.lang.String);violating CrySL rule for java.security.MessageDigest (on Object #ae49e27b90e2cd23649fb9681141028b5ba29cfd2ed258cf1f1f7a59e459ccd6);Operation on object of type java.security.MessageDigest object not completed. Expected call to java.security.MessageDigest: void update(byte[],int,int), digest, java.security.MessageDigest: void update(java.nio.ByteBuffer), java.security.MessageDigest: void update(byte[]), java.security.MessageDigest: void update(byte);virtualinvoke $r7.<java.security.MessageDigest: void update(byte[])>($r9);false
IncompleteOperationError;org.bitcoinj.crypto.MnemonicCode;void <init>(java.io.InputStream,java.lang.String);violating CrySL rule for java.security.MessageDigest (on Object #ae49e27b90e2cd23649fb9681141028b5ba29cfd2ed258cf1f1f7a59e459ccd6);Operation on object of type java.security.MessageDigest object not completed. Expected call to digest, update;$r7 = staticinvoke <org.bitcoinj.core.Sha256Hash: java.security.MessageDigest newDigest()>();false
IncompleteOperationError;org.bitcoinj.crypto.MnemonicCode;void <init>(java.io.InputStream,java.lang.String);violating CrySL rule for java.security.MessageDigest (on Object #ae49e27b90e2cd23649fb9681141028b5ba29cfd2ed258cf1f1f7a59e459ccd6);Operation on object of type java.security.MessageDigest object not completed. Expected call to java.security.MessageDigest: int digest(byte[],int,int), update, java.security.MessageDigest: byte[] digest(byte[]), java.security.MessageDigest: byte[] digest();$r9 = virtualinvoke $r7.<java.security.MessageDigest: byte[] digest()>();false
