ErrorType;Class;Method;ViolatedRule;Object;Statement;ExternalLibrary
ConstraintError;r3.a;void <init>(java.lang.String);violating CrySL rule for javax.crypto.Mac (on Object #1777524bc2fa3af1ca80c4679c0b2d6b8af24c32b5624eb03233e336cabc72c4);First parameter (with value "HmacSHA1") should be any of {HmacSHA256, HmacSHA384, HmacSHA512, HmacPBESHA1, PBEWithHmacSHA1, PBEWithHmacSHA224, PBEWithHmacSHA256, PBEWithHmacSHA384, PBEWithHmacSHA512};$r3 = staticinvoke <javax.crypto.Mac: javax.crypto.Mac getInstance(java.lang.String)>($r2);false
TypestateError;r3.a;void e(byte[],int,int);violating CrySL rule for javax.crypto.Mac (on Object #1777524bc2fa3af1ca80c4679c0b2d6b8af24c32b5624eb03233e336cabc72c4);Unexpected call to method update on object of type javax.crypto.Mac.;virtualinvoke $r1.<javax.crypto.Mac: void update(byte[],int,int)>($r2, $i1, $i0);false
TypestateError;r3.a;byte[] a(byte[]);violating CrySL rule for javax.crypto.Mac (on Object #1777524bc2fa3af1ca80c4679c0b2d6b8af24c32b5624eb03233e336cabc72c4);Unexpected call to method doFinal on object of type javax.crypto.Mac.;$r2 = virtualinvoke $r1.<javax.crypto.Mac: byte[] doFinal(byte[])>($r2);false
TypestateError;r3.a;byte[] d();violating CrySL rule for javax.crypto.Mac (on Object #1777524bc2fa3af1ca80c4679c0b2d6b8af24c32b5624eb03233e336cabc72c4);Unexpected call to method <javax.crypto.Mac: byte[] doFinal()> on object of type javax.crypto.Mac. Expect a call to one of the following methods javax.crypto.Mac: void update(byte[]),javax.crypto.Mac: byte[] doFinal(byte[]),javax.crypto.Mac: void update(java.nio.ByteBuffer),javax.crypto.Mac: void update(byte),javax.crypto.Mac: void update(byte[],int,int);$r1 = virtualinvoke $r2.<javax.crypto.Mac: byte[] doFinal()>();false
RequiredPredicateError;r3.a;void c(byte[]);violating CrySL rule for javax.crypto.spec.SecretKeySpec ;First parameter was not properly generated as prepared Key Material;specialinvoke $r1.<javax.crypto.spec.SecretKeySpec: void <init>(byte[],java.lang.String)>($r3, $r2);false
ConstraintError;r3.a;void c(byte[]);violating CrySL rule for javax.crypto.spec.SecretKeySpec (on Object #d6919d94440d0eab1a155449018570f400f9c8a59e22c57e4b339dd7f86d6f3a);Second parameter (with value "HmacSHA1") should be any of {AES, HmacSHA256, HmacSHA384, HmacSHA512};specialinvoke $r1.<javax.crypto.spec.SecretKeySpec: void <init>(byte[],java.lang.String)>($r3, $r2);false
RequiredPredicateError;r3.a;void c(byte[]);violating CrySL rule for javax.crypto.Mac ;First parameter was not properly generated as generated Key;virtualinvoke $r4.<javax.crypto.Mac: void init(java.security.Key)>($r1);false
IncompleteOperationError;v3.d;void m();violating CrySL rule for javax.crypto.Mac (on Object #1777524bc2fa3af1ca80c4679c0b2d6b8af24c32b5624eb03233e336cabc72c4);Operation on object of type javax.crypto.Mac object not completed. Expected call to update, doFinal;$i0 = specialinvoke r0.<v3.c: int read(byte[],int,int)>($r1, varReplacer32777, $i0);false
IncompleteOperationError;a4.b;void m(v3.k,x3.j,java.lang.String,java.lang.String,z3.a,byte[]);violating CrySL rule for javax.crypto.Mac (on Object #1777524bc2fa3af1ca80c4679c0b2d6b8af24c32b5624eb03233e336cabc72c4);Operation on object of type javax.crypto.Mac object not completed. Expected call to update, doFinal;specialinvoke r0.<a4.b: void s(v3.k,x3.j)>($r3, $r4);false
IncompleteOperationError;a4.b;void s(v3.k,x3.j);violating CrySL rule for javax.crypto.Mac (on Object #1777524bc2fa3af1ca80c4679c0b2d6b8af24c32b5624eb03233e336cabc72c4);Operation on object of type javax.crypto.Mac object not completed. Expected call to update, doFinal;$r4 = virtualinvoke $r1.<v3.k: x3.k p(x3.j)>($r2);false
IncompleteOperationError;a4.b;byte[] q(v3.k,x3.j,z3.a);violating CrySL rule for javax.crypto.Mac (on Object #1777524bc2fa3af1ca80c4679c0b2d6b8af24c32b5624eb03233e336cabc72c4);Operation on object of type javax.crypto.Mac object not completed. Expected call to update, doFinal;$i2 = virtualinvoke $r2.<v3.k: int read(byte[])>($r4);false
IncompleteOperationError;a4.b;void k(v3.k,x3.j,java.io.File,z3.a);violating CrySL rule for javax.crypto.Mac (on Object #1777524bc2fa3af1ca80c4679c0b2d6b8af24c32b5624eb03233e336cabc72c4);Operation on object of type javax.crypto.Mac object not completed. Expected call to update, doFinal;$r7 = specialinvoke r0.<a4.b: byte[] q(v3.k,x3.j,z3.a)>($r3, $r4, $r6);false
IncompleteOperationError;v3.k;int read(byte[],int,int);violating CrySL rule for javax.crypto.Mac (on Object #1777524bc2fa3af1ca80c4679c0b2d6b8af24c32b5624eb03233e336cabc72c4);Operation on object of type javax.crypto.Mac object not completed. Expected call to update, doFinal;$z0 = specialinvoke r0.<v3.k: boolean A(x3.k)>($r2);false
IncompleteOperationError;v3.k;void K(x3.k);violating CrySL rule for javax.crypto.Mac (on Object #1777524bc2fa3af1ca80c4679c0b2d6b8af24c32b5624eb03233e336cabc72c4);Operation on object of type javax.crypto.Mac object not completed. Expected call to update, doFinal;$z0 = specialinvoke r0.<v3.k: boolean F(java.lang.String)>($r2);false
IncompleteOperationError;v3.k;void J();violating CrySL rule for javax.crypto.Mac (on Object #1777524bc2fa3af1ca80c4679c0b2d6b8af24c32b5624eb03233e336cabc72c4);Operation on object of type javax.crypto.Mac object not completed. Expected call to update, doFinal;$z0 = specialinvoke r0.<v3.k: boolean A(x3.k)>($r1);false
IncompleteOperationError;a4.j;void u(a4.j$a,z3.a);violating CrySL rule for javax.crypto.Mac (on Object #1777524bc2fa3af1ca80c4679c0b2d6b8af24c32b5624eb03233e336cabc72c4);Operation on object of type javax.crypto.Mac object not completed. Expected call to update, doFinal;virtualinvoke r0.<a4.b: void m(v3.k,x3.j,java.lang.String,java.lang.String,z3.a,byte[])>($r5, $r11, $r12, varReplacer34938, $r3, $r1);false
IncompleteOperationError;a4.j;void u(a4.j$a,z3.a);violating CrySL rule for javax.crypto.Mac (on Object #1777524bc2fa3af1ca80c4679c0b2d6b8af24c32b5624eb03233e336cabc72c4);Operation on object of type javax.crypto.Mac object not completed. Expected call to update, doFinal;virtualinvoke $r5.<v3.k: void close()>();false
IncompleteOperationError;a4.j;void u(a4.j$a,z3.a);violating CrySL rule for javax.crypto.Mac (on Object #1777524bc2fa3af1ca80c4679c0b2d6b8af24c32b5624eb03233e336cabc72c4);Operation on object of type javax.crypto.Mac object not completed. Expected call to update, doFinal;$r5 = specialinvoke r0.<a4.j: v3.k w(x3.m)>($r4);false
IncompleteOperationError;q3.c;byte[] a(byte[],char[],y3.a);violating CrySL rule for javax.crypto.Mac (on Object #1777524bc2fa3af1ca80c4679c0b2d6b8af24c32b5624eb03233e336cabc72c4);Operation on object of type javax.crypto.Mac object not completed. Expected call to update, doFinal;$r0 = virtualinvoke $r4.<r3.b: byte[] f(char[],int)>($r1, $i2);false
