ErrorType;Class;Method;ViolatedRule;Object;Statement;ExternalLibrary
ConstraintError;io.grpc.okhttp.internal.Platform;io.grpc.okhttp.internal.Platform findPlatform();violating CrySL rule for javax.net.ssl.SSLContext (on Object #4a31a44295882ed76d33fb971e41e12590705309a44f3aac67810cd0b1cb68c0);First parameter (with value "TLS") should be any of {TLSv1.2, TLSv1.3};$r23 = staticinvoke <javax.net.ssl.SSLContext: javax.net.ssl.SSLContext getInstance(java.lang.String,java.security.Provider)>(varReplacer11705, $r11);true
ForbiddenMethodError;io.grpc.okhttp.internal.Platform;io.grpc.okhttp.internal.Platform findPlatform();violating CrySL rule for javax.net.ssl.SSLContext ;Detected call to forbidden method javax.net.ssl.SSLContext getDefault() of class javax.net.ssl.SSLContext. Instead, call method <javax.net.ssl.SSLContext: javax.net.ssl.SSLContext getInstance(java.lang.String,java.lang.String)>, <javax.net.ssl.SSLContext: javax.net.ssl.SSLContext getInstance(java.lang.String,java.security.Provider)>, <javax.net.ssl.SSLContext: javax.net.ssl.SSLContext getInstance(java.lang.String)>.;$r23 = staticinvoke <javax.net.ssl.SSLContext: javax.net.ssl.SSLContext getDefault()>();true
RequiredPredicateError;io.grpc.okhttp.internal.Platform;io.grpc.okhttp.internal.Platform findPlatform();violating CrySL rule for javax.net.ssl.SSLContext ;Second parameter was not properly generated as generated Trust Managers;virtualinvoke $r23.<javax.net.ssl.SSLContext: void init(javax.net.ssl.KeyManager[],javax.net.ssl.TrustManager[],java.security.SecureRandom)>(varReplacer11714, varReplacer11714, varReplacer11714);true
RequiredPredicateError;io.grpc.okhttp.internal.Platform;io.grpc.okhttp.internal.Platform findPlatform();violating CrySL rule for javax.net.ssl.SSLContext ;Third parameter was not properly generated as randomized;virtualinvoke $r23.<javax.net.ssl.SSLContext: void init(javax.net.ssl.KeyManager[],javax.net.ssl.TrustManager[],java.security.SecureRandom)>(varReplacer11714, varReplacer11714, varReplacer11714);true
RequiredPredicateError;io.grpc.okhttp.internal.Platform;io.grpc.okhttp.internal.Platform findPlatform();violating CrySL rule for javax.net.ssl.SSLContext ;First parameter was not properly generated as generated Key Managers;virtualinvoke $r23.<javax.net.ssl.SSLContext: void init(javax.net.ssl.KeyManager[],javax.net.ssl.TrustManager[],java.security.SecureRandom)>(varReplacer11714, varReplacer11714, varReplacer11714);true
ConstraintError;io.horizontalsystems.core.security.KeyStoreManager;void <init>(java.lang.String,io.horizontalsystems.core.IKeyStoreCleaner);violating CrySL rule for java.security.KeyStore (on Object #50acf487ad4b1f7e12730891978389132d6a46610f296b8f46c199b3695f5996);First parameter (with value "AndroidKeyStore") should be any of {JCEKS, JKS, DKS, PKCS11, PKCS12};$r4 = staticinvoke <java.security.KeyStore: java.security.KeyStore getInstance(java.lang.String)>(varReplacer604);true
IncompleteOperationError;io.horizontalsystems.core.security.KeyStoreManager;void validateKey();violating CrySL rule for javax.crypto.Cipher (on Object #f486806c6ca7d0699b41a9adada62ffd1fd83a3662edef7fe6d7f052ba82a5c);Operation on object of type javax.crypto.Cipher object not completed. Expected call to init;$r2 = virtualinvoke $r6.<io.horizontalsystems.core.security.CipherWrapper: java.lang.String encrypt(java.lang.String,java.security.Key)>(varReplacer72468, $r5);true
IncompleteOperationError;io.horizontalsystems.core.security.KeyStoreManager;void validateKey();violating CrySL rule for javax.crypto.Cipher (on Object #f486806c6ca7d0699b41a9adada62ffd1fd83a3662edef7fe6d7f052ba82a5c);Operation on object of type javax.crypto.Cipher object not completed. Expected call to init;$r3 = virtualinvoke $r6.<io.horizontalsystems.core.security.CipherWrapper: java.lang.String decrypt(java.lang.String,java.security.Key)>($r2, $r5);true
TypestateError;in3.Loader;byte[] md5(java.io.InputStream);violating CrySL rule for java.security.MessageDigest (on Object #48861eb882761ed38d6be93270173c42fd2bfe44a7251171ac28473454990697);Unexpected call to method <java.security.MessageDigest: byte[] digest()> on object of type java.security.MessageDigest. Expect a call to one of the following methods java.security.MessageDigest: void update(byte[],int,int),java.security.MessageDigest: void update(java.nio.ByteBuffer),java.security.MessageDigest: byte[] digest(byte[]),java.security.MessageDigest: void update(byte),java.security.MessageDigest: void update(byte[]);$r2 = virtualinvoke $r1.<java.security.MessageDigest: byte[] digest()>();false
ConstraintError;in3.Loader;byte[] md5(java.io.InputStream);violating CrySL rule for java.security.MessageDigest (on Object #48861eb882761ed38d6be93270173c42fd2bfe44a7251171ac28473454990697);First parameter (with value "MD5") should be any of {SHA-256, SHA-384, SHA-512};$r1 = staticinvoke <java.security.MessageDigest: java.security.MessageDigest getInstance(java.lang.String)>(varReplacer27275);false
