ErrorType;Class;Method;ViolatedRule;Object;Statement;ExternalLibrary
TypestateError;io.ktor.util.NonceKt$nonceGeneratorJob$1;java.lang.Object invokeSuspend(java.lang.Object);violating CrySL rule for java.security.SecureRandom (on Object #fbe6a7cfef1480522fcbae16920a476d7efa14dba6f1391da2c87bccc3bbc6ad);Unexpected call to method setSeed on object of type java.security.SecureRandom. Expect a call to one of the following methods nextInt,generateSeed,nextBytes;virtualinvoke $r7.<java.security.SecureRandom: void setSeed(byte[])>($r15);false
NeverTypeOfError;io.ktor.server.engine.CommandLineKt$commandLineEnvironment$environment$1;void invoke(io.ktor.server.engine.ApplicationEngineEnvironmentBuilder);violating CrySL rule for java.security.KeyStore (on Object #aadacd1f46b1723e1fa329c81b14d52be4950921132ba67650c77b89074bfaca);Second parameter should never be of type java.lang.String.;virtualinvoke $r31.<java.security.KeyStore: void load(java.io.InputStream,char[])>($r34, $r35);false
HardCodedError;io.ktor.server.engine.CommandLineKt$commandLineEnvironment$environment$1;void invoke(io.ktor.server.engine.ApplicationEngineEnvironmentBuilder);violating CrySL rule for java.security.KeyStore (on Object #aadacd1f46b1723e1fa329c81b14d52be4950921132ba67650c77b89074bfaca);Second parameter should never be hardcoded.;virtualinvoke $r31.<java.security.KeyStore: void load(java.io.InputStream,char[])>($r34, $r35);false
IncompleteOperationError;dummyMainClass;void dummyMainMethod(java.lang.String[]);violating CrySL rule for java.security.cert.CertificateFactory (on Object #e04caa10225edf461b96538eaa71891b09415e60832d742c9236987284fa434c);Operation on object of type java.security.cert.CertificateFactory object not completed. Expected call to generateCertPath, generateCertificate;return;false
IncompleteOperationError;dummyMainClass;void dummyMainMethod(java.lang.String[]);violating CrySL rule for java.security.cert.CertificateFactory (on Object #956be4e5639bcd2ab89903f58506fc8167a2275fa6b4c1fb6ed1c4dfba82a2aa);Operation on object of type java.security.cert.CertificateFactory object not completed. Expected call to generateCertPath, generateCertificate;return;false
ConstraintError;io.netty.handler.ssl.SslUtils;javax.net.ssl.SSLContext newInitContext(java.security.Provider);violating CrySL rule for javax.net.ssl.SSLContext (on Object #c248ed9debbd9171b312be49e48cc9b6d0e2cd1f4e4f90250e66f7e84abefa59);First parameter (with value "TLS") should be any of {TLSv1.2, TLSv1.3};$r1 = staticinvoke <javax.net.ssl.SSLContext: javax.net.ssl.SSLContext getInstance(java.lang.String,java.security.Provider)>(varReplacer20481, $r0);false
RequiredPredicateError;io.netty.handler.ssl.SslUtils;javax.net.ssl.SSLContext newInitContext(java.security.Provider);violating CrySL rule for javax.net.ssl.SSLContext ;Third parameter was not properly generated as randomized;virtualinvoke $r1.<javax.net.ssl.SSLContext: void init(javax.net.ssl.KeyManager[],javax.net.ssl.TrustManager[],java.security.SecureRandom)>(varReplacer20479, $r2, varReplacer20479);false
RequiredPredicateError;io.netty.handler.ssl.SslUtils;javax.net.ssl.SSLContext newInitContext(java.security.Provider);violating CrySL rule for javax.net.ssl.SSLContext ;First parameter was not properly generated as generated Key Managers;virtualinvoke $r1.<javax.net.ssl.SSLContext: void init(javax.net.ssl.KeyManager[],javax.net.ssl.TrustManager[],java.security.SecureRandom)>(varReplacer20479, $r2, varReplacer20479);false
ConstraintError;io.netty.handler.ssl.SslUtils;javax.net.ssl.SSLContext newInitContext(java.security.Provider);violating CrySL rule for javax.net.ssl.SSLContext (on Object #8ddb51a2babdb5952676c6f13539e00066b28d50e0f4e078486591fad7fb2eb6);First parameter (with value "TLS") should be any of {TLSv1.2, TLSv1.3};$r1 = staticinvoke <javax.net.ssl.SSLContext: javax.net.ssl.SSLContext getInstance(java.lang.String)>(varReplacer20478);false
RequiredPredicateError;io.netty.handler.ssl.SslUtils;javax.net.ssl.SSLContext newInitContext(java.security.Provider);violating CrySL rule for javax.net.ssl.SSLContext ;Second parameter was not properly generated as generated Trust Managers;virtualinvoke $r1.<javax.net.ssl.SSLContext: void init(javax.net.ssl.KeyManager[],javax.net.ssl.TrustManager[],java.security.SecureRandom)>(varReplacer20479, $r2, varReplacer20479);false
