ErrorType;Class;Method;ViolatedRule;Object;Statement;ExternalLibrary
RequiredPredicateError;network.ubic.ubic.PrivateKeyStore;byte[] getPrivateKey(android.content.Context);violating CrySL rule for javax.crypto.spec.GCMParameterSpec ;Second parameter was not properly generated as randomized;specialinvoke $r26.<javax.crypto.spec.GCMParameterSpec: void <init>(int,byte[])>(varReplacer105, $r21);false
RequiredPredicateError;network.ubic.ubic.PrivateKeyStore;byte[] getPrivateKey(android.content.Context);violating CrySL rule for javax.crypto.Cipher ;Second parameter was not properly generated as generated Key;virtualinvoke $r18.<javax.crypto.Cipher: void init(int,java.security.Key,java.security.spec.AlgorithmParameterSpec)>(varReplacer115, $r19, $r26);false
ConstraintError;network.ubic.ubic.PrivateKeyStore;byte[] getPrivateKey(android.content.Context);violating CrySL rule for java.security.KeyStore (on Object #c91895cc1a9258a515618c917ef75aa376ec4b352bae57f6322e1cef5dd851f1);First parameter (with value "AndroidKeyStore") should be any of {JCEKS, JKS, DKS, PKCS11, PKCS12};$r3 = staticinvoke <java.security.KeyStore: java.security.KeyStore getInstance(java.lang.String)>(varReplacer106);false
RequiredPredicateError;network.ubic.ubic.PrivateKeyStore;byte[] getPrivateKey(android.content.Context);violating CrySL rule for javax.crypto.Cipher ;Second parameter was not properly generated as generated Key;virtualinvoke $r18.<javax.crypto.Cipher: void init(int,java.security.Key)>(varReplacer108, $r19);false
RequiredPredicateError;network.ubic.ubic.PrivateKeyStore;byte[] getPrivateKey(android.content.Context);violating CrySL rule for javax.crypto.Cipher ;Third parameter was not properly generated as prepared G C M;virtualinvoke $r18.<javax.crypto.Cipher: void init(int,java.security.Key,java.security.spec.AlgorithmParameterSpec)>(varReplacer115, $r19, $r26);false
TypestateError;network.ubic.ubic.PrivateKeyStore;byte[] getPrivateKey(android.content.Context);violating CrySL rule for javax.crypto.Cipher (on Object #e19ee5d105c5b88b3774d94adc3d3bd07269f1a69d17b4b6be3cdd75d1fc72d3);Unexpected call to method doFinal on object of type javax.crypto.Cipher. Expect a call to one of the following methods init,updateAAD;$r24 = virtualinvoke $r18.<javax.crypto.Cipher: byte[] doFinal(byte[])>($r21);false
TypestateError;network.ubic.ubic.PrivateKeyStore;byte[] getPrivateKey(android.content.Context);violating CrySL rule for javax.crypto.Cipher (on Object #5200777c14b9a6f60e8bef5ec6b22154f5743f1c56c1a56111c5e0b5e16c40eb);Unexpected call to method doFinal on object of type javax.crypto.Cipher. Expect a call to one of the following methods init,updateAAD;$r21 = virtualinvoke $r18.<javax.crypto.Cipher: byte[] doFinal(byte[])>($r21);false
IncompleteOperationError;network.ubic.ubic.Fragments.BalanceFragment;android.view.View onCreateView(android.view.LayoutInflater,android.view.ViewGroup,android.os.Bundle);violating CrySL rule for java.security.KeyStore (on Object #c91895cc1a9258a515618c917ef75aa376ec4b352bae57f6322e1cef5dd851f1);Operation on object of type java.security.KeyStore object not completed. Expected call to getKey;$r12 = virtualinvoke $r9.<network.ubic.ubic.PrivateKeyStore: byte[] getPrivateKey(android.content.Context)>($r11);false
IncompleteOperationError;network.ubic.ubic.Fragments.MyUBIFragment;android.view.View onCreateView(android.view.LayoutInflater,android.view.ViewGroup,android.os.Bundle);violating CrySL rule for java.security.KeyStore (on Object #c91895cc1a9258a515618c917ef75aa376ec4b352bae57f6322e1cef5dd851f1);Operation on object of type java.security.KeyStore object not completed. Expected call to getKey;$r10 = virtualinvoke $r7.<network.ubic.ubic.PrivateKeyStore: byte[] getPrivateKey(android.content.Context)>($r9);false
IncompleteOperationError;network.ubic.ubic.Fragments.ReceiveFragment;android.view.View onCreateView(android.view.LayoutInflater,android.view.ViewGroup,android.os.Bundle);violating CrySL rule for java.security.KeyStore (on Object #c91895cc1a9258a515618c917ef75aa376ec4b352bae57f6322e1cef5dd851f1);Operation on object of type java.security.KeyStore object not completed. Expected call to getKey;$r11 = virtualinvoke $r8.<network.ubic.ubic.PrivateKeyStore: byte[] getPrivateKey(android.content.Context)>($r10);false
