ErrorType;Class;Method;ViolatedRule;Object;Statement;ExternalLibrary
RequiredPredicateError;org.apache.hc.core5.ssl.SSLContexts;javax.net.ssl.SSLContext createDefault();violating CrySL rule for javax.net.ssl.SSLContext ;Third parameter was not properly generated as randomized;virtualinvoke $r0.<javax.net.ssl.SSLContext: void init(javax.net.ssl.KeyManager[],javax.net.ssl.TrustManager[],java.security.SecureRandom)>(varReplacer31769, varReplacer31769, varReplacer31769);false
RequiredPredicateError;org.apache.hc.core5.ssl.SSLContexts;javax.net.ssl.SSLContext createDefault();violating CrySL rule for javax.net.ssl.SSLContext ;First parameter was not properly generated as generated Key Managers;virtualinvoke $r0.<javax.net.ssl.SSLContext: void init(javax.net.ssl.KeyManager[],javax.net.ssl.TrustManager[],java.security.SecureRandom)>(varReplacer31769, varReplacer31769, varReplacer31769);false
RequiredPredicateError;org.apache.hc.core5.ssl.SSLContexts;javax.net.ssl.SSLContext createDefault();violating CrySL rule for javax.net.ssl.SSLContext ;Second parameter was not properly generated as generated Trust Managers;virtualinvoke $r0.<javax.net.ssl.SSLContext: void init(javax.net.ssl.KeyManager[],javax.net.ssl.TrustManager[],java.security.SecureRandom)>(varReplacer31769, varReplacer31769, varReplacer31769);false
ConstraintError;org.apache.hc.core5.ssl.SSLContexts;javax.net.ssl.SSLContext createDefault();violating CrySL rule for javax.net.ssl.SSLContext (on Object #99c81b5e9ea89851671f54e6a76fd82413f8ecb155fc2a9e6a176550f40665e4);First parameter (with value "TLS") should be any of {TLSv1.2, TLSv1.3};$r0 = staticinvoke <javax.net.ssl.SSLContext: javax.net.ssl.SSLContext getInstance(java.lang.String)>(varReplacer31768);false
ConstraintError;okio.ByteString;okio.ByteString digest(java.lang.String);violating CrySL rule for java.security.MessageDigest (on Object #b336d574501b28a5bd90db22472c23a68acb0c1b99c4f14746fdc2a23c69a24e);First parameter (with value "SHA-1") should be any of {SHA-256, SHA-384, SHA-512};$r2 = staticinvoke <java.security.MessageDigest: java.security.MessageDigest getInstance(java.lang.String)>($r1);true
ConstraintError;okio.ByteString;okio.ByteString digest(java.lang.String);violating CrySL rule for java.security.MessageDigest (on Object #b336d574501b28a5bd90db22472c23a68acb0c1b99c4f14746fdc2a23c69a24e);First parameter (with value "MD5") should be any of {SHA-256, SHA-384, SHA-512};$r2 = staticinvoke <java.security.MessageDigest: java.security.MessageDigest getInstance(java.lang.String)>($r1);true
IncompleteOperationError;androidx.recyclerview.widget.ViewInfoStore;void addToPreLayout(androidx.recyclerview.widget.RecyclerView$ViewHolder,androidx.recyclerview.widget.RecyclerView$ItemAnimator$ItemHolderInfo);violating CrySL rule for java.security.MessageDigest (on Object #7ae4cbdcc7d0a63c81c895c3a4203a656dd1f33ccef4222b3aa9262bda37edf0);Operation on object of type java.security.MessageDigest object not completed. Expected call to digest, update;virtualinvoke $r2.<androidx.collection.SimpleArrayMap: java.lang.Object put(java.lang.Object,java.lang.Object)>($r3, $r6);false
ConstraintError;org.apache.hc.client5.http.impl.auth.DigestScheme;java.security.MessageDigest createMessageDigest(java.lang.String);violating CrySL rule for java.security.MessageDigest (on Object #bafd683999767fa653a59f6561b5fb73a4ec80f20b87a366e3f277c0d9c77bd);First parameter (with value "MD5") should be any of {SHA-256, SHA-384, SHA-512};$r4 = staticinvoke <java.security.MessageDigest: java.security.MessageDigest getInstance(java.lang.String)>($r3);false
ConstraintError;org.apache.hc.client5.http.impl.auth.HttpEntityDigester;void write(byte[],int,int);violating CrySL rule for java.security.MessageDigest (on Object #bafd683999767fa653a59f6561b5fb73a4ec80f20b87a366e3f277c0d9c77bd);Third parameter (with value 0)Variable preLenmust be  greater than 0;virtualinvoke $r2.<java.security.MessageDigest: void update(byte[],int,int)>($r1, $i1, $i0);false
TypestateError;org.apache.hc.client5.http.impl.auth.HttpEntityDigester;void close();violating CrySL rule for java.security.MessageDigest (on Object #bafd683999767fa653a59f6561b5fb73a4ec80f20b87a366e3f277c0d9c77bd);Unexpected call to method <java.security.MessageDigest: byte[] digest()> on object of type java.security.MessageDigest. Expect a call to one of the following methods java.security.MessageDigest: void update(byte[],int,int),java.security.MessageDigest: void update(java.nio.ByteBuffer),java.security.MessageDigest: byte[] digest(byte[]),java.security.MessageDigest: void update(byte[]),java.security.MessageDigest: void update(byte);$r1 = virtualinvoke $r2.<java.security.MessageDigest: byte[] digest()>();false
IncompleteOperationError;okhttp3.Cache$Entry;java.util.List readCertificateList(okio.BufferedSource);violating CrySL rule for java.security.cert.CertificateFactory (on Object #38731c00b864ccc736d9aa5e7123434f3470832ee2b5355736ac6e28d2866395);Operation on object of type java.security.cert.CertificateFactory object not completed. Expected call to generateCertificate, generateCertPath, generateCRL;$r5 = staticinvoke <java.security.cert.CertificateFactory: java.security.cert.CertificateFactory getInstance(java.lang.String)>(varReplacer61104);false
TypestateError;okhttp3.Cache$Entry;java.util.List readCertificateList(okio.BufferedSource);violating CrySL rule for java.security.cert.CertificateFactory (on Object #38731c00b864ccc736d9aa5e7123434f3470832ee2b5355736ac6e28d2866395);Unexpected call to method generateCertificate on object of type java.security.cert.CertificateFactory. Expect a call to one of the following methods generateCRL;$r9 = virtualinvoke $r5.<java.security.cert.CertificateFactory: java.security.cert.Certificate generateCertificate(java.io.InputStream)>($r8);false
IncompleteOperationError;okhttp3.Cache$Entry;java.util.List readCertificateList(okio.BufferedSource);violating CrySL rule for java.security.cert.CertificateFactory (on Object #38731c00b864ccc736d9aa5e7123434f3470832ee2b5355736ac6e28d2866395);Operation on object of type java.security.cert.CertificateFactory object not completed. Expected call to generateCertPath, generateCRL, java.security.cert.CertificateFactory: java.security.cert.Certificate generateCertificate(java.io.InputStream);$r9 = virtualinvoke $r5.<java.security.cert.CertificateFactory: java.security.cert.Certificate generateCertificate(java.io.InputStream)>($r8);false
NeverTypeOfError;org.apache.hc.client5.http.impl.auth.SystemDefaultCredentialsProvider;java.net.PasswordAuthentication getProxyCredentials(java.lang.String,org.apache.hc.client5.http.auth.AuthScope);violating CrySL rule for java.net.PasswordAuthentication (on Object #54269faa48899bf6e1a1c59e5fe7efd8baaaeb98c5de10c15ef29445a85aa752);Second parameter should never be of type java.lang.String.;specialinvoke $r7.<java.net.PasswordAuthentication: void <init>(java.lang.String,char[])>($r4, $r8);false
HardCodedError;org.apache.hc.client5.http.impl.auth.SystemDefaultCredentialsProvider;java.net.PasswordAuthentication getProxyCredentials(java.lang.String,org.apache.hc.client5.http.auth.AuthScope);violating CrySL rule for java.net.PasswordAuthentication (on Object #54269faa48899bf6e1a1c59e5fe7efd8baaaeb98c5de10c15ef29445a85aa752);Second parameter should never be hardcoded.;specialinvoke $r7.<java.net.PasswordAuthentication: void <init>(java.lang.String,char[])>($r4, $r8);false
NeverTypeOfError;org.apache.hc.client5.http.impl.auth.SystemDefaultCredentialsProvider;java.net.PasswordAuthentication getProxyCredentials(java.lang.String,org.apache.hc.client5.http.auth.AuthScope);violating CrySL rule for java.net.PasswordAuthentication (on Object #54269faa48899bf6e1a1c59e5fe7efd8baaaeb98c5de10c15ef29445a85aa752);Second parameter should never be of type java.lang.String.;specialinvoke $r7.<java.net.PasswordAuthentication: void <init>(java.lang.String,char[])>($r4, $r8);false
HardCodedError;org.apache.hc.client5.http.impl.auth.SystemDefaultCredentialsProvider;java.net.PasswordAuthentication getProxyCredentials(java.lang.String,org.apache.hc.client5.http.auth.AuthScope);violating CrySL rule for java.net.PasswordAuthentication (on Object #54269faa48899bf6e1a1c59e5fe7efd8baaaeb98c5de10c15ef29445a85aa752);Second parameter should never be hardcoded.;specialinvoke $r7.<java.net.PasswordAuthentication: void <init>(java.lang.String,char[])>($r4, $r8);false
ConstraintError;org.apache.hc.client5.http.impl.auth.NTLMEngineImpl;byte[] RC4(byte[],byte[]);violating CrySL rule for javax.crypto.spec.SecretKeySpec (on Object #ec65dd5d45d92b91f0deee3908afcaa18e755611afeb24db36ea0fdc6a342fda);Second parameter (with value "RC4") should be any of {AES, HmacSHA256, HmacSHA384, HmacSHA512};specialinvoke $r0.<javax.crypto.spec.SecretKeySpec: void <init>(byte[],java.lang.String)>($r2, varReplacer61826);false
NeverTypeOfError;org.apache.hc.client5.http.impl.auth.NTLMEngineImpl;byte[] RC4(byte[],byte[]);violating CrySL rule for javax.crypto.spec.SecretKeySpec (on Object #ec65dd5d45d92b91f0deee3908afcaa18e755611afeb24db36ea0fdc6a342fda);First parameter should never be of type java.lang.String.;specialinvoke $r0.<javax.crypto.spec.SecretKeySpec: void <init>(byte[],java.lang.String)>($r2, varReplacer61826);false
TypestateError;org.apache.hc.client5.http.impl.auth.NTLMEngineImpl;byte[] RC4(byte[],byte[]);violating CrySL rule for javax.crypto.Cipher (on Object #7debe6fec09565245014707657f82b2699439fabcde8d193a35bef79353f5971);Unexpected call to method doFinal on object of type javax.crypto.Cipher. Expect a call to one of the following methods init,updateAAD;$r1 = virtualinvoke $r3.<javax.crypto.Cipher: byte[] doFinal(byte[])>($r1);false
NeverTypeOfError;org.apache.hc.client5.http.impl.auth.NTLMEngineImpl;byte[] RC4(byte[],byte[]);violating CrySL rule for javax.crypto.spec.SecretKeySpec (on Object #ec65dd5d45d92b91f0deee3908afcaa18e755611afeb24db36ea0fdc6a342fda);First parameter should never be of type java.lang.String.;specialinvoke $r0.<javax.crypto.spec.SecretKeySpec: void <init>(byte[],java.lang.String)>($r2, varReplacer61826);false
