ErrorType;Class;Method;ViolatedRule;Object;Statement;ExternalLibrary
TypestateError;us.shandian.giga.util.Utility;java.lang.String checksum(org.schabi.newpipe.streams.io.StoredFileHelper,java.lang.String);violating CrySL rule for java.security.MessageDigest (on Object #e033144f07d771effbb746f637caa66b2d374a0df2fc29aab0c84b8a396e0628);Unexpected call to method <java.security.MessageDigest: byte[] digest()> on object of type java.security.MessageDigest. Expect a call to one of the following methods java.security.MessageDigest: void update(byte[],int,int),java.security.MessageDigest: void update(java.nio.ByteBuffer),java.security.MessageDigest: byte[] digest(byte[]),java.security.MessageDigest: void update(byte[]),java.security.MessageDigest: void update(byte);$r5 = virtualinvoke $r3.<java.security.MessageDigest: byte[] digest()>();false
ConstraintError;us.shandian.giga.util.Utility;java.lang.String checksum(org.schabi.newpipe.streams.io.StoredFileHelper,java.lang.String);violating CrySL rule for java.security.MessageDigest (on Object #e033144f07d771effbb746f637caa66b2d374a0df2fc29aab0c84b8a396e0628);Third parameter (with value 0)Variable preLenmust be  greater than 0;virtualinvoke $r3.<java.security.MessageDigest: void update(byte[],int,int)>($r5, varReplacer3351, $i1);false
ConstraintError;org.schabi.newpipe.util.TLSSocketFactoryCompat;void <init>();violating CrySL rule for javax.net.ssl.SSLContext (on Object #cc0395f0cd66ee38f814c2d3777433ca4403fdc46ba4bd1b0bf56ed2141ab91f);First parameter (with value "TLS") should be any of {TLSv1.2, TLSv1.3};$r1 = staticinvoke <javax.net.ssl.SSLContext: javax.net.ssl.SSLContext getInstance(java.lang.String)>(varReplacer3768);false
RequiredPredicateError;org.schabi.newpipe.util.TLSSocketFactoryCompat;void <init>();violating CrySL rule for javax.net.ssl.SSLContext ;First parameter was not properly generated as generated Key Managers;virtualinvoke $r1.<javax.net.ssl.SSLContext: void init(javax.net.ssl.KeyManager[],javax.net.ssl.TrustManager[],java.security.SecureRandom)>(varReplacer3765, varReplacer3765, varReplacer3765);false
RequiredPredicateError;org.schabi.newpipe.util.TLSSocketFactoryCompat;void <init>();violating CrySL rule for javax.net.ssl.SSLContext ;Third parameter was not properly generated as randomized;virtualinvoke $r1.<javax.net.ssl.SSLContext: void init(javax.net.ssl.KeyManager[],javax.net.ssl.TrustManager[],java.security.SecureRandom)>(varReplacer3765, varReplacer3765, varReplacer3765);false
RequiredPredicateError;org.schabi.newpipe.util.TLSSocketFactoryCompat;void <init>();violating CrySL rule for javax.net.ssl.SSLContext ;Second parameter was not properly generated as generated Trust Managers;virtualinvoke $r1.<javax.net.ssl.SSLContext: void init(javax.net.ssl.KeyManager[],javax.net.ssl.TrustManager[],java.security.SecureRandom)>(varReplacer3765, varReplacer3765, varReplacer3765);false
ConstraintError;okhttp3.internal.platform.Platform;javax.net.ssl.SSLContext getSSLContext();violating CrySL rule for javax.net.ssl.SSLContext (on Object #8eb49e2bd58c3d2a731160c75fc99e486ed0f85002e2ef287b3c9ee330c55786);First parameter (with value "TLS") should be any of {TLSv1.2, TLSv1.3};$r4 = staticinvoke <javax.net.ssl.SSLContext: javax.net.ssl.SSLContext getInstance(java.lang.String)>(varReplacer14398);false
ConstraintError;okhttp3.internal.platform.AndroidPlatform;javax.net.ssl.SSLContext getSSLContext();violating CrySL rule for javax.net.ssl.SSLContext (on Object #325a944ea524458b997b5e43bafb7f3d769d38e26101693c47c503df16a836bc);First parameter (with value "TLS") should be any of {TLSv1.2, TLSv1.3};$r3 = staticinvoke <javax.net.ssl.SSLContext: javax.net.ssl.SSLContext getInstance(java.lang.String)>(varReplacer14400);false
ConstraintError;okhttp3.internal.platform.ConscryptPlatform;javax.net.ssl.SSLContext getSSLContext();violating CrySL rule for javax.net.ssl.SSLContext (on Object #cf0e52c18971db9ba1dc2d83e52e5da1aea2fe530a4864b77b8ef9318b4f7db6);First parameter (with value "TLS") should be any of {TLSv1.2, TLSv1.3};$r3 = staticinvoke <javax.net.ssl.SSLContext: javax.net.ssl.SSLContext getInstance(java.lang.String,java.security.Provider)>(varReplacer14404, $r2);false
ConstraintError;org.schabi.newpipe.util.ReleaseVersionUtil;java.lang.String getCertificateSHA1Fingerprint();violating CrySL rule for java.security.MessageDigest (on Object #c942501a479ec29aba2b37fa9605b2c54fc8d7489ef165b08c990201dcaee6bc);First parameter (with value "SHA1") should be any of {SHA-256, SHA-384, SHA-512};$r12 = staticinvoke <java.security.MessageDigest: java.security.MessageDigest getInstance(java.lang.String)>(varReplacer22107);false
