ErrorType;Class;Method;ViolatedRule;Object;Statement;ExternalLibrary
ConstraintError;com.facebook.soloader.SoLoader$a;java.lang.String b(java.lang.String);violating CrySL rule for java.security.MessageDigest (on Object #61590575382d11482b60ce4be10ccfecbabe3aad7802b559b5e154f5dfb2f34);First parameter (with value "MD5") should be any of {SHA-256, SHA-384, SHA-512};$r5 = staticinvoke <java.security.MessageDigest: java.security.MessageDigest getInstance(java.lang.String)>(varReplacer7652);true
TypestateError;com.facebook.soloader.SoLoader$a;java.lang.String b(java.lang.String);violating CrySL rule for java.security.MessageDigest (on Object #61590575382d11482b60ce4be10ccfecbabe3aad7802b559b5e154f5dfb2f34);Unexpected call to method <java.security.MessageDigest: byte[] digest()> on object of type java.security.MessageDigest. Expect a call to one of the following methods java.security.MessageDigest: void update(byte[],int,int),java.security.MessageDigest: void update(java.nio.ByteBuffer),java.security.MessageDigest: byte[] digest(byte[]),java.security.MessageDigest: void update(byte),java.security.MessageDigest: void update(byte[]);$r7 = virtualinvoke $r5.<java.security.MessageDigest: byte[] digest()>();true
ConstraintError;com.facebook.common.util.b;java.lang.String a(byte[]);violating CrySL rule for java.security.MessageDigest (on Object #f39f2809807f9c55d2f776b40fc9e3f59476c552e75a6814cb443686c0014e88);First parameter (with value "SHA-1") should be any of {SHA-256, SHA-384, SHA-512};$r1 = staticinvoke <java.security.MessageDigest: java.security.MessageDigest getInstance(java.lang.String)>(varReplacer10132);true
RequiredPredicateError;com.facebook.react.modules.network.o;void <init>();violating CrySL rule for javax.net.ssl.SSLContext ;First parameter was not properly generated as generated Key Managers;virtualinvoke $r1.<javax.net.ssl.SSLContext: void init(javax.net.ssl.KeyManager[],javax.net.ssl.TrustManager[],java.security.SecureRandom)>(varReplacer14608, varReplacer14608, varReplacer14608);true
ConstraintError;com.facebook.react.modules.network.o;void <init>();violating CrySL rule for javax.net.ssl.SSLContext (on Object #24d37a9c66596f1d291a2c4b07fcd2df4cc9d2581ed3a9cb7e6f719076c8edcc);First parameter (with value "TLS") should be any of {TLSv1.2, TLSv1.3};$r1 = staticinvoke <javax.net.ssl.SSLContext: javax.net.ssl.SSLContext getInstance(java.lang.String)>(varReplacer14611);true
RequiredPredicateError;com.facebook.react.modules.network.o;void <init>();violating CrySL rule for javax.net.ssl.SSLContext ;Second parameter was not properly generated as generated Trust Managers;virtualinvoke $r1.<javax.net.ssl.SSLContext: void init(javax.net.ssl.KeyManager[],javax.net.ssl.TrustManager[],java.security.SecureRandom)>(varReplacer14608, varReplacer14608, varReplacer14608);true
RequiredPredicateError;com.facebook.react.modules.network.o;void <init>();violating CrySL rule for javax.net.ssl.SSLContext ;Third parameter was not properly generated as randomized;virtualinvoke $r1.<javax.net.ssl.SSLContext: void init(javax.net.ssl.KeyManager[],javax.net.ssl.TrustManager[],java.security.SecureRandom)>(varReplacer14608, varReplacer14608, varReplacer14608);true
ConstraintError;okhttp3.internal.platform.Platform;javax.net.ssl.SSLContext getSSLContext();violating CrySL rule for javax.net.ssl.SSLContext (on Object #c97ea7052a7d4c1b0078b555c23fd2b8d4d618d590e36fe228ef98a84f8c2962);First parameter (with value "TLS") should be any of {TLSv1.2, TLSv1.3};$r4 = staticinvoke <javax.net.ssl.SSLContext: javax.net.ssl.SSLContext getInstance(java.lang.String)>(varReplacer15531);true
ConstraintError;okhttp3.internal.platform.ConscryptPlatform;javax.net.ssl.SSLContext getSSLContext();violating CrySL rule for javax.net.ssl.SSLContext (on Object #3438a2139b49ee50da305c54fb29e2745ac8df26cddf329259537ab287661be3);First parameter (with value "TLS") should be any of {TLSv1.2, TLSv1.3};$r3 = staticinvoke <javax.net.ssl.SSLContext: javax.net.ssl.SSLContext getInstance(java.lang.String,java.security.Provider)>(varReplacer15534, $r2);true
ConstraintError;okhttp3.internal.platform.AndroidPlatform;javax.net.ssl.SSLContext getSSLContext();violating CrySL rule for javax.net.ssl.SSLContext (on Object #ab159db8d29c398693e0ee213649f97a433081a85c19875d8f0323440bc23152);First parameter (with value "TLS") should be any of {TLSv1.2, TLSv1.3};$r3 = staticinvoke <javax.net.ssl.SSLContext: javax.net.ssl.SSLContext getInstance(java.lang.String)>(varReplacer15539);true
ConstraintError;okio.ByteString;okio.ByteString digest(java.lang.String);violating CrySL rule for java.security.MessageDigest (on Object #b336d574501b28a5bd90db22472c23a68acb0c1b99c4f14746fdc2a23c69a24e);First parameter (with value "SHA-1") should be any of {SHA-256, SHA-384, SHA-512};$r2 = staticinvoke <java.security.MessageDigest: java.security.MessageDigest getInstance(java.lang.String)>($r1);true
ConstraintError;okio.ByteString;okio.ByteString digest(java.lang.String);violating CrySL rule for java.security.MessageDigest (on Object #b336d574501b28a5bd90db22472c23a68acb0c1b99c4f14746fdc2a23c69a24e);First parameter (with value "MD5") should be any of {SHA-256, SHA-384, SHA-512};$r2 = staticinvoke <java.security.MessageDigest: java.security.MessageDigest getInstance(java.lang.String)>($r1);true
