ErrorType;Class;Method;ViolatedRule;Object;Statement;ExternalLibrary
RequiredPredicateError;d.d.a.b.b;void <init>(android.content.Context);violating CrySL rule for javax.crypto.spec.SecretKeySpec ;First parameter was not properly generated as prepared Key Material;specialinvoke $r11.<javax.crypto.spec.SecretKeySpec: void <init>(byte[],java.lang.String)>($r8, varReplacer5633);false
ConstraintError;d.d.a.b.b;void <init>(android.content.Context);violating CrySL rule for javax.crypto.Cipher (on Object #e2e804787155ecb3fc28c34e7acb61c33a5e13ccf6054f8f54d8282e51f53bc8);First parameter (with value "AES/CBC/PKCS7Padding") should be any of AES/CBC/{PKCS5Padding, ISO10126Padding};$r7 = staticinvoke <javax.crypto.Cipher: javax.crypto.Cipher getInstance(java.lang.String)>(varReplacer5634);false
RequiredPredicateError;d.d.a.b.b;byte[] b(byte[]);violating CrySL rule for javax.crypto.spec.IvParameterSpec ;First parameter was not properly generated as randomized;specialinvoke $r1.<javax.crypto.spec.IvParameterSpec: void <init>(byte[])>($r2);false
RequiredPredicateError;d.d.a.b.b;byte[] a(byte[]);violating CrySL rule for javax.crypto.spec.IvParameterSpec ;First parameter was not properly generated as randomized;specialinvoke $r5.<javax.crypto.spec.IvParameterSpec: void <init>(byte[])>($r3);false
ConstraintError;d.d.a.b.a;void b(android.content.Context);violating CrySL rule for java.security.KeyStore (on Object #f0059d5482cd87507d864a07d35987b38c4fb3a8dbb523f9bf40709fc322893c);First parameter (with value "AndroidKeyStore") should be any of {JCEKS, JKS, DKS, PKCS11, PKCS12};$r3 = staticinvoke <java.security.KeyStore: java.security.KeyStore getInstance(java.lang.String)>(varReplacer11748);false
ConstraintError;d.d.a.b.a;java.security.PrivateKey c();violating CrySL rule for java.security.KeyStore (on Object #f3da517da97b8d52690bb953fae9131eb685d983cacdf9a1746653382f42e5c9);First parameter (with value "AndroidKeyStore") should be any of {JCEKS, JKS, DKS, PKCS11, PKCS12};$r1 = staticinvoke <java.security.KeyStore: java.security.KeyStore getInstance(java.lang.String)>(varReplacer11751);false
TypestateError;d.d.a.b.a;byte[] l(java.security.Key);violating CrySL rule for javax.crypto.Cipher (on Object #ef247428cf50f1635b35c11cb42d89f22ed79940a663539a249323ccf82e2e86);Unexpected call to method wrap on object of type javax.crypto.Cipher. Expect a call to one of the following methods init,updateAAD;$r4 = virtualinvoke $r3.<javax.crypto.Cipher: byte[] wrap(java.security.Key)>($r1);false
ConstraintError;d.d.a.b.a;java.security.PublicKey d();violating CrySL rule for java.security.KeyStore (on Object #ecbbde38f96366d9ec0ba84954897ad968d1ce4633a6eb02a293d249c5df9608);First parameter (with value "AndroidKeyStore") should be any of {JCEKS, JKS, DKS, PKCS11, PKCS12};$r1 = staticinvoke <java.security.KeyStore: java.security.KeyStore getInstance(java.lang.String)>(varReplacer11758);false
RequiredPredicateError;d.d.a.b.a;java.security.Key k(byte[],java.lang.String);violating CrySL rule for javax.crypto.Cipher ;Second parameter was not properly generated as generated Key;virtualinvoke $r4.<javax.crypto.Cipher: void init(int,java.security.Key)>(varReplacer9301, $r3);false
RequiredPredicateError;d.d.a.b.a;void a(android.content.Context);violating CrySL rule for java.security.KeyPairGenerator ;First parameter was not properly generated as prepared R S A;virtualinvoke $r7.<java.security.KeyPairGenerator: void initialize(java.security.spec.AlgorithmParameterSpec)>($r8);false
IncompleteOperationError;com.bumptech.glide.load.n.i;com.bumptech.glide.load.n.v c(com.bumptech.glide.load.m.e,int,int,com.bumptech.glide.load.i,java.util.List);violating CrySL rule for java.security.MessageDigest (on Object #8330527b6b97417dfef17d0bb43597a26e0d33aa3e32dcdca64a7ec6c7359892);Operation on object of type java.security.MessageDigest object not completed. Expected call to digest, update;specialinvoke $r13.<java.util.ArrayList: void <init>(java.util.Collection)>($r2);false
IncompleteOperationError;com.bumptech.glide.load.n.i;com.bumptech.glide.load.n.v b(com.bumptech.glide.load.m.e,int,int,com.bumptech.glide.load.i);violating CrySL rule for java.security.MessageDigest (on Object #8330527b6b97417dfef17d0bb43597a26e0d33aa3e32dcdca64a7ec6c7359892);Operation on object of type java.security.MessageDigest object not completed. Expected call to digest, update;interfaceinvoke $r3.<c.g.o.e: boolean a(java.lang.Object)>($r5);false
IncompleteOperationError;c.g.o.f;boolean a(java.lang.Object);violating CrySL rule for java.security.MessageDigest (on Object #8330527b6b97417dfef17d0bb43597a26e0d33aa3e32dcdca64a7ec6c7359892);Operation on object of type java.security.MessageDigest object not completed. Expected call to digest, update;$z0 = specialinvoke r0.<c.g.o.f: boolean c(java.lang.Object)>($r2);false
