ErrorType;Class;Method;ViolatedRule;Object;Statement;ExternalLibrary
TypestateError;org.bouncycastle.x509.AttributeCertificateHolder;boolean match(java.security.cert.Certificate);violating CrySL rule for java.security.MessageDigest (on Object #62f7bdafd4d03b2307a2492c867af34d1cd109952ac476f2607f48af4bc89fc5);Unexpected call to method <java.security.MessageDigest: byte[] digest()> on object of type java.security.MessageDigest. Expect a call to one of the following methods java.security.MessageDigest: void update(byte[],int,int),java.security.MessageDigest: void update(java.nio.ByteBuffer),java.security.MessageDigest: byte[] digest(byte[]),java.security.MessageDigest: void update(byte[]),java.security.MessageDigest: void update(byte);$r15 = virtualinvoke $r14.<java.security.MessageDigest: byte[] digest()>();false
NeverTypeOfError;im.status.keycard.applet.KeycardCommandSet;byte[] pairingPasswordToSecret(java.lang.String);violating CrySL rule for javax.crypto.spec.PBEKeySpec (on Object #fb3d3cb3b367377d52f60060481f4aa178acb3bd273f2b112df6e7b16028ed51);First parameter should never be of type java.lang.String.;specialinvoke $r4.<javax.crypto.spec.PBEKeySpec: void <init>(char[],byte[],int,int)>($r5, $r6, $i0, varReplacer33425);false
HardCodedError;im.status.keycard.applet.KeycardCommandSet;byte[] pairingPasswordToSecret(java.lang.String);violating CrySL rule for javax.crypto.spec.PBEKeySpec (on Object #fb3d3cb3b367377d52f60060481f4aa178acb3bd273f2b112df6e7b16028ed51);First parameter should never be hardcoded.;specialinvoke $r4.<javax.crypto.spec.PBEKeySpec: void <init>(char[],byte[],int,int)>($r5, $r6, $i0, varReplacer33425);false
RequiredPredicateError;im.status.keycard.applet.KeycardCommandSet;byte[] pairingPasswordToSecret(java.lang.String);violating CrySL rule for javax.crypto.SecretKeyFactory ;First parameter was not properly generated as specced Key;$r8 = virtualinvoke $r3.<javax.crypto.SecretKeyFactory: javax.crypto.SecretKey generateSecret(java.security.spec.KeySpec)>($r4);false
ConstraintError;im.status.keycard.applet.KeycardCommandSet;byte[] pairingPasswordToSecret(java.lang.String);violating CrySL rule for javax.crypto.spec.PBEKeySpec (on Object #fb3d3cb3b367377d52f60060481f4aa178acb3bd273f2b112df6e7b16028ed51);Third parameter (with value 10)Variable iterationCountmust be  at least 10000;specialinvoke $r4.<javax.crypto.spec.PBEKeySpec: void <init>(char[],byte[],int,int)>($r5, $r6, $i0, varReplacer33425);false
IncompleteOperationError;im.status.keycard.applet.KeycardCommandSet;byte[] pairingPasswordToSecret(java.lang.String);violating CrySL rule for javax.crypto.spec.PBEKeySpec (on Object #fb3d3cb3b367377d52f60060481f4aa178acb3bd273f2b112df6e7b16028ed51);Operation on object of type javax.crypto.spec.PBEKeySpec object not completed. Expected call to clearPassword;$r8 = virtualinvoke $r3.<javax.crypto.SecretKeyFactory: javax.crypto.SecretKey generateSecret(java.security.spec.KeySpec)>($r4);false
RequiredPredicateError;im.status.keycard.applet.KeycardCommandSet;byte[] pairingPasswordToSecret(java.lang.String);violating CrySL rule for javax.crypto.spec.PBEKeySpec ;Second parameter was not properly generated as randomized;specialinvoke $r4.<javax.crypto.spec.PBEKeySpec: void <init>(char[],byte[],int,int)>($r5, $r6, $i0, varReplacer33425);false
IncompleteOperationError;im.status.keycard.applet.KeycardCommandSet;im.status.keycard.io.APDUResponse init(java.lang.String,java.lang.String,byte[]);violating CrySL rule for javax.crypto.Cipher (on Object #fdce7ad0f88d0acb0413a4cff1c80d6b1d089d7bffb14a708e5881f2f97687f1);Operation on object of type javax.crypto.Cipher object not completed. Expected call to init;$r1 = virtualinvoke $r7.<im.status.keycard.applet.SecureChannelSession: byte[] oneShotEncrypt(byte[])>($r4);false
ConstraintError;okhttp3.internal.platform.Platform;javax.net.ssl.SSLContext getSSLContext();violating CrySL rule for javax.net.ssl.SSLContext (on Object #41e334ccc4961162983079884a72af94e86f1bb3d4dda8cd3a8d9db652206b10);First parameter (with value "TLS") should be any of {TLSv1.2, TLSv1.3};$r4 = staticinvoke <javax.net.ssl.SSLContext: javax.net.ssl.SSLContext getInstance(java.lang.String)>(varReplacer46434);true
ConstraintError;okhttp3.internal.platform.AndroidPlatform;javax.net.ssl.SSLContext getSSLContext();violating CrySL rule for javax.net.ssl.SSLContext (on Object #59cf884bed7d773e9bede42abb20ffac225c2307631a8ea6182258db5252051e);First parameter (with value "TLS") should be any of {TLSv1.2, TLSv1.3};$r3 = staticinvoke <javax.net.ssl.SSLContext: javax.net.ssl.SSLContext getInstance(java.lang.String)>(varReplacer46436);true
ConstraintError;okhttp3.internal.platform.ConscryptPlatform;javax.net.ssl.SSLContext getSSLContext();violating CrySL rule for javax.net.ssl.SSLContext (on Object #eee243432d3017a893a29e95ff52c8f5a54b862af5016a19ad8a5085c8ff8dab);First parameter (with value "TLS") should be any of {TLSv1.2, TLSv1.3};$r3 = staticinvoke <javax.net.ssl.SSLContext: javax.net.ssl.SSLContext getInstance(java.lang.String,java.security.Provider)>(varReplacer46439, $r2);true
RequiredPredicateError;im.status.keycard.applet.SecureChannelSession;byte[] oneShotEncrypt(byte[]);violating CrySL rule for javax.crypto.spec.SecretKeySpec ;First parameter was not properly generated as prepared Key Material;specialinvoke $r5.<javax.crypto.spec.SecretKeySpec: void <init>(byte[],java.lang.String)>($r2, varReplacer46691);false
RequiredPredicateError;im.status.keycard.applet.SecureChannelSession;byte[] oneShotEncrypt(byte[]);violating CrySL rule for javax.crypto.spec.IvParameterSpec ;First parameter was not properly generated as randomized;specialinvoke $r4.<javax.crypto.spec.IvParameterSpec: void <init>(byte[])>($r2);false
TypestateError;im.status.keycard.applet.SecureChannelSession;byte[] oneShotEncrypt(byte[]);violating CrySL rule for javax.crypto.Cipher (on Object #fdce7ad0f88d0acb0413a4cff1c80d6b1d089d7bffb14a708e5881f2f97687f1);Unexpected call to method doFinal on object of type javax.crypto.Cipher. Expect a call to one of the following methods init;$r1 = virtualinvoke $r6.<javax.crypto.Cipher: byte[] doFinal(byte[])>($r1);false
ConstraintError;im.status.keycard.applet.SecureChannelSession;byte[] oneShotEncrypt(byte[]);violating CrySL rule for javax.crypto.Cipher (on Object #fdce7ad0f88d0acb0413a4cff1c80d6b1d089d7bffb14a708e5881f2f97687f1);First parameter (with value "AES/CBC/ISO7816-4Padding") should be any of AES/CBC/{PKCS5Padding, ISO10126Padding};$r6 = staticinvoke <javax.crypto.Cipher: javax.crypto.Cipher getInstance(java.lang.String,java.lang.String)>(varReplacer46694, varReplacer46695);false
RequiredPredicateError;im.status.keycard.applet.SecureChannelSession;void generateSecret(byte[]);violating CrySL rule for javax.crypto.KeyAgreement ;First parameter was not properly generated as generated Privkey;virtualinvoke $r10.<javax.crypto.KeyAgreement: void init(java.security.Key)>($r11);false
IncompleteOperationError;im.status.keycard.applet.SecureChannelSession;void generateSecret(byte[]);violating CrySL rule for java.security.KeyPairGenerator (on Object #5e32859557dcdd1d9101dcccb0236f8e1a7a023097a924792c3026b6def808eb);Operation on object of type java.security.KeyPairGenerator object not completed. Expected call to java.security.KeyPairGenerator: java.security.KeyPair generateKeyPair(), genKeyPair, initialize, java.security.KeyPairGeneratorSpi: java.security.KeyPair generateKeyPair();$r5 = virtualinvoke $r3.<java.security.KeyPairGenerator: java.security.KeyPair generateKeyPair()>();false
ConstraintError;im.status.keycard.applet.SecureChannelSession;void generateSecret(byte[]);violating CrySL rule for java.security.KeyFactory (on Object #c495f2965910ce45f2a14d5cd22f077832648a193bbb811b14bc776fff1f67e9);First parameter (with value "ECDSA") should be any of {RSA, DiffieHellman, DH, DSA, EC};$r14 = staticinvoke <java.security.KeyFactory: java.security.KeyFactory getInstance(java.lang.String,java.lang.String)>(varReplacer46733, varReplacer46734);false
ConstraintError;im.status.keycard.applet.SecureChannelSession;void generateSecret(byte[]);violating CrySL rule for java.security.KeyPairGenerator (on Object #5e32859557dcdd1d9101dcccb0236f8e1a7a023097a924792c3026b6def808eb);First parameter (with value "ECDH") should be any of {RSA, EC, DSA, DiffieHellman, DH};$r3 = staticinvoke <java.security.KeyPairGenerator: java.security.KeyPairGenerator getInstance(java.lang.String,java.lang.String)>(varReplacer46735, varReplacer46736);false
TypestateError;im.status.keycard.applet.SecureChannelSession;void generateSecret(byte[]);violating CrySL rule for java.security.KeyPairGenerator (on Object #5e32859557dcdd1d9101dcccb0236f8e1a7a023097a924792c3026b6def808eb);Unexpected call to method generateKeyPair on object of type java.security.KeyPairGenerator. Expect a call to one of the following methods initialize;$r5 = virtualinvoke $r3.<java.security.KeyPairGenerator: java.security.KeyPair generateKeyPair()>();false
RequiredPredicateError;im.status.keycard.applet.SecureChannelSession;void generateSecret(byte[]);violating CrySL rule for java.security.KeyFactory ;First parameter was not properly generated as specced Key;$r6 = virtualinvoke $r14.<java.security.KeyFactory: java.security.PublicKey generatePublic(java.security.spec.KeySpec)>($r12);false
RequiredPredicateError;im.status.keycard.applet.SecureChannelSession;void generateSecret(byte[]);violating CrySL rule for javax.crypto.KeyAgreement ;First parameter was not properly generated as generated Pubkey;virtualinvoke $r10.<javax.crypto.KeyAgreement: java.security.Key doPhase(java.security.Key,boolean)>($r7, varReplacer46731);false
ConstraintError;im.status.keycard.applet.SecureChannelSession;void processOpenSecureChannelResponse(im.status.keycard.io.APDUResponse);violating CrySL rule for javax.crypto.Cipher (on Object #a0dfc4b03cc8cd210c54a80fba408d322f1e9ecd71abb1ffb2ef0bc3f5891d3d);First parameter (with value "AES/CBC/ISO7816-4Padding") should be any of AES/CBC/{PKCS5Padding, ISO10126Padding};$r8 = staticinvoke <javax.crypto.Cipher: javax.crypto.Cipher getInstance(java.lang.String,java.lang.String)>(varReplacer46744, varReplacer46745);false
ConstraintError;im.status.keycard.applet.SecureChannelSession;void processOpenSecureChannelResponse(im.status.keycard.io.APDUResponse);violating CrySL rule for java.security.MessageDigest (on Object #6c9250e3d7400ac1b21f377c3245c8a1ded84ef851544579de82a8463385733e);First parameter (with value "SHA512") should be any of {SHA-256, SHA-384, SHA-512};$r2 = staticinvoke <java.security.MessageDigest: java.security.MessageDigest getInstance(java.lang.String)>(varReplacer46746);false
RequiredPredicateError;im.status.keycard.applet.SecureChannelSession;void processOpenSecureChannelResponse(im.status.keycard.io.APDUResponse);violating CrySL rule for javax.crypto.spec.SecretKeySpec ;First parameter was not properly generated as prepared Key Material;specialinvoke $r6.<javax.crypto.spec.SecretKeySpec: void <init>(byte[],java.lang.String)>($r5, varReplacer46753);false
ConstraintError;im.status.keycard.applet.SecureChannelSession;void autoPair(im.status.keycard.io.CardChannel,byte[]);violating CrySL rule for java.security.MessageDigest (on Object #9473cd872d20396f309758286bcf315e085383b48207a1a570e3d0ba768dd85);First parameter (with value "SHA256") should be any of {SHA-256, SHA-384, SHA-512};$r8 = staticinvoke <java.security.MessageDigest: java.security.MessageDigest getInstance(java.lang.String,java.lang.String)>(varReplacer46785, varReplacer46786);false
RequiredPredicateError;im.status.keycard.applet.SecureChannelSession;byte[] decryptAPDU(byte[]);violating CrySL rule for javax.crypto.spec.IvParameterSpec ;First parameter was not properly generated as randomized;specialinvoke $r3.<javax.crypto.spec.IvParameterSpec: void <init>(byte[])>($r4);false
RequiredPredicateError;im.status.keycard.applet.SecureChannelSession;byte[] encryptAPDU(byte[]);violating CrySL rule for javax.crypto.spec.IvParameterSpec ;First parameter was not properly generated as randomized;specialinvoke $r3.<javax.crypto.spec.IvParameterSpec: void <init>(byte[])>($r4);false
ConstraintError;org.bouncycastle.jcajce.provider.asymmetric.ec.KeyPairGeneratorSpi$EC;void <clinit>();violating CrySL rule for java.security.spec.ECGenParameterSpec (on Object #4f13e052771e6021e76e329d29d773fe36a227a32582d794ad54a7a6b96b06cd);First parameter (with value "prime192v1") should be any of {brainpoolP224r1, 1.3.36.3.3.2.8.1.1.5, brainpoolP256r1, 1.3.36.3.3.2.8.1.1.7, brainpoolP320r1, 1.3.36.3.3.2.8.1.1.9, brainpoolP384r1, 1.3.36.3.3.2.8.1.1.11, brainpoolP512r1, 1.3.36.3.3.2.8.1.1.13, secp224r1, NIST P-224, 1.3.132.0.33, secp256r1, NIST P-256, X9.62 prime256v1, 1.2.840.10045.3.1.7, secp384r1, NIST P-384, 1.3.132.0.34, secp521r1, NIST P-521, 1.3.132.0.35};specialinvoke $r2.<java.security.spec.ECGenParameterSpec: void <init>(java.lang.String)>(varReplacer61901);true
ConstraintError;org.bouncycastle.jcajce.provider.asymmetric.ec.KeyPairGeneratorSpi$EC;void <clinit>();violating CrySL rule for java.security.spec.ECGenParameterSpec (on Object #45f6d7a2cfb6414561b59e6019b66761ffc40f14d1ab48fc271a4ba863a95c6b);First parameter (with value "P-224") should be any of {brainpoolP224r1, 1.3.36.3.3.2.8.1.1.5, brainpoolP256r1, 1.3.36.3.3.2.8.1.1.7, brainpoolP320r1, 1.3.36.3.3.2.8.1.1.9, brainpoolP384r1, 1.3.36.3.3.2.8.1.1.11, brainpoolP512r1, 1.3.36.3.3.2.8.1.1.13, secp224r1, NIST P-224, 1.3.132.0.33, secp256r1, NIST P-256, X9.62 prime256v1, 1.2.840.10045.3.1.7, secp384r1, NIST P-384, 1.3.132.0.34, secp521r1, NIST P-521, 1.3.132.0.35};specialinvoke $r2.<java.security.spec.ECGenParameterSpec: void <init>(java.lang.String)>(varReplacer61894);true
ConstraintError;org.bouncycastle.jcajce.provider.asymmetric.ec.KeyPairGeneratorSpi$EC;void <clinit>();violating CrySL rule for java.security.spec.ECGenParameterSpec (on Object #cc57700fcc8461a28bc770473650279818e7e6969a7b61698bfb006f00b80671);First parameter (with value "P-521") should be any of {brainpoolP224r1, 1.3.36.3.3.2.8.1.1.5, brainpoolP256r1, 1.3.36.3.3.2.8.1.1.7, brainpoolP320r1, 1.3.36.3.3.2.8.1.1.9, brainpoolP384r1, 1.3.36.3.3.2.8.1.1.11, brainpoolP512r1, 1.3.36.3.3.2.8.1.1.13, secp224r1, NIST P-224, 1.3.132.0.33, secp256r1, NIST P-256, X9.62 prime256v1, 1.2.840.10045.3.1.7, secp384r1, NIST P-384, 1.3.132.0.34, secp521r1, NIST P-521, 1.3.132.0.35};specialinvoke $r2.<java.security.spec.ECGenParameterSpec: void <init>(java.lang.String)>(varReplacer61900);true
ConstraintError;org.bouncycastle.jcajce.provider.asymmetric.ec.KeyPairGeneratorSpi$EC;void <clinit>();violating CrySL rule for java.security.spec.ECGenParameterSpec (on Object #6f95887db6553b9c7e58f36bc23216069b00004f78911cbfca4eab62cd9cd86c);First parameter (with value "prime239v1") should be any of {brainpoolP224r1, 1.3.36.3.3.2.8.1.1.5, brainpoolP256r1, 1.3.36.3.3.2.8.1.1.7, brainpoolP320r1, 1.3.36.3.3.2.8.1.1.9, brainpoolP384r1, 1.3.36.3.3.2.8.1.1.11, brainpoolP512r1, 1.3.36.3.3.2.8.1.1.13, secp224r1, NIST P-224, 1.3.132.0.33, secp256r1, NIST P-256, X9.62 prime256v1, 1.2.840.10045.3.1.7, secp384r1, NIST P-384, 1.3.132.0.34, secp521r1, NIST P-521, 1.3.132.0.35};specialinvoke $r2.<java.security.spec.ECGenParameterSpec: void <init>(java.lang.String)>(varReplacer61895);true
ConstraintError;org.bouncycastle.jcajce.provider.asymmetric.ec.KeyPairGeneratorSpi$EC;void <clinit>();violating CrySL rule for java.security.spec.ECGenParameterSpec (on Object #25640107f78d50001fa24c71fa491f9657bf3fba70dd16c6a1248740209c950e);First parameter (with value "P-384") should be any of {brainpoolP224r1, 1.3.36.3.3.2.8.1.1.5, brainpoolP256r1, 1.3.36.3.3.2.8.1.1.7, brainpoolP320r1, 1.3.36.3.3.2.8.1.1.9, brainpoolP384r1, 1.3.36.3.3.2.8.1.1.11, brainpoolP512r1, 1.3.36.3.3.2.8.1.1.13, secp224r1, NIST P-224, 1.3.132.0.33, secp256r1, NIST P-256, X9.62 prime256v1, 1.2.840.10045.3.1.7, secp384r1, NIST P-384, 1.3.132.0.34, secp521r1, NIST P-521, 1.3.132.0.35};specialinvoke $r2.<java.security.spec.ECGenParameterSpec: void <init>(java.lang.String)>(varReplacer61893);true
ConstraintError;org.bouncycastle.jcajce.provider.asymmetric.ec.KeyPairGeneratorSpi$EC;void <clinit>();violating CrySL rule for java.security.spec.ECGenParameterSpec (on Object #eee5bf2864a3be1d57dd540dd274f9647526d8bc4d41728be29fe6c5a3b38637);First parameter (with value "prime256v1") should be any of {brainpoolP224r1, 1.3.36.3.3.2.8.1.1.5, brainpoolP256r1, 1.3.36.3.3.2.8.1.1.7, brainpoolP320r1, 1.3.36.3.3.2.8.1.1.9, brainpoolP384r1, 1.3.36.3.3.2.8.1.1.11, brainpoolP512r1, 1.3.36.3.3.2.8.1.1.13, secp224r1, NIST P-224, 1.3.132.0.33, secp256r1, NIST P-256, X9.62 prime256v1, 1.2.840.10045.3.1.7, secp384r1, NIST P-384, 1.3.132.0.34, secp521r1, NIST P-521, 1.3.132.0.35};specialinvoke $r2.<java.security.spec.ECGenParameterSpec: void <init>(java.lang.String)>(varReplacer61892);true
RequiredPredicateError;org.bouncycastle.jcajce.provider.asymmetric.ec.KeyPairGeneratorSpi$EC;java.security.KeyPair generateKeyPair();violating CrySL rule for java.security.KeyPair ;Second parameter was not properly generated as generated Privkey;specialinvoke $r12.<java.security.KeyPair: void <init>(java.security.PublicKey,java.security.PrivateKey)>($r9, $r13);true
RequiredPredicateError;org.bouncycastle.jcajce.provider.asymmetric.ec.KeyPairGeneratorSpi$EC;java.security.KeyPair generateKeyPair();violating CrySL rule for java.security.KeyPair ;First parameter was not properly generated as generated Pubkey;specialinvoke $r12.<java.security.KeyPair: void <init>(java.security.PublicKey,java.security.PrivateKey)>($r9, $r13);true
ConstraintError;okio.ByteString;okio.ByteString digest$okio(java.lang.String);violating CrySL rule for java.security.MessageDigest (on Object #ea0840b94e95f767ea25aa35611d3fdb379cdb84c49be399c4ff7525b48fb7fc);First parameter (with value "MD5") should be any of {SHA-256, SHA-384, SHA-512};$r2 = staticinvoke <java.security.MessageDigest: java.security.MessageDigest getInstance(java.lang.String)>($r1);false
ConstraintError;okio.ByteString;okio.ByteString digest$okio(java.lang.String);violating CrySL rule for java.security.MessageDigest (on Object #ea0840b94e95f767ea25aa35611d3fdb379cdb84c49be399c4ff7525b48fb7fc);First parameter (with value "SHA-1") should be any of {SHA-256, SHA-384, SHA-512};$r2 = staticinvoke <java.security.MessageDigest: java.security.MessageDigest getInstance(java.lang.String)>($r1);false
ConstraintError;okio.SegmentedByteString;okio.ByteString digest$okio(java.lang.String);violating CrySL rule for java.security.MessageDigest (on Object #6c960e488f21ae2f1d37981b7f790ff5823030d9f242d798118968e0f93ba357);First parameter (with value "MD5") should be any of {SHA-256, SHA-384, SHA-512};$r2 = staticinvoke <java.security.MessageDigest: java.security.MessageDigest getInstance(java.lang.String)>($r1);false
TypestateError;okio.SegmentedByteString;okio.ByteString digest$okio(java.lang.String);violating CrySL rule for java.security.MessageDigest (on Object #6c960e488f21ae2f1d37981b7f790ff5823030d9f242d798118968e0f93ba357);Unexpected call to method <java.security.MessageDigest: byte[] digest()> on object of type java.security.MessageDigest. Expect a call to one of the following methods java.security.MessageDigest: void update(byte[],int,int),java.security.MessageDigest: void update(java.nio.ByteBuffer),java.security.MessageDigest: byte[] digest(byte[]),java.security.MessageDigest: void update(byte[]),java.security.MessageDigest: void update(byte);$r6 = virtualinvoke $r2.<java.security.MessageDigest: byte[] digest()>();false
ConstraintError;okio.SegmentedByteString;okio.ByteString digest$okio(java.lang.String);violating CrySL rule for java.security.MessageDigest (on Object #6c960e488f21ae2f1d37981b7f790ff5823030d9f242d798118968e0f93ba357);First parameter (with value "SHA-1") should be any of {SHA-256, SHA-384, SHA-512};$r2 = staticinvoke <java.security.MessageDigest: java.security.MessageDigest getInstance(java.lang.String)>($r1);false
IncompleteOperationError;okhttp3.Cache$Entry;java.util.List readCertificateList(okio.BufferedSource);violating CrySL rule for java.security.cert.CertificateFactory (on Object #f7118821a6751d8e0e932bf7eda668a74f0c050fe166509c9cbe61b5d073ce7e);Operation on object of type java.security.cert.CertificateFactory object not completed. Expected call to generateCertificate, generateCertPath, generateCRL;$r5 = staticinvoke <java.security.cert.CertificateFactory: java.security.cert.CertificateFactory getInstance(java.lang.String)>(varReplacer73327);false
TypestateError;okhttp3.Cache$Entry;java.util.List readCertificateList(okio.BufferedSource);violating CrySL rule for java.security.cert.CertificateFactory (on Object #f7118821a6751d8e0e932bf7eda668a74f0c050fe166509c9cbe61b5d073ce7e);Unexpected call to method generateCertificate on object of type java.security.cert.CertificateFactory. Expect a call to one of the following methods generateCRL;$r9 = virtualinvoke $r5.<java.security.cert.CertificateFactory: java.security.cert.Certificate generateCertificate(java.io.InputStream)>($r8);false
IncompleteOperationError;okhttp3.Cache$Entry;java.util.List readCertificateList(okio.BufferedSource);violating CrySL rule for java.security.cert.CertificateFactory (on Object #f7118821a6751d8e0e932bf7eda668a74f0c050fe166509c9cbe61b5d073ce7e);Operation on object of type java.security.cert.CertificateFactory object not completed. Expected call to generateCertPath, generateCRL, java.security.cert.CertificateFactory: java.security.cert.Certificate generateCertificate(java.io.InputStream);$r9 = virtualinvoke $r5.<java.security.cert.CertificateFactory: java.security.cert.Certificate generateCertificate(java.io.InputStream)>($r8);false
