Message,Description,RuleNumber,RuleDesc,CWEId,Severity,ClassName,MethodName
Found: Untrused PRNG (java.util.Random),Used untrusted PRNG,13,Used untrusted PRNG,338,1,com.github.k1rakishou.common.StringUtils,clinit
Found: Untrused PRNG (java.util.Random),Used untrusted PRNG,13,Used untrusted PRNG,338,1,com.google.android.exoplayer2.source.ShuffleOrder$DefaultShuffleOrder,cloneAndClear
Found: Untrused PRNG (java.util.Random),Used untrusted PRNG,13,Used untrusted PRNG,338,1,kotlin.random.FallbackThreadLocalRandom$implStorage$1,initialValue
Found: Untrused PRNG (java.util.Random),Used untrusted PRNG,13,Used untrusted PRNG,338,1,com.google.android.exoplayer2.ExoPlayerImpl,init
Found: Untrused PRNG (java.util.Random),Used untrusted PRNG,13,Used untrusted PRNG,338,1,com.github.k1rakishou.chan.core.site.common.taimaba.TaimabaActions$setupPost$1$1,invoke
Found: Untrused PRNG (java.util.Random),Used untrusted PRNG,13,Used untrusted PRNG,338,1,com.google.android.exoplayer2.MediaSourceList,init
Found: Untrused PRNG (java.util.Random),Used untrusted PRNG,13,Used untrusted PRNG,338,1,androidx.activity.result.ActivityResultRegistry,init
Found: Untrused PRNG (java.util.Random),Used untrusted PRNG,13,Used untrusted PRNG,338,1,com.google.android.exoplayer2.source.ShuffleOrder$DefaultShuffleOrder,cloneAndRemove
Found: Untrused PRNG (java.util.Random),Used untrusted PRNG,13,Used untrusted PRNG,338,1,com.google.android.exoplayer2.source.ShuffleOrder$DefaultShuffleOrder,cloneAndInsert
Found: Untrused PRNG (java.util.Random),Used untrusted PRNG,13,Used untrusted PRNG,338,1,com.google.android.exoplayer2.analytics.DefaultPlaybackSessionManager,clinit
Found: Untrused PRNG (java.util.Random),Used untrusted PRNG,13,Used untrusted PRNG,338,1,androidx.profileinstaller.ProfileInstallerInitializer$$ExternalSyntheticLambda1,run
Found: Untrused PRNG (java.util.Random),Used untrusted PRNG,13,Used untrusted PRNG,338,1,com.google.android.exoplayer2.upstream.cache.SimpleCache,init
Found: Untrused PRNG (java.util.Random),Used untrusted PRNG,13,Used untrusted PRNG,338,1,com.github.k1rakishou.chan.utils.MediaUtils,clinit
"Found: ""MD5""",Found broken hash functions,2,Found broken hash functions,759,1,com.github.k1rakishou.chan.features.reply.ReplyLayoutFilesAreaPresenter$onFileStatusRequested$1$fileMd5Hash$1,invokeSuspend
"Found: ""MD5""",Found broken hash functions,2,Found broken hash functions,759,1,okhttp3.Cache$Companion,key
"Found: ""MD5""",Found broken hash functions,2,Found broken hash functions,759,1,com.github.k1rakishou.chan.core.cache.InnerCache,app_fdroidRelease
