Message,Description,RuleNumber,RuleDesc,CWEId,Severity,ClassName,MethodName
"Found: ""RC4""",Found broken crypto schemes,1,Found broken crypto schemes,256,1,xb.d,init
"Found: ""RC4""",Found broken crypto schemes,1,Found broken crypto schemes,256,1,xb.d,init
"Found: ""IDEA""",Found broken crypto schemes,1,Found broken crypto schemes,256,1,xb.d,init
"Found: ""AES""",Found broken crypto schemes,1,Found broken crypto schemes,256,1,xb.d,init
"Found: ""DESede""",Found broken crypto schemes,1,Found broken crypto schemes,256,1,xb.d,init
"Found: ""AES""",Found broken crypto schemes,1,Found broken crypto schemes,256,1,xb.d,init
"Found: ""AES""",Found broken crypto schemes,1,Found broken crypto schemes,256,1,xb.d,init
"Found: ""DESede""",Found broken crypto schemes,1,Found broken crypto schemes,256,1,w5.a,e
"Found: ""AES""",Found broken crypto schemes,1,Found broken crypto schemes,256,1,xb.d,init
"Found: ""RC4""",Found broken crypto schemes,1,Found broken crypto schemes,256,1,i8.a,a
"Found: ""AES""",Found broken crypto schemes,1,Found broken crypto schemes,256,1,w5.a,a
"Found: ""AES""",Found broken crypto schemes,1,Found broken crypto schemes,256,1,w5.a,c
"Found: ""DES/ECB/NoPadding""",Found broken crypto schemes,1,Found broken crypto schemes,256,1,i8.a,b
"Found: ""AES""",Found broken crypto schemes,1,Found broken crypto schemes,256,1,w5.a,d
"Found: ""DESede""",Found broken crypto schemes,1,Found broken crypto schemes,256,1,xb.d,init
"Found: ""IDEA""",Found broken crypto schemes,1,Found broken crypto schemes,256,1,xb.d,init
"Found: ""Blowfish""",Found broken crypto schemes,1,Found broken crypto schemes,256,1,xb.d,init
"Found: ""AES""",Found broken crypto schemes,1,Found broken crypto schemes,256,1,w5.a,b
"Found: ""Blowfish""",Found broken crypto schemes,1,Found broken crypto schemes,256,1,xb.d,init
Found: Untrused PRNG (java.util.Random),Used untrusted PRNG,13,Used untrusted PRNG,338,1,pe.r,init
Found: Untrused PRNG (java.util.Random),Used untrusted PRNG,13,Used untrusted PRNG,338,1,f7.a,b
Found: Untrused PRNG (java.util.Random),Used untrusted PRNG,13,Used untrusted PRNG,338,1,ye.c,clinit
Found: Untrused PRNG (java.util.Random),Used untrusted PRNG,13,Used untrusted PRNG,338,1,y8.b$a,initialValue
Found: Untrused PRNG (java.util.Random),Used untrusted PRNG,13,Used untrusted PRNG,338,1,d8.e,init
Found: Untrused PRNG (java.util.Random),Used untrusted PRNG,13,Used untrusted PRNG,338,1,androidx.activity.result.a,init
Found: Untrused PRNG (java.util.Random),Used untrusted PRNG,13,Used untrusted PRNG,338,1,ci.c$b,w
Found: Untrused PRNG (java.util.Random),Used untrusted PRNG,13,Used untrusted PRNG,338,1,x9.k,init
Found: Untrused PRNG (java.util.Random),Used untrusted PRNG,13,Used untrusted PRNG,338,1,g8.p0,clinit
Found: Untrused PRNG (java.util.Random),Used untrusted PRNG,13,Used untrusted PRNG,338,1,fi.c0,n
Found: Untrused PRNG (java.util.Random),Used untrusted PRNG,13,Used untrusted PRNG,338,1,c0.c,e
Found: Untrused PRNG (java.util.Random),Used untrusted PRNG,13,Used untrusted PRNG,338,1,ci.d$d,n
Found: Untrused PRNG (java.util.Random),Used untrusted PRNG,13,Used untrusted PRNG,338,1,me.zhanghai.android.files.navigation.BookmarkDirectory,init
"Found: ""MD5""",Found broken hash functions,2,Found broken hash functions,759,1,sc.c,a
"Found: ""SHA-1""",Found broken hash functions,2,Found broken hash functions,759,1,y9.l0,run
"Found: ""MD5""",Found broken hash functions,2,Found broken hash functions,759,1,net.schmizz.sshj.common.e,f
"Found: ""MD5""",Found broken hash functions,2,Found broken hash functions,759,1,ie.m,b
"Found: ""SHA-1""",Found broken hash functions,2,Found broken hash functions,759,1,ic.c,init
"Found: ""SHA-1""",Found broken hash functions,2,Found broken hash functions,759,1,oc.f,h
"Found: ""MD5""",Found broken hash functions,2,Found broken hash functions,759,1,i8.a,d
"Found: ""MD5""",Found broken hash functions,2,Found broken hash functions,759,1,net.schmizz.sshj.common.e,a
"Found: ""SHA-1""",Found broken hash functions,2,Found broken hash functions,759,1,y9.l0,run
"Found: ""MD4""",Found broken hash functions,2,Found broken hash functions,759,1,i8.a,c
"Found: ""MD5""",Found broken hash functions,2,Found broken hash functions,759,1,s9.b,a
"Found: ""SHA-1""",Found broken hash functions,2,Found broken hash functions,759,1,oc.f,g
"Found: Constant ""0""",Used constant keys in code,3,Used constant keys in code,547,1,oc.f,g
"Found: Constant ""0""",Used constant keys in code,3,Used constant keys in code,547,1,oc.f,g
"Found: Constant ""1L""",Used constant keys in code,3,Used constant keys in code,547,1,ld.a$a,a
"Found: Constant ""0L""",Used constant keys in code,3,Used constant keys in code,547,1,ld.a$a,a
"Found: Constant ""aes256-cbc""",Used constant keys in code,3,Used constant keys in code,547,1,oc.f,b
"Found: Constant ""1L""",Used constant keys in code,3,Used constant keys in code,547,1,ld.a$a,a
"Found: Constant ""0""",Used constant keys in code,3,Used constant keys in code,547,1,oc.f,g
"Found: Constant ""0""",Used constant keys in code,3,Used constant keys in code,547,1,oc.f,g
"Found: Constant ""0""",Used constant keys in code,3,Used constant keys in code,547,1,oc.f,g
"Found: Constant ""0""",Used constant keys in code,3,Used constant keys in code,547,1,oc.f,g
"Found: Constant ""0""",Used constant keys in code,3,Used constant keys in code,547,1,oc.f,g
"Found: Constant ""1""",Used constant keys in code,3,Used constant keys in code,547,1,oc.f,g
"Found: ""0""",Found constant IV in code,10,Found constant IV in code,547,1,oc.f,g
"Found: ""0""",Found constant IV in code,10,Found constant IV in code,547,1,oc.f,g
"Found: ""aes256-cbc""",Found constant IV in code,10,Found constant IV in code,547,1,oc.f,b
"Found: ""0""",Found constant IV in code,10,Found constant IV in code,547,1,oc.f,g
"Found: ""0""",Found constant IV in code,10,Found constant IV in code,547,1,oc.f,g
"Found: ""0""",Found constant IV in code,10,Found constant IV in code,547,1,oc.f,g
"Found: ""0""",Found constant IV in code,10,Found constant IV in code,547,1,oc.f,g
"Found: ""0""",Found constant IV in code,10,Found constant IV in code,547,1,oc.f,g
"Found: ""1""",Found constant IV in code,10,Found constant IV in code,547,1,oc.f,g
"Found: ""2""",Used < 1000 iteration for PBE,8,Used < 1000 iteration for PBE,326,1,org.bouncycastle.jcajce.provider.symmetric.Twofish$PBEWithSHA,init
"Found: ""1""",Used < 1000 iteration for PBE,8,Used < 1000 iteration for PBE,326,1,org.bouncycastle.jcajce.provider.keystore.bc.BcKeyStoreSpi,loadStore
"Found: ""2""",Used < 1000 iteration for PBE,8,Used < 1000 iteration for PBE,326,1,org.bouncycastle.jcajce.provider.symmetric.AES$PBEWithSHA256AESCBC128,init
"Found: ""0""",Used < 1000 iteration for PBE,8,Used < 1000 iteration for PBE,326,1,org.bouncycastle.jcajce.provider.symmetric.util.BaseStreamCipher,engineInit
"Found: ""2""",Used < 1000 iteration for PBE,8,Used < 1000 iteration for PBE,326,1,org.bouncycastle.jcajce.provider.symmetric.AES$PBEWithSHA1AESCBC256,init
"Found: ""2""",Used < 1000 iteration for PBE,8,Used < 1000 iteration for PBE,326,1,org.bouncycastle.jcajce.provider.symmetric.AES$PBEWithSHA1AESCBC192,init
"Found: ""20""",Used < 1000 iteration for PBE,8,Used < 1000 iteration for PBE,326,1,org.bouncycastle.jcajce.provider.keystore.pkcs12.PKCS12KeyStoreSpi,init
"Found: ""4""",Used < 1000 iteration for PBE,8,Used < 1000 iteration for PBE,326,1,org.bouncycastle.jcajce.provider.keystore.bc.BcKeyStoreSpi$StoreEntry,init
"Found: ""2""",Used < 1000 iteration for PBE,8,Used < 1000 iteration for PBE,326,1,org.bouncycastle.jcajce.provider.symmetric.RC2$PBEWithSHAAnd128BitRC2,init
"Found: ""2""",Used < 1000 iteration for PBE,8,Used < 1000 iteration for PBE,326,1,org.bouncycastle.jcajce.provider.symmetric.AES$PBEWithSHA256AESCBC192,init
"Found: ""2""",Used < 1000 iteration for PBE,8,Used < 1000 iteration for PBE,326,1,org.bouncycastle.jcajce.provider.symmetric.AES$PBEWithSHA256AESCBC256,init
"Found: ""2""",Used < 1000 iteration for PBE,8,Used < 1000 iteration for PBE,326,1,org.bouncycastle.jcajce.provider.symmetric.DESede$PBEWithSHAAndDES3Key,init
"Found: ""0""",Used < 1000 iteration for PBE,8,Used < 1000 iteration for PBE,326,1,org.bouncycastle.jcajce.provider.symmetric.util.BaseBlockCipher,engineInit
"Found: ""3""",Used < 1000 iteration for PBE,8,Used < 1000 iteration for PBE,326,1,org.bouncycastle.jcajce.provider.keystore.bc.BcKeyStoreSpi$StoreEntry,init
"Found: ""0""",Used < 1000 iteration for PBE,8,Used < 1000 iteration for PBE,326,1,org.bouncycastle.jcajce.provider.symmetric.RC2$PBEWithMD5AndRC2,init
"Found: ""0""",Used < 1000 iteration for PBE,8,Used < 1000 iteration for PBE,326,1,org.bouncycastle.jcajce.provider.symmetric.DES$PBEWithMD2,init
"Found: ""2""",Used < 1000 iteration for PBE,8,Used < 1000 iteration for PBE,326,1,org.bouncycastle.jcajce.provider.symmetric.AES$PBEWithSHA1AESCBC128,init
"Found: ""2""",Used < 1000 iteration for PBE,8,Used < 1000 iteration for PBE,326,1,org.bouncycastle.jcajce.provider.keystore.bc.BcKeyStoreSpi,loadStore
"Found: ""1""",Used < 1000 iteration for PBE,8,Used < 1000 iteration for PBE,326,1,mi.e,b
"Found: ""0""",Used < 1000 iteration for PBE,8,Used < 1000 iteration for PBE,326,1,org.bouncycastle.jcajce.provider.symmetric.DES$PBEWithMD5,init
"Found: ""0""",Used < 1000 iteration for PBE,8,Used < 1000 iteration for PBE,326,1,org.bouncycastle.jcajce.provider.symmetric.RC2$PBEWithSHA1AndRC2,init
"Found: ""2""",Used < 1000 iteration for PBE,8,Used < 1000 iteration for PBE,326,1,org.bouncycastle.jcajce.provider.symmetric.RC2$PBEWithSHAAnd40BitRC2,init
"Found: ""2""",Used < 1000 iteration for PBE,8,Used < 1000 iteration for PBE,326,1,org.bouncycastle.jcajce.provider.symmetric.DESede$PBEWithSHAAndDES2Key,init
"Found: ""1""",Used < 1000 iteration for PBE,8,Used < 1000 iteration for PBE,326,1,org.bouncycastle.jcajce.provider.keystore.bc.BcKeyStoreSpi$StoreEntry,init
"Found: ""0""",Used < 1000 iteration for PBE,8,Used < 1000 iteration for PBE,326,1,org.bouncycastle.jcajce.provider.symmetric.DES$PBEWithSHA1,init
