Message,Description,RuleNumber,RuleDesc,CWEId,Severity,ClassName,MethodName
"Found: ""AES""",Found broken crypto schemes,1,Found broken crypto schemes,256,1,org.picketbox.plugins.vault.PicketBoxSecurityVault,init
"Found: ""PBEwithMD5andDES""",Found broken crypto schemes,1,Found broken crypto schemes,256,1,org.picketbox.datasource.security.PBEIdentityLoginModule,init
"Found: ""Blowfish""",Found broken crypto schemes,1,Found broken crypto schemes,256,1,org.picketbox.datasource.security.SecureIdentityLoginModule,decode
"Found: ""PBEwithMD5andDES""",Found broken crypto schemes,1,Found broken crypto schemes,256,1,org.jboss.security.plugins.FilePassword,decode
"Found: ""AES""",Found broken crypto schemes,1,Found broken crypto schemes,256,1,zorg.platform.j2se.EncryptorSuiteImpl,encryptIV_for_prf
"Found: ""PBEwithMD5andDES""",Found broken crypto schemes,1,Found broken crypto schemes,256,1,org.picketbox.datasource.security.PBEIdentityLoginModule,init
"Found: ""PBEwithMD5andDES""",Found broken crypto schemes,1,Found broken crypto schemes,256,1,org.jboss.security.plugins.PBEUtils,main
"Found: ""AES""",Found broken crypto schemes,1,Found broken crypto schemes,256,1,zorg.platform.j2se.EncryptorSuiteImpl,init
"Found: ""Blowfish""",Found broken crypto schemes,1,Found broken crypto schemes,256,1,org.picketbox.datasource.security.SecureIdentityLoginModule,encode
"Found: ""PBEwithMD5andDES""",Found broken crypto schemes,1,Found broken crypto schemes,256,1,org.picketbox.plugins.vault.PicketBoxSecurityVault,decode
"Found: ""PBEwithMD5andDES""",Found broken crypto schemes,1,Found broken crypto schemes,256,1,org.jboss.security.plugins.FilePassword,encode
"Found: ""PBEwithMD5andDES""",Found broken crypto schemes,1,Found broken crypto schemes,256,1,org.picketbox.util.StringUtil,decode
Found: Untrused PRNG (java.util.Random),Used untrusted PRNG,13,Used untrusted PRNG,338,1,org.spongycastle.math.ec.ECCurve$F2m,solveQuadraticEquation
Found: Untrused PRNG (java.util.Random),Used untrusted PRNG,13,Used untrusted PRNG,338,1,org.zoolu.tools.Random,clinit
Found: Untrused PRNG (java.util.Random),Used untrusted PRNG,13,Used untrusted PRNG,338,1,org.spongycastle.pqc.math.linearalgebra.GF2nONBField,getRandomRoot
Found: Untrused PRNG (java.util.Random),Used untrusted PRNG,13,Used untrusted PRNG,338,1,org.opentelecoms.util.dns.SRVRecordComparator,init
Found: Untrused PRNG (java.util.Random),Used untrusted PRNG,13,Used untrusted PRNG,338,1,org.spongycastle.math.raw.Mod,random
Found: Untrused PRNG (java.util.Random),Used untrusted PRNG,13,Used untrusted PRNG,338,1,org.spongycastle.pqc.math.linearalgebra.GF2nPolynomialField,getRandomRoot
Found: Untrused PRNG (java.util.Random),Used untrusted PRNG,13,Used untrusted PRNG,338,1,org.spongycastle.asn1.ua.DSTU4145PointEncoder,solveQuadraticEquation
Found: Untrused PRNG (java.util.Random),Used untrusted PRNG,13,Used untrusted PRNG,338,1,org.zoolu.tools.MD5OTP,encrypt
Found: Untrused PRNG (java.util.Random),Used untrusted PRNG,13,Used untrusted PRNG,338,1,org.ice4j.attribute.ReservationTokenAttribute,clinit
Found: Untrused PRNG (java.util.Random),Used untrusted PRNG,13,Used untrusted PRNG,338,1,org.spongycastle.pqc.math.linearalgebra.GF2Polynomial,clinit
Found: Untrused PRNG (java.util.Random),Used untrusted PRNG,13,Used untrusted PRNG,338,1,org.sipdroid.media.RtpStreamSender,run
Found: Untrused PRNG (java.util.Random),Used untrusted PRNG,13,Used untrusted PRNG,338,1,org.spongycastle.pqc.math.linearalgebra.GF2nONBField,elementOfOrder
Found: Untrused PRNG (java.util.Random),Used untrusted PRNG,13,Used untrusted PRNG,338,1,org.ice4j.stack.TransactionID,clinit
Found: Untrused PRNG (java.util.Random),Used untrusted PRNG,13,Used untrusted PRNG,338,1,org.ice4j.ice.NetworkUtils,clinit
