Message,Description,RuleNumber,RuleDesc,CWEId,Severity,ClassName,MethodName
Found: Untrused PRNG (java.util.Random),Used untrusted PRNG,13,Used untrusted PRNG,338,1,com.shuyu.gsyvideoplayer.render.effect.DocumentaryEffect,initValues
Found: Untrused PRNG (java.util.Random),Used untrusted PRNG,13,Used untrusted PRNG,338,1,com.vladsch.flexmark.util.html.Escaping,clinit
Found: Untrused PRNG (java.util.Random),Used untrusted PRNG,13,Used untrusted PRNG,338,1,com.shuyu.gsyvideoplayer.render.effect.GrainEffect,initValues
Found: Untrused PRNG (java.util.Random),Used untrusted PRNG,13,Used untrusted PRNG,338,1,com.shuyu.gsyvideoplayer.render.effect.LamoishEffect,initValues
Found: Untrused PRNG (java.util.Random),Used untrusted PRNG,13,Used untrusted PRNG,338,1,com.vladsch.flexmark.util.html.Escaping,obfuscate
Found: Untrused PRNG (java.util.Random),Used untrusted PRNG,13,Used untrusted PRNG,338,1,com.bumptech.glide.load.resource.gif.GifFrameLoader,getFrameSignature
"Cause: Fixed ""[1]""",Used untrusted HostNameVerifier,6,Used untrusted HostNameVerifier,601,1,http.HttpRequest,UNKNOWN
"Found: ""SHA-1""",Found broken hash functions,2,Found broken hash functions,759,1,okio.ByteString,sha1
"Found: ""MD5""",Found broken hash functions,2,Found broken hash functions,759,1,com.seafile.seadroid2.ui.dialog.SslConfirmDialog,onCreateDialog
"Found: ""MD5""",Found broken hash functions,2,Found broken hash functions,759,1,com.nostra13.universalimageloader.cache.disc.naming.Md5FileNameGenerator,getMD5
"Found: ""SHA-1""",Found broken hash functions,2,Found broken hash functions,759,1,com.seafile.seadroid2.ui.dialog.SslConfirmDialog,onCreateDialog
"Found: ""MD5""",Found broken hash functions,2,Found broken hash functions,759,1,com.danikula.videocache.ProxyCacheUtils,computeMD5
"Found: ""SHA-1""",Found broken hash functions,2,Found broken hash functions,759,1,com.seafile.seadroid2.ui.dialog.SslConfirmDialog,onCreateDialog
"Found: ""MD5""",Found broken hash functions,2,Found broken hash functions,759,1,com.seafile.seadroid2.ui.dialog.SslConfirmDialog,onCreateDialog
"Found: ""SHA-1""",Found broken hash functions,2,Found broken hash functions,759,1,com.seafile.seadroid2.gesturelock.LockPatternUtils,patternToHash
"Found: ""SHA-1""",Found broken hash functions,2,Found broken hash functions,759,1,com.seafile.seadroid2.crypto.Crypto,sha1
"Found: ""MD5""",Found broken hash functions,2,Found broken hash functions,759,1,com.seafile.seadroid2.gesturelock.LockPasswordUtils,passwordToHash
"Found: ""SHA-1""",Found broken hash functions,2,Found broken hash functions,759,1,com.seafile.seadroid2.gesturelock.LockPasswordUtils,passwordToHash
