Message,Description,RuleNumber,RuleDesc,CWEId,Severity,ClassName,MethodName
"Found: ""AES/ECB/NoPadding""",Found broken crypto schemes,1,Found broken crypto schemes,256,1,x5.d,m
Found: Untrused PRNG (java.util.Random),Used untrusted PRNG,13,Used untrusted PRNG,338,1,a8.e$b,J
Found: Untrused PRNG (java.util.Random),Used untrusted PRNG,13,Used untrusted PRNG,338,1,androidx.activity.result.ActivityResultRegistry,init
Found: Untrused PRNG (java.util.Random),Used untrusted PRNG,13,Used untrusted PRNG,338,1,r9.a,c
Found: Untrused PRNG (java.util.Random),Used untrusted PRNG,13,Used untrusted PRNG,338,1,p8.a,init
Found: Untrused PRNG (java.util.Random),Used untrusted PRNG,13,Used untrusted PRNG,338,1,l2.g,g
Found: Untrused PRNG (java.util.Random),Used untrusted PRNG,13,Used untrusted PRNG,338,1,ia.c,e
Found: Untrused PRNG (java.util.Random),Used untrusted PRNG,13,Used untrusted PRNG,338,1,i8.c,n
Found: Untrused PRNG (java.util.Random),Used untrusted PRNG,13,Used untrusted PRNG,338,1,v5.d,init
Found: Untrused PRNG (java.util.Random),Used untrusted PRNG,13,Used untrusted PRNG,338,1,y5.n,clinit
Found: Untrused PRNG (java.util.Random),Used untrusted PRNG,13,Used untrusted PRNG,338,1,t9.k,a
Found: Untrused PRNG (java.util.Random),Used untrusted PRNG,13,Used untrusted PRNG,338,1,l6.n,clinit
Found: Untrused PRNG (java.util.Random),Used untrusted PRNG,13,Used untrusted PRNG,338,1,ia.c,d
Found: Untrused PRNG (java.util.Random),Used untrusted PRNG,13,Used untrusted PRNG,338,1,ua.f1,init
Found: Untrused PRNG (java.util.Random),Used untrusted PRNG,13,Used untrusted PRNG,338,1,a6.s,clinit
Should at least get One accepted Issuer from Other Sources in getAcceptedIssuers method of UNKNOWN,Uses untrusted TrustManager,4,Uses untrusted TrustManager,349,1,UNKNOWN,getAcceptedIssuers
Should throw java.security.cert.CertificateException in check(Client|Server)Trusted method of UNKNOWN,Uses untrusted TrustManager,4,Uses untrusted TrustManager,349,1,UNKNOWN,UNKNOWN
"Found: ""SHA-1""",Found broken hash functions,2,Found broken hash functions,759,1,ta.a,a
"Found: ""SHA-1""",Found broken hash functions,2,Found broken hash functions,759,1,t9.x,G
"Found: ""SHA-1""",Found broken hash functions,2,Found broken hash functions,759,1,qa.b,e
"Found: ""SHA-1""",Found broken hash functions,2,Found broken hash functions,759,1,x9.d,init
"Found: ""SHA1""",Found broken hash functions,2,Found broken hash functions,759,1,ba.j,init
"Found: ""SHA""",Found broken hash functions,2,Found broken hash functions,759,1,ba.w5,g
"Found: ""SHA-1""",Found broken hash functions,2,Found broken hash functions,759,1,ia.c,c
"Found: Constant ""10""",Used constant keys in code,3,Used constant keys in code,547,1,x5.c,clinit
"Found: Constant ""9""",Used constant keys in code,3,Used constant keys in code,547,1,a6.m,clinit
"Found: Constant ""40""",Used constant keys in code,3,Used constant keys in code,547,1,x5.c,clinit
"Found: Constant ""40""",Used constant keys in code,3,Used constant keys in code,547,1,a6.m,clinit
"Found: Constant ""-105""",Used constant keys in code,3,Used constant keys in code,547,1,x5.c,clinit
"Found: Constant ""77""",Used constant keys in code,3,Used constant keys in code,547,1,x5.c,clinit
"Found: Constant ""23""",Used constant keys in code,3,Used constant keys in code,547,1,x5.c,clinit
"Found: Constant ""-32""",Used constant keys in code,3,Used constant keys in code,547,1,x5.c,clinit
"Found: Constant ""108""",Used constant keys in code,3,Used constant keys in code,547,1,a6.m,clinit
"Found: Constant ""-71""",Used constant keys in code,3,Used constant keys in code,547,1,a6.m,clinit
"Found: Constant ""89""",Used constant keys in code,3,Used constant keys in code,547,1,x5.c,clinit
"Found: Constant ""-26""",Used constant keys in code,3,Used constant keys in code,547,1,x5.c,clinit
"Found: Constant ""-88""",Used constant keys in code,3,Used constant keys in code,547,1,x5.c,clinit
"Found: Constant ""-77""",Used constant keys in code,3,Used constant keys in code,547,1,x5.c,clinit
"Found: Constant ""-15""",Used constant keys in code,3,Used constant keys in code,547,1,x5.c,clinit
"Found: Constant ""76""",Used constant keys in code,3,Used constant keys in code,547,1,x5.c,clinit
"Found: Constant ""-69""",Used constant keys in code,3,Used constant keys in code,547,1,x5.c,clinit
"Found: Constant ""-20""",Used constant keys in code,3,Used constant keys in code,547,1,x5.c,clinit
"Found: Constant ""-52""",Used constant keys in code,3,Used constant keys in code,547,1,x5.c,clinit
"Found: Constant ""-11""",Used constant keys in code,3,Used constant keys in code,547,1,x5.c,clinit
"Found: Constant ""21""",Used constant keys in code,3,Used constant keys in code,547,1,a6.m,clinit
"Found: Constant ""-52""",Used constant keys in code,3,Used constant keys in code,547,1,a6.m,clinit
"Found: Constant ""-48""",Used constant keys in code,3,Used constant keys in code,547,1,a6.m,clinit
"Found: Constant ""-83""",Used constant keys in code,3,Used constant keys in code,547,1,x5.c,clinit
"Found: Constant ""-48""",Used constant keys in code,3,Used constant keys in code,547,1,a6.m,clinit
"Found: Constant ""-46""",Used constant keys in code,3,Used constant keys in code,547,1,x5.c,clinit
"Found: Constant ""-92""",Used constant keys in code,3,Used constant keys in code,547,1,x5.c,clinit
"Found: Constant ""87""",Used constant keys in code,3,Used constant keys in code,547,1,a6.m,clinit
"Found: Constant ""-81""",Used constant keys in code,3,Used constant keys in code,547,1,x5.c,clinit
"Found: Constant ""118""",Used constant keys in code,3,Used constant keys in code,547,1,x5.c,clinit
"Found: Constant ""56""",Used constant keys in code,3,Used constant keys in code,547,1,x5.c,clinit
"Found: Constant ""-102""",Used constant keys in code,3,Used constant keys in code,547,1,x5.c,clinit
"Found: Constant ""17""",Used constant keys in code,3,Used constant keys in code,547,1,x5.c,clinit
"Found: Constant ""-109""",Used constant keys in code,3,Used constant keys in code,547,1,x5.c,clinit
"Found: Constant ""24""",Used constant keys in code,3,Used constant keys in code,547,1,a6.m,clinit
"Found: Constant ""90""",Used constant keys in code,3,Used constant keys in code,547,1,a6.m,clinit
"Found: Constant ""-98""",Used constant keys in code,3,Used constant keys in code,547,1,x5.c,clinit
"Found: Constant ""97""",Used constant keys in code,3,Used constant keys in code,547,1,x5.c,clinit
"Found: Constant ""44""",Used constant keys in code,3,Used constant keys in code,547,1,x5.c,clinit
"Found: Constant ""-112""",Used constant keys in code,3,Used constant keys in code,547,1,x5.c,clinit
"Found: Constant ""-56""",Used constant keys in code,3,Used constant keys in code,547,1,x5.c,clinit
"Found: Constant ""52""",Used constant keys in code,3,Used constant keys in code,547,1,x5.c,clinit
"Found: Constant ""-9""",Used constant keys in code,3,Used constant keys in code,547,1,x5.c,clinit
"Found: Constant ""-102""",Used constant keys in code,3,Used constant keys in code,547,1,a6.m,clinit
"Found: Constant ""12""",Used constant keys in code,3,Used constant keys in code,547,1,x5.c,clinit
"Found: Constant ""-103""",Used constant keys in code,3,Used constant keys in code,547,1,x5.c,clinit
"Found: Constant ""127""",Used constant keys in code,3,Used constant keys in code,547,1,x5.c,clinit
"Found: Constant ""-65""",Used constant keys in code,3,Used constant keys in code,547,1,x5.c,clinit
"Found: Constant ""-122""",Used constant keys in code,3,Used constant keys in code,547,1,x5.c,clinit
"Found: Constant ""-103""",Used constant keys in code,3,Used constant keys in code,547,1,x5.c,clinit
"Found: Constant ""107""",Used constant keys in code,3,Used constant keys in code,547,1,a6.m,clinit
"Found: Constant ""126""",Used constant keys in code,3,Used constant keys in code,547,1,a6.m,clinit
"Found: Constant ""-31""",Used constant keys in code,3,Used constant keys in code,547,1,a6.m,clinit
"Found: Constant ""-50""",Used constant keys in code,3,Used constant keys in code,547,1,a6.m,clinit
"Found: Constant ""67""",Used constant keys in code,3,Used constant keys in code,547,1,x5.c,clinit
"Found: Constant ""-100""",Used constant keys in code,3,Used constant keys in code,547,1,x5.c,clinit
