Message,Description,RuleNumber,RuleDesc,CWEId,Severity,ClassName,MethodName,ExternalLibrary
"Found: ""1024""",Used export grade public Key,5,Used export grade public Key,321,1,io.netty.handler.ssl.util.SelfSignedCertificate,init,false
Found: Untrused PRNG (java.util.Random),Used untrusted PRNG,13,Used untrusted PRNG,338,1,org.bitcoinj.net.FilterMerger,init,false
Found: Untrused PRNG (java.util.Random),Used untrusted PRNG,13,Used untrusted PRNG,338,1,io.netty.handler.codec.http.websocketx.WebSocketClientHandshaker00,insertRandomCharacters,false
Found: Untrused PRNG (java.util.Random),Used untrusted PRNG,13,Used untrusted PRNG,338,1,org.spongycastle.math.ec.ECCurve$AbstractF2m,solveQuadraticEquation,false
Found: Untrused PRNG (java.util.Random),Used untrusted PRNG,13,Used untrusted PRNG,338,1,org.spongycastle.math.raw.Mod,random,false
Found: Untrused PRNG (java.util.Random),Used untrusted PRNG,13,Used untrusted PRNG,338,1,org.bitcoinj.core.Peer,processInv,true
Found: Untrused PRNG (java.util.Random),Used untrusted PRNG,13,Used untrusted PRNG,338,1,io.netty.handler.codec.http.websocketx.WebSocketUtil,randomNumber,false
Found: Untrused PRNG (java.util.Random),Used untrusted PRNG,13,Used untrusted PRNG,338,1,io.netty.handler.codec.http.websocketx.WebSocket08FrameEncoder,encode,false
Found: Untrused PRNG (java.util.Random),Used untrusted PRNG,13,Used untrusted PRNG,338,1,core.Peer,run,true
Found: Untrused PRNG (java.util.Random),Used untrusted PRNG,13,Used untrusted PRNG,338,1,io.netty.util.internal.ThreadLocalRandom,init,true
Found: Untrused PRNG (java.util.Random),Used untrusted PRNG,13,Used untrusted PRNG,338,1,org.bitcoinj.core.Peer,ping,true
Found: Untrused PRNG (java.util.Random),Used untrusted PRNG,13,Used untrusted PRNG,338,1,org.bitcoinj.core.PeerGroup,selectDownloadPeer,true
Found: Untrused PRNG (java.util.Random),Used untrusted PRNG,13,Used untrusted PRNG,338,1,io.netty.util.internal.chmv8.Striped64,clinit,true
Should at least get One accepted Issuer from Other Sources in getAcceptedIssuers method of util.FingerprintTrustManagerFactory,Uses untrusted TrustManager,4,Uses untrusted TrustManager,349,1,util.FingerprintTrustManagerFactory,getAcceptedIssuers,false
Should throw java.security.cert.CertificateException in check(Client|Server)Trusted method of util.FingerprintTrustManagerFactory,Uses untrusted TrustManager,4,Uses untrusted TrustManager,349,1,util.FingerprintTrustManagerFactory,UNKNOWN,false
Should at least get One accepted Issuer from Other Sources in getAcceptedIssuers method of greenapi.FingerprintTrustManagerFactorySHA256,Uses untrusted TrustManager,4,Uses untrusted TrustManager,349,1,greenapi.FingerprintTrustManagerFactorySHA256,getAcceptedIssuers,false
Should throw java.security.cert.CertificateException in check(Client|Server)Trusted method of greenapi.FingerprintTrustManagerFactorySHA256,Uses untrusted TrustManager,4,Uses untrusted TrustManager,349,1,greenapi.FingerprintTrustManagerFactorySHA256,UNKNOWN,false
Should at least get One accepted Issuer from Other Sources in getAcceptedIssuers method of util.InsecureTrustManagerFactory,Uses untrusted TrustManager,4,Uses untrusted TrustManager,349,1,util.InsecureTrustManagerFactory,getAcceptedIssuers,false
Should throw java.security.cert.CertificateException in check(Client|Server)Trusted method of util.InsecureTrustManagerFactory,Uses untrusted TrustManager,4,Uses untrusted TrustManager,349,1,util.InsecureTrustManagerFactory,UNKNOWN,false
"Found: ""SHA-1""",Found broken hash functions,2,Found broken hash functions,759,1,com.squareup.okhttp.internal.Util,sha1,true
"Found: ""MD5""",Found broken hash functions,2,Found broken hash functions,759,1,okio.Buffer,toString,false
"Found: ""MD5""",Found broken hash functions,2,Found broken hash functions,759,1,okio.ByteString,md5,false
"Found: ""SHA1""",Found broken hash functions,2,Found broken hash functions,759,1,websocketx.WebSocketUtil,initialValue,false
"Found: ""MD5""",Found broken hash functions,2,Found broken hash functions,759,1,websocketx.WebSocketUtil,initialValue,false
"Found: ""SHA1""",Found broken hash functions,2,Found broken hash functions,759,1,util.FingerprintTrustManagerFactory,initialValue,false
