Message,Description,RuleNumber,RuleDesc,CWEId,Severity,ClassName,MethodName,ExternalLibrary
"Found: ""Blowfish""",Found broken crypto schemes,1,Found broken crypto schemes,256,1,com.hierynomus.sshj.transport.cipher.BlockCiphers,BlowfishCBC,false
"Found: ""AES""",Found broken crypto schemes,1,Found broken crypto schemes,256,1,com.hierynomus.sshj.transport.cipher.GcmCiphers,AES256GCM,false
"Found: ""AES""",Found broken crypto schemes,1,Found broken crypto schemes,256,1,com.hierynomus.sshj.transport.cipher.BlockCiphers,AES192CTR,false
"Found: ""AES""",Found broken crypto schemes,1,Found broken crypto schemes,256,1,com.hierynomus.sshj.transport.cipher.BlockCiphers,AES256CTR,false
"Found: ""DESede""",Found broken crypto schemes,1,Found broken crypto schemes,256,1,com.hierynomus.sshj.transport.cipher.BlockCiphers,TripleDESCTR,false
"Found: ""AES""",Found broken crypto schemes,1,Found broken crypto schemes,256,1,com.hierynomus.sshj.transport.cipher.BlockCiphers,AES128CTR,false
"Found: ""DESede/CBC/NoPadding""",Found broken crypto schemes,1,Found broken crypto schemes,256,1,net.schmizz.sshj.transport.cipher.TripleDESCBC,init,false
"Found: ""IDEA""",Found broken crypto schemes,1,Found broken crypto schemes,256,1,com.hierynomus.sshj.transport.cipher.BlockCiphers,IDEACBC,false
"Found: ""RC4""",Found broken crypto schemes,1,Found broken crypto schemes,256,1,com.hierynomus.sshj.transport.cipher.StreamCiphers,Arcfour128,false
"Found: ""AES""",Found broken crypto schemes,1,Found broken crypto schemes,256,1,com.hierynomus.sshj.transport.cipher.BlockCiphers,AES128CBC,false
"Found: ""AES""",Found broken crypto schemes,1,Found broken crypto schemes,256,1,com.hierynomus.sshj.transport.cipher.GcmCiphers,AES128GCM,false
"Found: ""RC4""",Found broken crypto schemes,1,Found broken crypto schemes,256,1,com.hierynomus.sshj.transport.cipher.StreamCiphers,Arcfour256,false
"Found: ""AES""",Found broken crypto schemes,1,Found broken crypto schemes,256,1,com.hierynomus.sshj.transport.cipher.BlockCiphers,AES256CBC,false
"Found: ""DESede""",Found broken crypto schemes,1,Found broken crypto schemes,256,1,com.hierynomus.sshj.transport.cipher.BlockCiphers,TripleDESCBC,false
"Found: ""Blowfish/CBC/NoPadding""",Found broken crypto schemes,1,Found broken crypto schemes,256,1,net.schmizz.sshj.transport.cipher.BlowfishCBC,init,false
"Found: ""AES""",Found broken crypto schemes,1,Found broken crypto schemes,256,1,com.hierynomus.sshj.transport.cipher.BlockCiphers,AES192CBC,false
"Found: ""IDEA""",Found broken crypto schemes,1,Found broken crypto schemes,256,1,com.hierynomus.sshj.transport.cipher.BlockCiphers,IDEACTR,false
"Found: ""Blowfish""",Found broken crypto schemes,1,Found broken crypto schemes,256,1,com.hierynomus.sshj.transport.cipher.BlockCiphers,BlowfishCTR,false
Found: Untrused PRNG (java.util.Random),Used untrusted PRNG,13,Used untrusted PRNG,338,1,org.bouncycastle.pqc.math.linearalgebra.GF2nPolynomialElement,solveQuadraticEquation,true
Found: Untrused PRNG (java.util.Random),Used untrusted PRNG,13,Used untrusted PRNG,338,1,org.bouncycastle.math.ec.ECFieldElement$Fp,sqrt,true
Found: Untrused PRNG (java.util.Random),Used untrusted PRNG,13,Used untrusted PRNG,338,1,org.bouncycastle.pqc.math.linearalgebra.GF2Polynomial,clinit,true
Found: Untrused PRNG (java.util.Random),Used untrusted PRNG,13,Used untrusted PRNG,338,1,org.bouncycastle.asn1.ua.DSTU4145PointEncoder,solveQuadraticEquation,true
Found: Untrused PRNG (java.util.Random),Used untrusted PRNG,13,Used untrusted PRNG,338,1,org.bouncycastle.math.raw.Mod,random,true
Found: Untrused PRNG (java.util.Random),Used untrusted PRNG,13,Used untrusted PRNG,338,1,org.bouncycastle.pqc.math.linearalgebra.GF2nONBField,elementOfOrder,true
Found: Untrused PRNG (java.util.Random),Used untrusted PRNG,13,Used untrusted PRNG,338,1,org.bouncycastle.math.ec.ECCurve$AbstractF2m,solveQuadraticEquation,true
Should at least get One accepted Issuer from Other Sources in getAcceptedIssuers method of jcajce.JcaJceUtils,Uses untrusted TrustManager,4,Uses untrusted TrustManager,349,1,jcajce.JcaJceUtils,getAcceptedIssuers,false
Should throw java.security.cert.CertificateException in check(Client|Server)Trusted method of jcajce.JcaJceUtils,Uses untrusted TrustManager,4,Uses untrusted TrustManager,349,1,jcajce.JcaJceUtils,UNKNOWN,false
Should at least get One accepted Issuer from Other Sources in getAcceptedIssuers method of jcajce.JcaJceUtils,Uses untrusted TrustManager,4,Uses untrusted TrustManager,349,1,jcajce.JcaJceUtils,getAcceptedIssuers,false
Should throw java.security.cert.CertificateException in check(Client|Server)Trusted method of jcajce.JcaJceUtils,Uses untrusted TrustManager,4,Uses untrusted TrustManager,349,1,jcajce.JcaJceUtils,UNKNOWN,false
"Found: ""MD5""",Found broken hash functions,2,Found broken hash functions,759,1,net.schmizz.sshj.common.SecurityUtils,getFingerprint,false
"Found: ""SHA1""",Found broken hash functions,2,Found broken hash functions,759,1,org.bouncycastle.cert.jcajce.JcaX509ExtensionUtils,init,true
"Found: ""SHA-1""",Found broken hash functions,2,Found broken hash functions,759,1,net.schmizz.sshj.transport.digest.SHA1,init,false
"Found: ""SHA-1""",Found broken hash functions,2,Found broken hash functions,759,1,net.schmizz.sshj.userauth.keyprovider.PuTTYKeyFile,toKey,false
"Found: ""MD5""",Found broken hash functions,2,Found broken hash functions,759,1,net.schmizz.sshj.transport.digest.MD5,init,false
"Found: ""SHA-1""",Found broken hash functions,2,Found broken hash functions,759,1,net.schmizz.sshj.userauth.keyprovider.PuTTYKeyFile,verify,false
"Found: ""SHA-1""",Found broken hash functions,2,Found broken hash functions,759,1,net.schmizz.sshj.transport.verification.FingerprintVerifier,getInstance,false
"Found: ""SHA1""",Found broken hash functions,2,Found broken hash functions,759,1,org.bouncycastle.openpgp.operator.jcajce.SHA1PGPDigestCalculator,init,true
"Found: ""MD5""",Found broken hash functions,2,Found broken hash functions,759,1,net.schmizz.sshj.common.SecurityUtils,registerSecurityProvider,false
"Found: Constant ""0""",Used constant keys in code,3,Used constant keys in code,547,1,net.schmizz.sshj.userauth.keyprovider.PuTTYKeyFile,toKey,false
"Found: Constant ""4""",Used constant keys in code,3,Used constant keys in code,547,1,org.bouncycastle.math.ec.ECPoint,getEncoded,true
"Found: Constant ""0""",Used constant keys in code,3,Used constant keys in code,547,1,net.schmizz.sshj.userauth.keyprovider.PuTTYKeyFile,toKey,false
"Found: Constant ""2""",Used constant keys in code,3,Used constant keys in code,547,1,org.bouncycastle.math.ec.ECPoint,getEncoded,true
"Found: Constant ""0""",Used constant keys in code,3,Used constant keys in code,547,1,net.schmizz.sshj.userauth.keyprovider.PuTTYKeyFile,toKey,false
"Found: Constant ""0""",Used constant keys in code,3,Used constant keys in code,547,1,net.schmizz.sshj.userauth.keyprovider.PuTTYKeyFile,toKey,false
