Message,Description,RuleNumber,RuleDesc,CWEId,Severity,ClassName,MethodName,ExternalLibrary
"Found: ""DESede/ECB/NoPadding""",Found broken crypto schemes,1,Found broken crypto schemes,256,1,im.status.keycard.globalplatform.Crypto,ecb3des,false
"Found: ""DESede/CBC/NoPadding""",Found broken crypto schemes,1,Found broken crypto schemes,256,1,im.status.keycard.globalplatform.Crypto,deriveSCP02SessionKey,false
"Found: ""DES/ECB/NoPadding""",Found broken crypto schemes,1,Found broken crypto schemes,256,1,im.status.keycard.globalplatform.Crypto,encryptICV,false
"Found: ""DESede/CBC/NoPadding""",Found broken crypto schemes,1,Found broken crypto schemes,256,1,im.status.keycard.globalplatform.Crypto,mac3des,false
"Found: ""DES/CBC/NoPadding""",Found broken crypto schemes,1,Found broken crypto schemes,256,1,im.status.keycard.globalplatform.Crypto,macFull3des,false
"Found: ""DESede/CBC/NoPadding""",Found broken crypto schemes,1,Found broken crypto schemes,256,1,im.status.keycard.globalplatform.Crypto,macFull3des,false
Found: Untrused PRNG (java.util.Random),Used untrusted PRNG,13,Used untrusted PRNG,338,1,androidx.transition.Explode,calculateOut,true
Found: Untrused PRNG (java.util.Random),Used untrusted PRNG,13,Used untrusted PRNG,338,1,org.bouncycastle.pqc.math.linearalgebra.GF2nPolynomialElement,solveQuadraticEquation,false
Found: Untrused PRNG (java.util.Random),Used untrusted PRNG,13,Used untrusted PRNG,338,1,org.bouncycastle.math.ec.ECFieldElement$Fp,sqrt,false
Found: Untrused PRNG (java.util.Random),Used untrusted PRNG,13,Used untrusted PRNG,338,1,org.apache.commons.lang3.ArrayUtils,shuffle,false
Found: Untrused PRNG (java.util.Random),Used untrusted PRNG,13,Used untrusted PRNG,338,1,org.apache.commons.lang3.RandomUtils,clinit,false
Found: Untrused PRNG (java.util.Random),Used untrusted PRNG,13,Used untrusted PRNG,338,1,kotlin.random.FallbackThreadLocalRandom$implStorage$1,initialValue,false
Found: Untrused PRNG (java.util.Random),Used untrusted PRNG,13,Used untrusted PRNG,338,1,org.apache.commons.lang3.RandomStringUtils,clinit,false
Found: Untrused PRNG (java.util.Random),Used untrusted PRNG,13,Used untrusted PRNG,338,1,org.bouncycastle.asn1.ua.DSTU4145PointEncoder,solveQuadraticEquation,false
Found: Untrused PRNG (java.util.Random),Used untrusted PRNG,13,Used untrusted PRNG,338,1,org.bouncycastle.math.raw.Mod,random,false
Found: Untrused PRNG (java.util.Random),Used untrusted PRNG,13,Used untrusted PRNG,338,1,org.bouncycastle.math.ec.ECCurve$AbstractF2m,solveQuadraticEquation,false
Found: Untrused PRNG (java.util.Random),Used untrusted PRNG,13,Used untrusted PRNG,338,1,org.apache.commons.lang3.ArrayUtils,shuffle,false
Found: Untrused PRNG (java.util.Random),Used untrusted PRNG,13,Used untrusted PRNG,338,1,okhttp3.OkHttpClient,newWebSocket,true
Found: Untrused PRNG (java.util.Random),Used untrusted PRNG,13,Used untrusted PRNG,338,1,org.apache.commons.lang3.ArrayUtils,shuffle,false
Found: Untrused PRNG (java.util.Random),Used untrusted PRNG,13,Used untrusted PRNG,338,1,org.apache.commons.lang3.ArrayUtils,shuffle,false
Found: Untrused PRNG (java.util.Random),Used untrusted PRNG,13,Used untrusted PRNG,338,1,org.apache.commons.lang3.ArrayUtils,shuffle,false
Found: Untrused PRNG (java.util.Random),Used untrusted PRNG,13,Used untrusted PRNG,338,1,kotlin.random.KotlinRandom,init,false
Found: Untrused PRNG (java.util.Random),Used untrusted PRNG,13,Used untrusted PRNG,338,1,org.apache.commons.lang3.ArrayUtils,shuffle,false
Found: Untrused PRNG (java.util.Random),Used untrusted PRNG,13,Used untrusted PRNG,338,1,org.apache.commons.lang3.ArrayUtils,shuffle,false
Found: Untrused PRNG (java.util.Random),Used untrusted PRNG,13,Used untrusted PRNG,338,1,org.bouncycastle.pqc.math.linearalgebra.GF2Polynomial,clinit,false
Found: Untrused PRNG (java.util.Random),Used untrusted PRNG,13,Used untrusted PRNG,338,1,org.apache.commons.lang3.ArrayUtils,shuffle,false
Found: Untrused PRNG (java.util.Random),Used untrusted PRNG,13,Used untrusted PRNG,338,1,org.apache.commons.lang3.ArrayUtils,shuffle,false
Found: Untrused PRNG (java.util.Random),Used untrusted PRNG,13,Used untrusted PRNG,338,1,org.bouncycastle.pqc.math.linearalgebra.GF2nONBField,elementOfOrder,false
Found: Untrused PRNG (java.util.Random),Used untrusted PRNG,13,Used untrusted PRNG,338,1,im.status.ethereum.MainActivity,shouldShowRootedNotification,false
"Found: ""MD5""",Found broken hash functions,2,Found broken hash functions,759,1,okio.HashingSink,md5,true
"Found: ""SHA-1""",Found broken hash functions,2,Found broken hash functions,759,1,okio.Buffer,sha1,true
"Found: ""SHA-1""",Found broken hash functions,2,Found broken hash functions,759,1,com.facebook.common.util.SecureHashUtil,makeSHA1HashBase64,true
"Found: ""MD5""",Found broken hash functions,2,Found broken hash functions,759,1,okio.HashingSource,md5,true
"Found: ""MD5""",Found broken hash functions,2,Found broken hash functions,759,1,com.facebook.common.util.SecureHashUtil,makeMD5Hash,true
"Found: ""MD5""",Found broken hash functions,2,Found broken hash functions,759,1,okio.Buffer,md5,true
"Found: ""MD5""",Found broken hash functions,2,Found broken hash functions,759,1,com.facebook.common.util.SecureHashUtil,makeMD5Hash,true
"Found: ""SHA-1""",Found broken hash functions,2,Found broken hash functions,759,1,okio.HashingSink,sha1,true
"Found: ""SHA-1""",Found broken hash functions,2,Found broken hash functions,759,1,okio.ByteString,sha1,true
"Found: ""MD5""",Found broken hash functions,2,Found broken hash functions,759,1,soloader.SoLoader,getLibHash,false
"Found: ""MD5""",Found broken hash functions,2,Found broken hash functions,759,1,okio.ByteString,md5,true
"Found: ""SHA-1""",Found broken hash functions,2,Found broken hash functions,759,1,com.facebook.common.util.SecureHashUtil,makeSHA1Hash,true
"Found: ""sha1""",Found broken hash functions,2,Found broken hash functions,759,1,com.rnfs.RNFSManager,hash,true
"Found: ""SHA-1""",Found broken hash functions,2,Found broken hash functions,759,1,com.rnfs.RNFSManager,hash,true
"Found: ""md5""",Found broken hash functions,2,Found broken hash functions,759,1,com.rnfs.RNFSManager,hash,true
"Found: ""MD5""",Found broken hash functions,2,Found broken hash functions,759,1,com.rnfs.RNFSManager,hash,true
"Found: ""SHA-1""",Found broken hash functions,2,Found broken hash functions,759,1,okio.HashingSource,sha1,true
"Found: ""MD5""",Found broken hash functions,2,Found broken hash functions,759,1,org.conscrypt.NativeCrypto,X509_NAME_hash_old,false
"Found: ""SHA1""",Found broken hash functions,2,Found broken hash functions,759,1,org.conscrypt.NativeCrypto,X509_NAME_hash,false
"Found: Constant ""0""",Used constant keys in code,3,Used constant keys in code,547,1,im.status.keycard.globalplatform.Crypto,clinit,false
"Found: Constant ""0""",Used constant keys in code,3,Used constant keys in code,547,1,im.status.keycard.globalplatform.Crypto,clinit,false
"Found: Constant ""0""",Used constant keys in code,3,Used constant keys in code,547,1,im.status.keycard.globalplatform.Crypto,clinit,false
"Found: Constant ""0""",Used constant keys in code,3,Used constant keys in code,547,1,im.status.keycard.globalplatform.Crypto,clinit,false
"Found: Constant ""1""",Used constant keys in code,3,Used constant keys in code,547,1,im.status.keycard.globalplatform.SecureChannel,clinit,false
"Found: Constant ""0""",Used constant keys in code,3,Used constant keys in code,547,1,im.status.keycard.globalplatform.Crypto,clinit,false
"Found: Constant ""0""",Used constant keys in code,3,Used constant keys in code,547,1,im.status.keycard.globalplatform.Crypto,clinit,false
"Found: Constant ""0""",Used constant keys in code,3,Used constant keys in code,547,1,im.status.keycard.globalplatform.Crypto,clinit,false
