Message,Description,RuleNumber,RuleDesc,CWEId,Severity,ClassName,MethodName,ExternalLibrary
"Found: ""AES/ECB/NoPadding""",Found broken crypto schemes,1,Found broken crypto schemes,256,1,t6.d,m,false
Found: Untrused PRNG (java.util.Random),Used untrusted PRNG,13,Used untrusted PRNG,338,1,g6.b$a,a,false
Found: Untrused PRNG (java.util.Random),Used untrusted PRNG,13,Used untrusted PRNG,338,1,la.a,init,false
Found: Untrused PRNG (java.util.Random),Used untrusted PRNG,13,Used untrusted PRNG,338,1,androidx.activity.result.ActivityResultRegistry,init,true
Found: Untrused PRNG (java.util.Random),Used untrusted PRNG,13,Used untrusted PRNG,338,1,j9.c,n,false
Found: Untrused PRNG (java.util.Random),Used untrusted PRNG,13,Used untrusted PRNG,338,1,w6.s,clinit,false
Found: Untrused PRNG (java.util.Random),Used untrusted PRNG,13,Used untrusted PRNG,338,1,u6.o,clinit,false
Found: Untrused PRNG (java.util.Random),Used untrusted PRNG,13,Used untrusted PRNG,338,1,mb.a,c,false
Found: Untrused PRNG (java.util.Random),Used untrusted PRNG,13,Used untrusted PRNG,338,1,b9.e$b,J,false
Found: Untrused PRNG (java.util.Random),Used untrusted PRNG,13,Used untrusted PRNG,338,1,h7.n,clinit,false
Found: Untrused PRNG (java.util.Random),Used untrusted PRNG,13,Used untrusted PRNG,338,1,r6.d,init,false
Found: Untrused PRNG (java.util.Random),Used untrusted PRNG,13,Used untrusted PRNG,338,1,p2.g,g,false
Should at least get One accepted Issuer from Other Sources in getAcceptedIssuers method of UNKNOWN,Uses untrusted TrustManager,4,Uses untrusted TrustManager,349,1,UNKNOWN,getAcceptedIssuers,false
Should throw java.security.cert.CertificateException in check(Client|Server)Trusted method of UNKNOWN,Uses untrusted TrustManager,4,Uses untrusted TrustManager,349,1,UNKNOWN,UNKNOWN,false
"Found: Constant ""127""",Used constant keys in code,3,Used constant keys in code,547,1,t6.c,clinit,false
"Found: Constant ""9""",Used constant keys in code,3,Used constant keys in code,547,1,w6.m,clinit,false
"Found: Constant ""-103""",Used constant keys in code,3,Used constant keys in code,547,1,t6.c,clinit,false
"Found: Constant ""-20""",Used constant keys in code,3,Used constant keys in code,547,1,t6.c,clinit,false
"Found: Constant ""-65""",Used constant keys in code,3,Used constant keys in code,547,1,t6.c,clinit,false
"Found: Constant ""-100""",Used constant keys in code,3,Used constant keys in code,547,1,t6.c,clinit,false
"Found: Constant ""67""",Used constant keys in code,3,Used constant keys in code,547,1,t6.c,clinit,false
"Found: Constant ""107""",Used constant keys in code,3,Used constant keys in code,547,1,w6.m,clinit,false
"Found: Constant ""-32""",Used constant keys in code,3,Used constant keys in code,547,1,t6.c,clinit,false
