ErrorType;Class;Method;ViolatedRule;Object;Statement;ExternalLibrary;PossibleExternal
ConstraintError;rehanced.com.simpleetherwallet.activities.AppLockActivity;void generateKey();violating CrySL rule for java.security.KeyStore (on Object #7d162b7db766c08855b7835e853be5ca251c218557e22a99cac51d70dfb94c7e);First parameter (with value "AndroidKeyStore") should be any of {JCEKS, JKS, DKS, PKCS11, PKCS12};$r1 = staticinvoke <java.security.KeyStore: java.security.KeyStore getInstance(java.lang.String)>(varReplacer1028);false;true
RequiredPredicateError;rehanced.com.simpleetherwallet.activities.AppLockActivity;boolean cipherInit();violating CrySL rule for javax.crypto.Cipher ;Second parameter was not properly generated as generated Key;virtualinvoke $r1.<javax.crypto.Cipher: void init(int,java.security.Key)>(varReplacer1036, $r5);false;true
ConstraintError;rehanced.com.simpleetherwallet.activities.AppLockActivity;boolean cipherInit();violating CrySL rule for javax.crypto.Cipher (on Object #cb2bc1971f731427d646c66ec973d80d14a9ad617a684bd95656bfd045e698d2);First parameter (with value "AES/CBC/PKCS7Padding") should be any of AES/CBC/{PKCS5Padding, ISO10126Padding};$r1 = staticinvoke <javax.crypto.Cipher: javax.crypto.Cipher getInstance(java.lang.String)>(varReplacer1032);false;true
TypestateError;rehanced.com.simpleetherwallet.activities.AppLockActivity;boolean cipherInit();violating CrySL rule for java.security.KeyStore (on Object #7d162b7db766c08855b7835e853be5ca251c218557e22a99cac51d70dfb94c7e);Unexpected call to method load on object of type java.security.KeyStore. Expect a call to one of the following methods getKey,getEntry,setEntry;virtualinvoke $r3.<java.security.KeyStore: void load(java.security.KeyStore$LoadStoreParameter)>(varReplacer1038);false;true
RequiredPredicateError;org.web3j.crypto.Wallet;byte[] performCipherOperation(int,byte[],byte[],byte[]);violating CrySL rule for javax.crypto.spec.IvParameterSpec ;First parameter was not properly generated as randomized;specialinvoke $r12.<javax.crypto.spec.IvParameterSpec: void <init>(byte[])>($r4);false;false
TypestateError;org.web3j.crypto.Wallet;byte[] performCipherOperation(int,byte[],byte[],byte[]);violating CrySL rule for javax.crypto.Cipher (on Object #4035ff7edc824d676fc659432651c5ed3111e25f768750aec6ee5f059a792c73);Unexpected call to method doFinal on object of type javax.crypto.Cipher. Expect a call to one of the following methods init,updateAAD;$r4 = virtualinvoke $r5.<javax.crypto.Cipher: byte[] doFinal(byte[])>($r1);false;false
RequiredPredicateError;org.web3j.crypto.Wallet;byte[] performCipherOperation(int,byte[],byte[],byte[]);violating CrySL rule for javax.crypto.spec.SecretKeySpec ;First parameter was not properly generated as prepared Key Material;specialinvoke $r13.<javax.crypto.spec.SecretKeySpec: void <init>(byte[],java.lang.String)>($r0, varReplacer7501);false;false
RequiredPredicateError;org.web3j.crypto.Wallet;byte[] performCipherOperation(int,byte[],byte[],byte[]);violating CrySL rule for javax.crypto.Cipher ;Second parameter was not properly generated as generated Key;virtualinvoke $r5.<javax.crypto.Cipher: void init(int,java.security.Key,java.security.spec.AlgorithmParameterSpec)>($i0, $r3, $r2);false;false
TypestateError;com.lambdaworks.crypto.PBKDF;void pbkdf2(javax.crypto.Mac,byte[],int,byte[],int);violating CrySL rule for javax.crypto.Mac (on Object #e471dce4de171d57951093298b48189dad26923130417f4382e9486d273d15e7);Unexpected call to method update on object of type javax.crypto.Mac.;virtualinvoke $r0.<javax.crypto.Mac: void update(byte[])>($r4);false;true
TypestateError;com.lambdaworks.crypto.PBKDF;void pbkdf2(javax.crypto.Mac,byte[],int,byte[],int);violating CrySL rule for javax.crypto.Mac (on Object #e471dce4de171d57951093298b48189dad26923130417f4382e9486d273d15e7);Unexpected call to method update on object of type javax.crypto.Mac.;virtualinvoke $r0.<javax.crypto.Mac: void update(byte[])>($r5);false;true
IncompleteOperationError;com.lambdaworks.crypto.PBKDF;void pbkdf2(javax.crypto.Mac,byte[],int,byte[],int);violating CrySL rule for javax.crypto.Mac (on Object #e471dce4de171d57951093298b48189dad26923130417f4382e9486d273d15e7);Operation on object of type javax.crypto.Mac object not completed. Expected call to update, doFinal;$i3 = virtualinvoke $r0.<javax.crypto.Mac: int getMacLength()>();false;true
IncompleteOperationError;com.lambdaworks.crypto.SCrypt;byte[] scryptJ(byte[],byte[],int,int,int,int);violating CrySL rule for javax.crypto.Mac (on Object #e471dce4de171d57951093298b48189dad26923130417f4382e9486d273d15e7);Operation on object of type javax.crypto.Mac object not completed. Expected call to update, doFinal;staticinvoke <com.lambdaworks.crypto.PBKDF: void pbkdf2(javax.crypto.Mac,byte[],int,byte[],int)>($r5, $r2, varReplacer7559, $r0, $i3);false;true
RequiredPredicateError;com.lambdaworks.crypto.SCrypt;byte[] scryptJ(byte[],byte[],int,int,int,int);violating CrySL rule for javax.crypto.spec.SecretKeySpec ;First parameter was not properly generated as prepared Key Material;specialinvoke $r6.<javax.crypto.spec.SecretKeySpec: void <init>(byte[],java.lang.String)>($r0, varReplacer7556);false;true
RequiredPredicateError;com.lambdaworks.crypto.SCrypt;byte[] scryptJ(byte[],byte[],int,int,int,int);violating CrySL rule for javax.crypto.Mac ;First parameter was not properly generated as generated Key;virtualinvoke $r5.<javax.crypto.Mac: void init(java.security.Key)>($r6);false;true
ConstraintError;okhttp3.OkHttpClient;javax.net.ssl.SSLSocketFactory systemDefaultSslSocketFactory(javax.net.ssl.X509TrustManager);violating CrySL rule for javax.net.ssl.SSLContext (on Object #58d191079c2be740ee2798b7639dfa9646edb5eeaf6c14acf18e0842d39c1583);First parameter (with value "TLS") should be any of {TLSv1.2, TLSv1.3};$r3 = staticinvoke <javax.net.ssl.SSLContext: javax.net.ssl.SSLContext getInstance(java.lang.String)>(varReplacer27730);true;true
RequiredPredicateError;okhttp3.OkHttpClient;javax.net.ssl.SSLSocketFactory systemDefaultSslSocketFactory(javax.net.ssl.X509TrustManager);violating CrySL rule for javax.net.ssl.SSLContext ;Second parameter was not properly generated as generated Trust Managers;virtualinvoke $r3.<javax.net.ssl.SSLContext: void init(javax.net.ssl.KeyManager[],javax.net.ssl.TrustManager[],java.security.SecureRandom)>(varReplacer27731, $r7, varReplacer27731);true;true
RequiredPredicateError;okhttp3.OkHttpClient;javax.net.ssl.SSLSocketFactory systemDefaultSslSocketFactory(javax.net.ssl.X509TrustManager);violating CrySL rule for javax.net.ssl.SSLContext ;First parameter was not properly generated as generated Key Managers;virtualinvoke $r3.<javax.net.ssl.SSLContext: void init(javax.net.ssl.KeyManager[],javax.net.ssl.TrustManager[],java.security.SecureRandom)>(varReplacer27731, $r7, varReplacer27731);true;true
RequiredPredicateError;okhttp3.OkHttpClient;javax.net.ssl.SSLSocketFactory systemDefaultSslSocketFactory(javax.net.ssl.X509TrustManager);violating CrySL rule for javax.net.ssl.SSLContext ;Third parameter was not properly generated as randomized;virtualinvoke $r3.<javax.net.ssl.SSLContext: void init(javax.net.ssl.KeyManager[],javax.net.ssl.TrustManager[],java.security.SecureRandom)>(varReplacer27731, $r7, varReplacer27731);true;true
