ErrorType;Class;Method;ViolatedRule;Object;Statement;ExternalLibrary;PossibleExternal
IncompleteOperationError;jb.j;void <init>(android.content.Context,eb.e,java.security.KeyPair,java.lang.String,java.security.SecureRandom);violating CrySL rule for java.security.cert.CertificateFactory (on Object #154642a3e64a22fcb74f29f7ea55fd6603d1ea5260e67889ba748da25023a206);Operation on object of type java.security.cert.CertificateFactory object not completed. Expected call to generateCRL;$r19 = virtualinvoke $r18.<java.security.cert.CertificateFactory: java.security.cert.Certificate generateCertificate(java.io.InputStream)>($r17);false;false
IncompleteOperationError;jb.j;java.lang.String[] c(android.content.Context,eb.e,java.lang.String,java.security.KeyPair,java.security.SecureRandom,java.util.Date,java.util.Date);violating CrySL rule for java.security.Signature (on Object #e797936116740ca56894f3371bb335a71d4b643cfbdf9f9d98e95b3f8ea33d31);Operation on object of type java.security.Signature object not completed. Expected call to sign, update;$r27 = virtualinvoke $r12.<l8.c: l8.b b(k9.a)>($r26);false;false
IncompleteOperationError;h7.r1;java.util.List b(java.io.InputStream);violating CrySL rule for java.security.cert.CertificateFactory (on Object #e146b9779261a8405c44ab6532ad6377567f1d7de88342806c5346bf6858c4dc);Operation on object of type java.security.cert.CertificateFactory object not completed. Expected call to generateCertPath, generateCertificate, generateCRL;$r6 = staticinvoke <java.security.cert.CertificateFactory: java.security.cert.CertificateFactory getInstance(java.lang.String)>(varReplacer15491);false;false
TypestateError;h7.r1;java.util.List b(java.io.InputStream);violating CrySL rule for java.security.cert.CertificateFactory (on Object #e146b9779261a8405c44ab6532ad6377567f1d7de88342806c5346bf6858c4dc);Unexpected call to method generateCertificate on object of type java.security.cert.CertificateFactory. Expect a call to one of the following methods generateCRL;$r10 = virtualinvoke $r6.<java.security.cert.CertificateFactory: java.security.cert.Certificate generateCertificate(java.io.InputStream)>($r8);false;false
IncompleteOperationError;h7.r1;java.util.List b(java.io.InputStream);violating CrySL rule for java.security.cert.CertificateFactory (on Object #e146b9779261a8405c44ab6532ad6377567f1d7de88342806c5346bf6858c4dc);Operation on object of type java.security.cert.CertificateFactory object not completed. Expected call to generateCertPath, generateCRL, java.security.cert.CertificateFactory: java.security.cert.Certificate generateCertificate(java.io.InputStream);$r10 = virtualinvoke $r6.<java.security.cert.CertificateFactory: java.security.cert.Certificate generateCertificate(java.io.InputStream)>($r8);false;false
RequiredPredicateError;h7.r1;java.security.interfaces.RSAPrivateKey c(java.io.InputStream);violating CrySL rule for java.security.KeyFactory ;First parameter was not properly generated as specced Key;$r10 = virtualinvoke $r8.<java.security.KeyFactory: java.security.PrivateKey generatePrivate(java.security.spec.KeySpec)>($r9);false;false
ConstraintError;eb.a;eb.a$a a(byte[]);violating CrySL rule for java.security.KeyFactory (on Object #6c3bced09297435a7263f7ea22818e6e1edf8f3319b8862e71b1b9d25e19ac9);First parameter (with value "ECDSA") should be any of {RSA, DiffieHellman, DH, DSA, EC};$r2 = staticinvoke <java.security.KeyFactory: java.security.KeyFactory getInstance(java.lang.String)>(varReplacer23382);false;false
RequiredPredicateError;eb.a;eb.a$a a(byte[]);violating CrySL rule for java.security.spec.X509EncodedKeySpec ;First parameter was not properly generated as prepared Key Material;specialinvoke $r0.<java.security.spec.X509EncodedKeySpec: void <init>(byte[])>($r1);false;false
RequiredPredicateError;eb.a;eb.a$a a(byte[]);violating CrySL rule for java.security.KeyFactory ;First parameter was not properly generated as specced Key;$r3 = virtualinvoke $r2.<java.security.KeyFactory: java.security.PublicKey generatePublic(java.security.spec.KeySpec)>($r0);false;false
ConstraintError;z8.a;java.security.AlgorithmParameters b(java.lang.String);violating CrySL rule for java.security.AlgorithmParameters (on Object #7eecdcbc63e03e239acd83603e971ceebd8530c341243d4bff6c735c377d46ef);First parameter (with value "PSS") should be any of {AES, DiffieHellman, DH, OAEP, PBEWithHmacSHA224AndAES_128, PBEWithHmacSHA256AndAES_128, PBEWithHmacSHA384AndAES_128, PBEWithHmacSHA512AndAES_128, PBEWithHmacSHA224AndAES_256, PBEWithHmacSHA256AndAES_256, PBEWithHmacSHA384AndAES_256, PBEWithHmacSHA512AndAES_256};$r1 = staticinvoke <java.security.AlgorithmParameters: java.security.AlgorithmParameters getInstance(java.lang.String)>($r2);false;false
