ErrorType;Class;Method;ViolatedRule;Object;Statement;ExternalLibrary;PossibleExternal
ConstraintError;y.m0.l.b;javax.net.ssl.SSLContext i();violating CrySL rule for javax.net.ssl.SSLContext (on Object #15aa1dc01f10135d5f088869c0761a89c42cd245f7383c837dd981fedc21b912);First parameter (with value "TLS") should be any of {TLSv1.2, TLSv1.3};$r3 = staticinvoke <javax.net.ssl.SSLContext: javax.net.ssl.SSLContext getInstance(java.lang.String)>(varReplacer18772);false;false
ConstraintError;y.m0.l.c;javax.net.ssl.SSLContext i();violating CrySL rule for javax.net.ssl.SSLContext (on Object #a2f6a69e28b7633eea7b3da59188508a49d2fadc3173ae2427212e3abb3859b2);First parameter (with value "TLS") should be any of {TLSv1.2, TLSv1.3};$r3 = staticinvoke <javax.net.ssl.SSLContext: javax.net.ssl.SSLContext getInstance(java.lang.String,java.security.Provider)>(varReplacer18775, $r2);false;false
ConstraintError;y.m0.l.f;javax.net.ssl.SSLContext i();violating CrySL rule for javax.net.ssl.SSLContext (on Object #96fae6a38283bc4991c8892f7b27c5fbee52c74db690f2626076c9b00f23839c);First parameter (with value "TLS") should be any of {TLSv1.2, TLSv1.3};$r2 = staticinvoke <javax.net.ssl.SSLContext: javax.net.ssl.SSLContext getInstance(java.lang.String)>(varReplacer18777);false;false
ConstraintError;z.i;z.i e(java.lang.String);violating CrySL rule for java.security.MessageDigest (on Object #92b64d1e390e57868b392dbe57fd78a85b04cdc5efd960a97603c16c177f6c1e);First parameter (with value "MD5") should be any of {SHA-256, SHA-384, SHA-512};$r2 = staticinvoke <java.security.MessageDigest: java.security.MessageDigest getInstance(java.lang.String)>($r1);false;false
TypestateError;y.g$d;java.util.List a(z.h);violating CrySL rule for java.security.cert.CertificateFactory (on Object #4ddd0ff2d3c2dff6e55ff344236a9a8d930a2d39c911435db0300e2c94990ff8);Unexpected call to method generateCertificate on object of type java.security.cert.CertificateFactory. Expect a call to one of the following methods generateCRL;$r10 = virtualinvoke $r5.<java.security.cert.CertificateFactory: java.security.cert.Certificate generateCertificate(java.io.InputStream)>($r9);false;false
IncompleteOperationError;y.g$d;java.util.List a(z.h);violating CrySL rule for java.security.cert.CertificateFactory (on Object #4ddd0ff2d3c2dff6e55ff344236a9a8d930a2d39c911435db0300e2c94990ff8);Operation on object of type java.security.cert.CertificateFactory object not completed. Expected call to generateCertPath, generateCRL, java.security.cert.CertificateFactory: java.security.cert.Certificate generateCertificate(java.io.InputStream);$r10 = virtualinvoke $r5.<java.security.cert.CertificateFactory: java.security.cert.Certificate generateCertificate(java.io.InputStream)>($r9);false;false
IncompleteOperationError;y.g$d;java.util.List a(z.h);violating CrySL rule for java.security.cert.CertificateFactory (on Object #4ddd0ff2d3c2dff6e55ff344236a9a8d930a2d39c911435db0300e2c94990ff8);Operation on object of type java.security.cert.CertificateFactory object not completed. Expected call to generateCertPath, generateCertificate, generateCRL;$r5 = staticinvoke <java.security.cert.CertificateFactory: java.security.cert.CertificateFactory getInstance(java.lang.String)>(varReplacer26247);false;false
RequiredPredicateError;y.a0;void <init>();violating CrySL rule for javax.net.ssl.SSLContext ;First parameter was not properly generated as generated Key Managers;virtualinvoke $r18.<javax.net.ssl.SSLContext: void init(javax.net.ssl.KeyManager[],javax.net.ssl.TrustManager[],java.security.SecureRandom)>(varReplacer14684, $r14, varReplacer14684);false;false
RequiredPredicateError;y.a0;void <init>();violating CrySL rule for javax.net.ssl.SSLContext ;Third parameter was not properly generated as randomized;virtualinvoke $r18.<javax.net.ssl.SSLContext: void init(javax.net.ssl.KeyManager[],javax.net.ssl.TrustManager[],java.security.SecureRandom)>(varReplacer14684, $r14, varReplacer14684);false;false
RequiredPredicateError;y.a0;void <init>();violating CrySL rule for javax.net.ssl.SSLContext ;Second parameter was not properly generated as generated Trust Managers;virtualinvoke $r18.<javax.net.ssl.SSLContext: void init(javax.net.ssl.KeyManager[],javax.net.ssl.TrustManager[],java.security.SecureRandom)>(varReplacer14684, $r14, varReplacer14684);false;false
RequiredPredicateError;y.a0;void <init>();violating CrySL rule for javax.net.ssl.TrustManagerFactory ;First parameter was not properly generated as generated Key Store;virtualinvoke $r13.<javax.net.ssl.TrustManagerFactory: void init(java.security.KeyStore)>(varReplacer14686);false;false
