ErrorType;Class;Method;ViolatedRule;Object;Statement;ExternalLibrary;PossibleExternal
RequiredPredicateError;host.stjin.anonaddy.service.BackupHelper;javax.crypto.Cipher makeCipher(char[],boolean);violating CrySL rule for javax.crypto.spec.PBEParameterSpec ;First parameter was not properly generated as randomized;specialinvoke $r6.<javax.crypto.spec.PBEParameterSpec: void <init>(byte[],int)>($r9, varReplacer84852);false;false
RequiredPredicateError;host.stjin.anonaddy.service.BackupHelper;javax.crypto.Cipher makeCipher(char[],boolean);violating CrySL rule for javax.crypto.SecretKeyFactory ;First parameter was not properly generated as specced Key;$r5 = virtualinvoke $r3.<javax.crypto.SecretKeyFactory: javax.crypto.SecretKey generateSecret(java.security.spec.KeySpec)>($r4);false;false
ConstraintError;host.stjin.anonaddy.service.BackupHelper;javax.crypto.Cipher makeCipher(char[],boolean);violating CrySL rule for javax.crypto.spec.PBEParameterSpec (on Object #9aeb6be77a968824ab5491a195b6e426b4e5175346b7a6acb437282374966387);Second parameter (with value 43)Variable iterationCountmust be  at least 10000;specialinvoke $r6.<javax.crypto.spec.PBEParameterSpec: void <init>(byte[],int)>($r9, varReplacer84852);false;false
ConstraintError;host.stjin.anonaddy.service.BackupHelper;javax.crypto.Cipher makeCipher(char[],boolean);violating CrySL rule for javax.crypto.SecretKeyFactory (on Object #e8bee08ee698fbade9ebaa53488366e39306b9564e14e17c58075c4dd5eaf797);First parameter (with value "PBEWITHSHA256AND128BITAES-CBC-BC") should be any of {PBKDF2WithHmacSHA512, PBKDF2WithHmacSHA384, PBKDF2WithHmacSHA256, PBKDF2WithHmacSHA224, PBEWithHmacSHA512AndAES_128, PBEWithHmacSHA384AndAES_128, PBEWithHmacSHA384AndAES_128, PBEWithHmacSHA224AndAES_128, PBEWithHmacSHA256AndAES_128, PBEWithHmacSHA224AndAES_256, PBEWithHmacSHA256AndAES_256, PBEWithHmacSHA384AndAES_256, PBEWithHmacSHA512AndAES_256};$r3 = staticinvoke <javax.crypto.SecretKeyFactory: javax.crypto.SecretKeyFactory getInstance(java.lang.String)>(varReplacer84850);false;false
ConstraintError;host.stjin.anonaddy.service.BackupHelper;javax.crypto.Cipher makeCipher(char[],boolean);violating CrySL rule for javax.crypto.Cipher (on Object #6ddbf9bfd7c447c51c36ece8ae88dd5f301687be67431ec107f1baf344b3891a);First parameter (with value "PBEWITHSHA256AND128BITAES-CBC-BC") should be any of {AES, PBEWithHmacSHA224AndAES_128, PBEWithHmacSHA256AndAES_128, PBEWithHmacSHA384AndAES_128, PBEWithHmacSHA512AndAES_128, PBEWithHmacSHA224AndAES_256, PBEWithHmacSHA256AndAES_256, PBEWithHmacSHA384AndAES_256, PBEWithHmacSHA512AndAES_256};$r10 = staticinvoke <javax.crypto.Cipher: javax.crypto.Cipher getInstance(java.lang.String)>(varReplacer84853);false;false
RequiredPredicateError;host.stjin.anonaddy.service.BackupHelper;javax.crypto.Cipher makeCipher(char[],boolean);violating CrySL rule for javax.crypto.Cipher ;Second parameter was not properly generated as generated Key;virtualinvoke $r10.<javax.crypto.Cipher: void init(int,java.security.Key,java.security.spec.AlgorithmParameterSpec)>(varReplacer84854, $r11, $r12);false;false
ForbiddenMethodError;host.stjin.anonaddy.service.BackupHelper;javax.crypto.Cipher makeCipher(char[],boolean);violating CrySL rule for javax.crypto.spec.PBEKeySpec ;Detected call to forbidden method void <init>(char[]) of class javax.crypto.spec.PBEKeySpec. Instead, call method <javax.crypto.spec.PBEKeySpec: void <init>(char[],byte[],int,int)>.;specialinvoke $r2.<javax.crypto.spec.PBEKeySpec: void <init>(char[])>($r1);false;false
ConstraintError;androidx.security.crypto.MasterKey;boolean isKeyStoreBacked();violating CrySL rule for java.security.KeyStore (on Object #66ee5b0215dddf9fd25904f530742f97959e0dbc27c594ceb383d79c5f18dc28);First parameter (with value "AndroidKeyStore") should be any of {JCEKS, JKS, DKS, PKCS11, PKCS12};$r5 = staticinvoke <java.security.KeyStore: java.security.KeyStore getInstance(java.lang.String)>(varReplacer37187);false;false
RequiredPredicateError;com.github.kittinunf.fuel.core.FuelManager$socketFactory$2;javax.net.ssl.SSLSocketFactory invoke();violating CrySL rule for javax.net.ssl.TrustManagerFactory ;First parameter was not properly generated as generated Key Store;virtualinvoke $r4.<javax.net.ssl.TrustManagerFactory: void init(java.security.KeyStore)>($r2);false;false
RequiredPredicateError;com.github.kittinunf.fuel.core.FuelManager$socketFactory$2;javax.net.ssl.SSLSocketFactory invoke();violating CrySL rule for javax.net.ssl.SSLContext ;Third parameter was not properly generated as randomized;virtualinvoke $r5.<javax.net.ssl.SSLContext: void init(javax.net.ssl.KeyManager[],javax.net.ssl.TrustManager[],java.security.SecureRandom)>(varReplacer37696, $r6, varReplacer37696);false;false
RequiredPredicateError;com.github.kittinunf.fuel.core.FuelManager$socketFactory$2;javax.net.ssl.SSLSocketFactory invoke();violating CrySL rule for javax.net.ssl.SSLContext ;First parameter was not properly generated as generated Key Managers;virtualinvoke $r5.<javax.net.ssl.SSLContext: void init(javax.net.ssl.KeyManager[],javax.net.ssl.TrustManager[],java.security.SecureRandom)>(varReplacer37696, $r6, varReplacer37696);false;false
ConstraintError;com.github.kittinunf.fuel.core.FuelManager$socketFactory$2;javax.net.ssl.SSLSocketFactory invoke();violating CrySL rule for javax.net.ssl.SSLContext (on Object #43112a001b4da50c56405cee5de24fc58a2eab2fcd9b6785493dcbe384c8cd68);First parameter (with value "SSL") should be any of {TLSv1.2, TLSv1.3};$r5 = staticinvoke <javax.net.ssl.SSLContext: javax.net.ssl.SSLContext getInstance(java.lang.String)>(varReplacer37693);false;false
RequiredPredicateError;com.github.kittinunf.fuel.core.FuelManager$socketFactory$2;javax.net.ssl.SSLSocketFactory invoke();violating CrySL rule for javax.net.ssl.SSLContext ;Second parameter was not properly generated as generated Trust Managers;virtualinvoke $r5.<javax.net.ssl.SSLContext: void init(javax.net.ssl.KeyManager[],javax.net.ssl.TrustManager[],java.security.SecureRandom)>(varReplacer37696, $r6, varReplacer37696);false;false
RequiredPredicateError;com.google.crypto.tink.subtle.prf.HkdfStreamingPrf$HkdfInputStream;void initialize();violating CrySL rule for javax.crypto.spec.SecretKeySpec ;First parameter was not properly generated as prepared Key Material;specialinvoke $r8.<javax.crypto.spec.SecretKeySpec: void <init>(byte[],java.lang.String)>($r7, $r4);false;false
TypestateError;com.google.crypto.tink.subtle.prf.HkdfStreamingPrf$HkdfInputStream;void initialize();violating CrySL rule for javax.crypto.Mac (on Object #6d763f9467be3d0d73fb479325f103273511edf0e140c0da470a5ccd80fd30b2);Unexpected call to method update on object of type javax.crypto.Mac. Expect a call to one of the following methods init;virtualinvoke $r6.<javax.crypto.Mac: void update(byte[])>($r7);false;false
TypestateError;com.google.crypto.tink.subtle.prf.HkdfStreamingPrf$HkdfInputStream;void initialize();violating CrySL rule for javax.crypto.Mac (on Object #e0ddadc13f7bb0fe2b209042e6fb1e08b684a4132db178ec9b403eb5eee11587);Unexpected call to method update on object of type javax.crypto.Mac. Expect a call to one of the following methods init;virtualinvoke $r6.<javax.crypto.Mac: void update(byte[])>($r7);false;false
ConstraintError;com.google.crypto.tink.subtle.prf.HkdfStreamingPrf$HkdfInputStream;void initialize();violating CrySL rule for javax.crypto.spec.SecretKeySpec (on Object #41d7009d55f7207282427ed5771f45fcbb422a5ec753a98dee3c5dcb3b78f05c);Second parameter (with value "HmacSha1") should be any of {AES, HmacSHA256, HmacSHA384, HmacSHA512};specialinvoke $r8.<javax.crypto.spec.SecretKeySpec: void <init>(byte[],java.lang.String)>($r7, $r4);false;false
ConstraintError;com.google.crypto.tink.subtle.prf.HkdfStreamingPrf$HkdfInputStream;void updateBuffer();violating CrySL rule for javax.crypto.spec.SecretKeySpec (on Object #e26f41d0c1d6f386c85dfc6daf941522983ef95ea9473fd3ec88f4aa8bd63b5c);Second parameter (with value "HmacSha1") should be any of {AES, HmacSHA256, HmacSHA384, HmacSHA512};specialinvoke $r3.<javax.crypto.spec.SecretKeySpec: void <init>(byte[],java.lang.String)>($r1, $r6);false;false
