ErrorType;Class;Method;ViolatedRule;Object;Statement;ExternalLibrary;PossibleExternal
ForbiddenMethodError;at.bitfire.cert4android.CustomCertService;void <clinit>();violating CrySL rule for javax.net.ssl.SSLContext ;Detected call to forbidden method javax.net.ssl.SSLContext getDefault() of class javax.net.ssl.SSLContext. Instead, call method <javax.net.ssl.SSLContext: javax.net.ssl.SSLContext getInstance(java.lang.String)>, <javax.net.ssl.SSLContext: javax.net.ssl.SSLContext getInstance(java.lang.String,java.lang.String)>, <javax.net.ssl.SSLContext: javax.net.ssl.SSLContext getInstance(java.lang.String,java.security.Provider)>.;$r5 = staticinvoke <javax.net.ssl.SSLContext: javax.net.ssl.SSLContext getDefault()>();false;false
IncompleteOperationError;dummyMainClass;at.bitfire.cert4android.CustomCertService dummyMainMethod_at_bitfire_cert4android_CustomCertService(android.content.Intent);violating CrySL rule for java.security.KeyStore (on Object #199aaf1f6c3deb5a70c14b280afa3193f856ad663d9d5628721caa275a871152);Operation on object of type java.security.KeyStore object not completed. Expected call to load;return $r0;false;false
IncompleteOperationError;dummyMainClass;at.bitfire.cert4android.CustomCertService dummyMainMethod_at_bitfire_cert4android_CustomCertService(android.content.Intent);violating CrySL rule for java.security.cert.CertificateFactory (on Object #e59fae447ac8a06199df1e61504e0a9b9c15a984c8227801dd78c5fdb52179f7);Operation on object of type java.security.cert.CertificateFactory object not completed. Expected call to generateCertPath, generateCertificate;return $r0;false;false
ConstraintError;at.bitfire.cert4android.CertUtils;javax.net.ssl.X509TrustManager getTrustManager(java.security.KeyStore);violating CrySL rule for javax.net.ssl.TrustManagerFactory (on Object #5cb05268891ccbf85d75f5b30aef213d3be6197b0f54275122e457a7bc33fd4e);First parameter (with value "X509") should be any of {PKIX, SunX509};$r3 = staticinvoke <javax.net.ssl.TrustManagerFactory: javax.net.ssl.TrustManagerFactory getInstance(java.lang.String)>(varReplacer1709);false;false
ConstraintError;at.bitfire.cert4android.CertUtils;java.lang.String fingerprint(java.security.cert.X509Certificate,java.lang.String);violating CrySL rule for java.security.MessageDigest (on Object #f2075c2d3827f175e47b784cb8fa234ddc69c25cfe844490f71967b720ccca27);First parameter (with value "MD5") should be any of {SHA-256, SHA-384, SHA-512};$r3 = staticinvoke <java.security.MessageDigest: java.security.MessageDigest getInstance(java.lang.String)>($r2);false;false
ConstraintError;net.eneiluj.moneybuster.android.ui.TextDrawable;java.lang.String md5(java.lang.String);violating CrySL rule for java.security.MessageDigest (on Object #2c3b81e8120441c7a6a534bfe9e4f92deac3cf48617bc26fb718932ee1d5001d);First parameter (with value "MD5") should be any of {SHA-256, SHA-384, SHA-512};$r1 = staticinvoke <java.security.MessageDigest: java.security.MessageDigest getInstance(java.lang.String)>(varReplacer31023);true;true
RequiredPredicateError;net.eneiluj.moneybuster.util.SupportUtil;java.net.HttpURLConnection getHttpURLConnection(at.bitfire.cert4android.CustomCertManager,java.lang.String);violating CrySL rule for javax.net.ssl.SSLContext ;First parameter was not properly generated as generated Key Managers;virtualinvoke $r8.<javax.net.ssl.SSLContext: void init(javax.net.ssl.KeyManager[],javax.net.ssl.TrustManager[],java.security.SecureRandom)>(varReplacer33828, $r14, varReplacer33828);false;false
RequiredPredicateError;net.eneiluj.moneybuster.util.SupportUtil;java.net.HttpURLConnection getHttpURLConnection(at.bitfire.cert4android.CustomCertManager,java.lang.String);violating CrySL rule for javax.net.ssl.SSLContext ;Second parameter was not properly generated as generated Trust Managers;virtualinvoke $r8.<javax.net.ssl.SSLContext: void init(javax.net.ssl.KeyManager[],javax.net.ssl.TrustManager[],java.security.SecureRandom)>(varReplacer33828, $r14, varReplacer33828);false;false
ConstraintError;net.eneiluj.moneybuster.util.SupportUtil;java.net.HttpURLConnection getHttpURLConnection(at.bitfire.cert4android.CustomCertManager,java.lang.String);violating CrySL rule for javax.net.ssl.SSLContext (on Object #1c49d262127f98dc39654656c7a680eb273b9bab968713f0b38cdbcad985d096);First parameter (with value "TLS") should be any of {TLSv1.2, TLSv1.3};$r8 = staticinvoke <javax.net.ssl.SSLContext: javax.net.ssl.SSLContext getInstance(java.lang.String)>(varReplacer33822);false;false
RequiredPredicateError;net.eneiluj.moneybuster.util.SupportUtil;java.net.HttpURLConnection getHttpURLConnection(at.bitfire.cert4android.CustomCertManager,java.lang.String);violating CrySL rule for javax.net.ssl.SSLContext ;Third parameter was not properly generated as randomized;virtualinvoke $r8.<javax.net.ssl.SSLContext: void init(javax.net.ssl.KeyManager[],javax.net.ssl.TrustManager[],java.security.SecureRandom)>(varReplacer33828, $r14, varReplacer33828);false;false
ConstraintError;okio.ByteString;okio.ByteString digest(java.lang.String);violating CrySL rule for java.security.MessageDigest (on Object #b336d574501b28a5bd90db22472c23a68acb0c1b99c4f14746fdc2a23c69a24e);First parameter (with value "SHA-1") should be any of {SHA-256, SHA-384, SHA-512};$r2 = staticinvoke <java.security.MessageDigest: java.security.MessageDigest getInstance(java.lang.String)>($r1);true;true
ConstraintError;okio.ByteString;okio.ByteString digest(java.lang.String);violating CrySL rule for java.security.MessageDigest (on Object #b336d574501b28a5bd90db22472c23a68acb0c1b99c4f14746fdc2a23c69a24e);First parameter (with value "MD5") should be any of {SHA-256, SHA-384, SHA-512};$r2 = staticinvoke <java.security.MessageDigest: java.security.MessageDigest getInstance(java.lang.String)>($r1);true;true
TypestateError;org.conscrypt.SSLUtils;java.security.cert.X509Certificate decodeX509Certificate(java.security.cert.CertificateFactory,byte[]);violating CrySL rule for java.security.cert.CertificateFactory (on Object #109b648d91798983d59449a6ab8d3f7bb443eddd83bd675059b4e062faac2a80);Unexpected call to method generateCertificate on object of type java.security.cert.CertificateFactory. Expect a call to one of the following methods generateCRL;$r3 = virtualinvoke $r2.<java.security.cert.CertificateFactory: java.security.cert.Certificate generateCertificate(java.io.InputStream)>($r1);false;false
IncompleteOperationError;org.conscrypt.SSLUtils;java.security.cert.X509Certificate[] decodeX509CertificateChain(byte[][]);violating CrySL rule for java.security.cert.CertificateFactory (on Object #109b648d91798983d59449a6ab8d3f7bb443eddd83bd675059b4e062faac2a80);Operation on object of type java.security.cert.CertificateFactory object not completed. Expected call to generateCertPath, generateCertificate, generateCRL;$r4 = staticinvoke <org.conscrypt.SSLUtils: java.security.cert.X509Certificate decodeX509Certificate(java.security.cert.CertificateFactory,byte[])>($r2, $r3);false;false
IncompleteOperationError;org.conscrypt.SSLUtils;java.security.cert.X509Certificate[] decodeX509CertificateChain(byte[][]);violating CrySL rule for java.security.cert.CertificateFactory (on Object #109b648d91798983d59449a6ab8d3f7bb443eddd83bd675059b4e062faac2a80);Operation on object of type java.security.cert.CertificateFactory object not completed. Expected call to generateCertPath, generateCertificate, generateCRL;$r2 = staticinvoke <org.conscrypt.SSLUtils: java.security.cert.CertificateFactory getCertificateFactory()>();false;false
IncompleteOperationError;okhttp3.Cache$Entry;java.util.List readCertificateList(okio.BufferedSource);violating CrySL rule for java.security.cert.CertificateFactory (on Object #5db0f675797f63f9744f601d6862bdbfebb6dff8e6758ec4588fa7b4f7f9df66);Operation on object of type java.security.cert.CertificateFactory object not completed. Expected call to generateCertPath, generateCertificate, generateCRL;$r5 = staticinvoke <java.security.cert.CertificateFactory: java.security.cert.CertificateFactory getInstance(java.lang.String)>(varReplacer45484);false;false
TypestateError;okhttp3.Cache$Entry;java.util.List readCertificateList(okio.BufferedSource);violating CrySL rule for java.security.cert.CertificateFactory (on Object #5db0f675797f63f9744f601d6862bdbfebb6dff8e6758ec4588fa7b4f7f9df66);Unexpected call to method generateCertificate on object of type java.security.cert.CertificateFactory. Expect a call to one of the following methods generateCRL;$r9 = virtualinvoke $r5.<java.security.cert.CertificateFactory: java.security.cert.Certificate generateCertificate(java.io.InputStream)>($r8);false;false
IncompleteOperationError;okhttp3.Cache$Entry;java.util.List readCertificateList(okio.BufferedSource);violating CrySL rule for java.security.cert.CertificateFactory (on Object #5db0f675797f63f9744f601d6862bdbfebb6dff8e6758ec4588fa7b4f7f9df66);Operation on object of type java.security.cert.CertificateFactory object not completed. Expected call to generateCertPath, generateCRL, java.security.cert.CertificateFactory: java.security.cert.Certificate generateCertificate(java.io.InputStream);$r9 = virtualinvoke $r5.<java.security.cert.CertificateFactory: java.security.cert.Certificate generateCertificate(java.io.InputStream)>($r8);false;false
RequiredPredicateError;org.conscrypt.OpenSSLX509Certificate;void verifyInternal(java.security.PublicKey,java.lang.String);violating CrySL rule for java.security.Signature ;First parameter was not properly generated as generated Pubkey;virtualinvoke $r3.<java.security.Signature: void initVerify(java.security.PublicKey)>($r1);false;false
RequiredPredicateError;org.conscrypt.OpenSSLX509Certificate;java.security.PublicKey getPublicKey();violating CrySL rule for java.security.KeyFactory ;First parameter was not properly generated as specced Key;$r7 = virtualinvoke $r10.<java.security.KeyFactory: java.security.PublicKey generatePublic(java.security.spec.KeySpec)>($r1);false;false
RequiredPredicateError;org.conscrypt.OpenSSLX509Certificate;java.security.PublicKey getPublicKey();violating CrySL rule for java.security.spec.X509EncodedKeySpec ;First parameter was not properly generated as prepared Key Material;specialinvoke $r1.<java.security.spec.X509EncodedKeySpec: void <init>(byte[])>($r9);false;false
