ErrorType;Class;Method;ViolatedRule;Object;Statement;ExternalLibrary;PossibleExternal
ConstraintError;org.sipdroid.sipua.SipdroidEngine;boolean StartEngine();violating CrySL rule for java.security.KeyStore (on Object #5fcc198f24e1398ba4f0c635da7fc0b136c4b9acad2f4e29e686ac50ee33fa2d);First parameter (with value "BKS") should be any of {JCEKS, JKS, DKS, PKCS11, PKCS12};$r11 = staticinvoke <java.security.KeyStore: java.security.KeyStore getInstance(java.lang.String,java.lang.String)>(varReplacer2797, varReplacer2798);false;false
NeverTypeOfError;org.sipdroid.sipua.SipdroidEngine;boolean StartEngine();violating CrySL rule for java.security.KeyStore (on Object #5fcc198f24e1398ba4f0c635da7fc0b136c4b9acad2f4e29e686ac50ee33fa2d);Second parameter should never be of type java.lang.String.;virtualinvoke $r11.<java.security.KeyStore: void load(java.io.InputStream,char[])>($r13, $r14);false;false
HardCodedError;org.sipdroid.sipua.SipdroidEngine;boolean StartEngine();violating CrySL rule for java.security.KeyStore (on Object #5fcc198f24e1398ba4f0c635da7fc0b136c4b9acad2f4e29e686ac50ee33fa2d);Second parameter should never be hardcoded.;virtualinvoke $r11.<java.security.KeyStore: void load(java.io.InputStream,char[])>($r13, $r14);false;false
IncompleteOperationError;org.sipdroid.sipua.SipdroidEngine;void answercall();violating CrySL rule for javax.crypto.Mac (on Object #4151a14f186225508888d0b38be16e92c8f51426b75fa62a34b5c3205723a840);Operation on object of type javax.crypto.Mac object not completed. Expected call to init;virtualinvoke $r1.<org.sipdroid.sipua.UserAgent: boolean accept()>();false;false
RequiredPredicateError;org.ice4j.attribute.MessageIntegrityAttribute;byte[] calculateHmacSha1(byte[],int,int,byte[]);violating CrySL rule for javax.crypto.spec.SecretKeySpec ;First parameter was not properly generated as prepared Key Material;specialinvoke r3.<javax.crypto.spec.SecretKeySpec: void <init>(byte[],java.lang.String)>($r1, varReplacer12982);false;false
ConstraintError;org.ice4j.attribute.MessageIntegrityAttribute;byte[] calculateHmacSha1(byte[],int,int,byte[]);violating CrySL rule for javax.crypto.spec.SecretKeySpec (on Object #2e4b98803eba7dd9d113a4e28c9374ff603a17c94ba2af8e2bb504a42151732b);Second parameter (with value "HmacSHA1") should be any of {AES, HmacSHA256, HmacSHA384, HmacSHA512};specialinvoke r3.<javax.crypto.spec.SecretKeySpec: void <init>(byte[],java.lang.String)>($r1, varReplacer12982);false;false
ConstraintError;org.ice4j.attribute.MessageIntegrityAttribute;byte[] calculateHmacSha1(byte[],int,int,byte[]);violating CrySL rule for javax.crypto.Mac (on Object #ead65100c3c815f76251f89c110dbc14d6edb14aef3a00a8caf886fc878a107b);First parameter (with value "HmacSHA1") should be any of {HmacSHA256, HmacSHA384, HmacSHA512, HmacPBESHA1, PBEWithHmacSHA1, PBEWithHmacSHA224, PBEWithHmacSHA256, PBEWithHmacSHA384, PBEWithHmacSHA512};$r4 = staticinvoke <javax.crypto.Mac: javax.crypto.Mac getInstance(java.lang.String)>(varReplacer12983);false;false
RequiredPredicateError;org.ice4j.attribute.MessageIntegrityAttribute;byte[] calculateHmacSha1(byte[],int,int,byte[]);violating CrySL rule for javax.crypto.Mac ;First parameter was not properly generated as generated Key;virtualinvoke $r4.<javax.crypto.Mac: void init(java.security.Key)>(r3);false;false
IncompleteOperationError;org.ice4j.stack.StunStack;void <init>(org.ice4j.stack.PeerUdpMessageEventHandler,org.ice4j.stack.ChannelDataEventHandler);violating CrySL rule for javax.crypto.Mac (on Object #a349a91eef8ef9165291b680a1e90c3f64ec77dcb2891616c60f1292a485a996);Operation on object of type javax.crypto.Mac object not completed. Expected call to init;$r4 = <org.ice4j.stack.StunStack: javax.crypto.Mac mac>;false;false
ConstraintError;org.ice4j.stack.StunStack;void <init>(org.ice4j.stack.PeerUdpMessageEventHandler,org.ice4j.stack.ChannelDataEventHandler);violating CrySL rule for javax.crypto.Mac (on Object #a349a91eef8ef9165291b680a1e90c3f64ec77dcb2891616c60f1292a485a996);First parameter (with value "HmacSHA1") should be any of {HmacSHA256, HmacSHA384, HmacSHA512, HmacPBESHA1, PBEWithHmacSHA1, PBEWithHmacSHA224, PBEWithHmacSHA256, PBEWithHmacSHA384, PBEWithHmacSHA512};$r4 = staticinvoke <javax.crypto.Mac: javax.crypto.Mac getInstance(java.lang.String)>(varReplacer13693);false;false
IncompleteOperationError;org.ice4j.stack.StunStack;void <init>(org.ice4j.stack.PeerUdpMessageEventHandler,org.ice4j.stack.ChannelDataEventHandler);violating CrySL rule for javax.crypto.Mac (on Object #a349a91eef8ef9165291b680a1e90c3f64ec77dcb2891616c60f1292a485a996);Operation on object of type javax.crypto.Mac object not completed. Expected call to init;$r4 = staticinvoke <javax.crypto.Mac: javax.crypto.Mac getInstance(java.lang.String)>(varReplacer13693);false;false
ConstraintError;zorg.platform.j2se.DiffieHellmanSuiteImpl;void setupEC(int);violating CrySL rule for java.security.KeyPairGenerator (on Object #5ffcb391ab2428867d23511fae40caea780abeed6b12e60893ac8e2fa97423f);First parameter (with value "ECDH") should be any of {RSA, EC, DSA, DiffieHellman, DH};$r1 = staticinvoke <java.security.KeyPairGenerator: java.security.KeyPairGenerator getInstance(java.lang.String)>(varReplacer14241);false;false
ConstraintError;zorg.platform.j2se.DiffieHellmanSuiteImpl;byte[] getDhResult(byte[],int,boolean);violating CrySL rule for java.security.KeyFactory (on Object #f9fb2d229a8568e2ba8376348542c085f11b154cdc6b0559484d4225dd6351f8);First parameter (with value "ECDH") should be any of {RSA, DiffieHellman, DH, DSA, EC};$r11 = staticinvoke <java.security.KeyFactory: java.security.KeyFactory getInstance(java.lang.String)>(varReplacer26572);false;false
RequiredPredicateError;zorg.platform.j2se.DiffieHellmanSuiteImpl;byte[] getDhResult(byte[],int,boolean);violating CrySL rule for javax.crypto.KeyAgreement ;First parameter was not properly generated as generated Privkey;virtualinvoke $r12.<javax.crypto.KeyAgreement: void init(java.security.Key)>($r14);false;false
