ErrorType;Class;Method;ViolatedRule;Object;Statement;ExternalLibrary;PossibleExternal
TypestateError;w1.h;android.view.View D(android.view.LayoutInflater,android.view.ViewGroup,android.os.Bundle);violating CrySL rule for java.security.cert.CertificateFactory (on Object #190755abd6a7db2fb29aad7049c63c9e52cd610d6136444ba7ff036d86b6b9ce);Unexpected call to method generateCertificate on object of type java.security.cert.CertificateFactory. Expect a call to one of the following methods generateCRL;$r46 = virtualinvoke $r38.<java.security.cert.CertificateFactory: java.security.cert.Certificate generateCertificate(java.io.InputStream)>($r45);false;false
IncompleteOperationError;w1.h;android.view.View D(android.view.LayoutInflater,android.view.ViewGroup,android.os.Bundle);violating CrySL rule for java.security.cert.CertificateFactory (on Object #190755abd6a7db2fb29aad7049c63c9e52cd610d6136444ba7ff036d86b6b9ce);Operation on object of type java.security.cert.CertificateFactory object not completed. Expected call to generateCertPath, generateCertificate, generateCRL;$r38 = staticinvoke <java.security.cert.CertificateFactory: java.security.cert.CertificateFactory getInstance(java.lang.String)>(varReplacer7747);false;false
IncompleteOperationError;w1.h;android.view.View D(android.view.LayoutInflater,android.view.ViewGroup,android.os.Bundle);violating CrySL rule for java.security.cert.CertificateFactory (on Object #190755abd6a7db2fb29aad7049c63c9e52cd610d6136444ba7ff036d86b6b9ce);Operation on object of type java.security.cert.CertificateFactory object not completed. Expected call to generateCertPath, generateCRL, java.security.cert.CertificateFactory: java.security.cert.Certificate generateCertificate(java.io.InputStream);$r46 = virtualinvoke $r38.<java.security.cert.CertificateFactory: java.security.cert.Certificate generateCertificate(java.io.InputStream)>($r45);false;false
ConstraintError;c2.a;java.lang.String a(java.security.cert.X509Certificate,java.lang.String);violating CrySL rule for java.security.MessageDigest (on Object #66569f1df5e58d8943a31559a1ac5e135002c4ecb0f614e1d0d85da886dfdf43);First parameter (with value "MD5") should be any of {SHA-256, SHA-384, SHA-512};$r5 = staticinvoke <java.security.MessageDigest: java.security.MessageDigest getInstance(java.lang.String)>($r4);false;false
ConstraintError;c2.a;java.lang.String a(java.security.cert.X509Certificate,java.lang.String);violating CrySL rule for java.security.MessageDigest (on Object #66569f1df5e58d8943a31559a1ac5e135002c4ecb0f614e1d0d85da886dfdf43);First parameter (with value "SHA1") should be any of {SHA-256, SHA-384, SHA-512};$r5 = staticinvoke <java.security.MessageDigest: java.security.MessageDigest getInstance(java.lang.String)>($r4);false;false
ConstraintError;s0.a;o2.a r(byte[],int);violating CrySL rule for javax.crypto.spec.SecretKeySpec (on Object #3f452f65392da0f4323ab459c12daa9b1602c3adced3bae80e0ec1fb9f96ed6c);Second parameter (with value "HmacSHA1") should be any of {AES, HmacSHA256, HmacSHA384, HmacSHA512};specialinvoke $r4.<javax.crypto.spec.SecretKeySpec: void <init>(byte[],java.lang.String)>($r0, $r5);false;false
RequiredPredicateError;s0.a;o2.a r(byte[],int);violating CrySL rule for javax.crypto.spec.SecretKeySpec ;First parameter was not properly generated as prepared Key Material;specialinvoke $r4.<javax.crypto.spec.SecretKeySpec: void <init>(byte[],java.lang.String)>($r0, $r5);false;false
RequiredPredicateError;s0.a;o2.a r(byte[],int);violating CrySL rule for javax.crypto.Mac ;First parameter was not properly generated as generated Key;virtualinvoke $r3.<javax.crypto.Mac: void init(java.security.Key)>($r4);false;false
ConstraintError;s0.a;byte[] c(byte[],char[],int);violating CrySL rule for javax.crypto.spec.SecretKeySpec (on Object #92231e0216e6b93858899e8a5954c44d3ca78ea082c0f23e5d0b6d93460537ac);Second parameter (with value "HmacSHA1") should be any of {AES, HmacSHA256, HmacSHA384, HmacSHA512};specialinvoke $r6.<javax.crypto.spec.SecretKeySpec: void <init>(byte[],java.lang.String)>($r1, $r7);false;false
IncompleteOperationError;s0.a;byte[] c(byte[],char[],int);violating CrySL rule for javax.crypto.Mac (on Object #1777524bc2fa3af1ca80c4679c0b2d6b8af24c32b5624eb03233e336cabc72c4);Operation on object of type javax.crypto.Mac object not completed. Expected call to javax.crypto.Mac: byte[] doFinal(byte[]), update;$r9 = virtualinvoke $r5.<javax.crypto.Mac: byte[] doFinal(byte[])>($r8);false;false
