ErrorType;Class;Method;ViolatedRule;Object;Statement;ExternalLibrary;PossibleExternal
IncompleteOperationError;o9.j;void <init>(android.content.Context,j9.e,java.security.KeyPair,java.lang.String,java.security.SecureRandom);violating CrySL rule for java.security.cert.CertificateFactory (on Object #e2dfeb2e4b6481999f7def5653c48e05d341ac859e5f4a0a928f389e75d2fbcf);Operation on object of type java.security.cert.CertificateFactory object not completed. Expected call to generateCRL;$r19 = virtualinvoke $r18.<java.security.cert.CertificateFactory: java.security.cert.Certificate generateCertificate(java.io.InputStream)>($r17);false;false
IncompleteOperationError;o9.j;java.lang.String[] c(android.content.Context,j9.e,java.lang.String,java.security.KeyPair,java.security.SecureRandom,java.util.Date,java.util.Date);violating CrySL rule for java.security.Signature (on Object #e797936116740ca56894f3371bb335a71d4b643cfbdf9f9d98e95b3f8ea33d31);Operation on object of type java.security.Signature object not completed. Expected call to sign, update;$r27 = virtualinvoke $r12.<p7.c: p7.b b(j8.a)>($r26);false;false
ConstraintError;ba.w5;java.security.MessageDigest g();violating CrySL rule for java.security.MessageDigest (on Object #a501f4b07c999f28f2e488fa7adfe4b7d37c4925e236346e4a874bf802ee98);First parameter (with value "SHA") should be any of {SHA-256, SHA-384, SHA-512};$r1 = staticinvoke <java.security.MessageDigest: java.security.MessageDigest getInstance(java.lang.String)>(varReplacer11049);false;false
IncompleteOperationError;ka.k;void m(pa.n);violating CrySL rule for java.security.MessageDigest (on Object #a501f4b07c999f28f2e488fa7adfe4b7d37c4925e236346e4a874bf802ee98);Operation on object of type java.security.MessageDigest object not completed. Expected call to digest, update;virtualinvoke $r1.<java.lang.StringBuilder: java.lang.StringBuilder append(java.lang.Object)>($r2);false;false
IncompleteOperationError;ua.h2;pa.n U(ga.f);violating CrySL rule for java.security.MessageDigest (on Object #a501f4b07c999f28f2e488fa7adfe4b7d37c4925e236346e4a874bf802ee98);Operation on object of type java.security.MessageDigest object not completed. Expected call to digest, update;specialinvoke r0.<ua.h2: void S(ua.b,ua.e1)>($r6, $r7);false;false
IncompleteOperationError;ga.q0$b;void b(fa.g);violating CrySL rule for java.security.MessageDigest (on Object #a501f4b07c999f28f2e488fa7adfe4b7d37c4925e236346e4a874bf802ee98);Operation on object of type java.security.MessageDigest object not completed. Expected call to digest, update;interfaceinvoke $r12.<ga.v0: void d(pa.n)>($r15);false;false
IncompleteOperationError;ga.q0$b;void b(fa.g);violating CrySL rule for java.security.MessageDigest (on Object #a501f4b07c999f28f2e488fa7adfe4b7d37c4925e236346e4a874bf802ee98);Operation on object of type java.security.MessageDigest object not completed. Expected call to digest, update;$r15 = (pa.n) $r4;false;false
TypestateError;l6.r1;java.util.List b(java.io.InputStream);violating CrySL rule for java.security.cert.CertificateFactory (on Object #a986e44cf0733258fbf65621c915363fc538801b02ad1e5ae72e664eaed1cfad);Unexpected call to method generateCertificate on object of type java.security.cert.CertificateFactory. Expect a call to one of the following methods generateCRL;$r10 = virtualinvoke $r6.<java.security.cert.CertificateFactory: java.security.cert.Certificate generateCertificate(java.io.InputStream)>($r8);false;false
IncompleteOperationError;l6.r1;java.util.List b(java.io.InputStream);violating CrySL rule for java.security.cert.CertificateFactory (on Object #a986e44cf0733258fbf65621c915363fc538801b02ad1e5ae72e664eaed1cfad);Operation on object of type java.security.cert.CertificateFactory object not completed. Expected call to generateCertificate, generateCertPath, generateCRL;$r6 = staticinvoke <java.security.cert.CertificateFactory: java.security.cert.CertificateFactory getInstance(java.lang.String)>(varReplacer14865);false;false
IncompleteOperationError;l6.r1;java.util.List b(java.io.InputStream);violating CrySL rule for java.security.cert.CertificateFactory (on Object #a986e44cf0733258fbf65621c915363fc538801b02ad1e5ae72e664eaed1cfad);Operation on object of type java.security.cert.CertificateFactory object not completed. Expected call to generateCertPath, generateCRL, java.security.cert.CertificateFactory: java.security.cert.Certificate generateCertificate(java.io.InputStream);$r10 = virtualinvoke $r6.<java.security.cert.CertificateFactory: java.security.cert.Certificate generateCertificate(java.io.InputStream)>($r8);false;false
RequiredPredicateError;l6.r1;java.security.interfaces.RSAPrivateKey c(java.io.InputStream);violating CrySL rule for java.security.KeyFactory ;First parameter was not properly generated as specced Key;$r10 = virtualinvoke $r8.<java.security.KeyFactory: java.security.PrivateKey generatePrivate(java.security.spec.KeySpec)>($r9);false;false
TypestateError;x9.c;byte[] e(y9.d);violating CrySL rule for java.security.MessageDigest (on Object #2da2376093185712827e35e383143e33ccc1a9f179039037be0675baef6025b);Unexpected call to method <java.security.MessageDigest: byte[] digest()> on object of type java.security.MessageDigest. Expect a call to one of the following methods java.security.MessageDigest: void update(byte[],int,int),java.security.MessageDigest: void update(java.nio.ByteBuffer),java.security.MessageDigest: byte[] digest(byte[]),java.security.MessageDigest: void update(byte),java.security.MessageDigest: void update(byte[]);$r3 = virtualinvoke $r2.<java.security.MessageDigest: byte[] digest()>();false;false
TypestateError;x9.c;byte[] f(w9.p);violating CrySL rule for java.security.MessageDigest (on Object #2da2376093185712827e35e383143e33ccc1a9f179039037be0675baef6025b);Unexpected call to method <java.security.MessageDigest: byte[] digest()> on object of type java.security.MessageDigest. Expect a call to one of the following methods java.security.MessageDigest: void update(byte[],int,int),java.security.MessageDigest: void update(java.nio.ByteBuffer),java.security.MessageDigest: byte[] digest(byte[]),java.security.MessageDigest: void update(byte),java.security.MessageDigest: void update(byte[]);$r4 = virtualinvoke $r3.<java.security.MessageDigest: byte[] digest()>();false;false
TypestateError;x9.c;byte[] d(w9.p);violating CrySL rule for java.security.MessageDigest (on Object #2da2376093185712827e35e383143e33ccc1a9f179039037be0675baef6025b);Unexpected call to method <java.security.MessageDigest: byte[] digest()> on object of type java.security.MessageDigest. Expect a call to one of the following methods java.security.MessageDigest: void update(byte[],int,int),java.security.MessageDigest: void update(java.nio.ByteBuffer),java.security.MessageDigest: byte[] digest(byte[]),java.security.MessageDigest: void update(byte),java.security.MessageDigest: void update(byte[]);$r4 = virtualinvoke $r3.<java.security.MessageDigest: byte[] digest()>();false;false
IncompleteOperationError;x9.c;void h(java.security.MessageDigest,w9.t,long,long);violating CrySL rule for java.security.MessageDigest (on Object #2da2376093185712827e35e383143e33ccc1a9f179039037be0675baef6025b);Operation on object of type java.security.MessageDigest object not completed. Expected call to digest, java.security.MessageDigest: void update(byte[],int,int), java.security.MessageDigest: void update(java.nio.ByteBuffer), java.security.MessageDigest: void update(byte[]), java.security.MessageDigest: void update(byte);virtualinvoke $r1.<java.security.MessageDigest: void update(byte[])>($r3);false;false
ConstraintError;z7.a;java.security.AlgorithmParameters b(java.lang.String);violating CrySL rule for java.security.AlgorithmParameters (on Object #7eecdcbc63e03e239acd83603e971ceebd8530c341243d4bff6c735c377d46ef);First parameter (with value "PSS") should be any of {AES, DiffieHellman, DH, OAEP, PBEWithHmacSHA224AndAES_128, PBEWithHmacSHA256AndAES_128, PBEWithHmacSHA384AndAES_128, PBEWithHmacSHA512AndAES_128, PBEWithHmacSHA224AndAES_256, PBEWithHmacSHA256AndAES_256, PBEWithHmacSHA384AndAES_256, PBEWithHmacSHA512AndAES_256};$r1 = staticinvoke <java.security.AlgorithmParameters: java.security.AlgorithmParameters getInstance(java.lang.String)>($r2);false;false
IncompleteOperationError;q7.c;java.security.cert.X509Certificate a(p7.b);violating CrySL rule for java.security.cert.CertificateFactory (on Object #cbd72781171cf1eeb08ffea452d6dcd823cb58b2fc0a062813ffdbce082255e4);Operation on object of type java.security.cert.CertificateFactory object not completed. Expected call to generateCRL;$r6 = virtualinvoke $r3.<java.security.cert.CertificateFactory: java.security.cert.Certificate generateCertificate(java.io.InputStream)>($r4);false;false
IncompleteOperationError;k8.b;boolean d(q6.d0);violating CrySL rule for java.security.MessageDigest (on Object #a6cc438dab3b82736ea543d2bb9c3ec40d524b56d13a92511203c3cd90fb19c0);Operation on object of type java.security.MessageDigest object not completed. Expected call to digest, update;$i1 = virtualinvoke $r8.<java.security.MessageDigest: int getDigestLength()>();false;false
RequiredPredicateError;k8.b;java.security.Signature b(n7.a);violating CrySL rule for java.security.AlgorithmParameters ;First parameter was not properly generated as prepared Alg;virtualinvoke $r11.<java.security.AlgorithmParameters: void init(byte[])>($r12);false;false
