apk_name;libraries_with_vulnerability (total);libraries_with_vulnerability (possible_external);libraries_with_vulnerability (definitely_external), native_libraries_with_vulnerability (total - possible_external - definitely_external)
network.ubic.ubic_7;105;0;0;105
app.zeusln.zeus_25;30;11;13;6
org.billthefarmer.currency_139;0;0;0;0
com.vgorcum.minedmonero_2;1;0;1;0
com.soumikshah.investmenttracker_3;163;0;0;163
org.jdfossapps.android.shopwithmom_5;0;0;0;0
de.freewarepoint.whohasmystuff_39;0;0;0;0
info.tangential.cone_28;0;0;0;0
de.bitsharesmunich.wallet_100038;0;0;0;0
com.lightning.walletapp_159;41;16;8;17
com.github.samotari.cryptoterminal_10500;0;0;0;0
com.btcontract.wallet_86;138;0;4;134
ru.valle.btc_260;40;0;0;40
com.flasskamp.subz_4;754;0;0;754
com.jstephan.yarc_1;0;0;0;0
co.timsmart.vouchervault_22;3;0;3;0
de.schildbach.wallet_test_817;57;8;10;39
me.kuehle.carreport_79;25;10;6;9
com.money.manager.ex_1000;0;0;0;0
io.horizontalsystems.bankwallet_52;104;15;71;18
com.coinerella.peercoin_60;13;0;3;10
com.minimalisticapps.priceconverter_6;12;0;9;3
com.hykwok.CurrencyConverter_2;0;0;0;0
net.taler.cashier_1;449;23;426;0
com.repay.android_25;1;0;1;0
de.blocklink.pigrid_5;0;0;0;0
net.alaindonesia.silectric_1220161217;0;0;0;0
de.langerhans.wallet_400;58;23;3;32
com.brentpanther.litecoinwidget_23;0;0;0;0
com.oriondev.moneywallet_75;23;4;0;19
protect.gift_card_guard_6;556;0;0;556
hashengineering.groestlcoin.wallet_81401;57;8;10;39
com.brentpanther.bitcoinwidget_287;18;5;10;3
com.marv42.ebt.newnote_5300;120;0;0;120
com.greenaddress.abcore_77;7;0;0;7
de.cryptobitch.muelli.vouchercalc_3;0;0;0;0
com.greenaddress.greenbits_android_wallet_22000376;21;0;0;21
com.veken0m.bitcoinium_48;105;104;0;1
com.blogspot.e_kanivets.moneytracker_36;763;0;0;763
org.walleth_514;102;5;66;31
ee.smkv.calc.loan_52;0;0;0;0
com.pvcodes.debtcalc_3;0;0;0;0
com.notriddle.budget_44;0;0;0;0
com.rehanced.lunary_31;101;10;42;49
net.taler.wallet.fdroid_9;0;0;0;0
ivl.android.moneybalance_6;0;0;0;0
com.fproject.cryptolitycs_1;0;0;0;0
protect.budgetwatch_29;8;0;7;1
com.ecuamobi.deckwallet_100;0;0;0;0
com.emmanuelmess.simpleaccounting_23;0;0;0;0
fr.corenting.convertisseureurofranc_18;27;0;0;27
com.simpledecredwidget_3;111;0;0;111
tmendes.com.analyticalbalancedroid_3;0;0;0;0
net.bitconomy.ckpoolwatcher_1;0;0;0;0
de.salomax.currencies_11000;5;0;0;5
nitezh.ministock_80;8;0;7;1
org.tryton.client_6;4;0;0;4
ademar.bitac_5;21;5;13;3
net.eneiluj.moneybuster_35;21;0;3;18
com.invoiceninja.app_66;3;0;3;0
com.cohenchris.weeklybudget_6;0;0;0;0
org.ebur.debitum_14;1;0;0;1
com.ebaschiera.triplecamel_14;0;0;0;0
com.mattallen.loaned_3;0;0;0;0
de.chaosdorf.meteroid_41;13;0;10;3
com.nanoconverter.zlab_38;0;0;0;0
com.eletac.tronwallet_37;543;0;0;543
de.k4ever.k4android_10;8;0;0;8
com.arduia.expense_11;11;0;0;11
org.elijaxapps.androidxmrigminer_5;0;0;0;0
com.alaskalinuxuser.justcraigslist_10;0;0;0;0
org.dash.electrum.electrum_dash_401050001;0;0;0;0
de.cloneapps.crypto_prices_26;0;0;0;0
hashengineering.groestlcoin.wallet_test_81401;57;8;10;39
protect.rentalcalc_6;3;3;0;0
mobi.boilr.boilr_9;0;0;0;0
de.drhoffmannsoft.pizza_11;0;0;0;0
org.weilbach.splitbills_22;0;0;0;0
org.secuso.privacyfriendlyfinancemanager_4;9;9;0;0
wb.receiptspro_120;4;0;4;0
app.crescentcash.src_120;69;0;21;48
de.koelle.christian.trickytripper_25;3;2;0;1
org.billthefarmer.specie_1;0;0;0;0
com.toxtox.philosopherstonewidget_3;0;0;0;0
com.decred.decredaddressscanner_10;0;0;0;0
com.outdoordevs.ellaism.wallet_35;38;0;0;38
net.nitratine.priceperunit_18;0;0;0;0
net.ktnx.mobileledger_47;0;0;0;0
eu.uwot.fabio.altcoinprices_81;0;0;0;0
me.hackerchick.catima_92;19;1;0;18
org.moparisthebest.pageplus_8;0;0;0;0
de.schildbach.wallet_817;57;8;10;39
com.xvzan.simplemoneytracker_20200725;0;0;0;0
org.encointer.wallet_810;1;0;0;1
com.github.samotari.paynoway_20100;0;0;0;0
com.lako.walletcount_3;0;0;0;0
com.igisw.openmoneybox_44;0;0;0;0
com.nishantboro.splititeasy_1;8;0;7;1
net.taler.merchantpos_2;15;15;0;0
com.cosmos.candle_6;13;0;0;13
protect.card_locker_39;7;0;6;1
com.brentpanther.bitcoincashwidget_23;0;0;0;0
io.bluewallet.bluewallet_60205;40;18;16;6
com.brentpanther.ethereumwidget_33;0;0;0;0
de.php_tech.piggybudget_25;19;0;16;3
at.zweng.bankomatinfos2_16;0;0;0;0
com.pvpc.precio_luz_24;0;0;0;0
org.safecoin.safeprice_1;0;0;0;0
