apk_name;libraries_with_vulnerability (total);libraries_with_vulnerability (possible_external);libraries_with_vulnerability (definitely_external), native_libraries_with_vulnerability (total - possible_external - definitely_external)
ru.henridellal.dialer_14;0;0;0;0
com.github.webierta.call_counter_5;0;0;0;0
me.yardenac.comaphone_27;0;0;0;0
me.lucky.silence_30;0;0;0;0
tech.bogomolov.incomingsmsgateway_7;0;0;0;0
org.tether.tether_2007;13;0;0;13
at.bitfire.nophonespam_15;0;0;0;0
com.serwylo.babyphone_5;0;0;0;0
opencontacts.open.com.opencontacts_23;32;0;0;32
com.github.tmo1.sms_ie_5;0;0;0;0
de.hskl.contacts_1;0;0;0;0
fr.jnda.android.flashalert_10271104;0;0;0;0
com.pierreduchemin.smsforward_15;0;0;0;0
org.lumicall.android_192;140;34;0;106
org.jitsi.meet_216000;29;10;16;3
de.schlikk.calls_100000;0;0;0;0
com.simplemobiletools.contacts.pro_89;5;1;3;1
me.hackerchick.raisetoanswer_31;0;0;0;0
cx.ring_324;4;0;0;4
