apk_name;libraries_with_vulnerability (total);libraries_with_vulnerability (possible_external);libraries_with_vulnerability (definitely_external), native_libraries_with_vulnerability (total - possible_external - definitely_external)
godau.fynn.usagedirect.system_9;0;0;0;0
info.spotcomms.wlanbackend_23;0;0;0;0
de.k3b.android.camerafolder_1;0;0;0;0
com.buzbuz.smartautoclicker_11;0;0;0;0
inc.flide.vi8_8;0;0;0;0
com.github.muellerma.coffee_14;0;0;0;0
io.github.domi04151309.batterytool_101;0;0;0;0
com.smartpack.busyboxinstaller_17;0;0;0;0
com.jkuester.unlauncher_14;0;0;0;0
com.simplemobiletools.smsmessenger_41;14;4;7;3
com.termoneplus_362;8;0;0;8
com.github.olga_yakovleva.rhvoice.android_10600;9;0;6;3
io.timelimit.android.aosp.direct_177;239;10;0;229
co.garmax.materialflashlight_29;0;0;0;0
com.denytheflowerpot.scrunch_2;0;0;0;0
com.hos_dvk.easyphone.full_11;0;0;0;0
com.simplemobiletools.dialer_32;5;1;3;1
org.booncode.bluepass4_5;37;0;0;37
com.looker.droidify_43;25;22;0;3
kuesji.link_eye_4;0;0;0;0
com.jens.automation2_115;19;18;1;0
us.spotco.extirpater_22;0;0;0;0
io.github.muntashirakon.unapkm_4;0;0;0;0
com.punksta.apps.volumecontrol_32;0;0;0;0
net.tjado.usbgadget_4;0;0;0;0
com.example.TTime_3;0;0;0;0
moe.dic1911.autodnd_3;0;0;0;0
com.oasisfeng.island.fdroid_51601;0;0;0;0
com.activitymanager_414;0;0;0;0
com.smartpack.scriptmanager_41;0;0;0;0
com.klee.volumelockr_5;0;0;0;0
com.simplemobiletools.voicerecorder_17;7;4;3;0
org.irmacard.cardemu_136;0;0;0;0
kasun.sinhala.keyboard_6;0;0;0;0
bluepie.ad_silence_11;0;0;0;0
com.sunilpaulmathew.debloater_23;0;0;0;0
taco.scoop_32;0;0;0;0
com.oF2pks.chairlock_17;2;0;0;2
com.szchoiceway.aios.bridge_8;0;0;0;0
com.github.rsteube.t4_4;0;0;0;0
rocks.tbog.tblauncher_30;0;0;0;0
com.machiav3lli.backup_7000;77;0;3;74
com.mirfatif.permissionmanagerx_111;57;0;0;57
com.smartpack.kernelprofiler_13;0;0;0;0
de.lukaspieper.gcam.services_6;0;0;0;0
com.smartpack.kernelmanager_171;10;0;0;10
com.smartpack.packagemanager_59;20;0;0;20
io.github.muntashirakon.setedit_6;0;0;0;0
mattecarra.accapp_39;0;0;0;0
io.github.sds100.keymapper_50;24;0;0;24
com.github.muellerma.prepaidbalance_10;0;0;0;0
io.github.yoshi1123.adbio_2;0;0;0;0
dev.patrickgold.florisboard_56;0;0;0;0
eu.roggstar.luigithehunter.batterycalibrate_13;0;0;0;0
com.hwloc.lstopo_265;69;0;0;69
luke.launcher_20003;14;0;0;14
godau.fynn.usagedirect_9;0;0;0;0
com.svenjacobs.app.leon_229;0;0;0;0
pro.rudloff.search_to_browser_2;0;0;0;0
com.vincent_falzon.discreetlauncher_44;0;0;0;0
com.vincent_falzon.discreetlauncher_44 (1);0;0;0;0
name.lmj001.savetodevice_3;0;0;0;0
io.github.subhamtyagi.lastlauncher_18;0;0;0;0
