Message,Description,RuleNumber,RuleDesc,CWEId,Severity,ClassName,MethodName,ExternalLibrary,PossibleExternal
"Found: ""DESede/CBC/NoPadding""",Found broken crypto schemes,1,Found broken crypto schemes,256,1,network.ubic.ubic.BitiMRTD.Tools.Crypto,encrypt3DES,false,false
"Found: ""DESede/CBC/NoPadding""",Found broken crypto schemes,1,Found broken crypto schemes,256,1,network.ubic.ubic.BitiMRTD.Tools.Crypto,decrypt3DES,false,false
"Found: ""DES/CBC/NoPadding""",Found broken crypto schemes,1,Found broken crypto schemes,256,1,network.ubic.ubic.BitiMRTD.Tools.Crypto,encryptUsingDES,false,false
"Found: ""DES/CBC/NoPadding""",Found broken crypto schemes,1,Found broken crypto schemes,256,1,network.ubic.ubic.BitiMRTD.Tools.Crypto,decryptUsingDES,false,false
Found: Untrused PRNG (java.util.Random),Used untrusted PRNG,13,Used untrusted PRNG,338,1,org.spongycastle.math.ec.ECCurve$AbstractF2m,solveQuadraticEquation,false,false
Found: Untrused PRNG (java.util.Random),Used untrusted PRNG,13,Used untrusted PRNG,338,1,org.spongycastle.math.raw.Mod,random,false,false
Found: Untrused PRNG (java.util.Random),Used untrusted PRNG,13,Used untrusted PRNG,338,1,org.spongycastle.pqc.math.linearalgebra.GF2nONBField,elementOfOrder,false,false
Found: Untrused PRNG (java.util.Random),Used untrusted PRNG,13,Used untrusted PRNG,338,1,org.spongycastle.asn1.ua.DSTU4145PointEncoder,solveQuadraticEquation,false,false
Found: Untrused PRNG (java.util.Random),Used untrusted PRNG,13,Used untrusted PRNG,338,1,org.spongycastle.math.ec.ECFieldElement$Fp,sqrt,false,false
Found: Untrused PRNG (java.util.Random),Used untrusted PRNG,13,Used untrusted PRNG,338,1,org.spongycastle.pqc.math.linearalgebra.GF2nPolynomialElement,solveQuadraticEquation,false,false
Found: Untrused PRNG (java.util.Random),Used untrusted PRNG,13,Used untrusted PRNG,338,1,org.spongycastle.pqc.math.linearalgebra.GF2Polynomial,clinit,false,false
"Found: ""SHA1""",Found broken hash functions,2,Found broken hash functions,759,1,org.spongycastle.cert.jcajce.JcaX509ExtensionUtils,init,false,false
"Found: ""SHA-1""",Found broken hash functions,2,Found broken hash functions,759,1,network.ubic.ubic.BitiMRTD.Tools.Crypto,sha1,false,false
"Found: ""0""",Found constant IV in code,10,Found constant IV in code,547,1,network.ubic.ubic.BitiMRTD.Tools.Crypto,init,false,false
"Found: ""0""",Found constant IV in code,10,Found constant IV in code,547,1,network.ubic.ubic.BitiMRTD.Tools.Crypto,init,false,false
"Found: ""0""",Found constant IV in code,10,Found constant IV in code,547,1,network.ubic.ubic.BitiMRTD.Tools.Crypto,init,false,false
"Found: ""0""",Found constant IV in code,10,Found constant IV in code,547,1,network.ubic.ubic.BitiMRTD.Tools.Crypto,init,false,false
"Found: ""0""",Found constant IV in code,10,Found constant IV in code,547,1,network.ubic.ubic.BitiMRTD.Tools.Crypto,init,false,false
"Found: ""0""",Found constant IV in code,10,Found constant IV in code,547,1,network.ubic.ubic.BitiMRTD.Tools.Crypto,init,false,false
"Found: ""0""",Found constant IV in code,10,Found constant IV in code,547,1,network.ubic.ubic.BitiMRTD.Tools.Crypto,init,false,false
