Message,Description,RuleNumber,RuleDesc,CWEId,Severity,ClassName,MethodName,ExternalLibrary,PossibleExternal
"Found: ""AES""",Found broken crypto schemes,1,Found broken crypto schemes,256,1,com.wa2c.android.cifsdocumentsprovider.domain.model.CifsConnectionKt,decrypt,true,true
"Found: ""RC4""",Found broken crypto schemes,1,Found broken crypto schemes,256,1,jcifs.util.Crypto,getArcfour,false,false
"Found: ""DES/ECB/NoPadding""",Found broken crypto schemes,1,Found broken crypto schemes,256,1,jcifs.util.Crypto,getDES,false,false
"Found: ""AES""",Found broken crypto schemes,1,Found broken crypto schemes,256,1,com.wa2c.android.cifsdocumentsprovider.domain.model.CifsConnectionKt,encrypt,true,true
"Found: ""DES/CBC/NoPadding""",Found broken crypto schemes,1,Found broken crypto schemes,256,1,jcifs.pac.kerberos.KerberosEncData,decryptDES,false,false
Found: Untrused PRNG (java.util.Random),Used untrusted PRNG,13,Used untrusted PRNG,338,1,androidx.transition.Explode,calculateOut,true,true
Found: Untrused PRNG (java.util.Random),Used untrusted PRNG,13,Used untrusted PRNG,338,1,org.bouncycastle.pqc.math.linearalgebra.GF2nPolynomialElement,solveQuadraticEquation,false,false
Found: Untrused PRNG (java.util.Random),Used untrusted PRNG,13,Used untrusted PRNG,338,1,org.bouncycastle.math.ec.ECFieldElement$Fp,sqrt,false,false
Found: Untrused PRNG (java.util.Random),Used untrusted PRNG,13,Used untrusted PRNG,338,1,kotlin.random.FallbackThreadLocalRandom$implStorage$1,initialValue,false,false
Found: Untrused PRNG (java.util.Random),Used untrusted PRNG,13,Used untrusted PRNG,338,1,jcifs.config.BaseConfiguration,initDefaults,false,false
Found: Untrused PRNG (java.util.Random),Used untrusted PRNG,13,Used untrusted PRNG,338,1,org.bouncycastle.asn1.ua.DSTU4145PointEncoder,solveQuadraticEquation,false,false
Found: Untrused PRNG (java.util.Random),Used untrusted PRNG,13,Used untrusted PRNG,338,1,org.bouncycastle.math.raw.Mod,random,false,false
