apk_name;libraries_with_vulnerability (total);libraries_with_vulnerability (possible_external);libraries_with_vulnerability (definitely_external), native_libraries_with_vulnerability (total - possible_external - definitely_external)
com.app.missednotificationsreminder_2010605222;18;0;0;18
net.ibbaa.keepitup_2;1;0;0;1
com.wa2c.android.cifsdocumentsprovider_8;65;0;0;65
org.unifiedpush.distributor.noprovider2push_7;21;0;0;21
xdsopl.robot36_45;0;0;0;0
com.tananaev.passportreader_16;112;0;0;112
io.treehouses.remote_6098;20;0;0;20
io.rebble.charon_5;0;0;0;0
aq.metallists.loudbang_45;2;0;0;2
org.unifiedpush.distributor.nextpush_6;22;0;0;22
com.fr3ts0n.androbd.plugin.gpsprovider_10101;0;0;0;0
com.fmsys.snapdrop_18;4;0;0;4
com.dx.anonymousmessenger_46;8;0;0;8
ooo.akito.webmon_12;41;0;0;41
com.polar.nextcloudservices_11;19;0;0;19
com.pato05.uploadgram_6;0;0;0;0
it.danieleverducci.nextcloudmaps_5;19;0;0;19
miccah.mpvremote_1;3;0;0;3
de.ccc.events.badge.card10_9;17;0;0;17
de.seemoo.at_tracking_detection_19;5;0;0;5
org.unifiedpush.example_14;4;0;0;4
de.selfnet.wifisetup_6;0;0;0;0
com.example.flutter_http_server_30;7;0;0;7
io.github.powerinside.syncplay_23;7;0;0;7
com.vrem.wifianalyzer_58;2;0;0;2
com.nextcloud_cookbook_flutter_19;0;0;0;0
threads.server_272;70;0;0;70
com.tailscale.ipn_82;1;0;0;1
de.jbservices.nc_passwords_app_20;7;0;0;7
com.hearham.repeaterstart_7;12;0;0;12
om.sstvencoder_26;0;0;0;0
com.coboltforge.dontmind.multivnc_87;2;0;0;2
dev.marchello.sharik_13;1;0;0;1
de.j4velin.wifiAutoOff_1910;0;0;0;0
net.christianbeier.droidvnc_ng_9;1;0;0;1
com.matejdro.pebbledialer_41;6;0;0;6
pw.thedrhax.mosmetro_77;2;0;0;2
cloud.valetudo.companion_7;6;0;0;6
net.mullvad.mullvadvpn_21010099;4;0;0;4
pro.oblivioncoding.fluffy_board_33112291;3;0;0;3
org.pacien.tincapp_33;64;0;0;64
me.hackerchick.sharetoinputstick_19;7;0;0;7
org.alberto97.ouilookup_3;2;0;0;2
threads.thor_100;80;0;0;80
com.jeroen1602.lighthouse_pm_8;2;0;0;2
tech.platypush.platypush_1000100;4;0;0;4
at.h4x.metaapp_10102;7;0;0;7
com.dosse.dozeoff_2;0;0;0;0
com.genonbeta.TrebleShot_104;77;0;0;77
lu.fisch.canze_94;0;0;0;0
org.strongswan.android_75;3;0;0;3
com.fr3ts0n.ecu.gui.androbd_20502;3;0;0;3
se.manyver_115;26;0;0;26
im.status.ethereum_2021102112;100;0;0;100
com.gaurav.avnc_7;16;0;0;16
dk.kjeldsen.carwingsflutter_193;7;0;0;7
net.sylvek.itracing2_82;3;0;0;3
com.dosse.airpods_18;1;0;0;1
de.tu_chemnitz.wlan_17;1;0;0;1
org.asteroidos.sync_21;12;0;0;12
org.ostrya.presencepublisher_42;4;0;0;4
