Message,Description,RuleNumber,RuleDesc,CWEId,Severity,ClassName,MethodName,ExternalLibrary,PossibleExternal
"Found: ""DESede/CBC/NoPadding""",Found broken crypto schemes,1,Found broken crypto schemes,256,1,org.jmrtd.protocol.DESedeSecureMessagingWrapper,init,false,false
"Found: ""AES/ECB/NoPadding""",Found broken crypto schemes,1,Found broken crypto schemes,256,1,org.jmrtd.protocol.AESSecureMessagingWrapper,init,false,false
"Found: ""DESede/CBC/NoPadding""",Found broken crypto schemes,1,Found broken crypto schemes,256,1,org.jmrtd.protocol.BACAPDUSender,init,false,false
Found: Untrused PRNG (java.util.Random),Used untrusted PRNG,13,Used untrusted PRNG,338,1,androidx.transition.Explode,calculateOut,true,true
Found: Untrused PRNG (java.util.Random),Used untrusted PRNG,13,Used untrusted PRNG,338,1,org.bouncycastle.pqc.math.linearalgebra.GF2nPolynomialElement,solveQuadraticEquation,false,false
Found: Untrused PRNG (java.util.Random),Used untrusted PRNG,13,Used untrusted PRNG,338,1,org.bouncycastle.math.ec.ECFieldElement$Fp,sqrt,false,false
Found: Untrused PRNG (java.util.Random),Used untrusted PRNG,13,Used untrusted PRNG,338,1,org.spongycastle.math.ec.ECCurve$AbstractF2m,solveQuadraticEquation,false,false
Found: Untrused PRNG (java.util.Random),Used untrusted PRNG,13,Used untrusted PRNG,338,1,org.jmrtd.lds.CBEFFDataGroup,init,false,false
Found: Untrused PRNG (java.util.Random),Used untrusted PRNG,13,Used untrusted PRNG,338,1,org.jmrtd.lds.CBEFFDataGroup,init,false,false
Found: Untrused PRNG (java.util.Random),Used untrusted PRNG,13,Used untrusted PRNG,338,1,org.bouncycastle.asn1.ua.DSTU4145PointEncoder,solveQuadraticEquation,false,false
Found: Untrused PRNG (java.util.Random),Used untrusted PRNG,13,Used untrusted PRNG,338,1,org.bouncycastle.math.raw.Mod,random,false,false
Found: Untrused PRNG (java.util.Random),Used untrusted PRNG,13,Used untrusted PRNG,338,1,org.bouncycastle.math.ec.ECCurve$AbstractF2m,solveQuadraticEquation,false,false
Found: Untrused PRNG (java.util.Random),Used untrusted PRNG,13,Used untrusted PRNG,338,1,org.spongycastle.math.raw.Mod,random,false,false
Found: Untrused PRNG (java.util.Random),Used untrusted PRNG,13,Used untrusted PRNG,338,1,org.spongycastle.asn1.ua.DSTU4145PointEncoder,solveQuadraticEquation,false,false
Found: Untrused PRNG (java.util.Random),Used untrusted PRNG,13,Used untrusted PRNG,338,1,org.bouncycastle.pqc.math.linearalgebra.GF2Polynomial,clinit,false,false
Found: Untrused PRNG (java.util.Random),Used untrusted PRNG,13,Used untrusted PRNG,338,1,org.spongycastle.pqc.math.linearalgebra.GF2Polynomial,clinit,false,false
Found: Untrused PRNG (java.util.Random),Used untrusted PRNG,13,Used untrusted PRNG,338,1,org.spongycastle.pqc.math.linearalgebra.GF2nONBField,elementOfOrder,false,false
Found: Untrused PRNG (java.util.Random),Used untrusted PRNG,13,Used untrusted PRNG,338,1,org.bouncycastle.pqc.math.linearalgebra.GF2nONBField,elementOfOrder,false,false
Found: Untrused PRNG (java.util.Random),Used untrusted PRNG,13,Used untrusted PRNG,338,1,org.spongycastle.math.ec.ECFieldElement$Fp,sqrt,false,false
Found: Untrused PRNG (java.util.Random),Used untrusted PRNG,13,Used untrusted PRNG,338,1,org.spongycastle.pqc.math.linearalgebra.GF2nPolynomialElement,solveQuadraticEquation,false,false
Should at least get One accepted Issuer from Other Sources in getAcceptedIssuers method of jcajce.JcaJceUtils,Uses untrusted TrustManager,4,Uses untrusted TrustManager,349,1,jcajce.JcaJceUtils,getAcceptedIssuers,false,false
Should throw java.security.cert.CertificateException in check(Client|Server)Trusted method of jcajce.JcaJceUtils,Uses untrusted TrustManager,4,Uses untrusted TrustManager,349,1,jcajce.JcaJceUtils,UNKNOWN,false,false
Should at least get One accepted Issuer from Other Sources in getAcceptedIssuers method of jcajce.JcaJceUtils,Uses untrusted TrustManager,4,Uses untrusted TrustManager,349,1,jcajce.JcaJceUtils,getAcceptedIssuers,false,false
Should throw java.security.cert.CertificateException in check(Client|Server)Trusted method of jcajce.JcaJceUtils,Uses untrusted TrustManager,4,Uses untrusted TrustManager,349,1,jcajce.JcaJceUtils,UNKNOWN,false,false
"Found: ""SHA-1""",Found broken hash functions,2,Found broken hash functions,759,1,org.jmrtd.protocol.PACEProtocol,computeKeySeedForPACE,false,false
"Found: ""SHA-1""",Found broken hash functions,2,Found broken hash functions,759,1,org.jmrtd.Util,inferDigestAlgorithmFromCipherAlgorithmForKeyDerivation,false,false
"Found: ""SHA1""",Found broken hash functions,2,Found broken hash functions,759,1,org.bouncycastle.cert.jcajce.JcaX509ExtensionUtils,init,false,false
"Found: ""SHA-1""",Found broken hash functions,2,Found broken hash functions,759,1,org.jmrtd.BACKey,getKey,false,false
"Found: ""MD5""",Found broken hash functions,2,Found broken hash functions,759,1,org.apache.commons.io.input.MessageDigestCalculatingInputStream,init,false,false
"Found: ""SHA-1""",Found broken hash functions,2,Found broken hash functions,759,1,org.jmrtd.protocol.PACEProtocol,computeKeySeedForPACE,false,false
"Found: ""SHA-1""",Found broken hash functions,2,Found broken hash functions,759,1,org.jmrtd.protocol.EACCAProtocol,getKeyHash,false,false
"Found: ""SHA-1""",Found broken hash functions,2,Found broken hash functions,759,1,org.jmrtd.protocol.BACProtocol,computeKeySeedForBAC,false,false
"Found: ""SHA-1""",Found broken hash functions,2,Found broken hash functions,759,1,org.jmrtd.protocol.EACTAProtocol,deriveIdentifier,false,false
"Found: Constant ""ENC""",Used constant keys in code,3,Used constant keys in code,547,1,org.bouncycastle.operator.jcajce.OperatorUtils,getJceKey,false,false
"Found: ""-1""",Found constant IV in code,10,Found constant IV in code,547,1,org.jmrtd.protocol.PACEProtocol,clinit,false,false
"Found: ""0""",Found constant IV in code,10,Found constant IV in code,547,1,org.jmrtd.protocol.BACAPDUSender,clinit,false,false
"Found: ""-1""",Found constant IV in code,10,Found constant IV in code,547,1,org.jmrtd.protocol.PACEProtocol,clinit,false,false
"Found: ""0""",Found constant IV in code,10,Found constant IV in code,547,1,org.jmrtd.protocol.DESedeSecureMessagingWrapper,clinit,false,false
"Found: ""0""",Found constant IV in code,10,Found constant IV in code,547,1,org.jmrtd.protocol.DESedeSecureMessagingWrapper,clinit,false,false
"Found: ""-1""",Found constant IV in code,10,Found constant IV in code,547,1,org.jmrtd.protocol.PACEProtocol,clinit,false,false
"Found: ""0""",Found constant IV in code,10,Found constant IV in code,547,1,org.jmrtd.protocol.BACAPDUSender,clinit,false,false
"Found: ""0""",Found constant IV in code,10,Found constant IV in code,547,1,org.jmrtd.protocol.DESedeSecureMessagingWrapper,clinit,false,false
"Found: ""-1""",Found constant IV in code,10,Found constant IV in code,547,1,org.jmrtd.protocol.PACEProtocol,clinit,false,false
"Found: ""0""",Found constant IV in code,10,Found constant IV in code,547,1,org.jmrtd.protocol.DESedeSecureMessagingWrapper,clinit,false,false
"Found: ""-1""",Found constant IV in code,10,Found constant IV in code,547,1,org.jmrtd.protocol.PACEProtocol,clinit,false,false
"Found: ""0""",Found constant IV in code,10,Found constant IV in code,547,1,org.jmrtd.protocol.BACAPDUSender,clinit,false,false
"Found: ""0""",Found constant IV in code,10,Found constant IV in code,547,1,org.jmrtd.protocol.BACAPDUSender,clinit,false,false
"Found: ""0""",Found constant IV in code,10,Found constant IV in code,547,1,org.jmrtd.protocol.BACAPDUSender,clinit,false,false
"Found: ""-1""",Found constant IV in code,10,Found constant IV in code,547,1,org.jmrtd.protocol.PACEProtocol,clinit,false,false
"Found: ""-1""",Found constant IV in code,10,Found constant IV in code,547,1,org.jmrtd.protocol.PACEProtocol,clinit,false,false
"Found: ""0""",Found constant IV in code,10,Found constant IV in code,547,1,org.jmrtd.protocol.BACAPDUSender,clinit,false,false
"Found: ""-1""",Found constant IV in code,10,Found constant IV in code,547,1,org.jmrtd.protocol.PACEProtocol,clinit,false,false
"Found: ""-1""",Found constant IV in code,10,Found constant IV in code,547,1,org.jmrtd.protocol.PACEProtocol,clinit,false,false
"Found: ""0""",Found constant IV in code,10,Found constant IV in code,547,1,org.jmrtd.protocol.BACAPDUSender,clinit,false,false
"Found: ""-1""",Found constant IV in code,10,Found constant IV in code,547,1,org.jmrtd.protocol.PACEProtocol,clinit,false,false
"Found: ""0""",Found constant IV in code,10,Found constant IV in code,547,1,org.jmrtd.protocol.DESedeSecureMessagingWrapper,clinit,false,false
"Found: ""0""",Found constant IV in code,10,Found constant IV in code,547,1,org.jmrtd.protocol.DESedeSecureMessagingWrapper,clinit,false,false
"Found: ""0""",Found constant IV in code,10,Found constant IV in code,547,1,org.jmrtd.protocol.DESedeSecureMessagingWrapper,clinit,false,false
"Found: ""-1""",Found constant IV in code,10,Found constant IV in code,547,1,org.jmrtd.protocol.PACEProtocol,clinit,false,false
"Found: ""0""",Found constant IV in code,10,Found constant IV in code,547,1,org.jmrtd.protocol.DESedeSecureMessagingWrapper,clinit,false,false
"Found: ""-1""",Found constant IV in code,10,Found constant IV in code,547,1,org.jmrtd.protocol.PACEProtocol,clinit,false,false
"Found: ""-1""",Found constant IV in code,10,Found constant IV in code,547,1,org.jmrtd.protocol.PACEProtocol,clinit,false,false
"Found: ""-1""",Found constant IV in code,10,Found constant IV in code,547,1,org.jmrtd.protocol.PACEProtocol,clinit,false,false
"Found: ""0""",Found constant IV in code,10,Found constant IV in code,547,1,org.jmrtd.protocol.BACAPDUSender,clinit,false,false
"Found: ""-1""",Found constant IV in code,10,Found constant IV in code,547,1,org.jmrtd.protocol.PACEProtocol,clinit,false,false
"Found: ""-1""",Found constant IV in code,10,Found constant IV in code,547,1,org.jmrtd.protocol.PACEProtocol,clinit,false,false
"Found: ""2""",Used < 1000 iteration for PBE,8,Used < 1000 iteration for PBE,326,1,org.bouncycastle.jcajce.provider.symmetric.Twofish$PBEWithSHA,init,true,true
"Found: ""0""",Used < 1000 iteration for PBE,8,Used < 1000 iteration for PBE,326,1,org.spongycastle.jcajce.provider.symmetric.DES$PBEWithMD5,init,true,true
"Found: ""2""",Used < 1000 iteration for PBE,8,Used < 1000 iteration for PBE,326,1,org.spongycastle.jcajce.provider.symmetric.RC2$PBEWithSHAAnd128BitRC2,init,true,true
"Found: ""1""",Used < 1000 iteration for PBE,8,Used < 1000 iteration for PBE,326,1,org.bouncycastle.jcajce.provider.keystore.bc.BcKeyStoreSpi,loadStore,true,true
"Found: ""2""",Used < 1000 iteration for PBE,8,Used < 1000 iteration for PBE,326,1,org.bouncycastle.jcajce.provider.symmetric.AES$PBEWithSHA256AESCBC128,init,true,true
"Found: ""2""",Used < 1000 iteration for PBE,8,Used < 1000 iteration for PBE,326,1,org.bouncycastle.jcajce.provider.symmetric.AES$PBEWithSHA1AESCBC256,init,true,true
"Found: ""2""",Used < 1000 iteration for PBE,8,Used < 1000 iteration for PBE,326,1,org.bouncycastle.jcajce.provider.symmetric.AES$PBEWithSHA1AESCBC192,init,true,true
"Found: ""4""",Used < 1000 iteration for PBE,8,Used < 1000 iteration for PBE,326,1,org.spongycastle.jcajce.provider.keystore.bc.BcKeyStoreSpi$StoreEntry,init,true,true
"Found: ""0""",Used < 1000 iteration for PBE,8,Used < 1000 iteration for PBE,326,1,org.spongycastle.jcajce.provider.symmetric.RC2$PBEWithMD5AndRC2,init,true,true
"Found: ""4""",Used < 1000 iteration for PBE,8,Used < 1000 iteration for PBE,326,1,org.bouncycastle.jcajce.provider.keystore.bc.BcKeyStoreSpi$StoreEntry,init,true,true
"Found: ""2""",Used < 1000 iteration for PBE,8,Used < 1000 iteration for PBE,326,1,org.bouncycastle.jcajce.provider.symmetric.RC2$PBEWithSHAAnd128BitRC2,init,true,true
"Found: ""1""",Used < 1000 iteration for PBE,8,Used < 1000 iteration for PBE,326,1,org.spongycastle.jcajce.provider.keystore.bc.BcKeyStoreSpi,loadStore,true,true
"Found: ""0""",Used < 1000 iteration for PBE,8,Used < 1000 iteration for PBE,326,1,org.spongycastle.jcajce.provider.symmetric.DES$PBEWithMD2,init,true,true
"Found: ""2""",Used < 1000 iteration for PBE,8,Used < 1000 iteration for PBE,326,1,org.bouncycastle.jcajce.provider.symmetric.AES$PBEWithSHA256AESCBC192,init,true,true
"Found: ""2""",Used < 1000 iteration for PBE,8,Used < 1000 iteration for PBE,326,1,org.bouncycastle.jcajce.provider.symmetric.AES$PBEWithSHA256AESCBC256,init,true,true
"Found: ""2""",Used < 1000 iteration for PBE,8,Used < 1000 iteration for PBE,326,1,org.bouncycastle.jcajce.provider.symmetric.DESede$PBEWithSHAAndDES3Key,init,true,true
"Found: ""2""",Used < 1000 iteration for PBE,8,Used < 1000 iteration for PBE,326,1,org.spongycastle.jcajce.provider.symmetric.AES$PBEWithSHA256AESCBC192,init,true,true
"Found: ""3""",Used < 1000 iteration for PBE,8,Used < 1000 iteration for PBE,326,1,org.spongycastle.jcajce.provider.keystore.bc.BcKeyStoreSpi$StoreEntry,init,true,true
"Found: ""2""",Used < 1000 iteration for PBE,8,Used < 1000 iteration for PBE,326,1,org.spongycastle.jcajce.provider.symmetric.DESede$PBEWithSHAAndDES2Key,init,true,true
"Found: ""3""",Used < 1000 iteration for PBE,8,Used < 1000 iteration for PBE,326,1,org.bouncycastle.jcajce.provider.keystore.bc.BcKeyStoreSpi$StoreEntry,init,true,true
"Found: ""0""",Used < 1000 iteration for PBE,8,Used < 1000 iteration for PBE,326,1,org.bouncycastle.jcajce.provider.symmetric.RC2$PBEWithMD5AndRC2,init,true,true
"Found: ""20""",Used < 1000 iteration for PBE,8,Used < 1000 iteration for PBE,326,1,org.bouncycastle.jcajce.provider.keystore.pkcs12.PKCS12KeyStoreSpi,init,true,true
"Found: ""2""",Used < 1000 iteration for PBE,8,Used < 1000 iteration for PBE,326,1,org.spongycastle.jcajce.provider.symmetric.RC2$PBEWithSHAAnd40BitRC2,init,true,true
"Found: ""1""",Used < 1000 iteration for PBE,8,Used < 1000 iteration for PBE,326,1,org.bouncycastle.openssl.jcajce.PEMUtilities,getKey,false,false
"Found: ""0""",Used < 1000 iteration for PBE,8,Used < 1000 iteration for PBE,326,1,org.bouncycastle.jcajce.provider.symmetric.DES$PBEWithMD2,init,true,true
"Found: ""2""",Used < 1000 iteration for PBE,8,Used < 1000 iteration for PBE,326,1,org.bouncycastle.jcajce.provider.symmetric.AES$PBEWithSHA1AESCBC128,init,true,true
"Found: ""2""",Used < 1000 iteration for PBE,8,Used < 1000 iteration for PBE,326,1,org.spongycastle.jcajce.provider.symmetric.AES$PBEWithSHA256AESCBC128,init,true,true
"Found: ""2""",Used < 1000 iteration for PBE,8,Used < 1000 iteration for PBE,326,1,org.spongycastle.jcajce.provider.symmetric.Twofish$PBEWithSHA,init,true,true
"Found: ""2""",Used < 1000 iteration for PBE,8,Used < 1000 iteration for PBE,326,1,org.bouncycastle.jcajce.provider.keystore.bc.BcKeyStoreSpi,loadStore,true,true
"Found: ""2""",Used < 1000 iteration for PBE,8,Used < 1000 iteration for PBE,326,1,org.spongycastle.jcajce.provider.symmetric.AES$PBEWithSHA256AESCBC256,init,true,true
"Found: ""2""",Used < 1000 iteration for PBE,8,Used < 1000 iteration for PBE,326,1,org.spongycastle.jcajce.provider.symmetric.DESede$PBEWithSHAAndDES3Key,init,true,true
"Found: ""0""",Used < 1000 iteration for PBE,8,Used < 1000 iteration for PBE,326,1,org.bouncycastle.jcajce.provider.symmetric.DES$PBEWithMD5,init,true,true
"Found: ""0""",Used < 1000 iteration for PBE,8,Used < 1000 iteration for PBE,326,1,org.bouncycastle.jcajce.provider.symmetric.RC2$PBEWithSHA1AndRC2,init,true,true
"Found: ""2""",Used < 1000 iteration for PBE,8,Used < 1000 iteration for PBE,326,1,org.spongycastle.jcajce.provider.keystore.bc.BcKeyStoreSpi,loadStore,true,true
"Found: ""2""",Used < 1000 iteration for PBE,8,Used < 1000 iteration for PBE,326,1,org.bouncycastle.jcajce.provider.symmetric.RC2$PBEWithSHAAnd40BitRC2,init,true,true
"Found: ""2""",Used < 1000 iteration for PBE,8,Used < 1000 iteration for PBE,326,1,org.spongycastle.jcajce.provider.symmetric.AES$PBEWithSHA1AESCBC192,init,true,true
