apk_name;libraries_with_vulnerability (total);libraries_with_vulnerability (possible_external);libraries_with_vulnerability (definitely_external), native_libraries_with_vulnerability (total - possible_external - definitely_external)
io.horizontalsystems.bankwallet_52;209;0;0;209
fr.corenting.convertisseureurofranc_18;1;0;0;1
com.minimalisticapps.priceconverter_6;17;0;0;17
nitezh.ministock_80;5;0;0;5
de.schildbach.wallet_817;15;0;0;15
com.ebaschiera.triplecamel_14;0;0;0;0
com.ecuamobi.deckwallet_100;3;0;0;3
app.zeusln.zeus_25;18;0;0;18
com.alaskalinuxuser.justcraigslist_10;0;0;0;0
co.timsmart.vouchervault_22;2;0;0;2
com.decred.decredaddressscanner_10;3;0;0;3
app.crescentcash.src_120;82;0;0;82
com.github.samotari.paynoway_20100;2;0;0;2
net.bitconomy.ckpoolwatcher_1;0;0;0;0
com.rehanced.lunary_31;58;0;0;58
tmendes.com.analyticalbalancedroid_3;0;0;0;0
com.arduia.expense_11;3;0;0;3
com.brentpanther.litecoinwidget_23;11;0;0;11
de.cryptobitch.muelli.vouchercalc_3;0;0;0;0
com.simpledecredwidget_3;12;0;0;12
org.secuso.privacyfriendlyfinancemanager_4;0;0;0;0
org.encointer.wallet_810;3;0;0;3
com.coinerella.peercoin_60;1;0;0;1
net.eneiluj.moneybuster_35;43;0;0;43
org.billthefarmer.currency_139;0;0;0;0
com.pvcodes.debtcalc_3;3;0;0;3
de.php_tech.piggybudget_25;20;0;0;20
com.brentpanther.bitcoincashwidget_23;11;0;0;11
net.taler.cashier_1;1;0;0;1
de.k4ever.k4android_10;2;0;0;2
com.nishantboro.splititeasy_1;5;0;0;5
com.eletac.tronwallet_37;76;0;0;76
de.koelle.christian.trickytripper_25;3;0;0;3
com.greenaddress.greenbits_android_wallet_22000376;4;0;0;4
com.blogspot.e_kanivets.moneytracker_36;6;0;0;6
ivl.android.moneybalance_6;0;0;0;0
hashengineering.groestlcoin.wallet_81401;15;0;0;15
de.langerhans.wallet_400;14;0;0;14
org.moparisthebest.pageplus_8;0;0;0;0
ee.smkv.calc.loan_52;0;0;0;0
net.taler.wallet.fdroid_9;4;0;0;4
ademar.bitac_5;8;0;0;8
ru.valle.btc_260;8;0;0;8
com.veken0m.bitcoinium_48;0;0;0;0
de.schildbach.wallet_test_817;15;0;0;15
org.weilbach.splitbills_22;2;0;0;2
de.cloneapps.crypto_prices_26;4;0;0;4
org.ebur.debitum_14;3;0;0;3
com.github.samotari.cryptoterminal_10500;2;0;0;2
com.brentpanther.bitcoinwidget_287;4;0;0;4
org.billthefarmer.specie_1;0;0;0;0
com.money.manager.ex_1000;40;0;0;40
com.emmanuelmess.simpleaccounting_23;0;0;0;0
com.outdoordevs.ellaism.wallet_35;68;0;0;68
com.repay.android_25;1;0;0;1
com.soumikshah.investmenttracker_3;14;0;0;14
de.chaosdorf.meteroid_41;14;0;0;14
com.btcontract.wallet_86;84;0;0;84
com.notriddle.budget_44;0;0;0;0
org.safecoin.safeprice_1;0;0;0;0
net.alaindonesia.silectric_1220161217;0;0;0;0
com.greenaddress.abcore_77;1;0;0;1
com.cosmos.candle_6;3;0;0;3
org.jdfossapps.android.shopwithmom_5;1;0;0;1
com.toxtox.philosopherstonewidget_3;11;0;0;11
network.ubic.ubic_7;44;0;0;44
de.drhoffmannsoft.pizza_11;0;0;0;0
net.taler.merchantpos_2;1;0;0;1
at.zweng.bankomatinfos2_16;0;0;0;0
info.tangential.cone_28;0;0;0;0
com.flasskamp.subz_4;1;0;0;1
net.ktnx.mobileledger_47;6;0;0;6
com.hykwok.CurrencyConverter_2;2;0;0;2
protect.budgetwatch_29;3;0;0;3
com.brentpanther.ethereumwidget_33;11;0;0;11
com.nanoconverter.zlab_38;7;0;0;7
com.lako.walletcount_3;2;0;0;2
de.bitsharesmunich.wallet_100038;3;0;0;3
protect.rentalcalc_6;2;0;0;2
com.fproject.cryptolitycs_1;0;0;0;0
net.nitratine.priceperunit_18;0;0;0;0
me.kuehle.carreport_79;5;0;0;5
com.cohenchris.weeklybudget_6;4;0;0;4
io.bluewallet.bluewallet_60205;34;0;0;34
com.pvpc.precio_luz_24;0;0;0;0
de.freewarepoint.whohasmystuff_39;0;0;0;0
org.dash.electrum.electrum_dash_401050001;0;0;0;0
com.jstephan.yarc_1;1;0;0;1
me.hackerchick.catima_92;4;0;0;4
hashengineering.groestlcoin.wallet_test_81401;15;0;0;15
org.walleth_514;83;0;0;83
org.tryton.client_6;3;0;0;3
mobi.boilr.boilr_9;0;0;0;0
eu.uwot.fabio.altcoinprices_81;0;0;0;0
com.igisw.openmoneybox_44;3;0;0;3
com.lightning.walletapp_159;14;0;0;14
com.invoiceninja.app_66;5;0;0;5
org.elijaxapps.androidxmrigminer_5;0;0;0;0
com.marv42.ebt.newnote_5300;5;0;0;5
protect.card_locker_39;5;0;0;5
com.xvzan.simplemoneytracker_20200725;1;0;0;1
com.mattallen.loaned_3;0;0;0;0
de.salomax.currencies_11000;4;0;0;4
com.vgorcum.minedmonero_2;1;0;0;1
de.blocklink.pigrid_5;0;0;0;0
protect.gift_card_guard_6;3;0;0;3
